Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.47990151769498;123.90888544333232;99.682;2.4546182087914317;146228.45941;59572.791762999994;0.0;enero
T.HUEVOS KGS;0.58734527393757;2.00672194856207;67.067;3.416596740634288;2368.1906099999997;693.143145;1.0;enero
T.HUEVOS UNDS.;9.24454121596959;2.00672194856207;67.067;0.217071015389659;2368.1906099999997;10909.750460000001;1.0;enero
TOTAL HUEVOS GALLINA;9.16481224886913;1.99422194985477;66.989;0.217595505036216;2353.439;10815.66;2.0;enero
OTRAS AVES;0.07972896710045;0.01249999870729;0.705;0.15678114444333677;14.751610000000001;94.09046000000001;2.0;enero
MIEL;0.00552612166194;0.03262941809212;2.328;5.904578307932364;38.50692;6.521536;1.0;enero
GRANEL;0.00327448376852;0.01800965945582;0.949;5.499999611832686;21.25372;3.864313;2.0;enero
ENVASADA;0.00225163789342;0.01461975863629;1.361;6.492943949378731;17.2532;2.657223;2.0;enero
TOTAL CARNE;2.77903450948198;20.38479826281962;97.792;7.335208754431536;24056.69;3279.619;1.0;enero
CARNE CERTIFICADA;0.25854107487795;2.23824189938796;40.692;8.657200409816992;2641.414;305.1118;2.0;enero
CARNE FRESCA;1.92075285814759;12.63201818168417;92.399;6.576597362904193;14907.41;2266.736;2.0;enero
SALCHICHAS FRESCAS;0.01347433293342;0.1149065983105;6.03;8.527813501284474;135.6046;15.90145;3.0;enero
CARNE VACUNO;0.14744948348398;1.63717367137521;33.016;11.103285224821189;1932.076;174.0094;3.0;enero
TERNERA;0.11141426800403;1.20574453639744;28.055;10.82217347919734;1422.934;131.4832;4.0;enero
AÑOJO;0.02923535671019;0.34402249823398;10.881;11.7673439610869;405.9909;34.50149;4.0;enero
MAYOR;0.00679985622765;0.08740655200728;0.994;12.854176482705222;103.151;8.024707000000001;4.0;enero
CARNE POLLO;0.97631706034602;5.1429965714967;74.99;5.26775243451544;6069.399;1152.18;3.0;enero
POLLO ENTERO;0.21053123549376;0.71970136832883;18.437;3.4185016139808577;849.3404;248.454;4.0;enero
POLLO FILETES;0.18627651258569;1.20372441812437;44.783;6.462030029527321;1420.55;219.8303;4.0;enero
POLLO POR PIEZAS;0.57950905805704;3.21957112398952;62.837;5.555687317095567;3799.509;683.8954;4.0;enero
CARNE CONEJO;0.03443889836169;0.28416539391218;5.007;8.251291633306547;335.35179999999997;40.64234;3.0;enero
CARNE OVINO/CAPRINO;0.00967989156659;0.13246086684254;2.378;13.684127134193313;156.3209;11.42352;3.0;enero
CORDERO;0.00410412278652;0.0767031959891;1.349;18.68930340996417;90.51966;4.843394;4.0;enero
CABRITO;0.0055757679327;0.05575767932709;0.988;10.0;65.80125;6.580125;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.00967989156659;0.13246086684254;2.378;13.684127134193313;156.3209;11.42352;4.0;enero
CARNE CERDO;0.61683845417393;4.48605055016139;68.577;7.272650594018344;5294.118;727.9489;3.0;enero
CARNE CERDO ADOBAD;0.05302051227724;0.39389518493844;17.137;7.429109377117592;464.84709999999995;62.57104;4.0;enero
CARN.CERDO IBERICO;0.02783085761773;0.29087483035772;3.566;10.45152234806966;343.2698;32.844;4.0;enero
CARNE DESPOJOS;0.0317965599343;0.1856889496618;10.207;5.839906897018551;219.1369;37.52404;3.0;enero
DESPOJOS CERDO;0.01145701096501;0.06522439926871;5.761;5.6929682155205885;76.97319999999999;13.52075;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.01179578751097;0.05058890506349;2.243;4.288726379345644;59.70143;13.920549999999999;4.0;enero
DESPOJOS TERNERA;0.00854376993195;0.06987563685595;4.937;8.178548511070888;82.46226;10.08275;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.10423284922707;0.76348005982169;26.495;7.324754772446065;901.0049;123.0082;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.04095585583671;0.32621224072111;15.721;7.964971896123554;384.9725;48.33319;4.0;enero
OTRAS AVES;0.00244102567625;0.01828280757886;1.693;7.489805517708216;21.57607;2.880725;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.07063848571354;0.2870207599125;9.331;4.063234892611211;338.7215;83.36252;2.0;enero
C.CONG.POLLO;0.06036787902508;0.21371105757074;6.93;3.54014520672391;252.2066;71.24188000000001;3.0;enero
C.CONG.CERDO;0.00623081500897;0.04861690865146;1.048;7.802656407138967;57.37422;7.353165;3.0;enero
C.CONG.VACA;0.00080864470158;0.01132890631714;0.571;14.009745312033365;13.36957;0.954305;3.0;enero
RESTO CARNES CONG.;0.00323114528317;0.01336387042584;1.326;4.135954670761949;15.771090000000001;3.813168;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.78764309783163;7.4657622870006;91.343;9.478610689985933;8810.562;929.5204;2.0;enero
JAMON CURADO+PALETA;0.08771109500532;1.72942884618388;44.071;19.717332751105207;2040.949;103.51039999999999;3.0;enero
JAMON C.+P.ENTERO;0.0216074358688;0.29834452272381;2.804;13.80749314890139;352.085;25.499560000000002;4.0;enero
JAMON C.+P.LONCHA;0.06610365913652;1.43108432346006;42.677;21.64909389515611;1688.864;78.01084;4.0;enero
JAMON CURADO NORMAL;0.03856104968697;0.5877875603609;34.392;15.243038380240757;693.6650999999999;45.50701;3.0;enero
JAMON C.N.ENTER/PI;0.00165312701312;0.01813140886584;0.682;10.967946638044024;21.3974;1.950903;4.0;enero
JAMON C.N.LONCHA;0.03690792521594;0.56965615149506;33.82;15.434521126886674;672.2677;43.556110000000004;4.0;enero
JAMON IBERICO;0.0438320839645;0.96892210557711;9.238;22.105316880708155;1143.453;51.72751;3.0;enero
JAMON IBE.ENTER/PI;0.01995430292412;0.28021311385797;2.016;14.042741303641607;330.6876;23.548650000000002;4.0;enero
JAMON IBE.LONCHA;0.02387777256672;0.68870916119214;8.384;28.84310750793592;812.7656;28.178849999999997;4.0;enero
PALETA CURADA NORM.;0.003308073319;0.06368875348786;4.478;19.252521738863145;75.16094;3.903953;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.003308073319;0.06368875348786;4.478;19.252521738863145;75.16094;3.903953;4.0;enero
PALETA IBERICA;0.00200989142431;0.10903029117959;2.014;54.24685625340704;128.6698;2.371931;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00200989142431;0.10903029117959;2.014;54.24685625340704;128.6698;2.371931;4.0;enero
HUESOS JAMON CURADO;0.0007870555349;0.00314785607793;0.903;3.9995348972413596;3.7148760000000003;0.928827;3.0;enero
LOMO EMBUCHADO N+IB;0.02180279588048;0.52040746441153;15.16;23.86884082501008;614.1479;25.73011;3.0;enero
LOMO EMB.AL CORTE;0.00199142903465;0.03289372819771;1.534;16.517650202562137;38.818839999999994;2.350143;4.0;enero
LOMO EMB.ENVASADO;0.01981136091427;0.48751377010842;13.988;24.607788037276364;575.3290999999999;23.37996;4.0;enero
LOMO EMB.NORMAL;0.01283222512144;0.29407049816109;12.517;22.916563213168793;347.0411;15.14368;4.0;enero
LOMO E.N.AL CORTE;0.0003836013096;0.00573016547063;0.696;14.937815192876503;6.762334;0.452699;5.0;enero
LOMO E.N.ENVASADO;0.01244862296446;0.28834036150086;11.994;23.162430280348893;340.2788;14.69098;5.0;enero
LOMO EMB.IBERICO;0.00897056228539;0.22633696625044;3.232;25.231079061665792;267.10679999999996;10.58642;4.0;enero
LOMO E.I.AL CORTE;0.00160782687768;0.02716356611653;0.838;16.89458392162505;32.056509999999996;1.897443;5.0;enero
LOMO E.I.ENVASADO;0.00736273879716;0.19917340860755;2.382;27.05153803420677;235.0503;8.688981;5.0;enero
OTRAS SALAZONES;0.04231684273399;0.30046785005966;16.834;7.100431663780832;354.5908;49.93933;3.0;enero
O.SALAZONES AL COR;0.01896115719393;0.12558407580014;7.542;6.623228451494663;148.2054;22.37661;4.0;enero
O.SALAZONES ENVASA;0.02335568554005;0.17488385899602;10.301;7.487849530089918;206.3855;27.562720000000002;4.0;enero
TOCINO Y MANTECA;0.02892684804373;0.21086230101779;16.543;7.289501458956611;248.84470000000002;34.13741;3.0;enero
TOCINO;0.00462853752498;0.0390189827059;1.441;8.430088876952462;46.04743;5.462270999999999;4.0;enero
CHORIZOS;0.06494939541622;0.59158697576056;30.114;9.10842929282782;698.1489;76.64866;3.0;enero
CHOR.IBERICO;0.0279249490326;0.23722094660213;6.318;8.49494644825192;279.9513;32.955040000000004;4.0;enero
CHOR.NORMAL;0.03702444638361;0.35436611389493;24.327;9.5711387612196;418.1977;43.69362;4.0;enero
CHORIZO DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZO DE CERDO;0.06435178274287;0.58712195511615;29.489;9.123631546651849;692.8796;75.9434;4.0;enero
SALCHICHON/SALAMI;0.03732585413098;0.4697295267025;26.475;12.584562031831592;554.3414;44.04932;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.03455014891877;0.42281846557532;24.5;12.237818904031847;498.9803;40.77363;4.0;enero
FUET/LONGANIZAS;0.02077403539735;0.27008261050645;15.709;13.00096997720676;318.7323;24.51604;3.0;enero
FUET/LONGANIZ.PAVO;0.00015039034861;0.00286278129184;0.136;19.03567162497183;3.378451;0.17748;4.0;enero
FUET/LONGANIZ.CERD;0.01981741110071;0.24625860325198;15.588;12.426376079120542;290.61690000000004;23.3871;4.0;enero
OTROS PROD.CURADOS;0.00790170109876;0.09792591117906;10.671;12.393016384083005;115.56519999999999;9.325026;3.0;enero
O.PROD.CURAD.CORTE;0.00262732735558;0.03692290662998;2.46;14.053409275991466;43.57379;3.100585;4.0;enero
O.PROD.CURAD.ENVAS;0.00527437374318;0.06100297912813;8.225;11.565918931515297;71.99138;6.224441;4.0;enero
SALCHICHAS;0.12302918544563;0.47909502888921;34.455;3.894157529807433;565.3939;145.19029999999998;3.0;enero
JAMON COCIDO;0.05207770850452;0.4998911466197;32.108;9.598946669788562;589.936;61.45841;3.0;enero
J.COC.SIN/BAJO SAL;0.00350128949711;0.03818540428779;4.576;10.906097401894929;45.0637;4.131973;4.0;enero
PALETA COCIDA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
FIAMBRES;0.22172882564951;1.62120338232633;62.343;7.311649162337399;1913.229;261.6686;3.0;enero
PAVO;0.13343415033602;1.1131148262378;49.47;8.342053540526894;1313.619;157.4695;4.0;enero
POLLO;0.00273362167449;0.03250239807151;3.146;11.889866975653636;38.35702;3.226026;4.0;enero
PROD.A BASE SANGRE;0.01169581538268;0.09785100410887;4.504;8.36632598132087;115.4768;13.80257;3.0;enero
MORCILLA;0.01169581538268;0.09785100410887;4.504;8.36632598132087;115.4768;13.80257;4.0;enero
FOIE-GRAS Y PATES;0.03327278847803;0.25400174031888;18.316;7.633918043466413;299.7548;39.26618;3.0;enero
COCIDOS Y OTROS;0.03334309435601;0.32008104618394;28.192;9.59962032216706;377.73690000000005;39.34915;3.0;enero
COCIDOS Y O. CORTE;0.00059515955153;0.00590965348761;1.291;9.929528094366889;6.974153;0.702365;4.0;enero
COCIDOS Y O.ENVASA;0.0327479390413;0.31417143760667;27.921;9.59362472277775;370.76279999999997;38.64679;4.0;enero
COCIDOS DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
COCIDOS DE CERDO;0.03334309435601;0.32008104618394;28.192;9.59962032216706;377.73690000000005;39.34915;4.0;enero
TOTAL PESCA;1.27106960263379;12.61509630168703;90.314;9.924787970341848;14887.44;1500.026;1.0;enero
PESCADOS;0.74101632767786;6.96827342029036;67.857;9.403670553558465;8223.461;874.4948;2.0;enero
PESCADOS FRESCOS;0.52446939350288;4.97354220404207;50.344;9.482997989309167;5869.421;618.9415;3.0;enero
PESCADOS CONGELADOS;0.21654693417497;1.99473206361333;42.503;9.211546084515444;2354.041;255.55329999999998;3.0;enero
MERLUZA/PESCAD;0.07972226444293;0.64472862734498;20.342;8.087184073986089;760.8629;94.08255;3.0;enero
MERLUZA/PESCAD.FRE;0.02766067282161;0.27589112843356;8.393;9.97412934286999;325.58709999999996;32.64316;4.0;enero
MERLUZA/PESCAD.CON;0.05206159162132;0.36883749891142;12.42;7.084637396302275;435.2758;61.439389999999996;4.0;enero
SARDINA/BOQUERON;0.115165722542;0.65323829083378;20.304;5.672159010642306;770.9054;135.91039999999998;3.0;enero
BOQUERONES FRESCOS;0.03877099285112;0.21594564393732;9.03;5.569773381004866;254.8437;45.75476999999999;4.0;enero
SARDINAS FRESCAS;0.06373651945558;0.3361562390257;11.565;5.274154313681253;396.7077;75.21731;4.0;enero
ATUN Y BONITO;0.03361042108117;0.40688427427746;11.878;12.10589636156949;480.1759;39.664629999999995;3.0;enero
TRUCHA FRESCA;0.02231891745722;0.18021251409678;5.301;8.074428987972299;212.674;26.3392;3.0;enero
LENGUADO;0.00167205799564;0.02340850180346;0.999;13.999814518630235;27.625049999999998;1.973244;3.0;enero
LENGUADO FRESCO;0.00167205799564;0.02340850180346;0.999;13.999814518630235;27.625049999999998;1.973244;4.0;enero
LENGUADO CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
BACALAO;0.11224121155381;0.97084308213963;25.609;8.649613352348007;1145.72;132.4591;3.0;enero
BACALAO FRESCO;0.05517600559028;0.36199299247732;13.809;6.56069587866353;427.19840000000005;65.1148;4.0;enero
BACALAO CONGELADO;0.05706523985813;0.60885017439881;16.15;10.669370284124842;718.5217;67.34434;4.0;enero
BACALADILLA;0.04933662662814;0.26531236897195;13.745;5.3775944385419105;313.1028;58.22358;4.0;enero
CABALLA FRESCA;0.01350959179305;0.06459600182319;2.127;4.781491758796618;76.23161;15.94306;3.0;enero
SALMON;0.18156948448373;2.14527154847926;25.961;11.815154702779695;2531.697;214.2754;3.0;enero
SALMON FRESCO;0.14287710168805;1.70691181477857;27.059;11.946713606391901;2014.376;168.61339999999998;4.0;enero
SALMON CONGELADO;0.03869240821662;0.4383599031737;6.094;11.329351761189766;517.3212;45.66203;4.0;enero
LUBINA;0.03651356152287;0.34341324276488;13.035;9.405087546712505;405.2719;43.09071;3.0;enero
DORADA;0.029424022538;0.30606511988045;12.221;10.401878923423302;361.1963;34.72414;3.0;enero
RODABALLO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RAPE;0.00842998321129;0.16877274701047;2.629;20.020531806558736;199.1736;9.948467;3.0;enero
OTROS PESCADOS;0.10683900516694;1.0608400290969;31.593;9.92933271363966;1251.928;126.0838;3.0;enero
OTROS PESCADOS FRE;0.05580405561614;0.65006338347408;18.528;11.649034757359923;767.1586;65.85598;4.0;enero
OTROS PESCADOS CON;0.0510349495508;0.41077622194029;21.491;8.048919917739012;484.76890000000003;60.22782;4.0;enero
PEZ ESPADA/EMPERDR;0.01536099121152;0.22460800260766;6.754;14.621973251250143;265.06640000000004;18.127950000000002;4.0;enero
MARISCO/MOLUSCO/CRUS;0.16307125128885;1.68922984833388;35.436;10.358845197929176;1993.509;192.4451;2.0;enero
MARISCO/MOLUSC CONG;0.06664715060429;0.68368962486069;24.47;10.258347411128712;806.8419;78.65223;3.0;enero
MARISCO/MOLUSC FRES;0.06370649731195;0.6438766865263;13.105;10.106923370365305;759.8575;75.18188;3.0;enero
MARISCO/MOLUSC COCI;0.03271759489895;0.36166336747387;10.968;11.054093939081577;426.80940000000004;38.610980000000005;3.0;enero
ALMEJAS,BERBERECHO;0.02170007828943;0.19181743263082;8.717;8.839481133309565;226.36929999999998;25.60889;3.0;enero
ALMEJAS CONGELADO;0.01108323824259;0.05178723176626;4.291;4.6725722783102;61.115610000000004;13.079649999999999;4.0;enero
BERBEREC.CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
ALMEJAS,BERB.FRESC;0.01061684004684;0.14003020933821;4.576;13.18944325433945;165.2537;12.52924;4.0;enero
MEJILLON;0.01145576533839;0.04046500268569;3.583;3.5322827842902877;47.75392;13.51928;3.0;enero
MEJILLON CONGELADO;0.00042818203211;0.00425088980219;0.946;9.927763155290812;5.016598;0.50531;4.0;enero
MEJILLON FRESCO;0.01102758330628;0.03621411118876;2.69;3.283957162956423;42.73732;13.013969999999999;4.0;enero
CALAMARES,PULPO;0.0268986120135;0.32885915491977;7.608;12.22587822578435;388.0962;31.743830000000003;3.0;enero
CALAMARES CONGELAD;0.00309588717957;0.0264697775103;1.73;8.549981305832745;31.23775;3.653546;4.0;enero
PULPO CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
