Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.29878506536902;145.35799605741903;99.511;2.8898907969349494;6821229.894;2360376.35098;0.0;enero
T.HUEVOS KGS;0.74160371778597;2.39631528127064;79.238;3.231261149047008;112452.138;34801.31528;1.0;enero
T.HUEVOS UNDS.;11.7621628696598;2.39631528127064;79.238;0.20373083656679156;112452.138;551964.248;1.0;enero
TOTAL HUEVOS GALLINA;11.55522387202551;2.37116056506602;78.918;0.20520247736666195;111271.7;542253.2;2.0;enero
OTRAS AVES;0.20693899763428;0.02515471620461;2.596;0.12155619043382342;1180.438;9711.048;2.0;enero
MIEL;0.02102042747297;0.16597459094499;6.789;7.895871345069553;7788.707;986.4278;1.0;enero
GRANEL;0.00746042617682;0.07879542168378;1.559;10.561785589218049;3697.641;350.0962;2.0;enero
ENVASADA;0.01355999916519;0.0871791692612;5.257;6.429142671704921;4091.066;636.3315;2.0;enero
TOTAL CARNE;3.14643746025096;26.56978326410596;97.15;8.44440215315347;1246843.0;147653.2;1.0;enero
CARNE CERTIFICADA;0.41573585546757;4.2344888192916;45.18;10.185527092747657;198712.3;19509.28;2.0;enero
CARNE FRESCA;2.26362569717515;17.01515373265029;90.18;7.516770000395386;798471.9;106225.4;2.0;enero
SALCHICHAS FRESCAS;0.01982647569591;0.18087751336227;7.427;9.123029031304954;8488.058;930.3991;3.0;enero
CARNE VACUNO;0.27662776330112;3.48637319922184;47.825;12.603121095356872;163605.4;12981.34;3.0;enero
TERNERA;0.19647478929309;2.44134601596775;38.826;12.425746960979254;114565.3;9219.993;4.0;enero
AÑOJO;0.0644009900454;0.84142949553311;14.301;13.065474536025983;39485.85;3022.152;4.0;enero
MAYOR;0.01575195839104;0.20359809260425;4.822;12.925255866594119;9554.269;739.1938;4.0;enero
CARNE POLLO;0.96286656354354;5.30702036296556;77.526;5.51168828984427;249043.1;45184.54;3.0;enero
POLLO ENTERO;0.19572004424207;0.7399706470786;17.594;3.7807606775490425;34724.68;9184.575;4.0;enero
POLLO FILETES;0.14818240014037;1.12668958343522;36.039;7.603396775648781;52872.28;6953.771;4.0;enero
POLLO POR PIEZAS;0.6189640339225;3.4403614110305;65.548;5.558257382465653;161446.2;29046.19;4.0;enero
CARNE CONEJO;0.0481878440282;0.41443852420363;9.014;8.600478659329347;19448.4;2261.316;3.0;enero
CARNE OVINO/CAPRINO;0.04483781846957;0.67969908290356;8.24;15.159057824475825;31896.31;2104.109;3.0;enero
CORDERO;0.04229376635155;0.64701008555014;7.601;15.29800113265119;30362.31;1984.724;4.0;enero
CABRITO;0.00230752783038;0.0303693571201;0.631;13.160992782050428;1425.146;108.2856;4.0;enero
OTRO OVINO/CAPRINO;0.00023652428763;0.00231964449524;0.101;9.807214804403841;108.85419999999999;11.0994;4.0;enero
OVINO/CAPRINO ENTE;0.00947796807905;0.12147574501838;0.479;12.816644243273432;5700.505;444.7736;4.0;enero
OVINO/CAPRINO PIEZ;0.03535984186665;0.55822344443342;7.913;15.78693271702218;26195.81;1659.335;4.0;enero
CARNE CERDO;0.71419748232041;5.49739648066832;71.285;7.697305880731202;257976.9;33515.22;3.0;enero
CARNE CERDO ADOBAD;0.07847345423853;0.63909014242343;20.58;8.14402970564818;29990.65;3682.532;4.0;enero
CARN.CERDO IBERICO;0.02399636645355;0.28842222630971;5.503;12.019412475134983;13534.82;1126.08;4.0;enero
CARNE DESPOJOS;0.03442270755334;0.21841087521788;7.571;6.344965017042662;10249.39;1615.358;3.0;enero
DESPOJOS CERDO;0.01193795577356;0.08920714436624;3.267;7.4725644874447035;4186.233;560.2136999999999;4.0;enero
DESPOJOS CORDERO;0.00153990940896;0.01207290763232;0.671;7.840011601986009;566.5466;72.26349;4.0;enero
DESPOJOS POLLO;0.01087551221643;0.04409259883042;2.758;4.054300887438834;2069.138;510.3563;4.0;enero
DESPOJOS TERNERA;0.00804796721947;0.06344318537523;2.153;7.883131683453024;2977.205;377.6678;4.0;enero
DESPOJOS OT.PROCED;0.00202136954089;0.00959493459638;0.408;4.746749370789847;450.2625;94.85702;4.0;enero
OTRAS CARNES FRESCA;0.18248675391842;1.41181350269776;39.936;7.736525925212309;66252.32;8563.575;3.0;enero
AVESTRUZ;0.00037355277141;0.00300054736006;0.078;8.032459105235384;140.807;17.52975;4.0;enero
PAVO;0.09601176191767;0.72571918185695;23.094;7.558648725550731;34055.9;4505.554;4.0;enero
OTRAS AVES;0.0103853775668;0.08916235148982;3.922;8.585374091243828;4184.131;487.3557;2.0;enero
CARNE CABALLO;0.00087261296637;0.01416020666157;0.335;16.22736219511004;664.4975;40.9492;4.0;enero
CARNE CONGELADA;0.08991236579937;0.476025106649;11.97;5.294323004592912;22338.48;4219.327;2.0;enero
C.CONG.POLLO;0.06500991318711;0.28162956346983;8.758;4.332101823598113;13216.06;3050.727;3.0;enero
C.CONG.CERDO;0.01250834255098;0.09307228800377;2.54;7.440817008679848;4367.613;586.9803;3.0;enero
C.CONG.VACA;0.0047351419103;0.0318691513331;1.073;6.730347672097801;1495.527;222.2065;3.0;enero
RESTO CARNES CONG.;0.00765898093675;0.06945408253264;2.092;9.068319023921731;3259.279;359.4138;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.79289912025103;9.07860186764911;91.722;11.449882634218133;426032.5;37208.46;2.0;enero
JAMON CURADO+PALETA;0.13118768022751;2.63416848106046;53.454;20.079389135413102;123613.9;6156.258;3.0;enero
JAMON C.+P.ENTERO;0.03628139882854;0.4503258863633;6.149;12.412032085404455;21132.49;1702.581;4.0;enero
JAMON C.+P.LONCHA;0.09490628139896;2.18384238160069;51.45;23.010514682586994;102481.4;4453.677;4.0;enero
JAMON CURADO NORMAL;0.09534101949219;1.67353474225139;46.306;17.553145027869427;78534.14;4474.078;3.0;enero
JAMON C.N.ENTER/PI;0.02230501983038;0.27608841615444;4.671;12.377860152286688;12956.03;1046.71;4.0;enero
JAMON C.N.LONCHA;0.07303599966181;1.39744632609695;44.58;19.13366466629787;65578.11;3427.368;4.0;enero
JAMON IBERICO;0.02355003591276;0.64939122542254;9.256;27.5749569057174;30474.05;1105.135;3.0;enero
JAMON IBE.ENTER/PI;0.00980138031832;0.12841054319877;1.051;13.101271354476484;6025.935;459.9504;4.0;enero
JAMON IBE.LONCHA;0.01374865985636;0.520980788772;8.443;37.89320517160355;24448.12;645.1848;4.0;enero
PALETA CURADA NORM.;0.00623757851943;0.10105952699335;4.251;16.20172422333936;4742.431;292.7115;3.0;enero
PALETA C.N.ENTR/PI;0.00201322925602;0.01838535546291;0.267;9.132271154851303;862.7715;94.47502;4.0;enero
PALETA C.N.LONCHA;0.0042243496896;0.08267416087561;4.011;19.57086106746235;3879.659;198.2365;4.0;enero
PALETA IBERICA;0.00605905269601;0.21018366830184;3.231;34.689196289713;9863.311;284.3338;3.0;enero
PALETA IB.ENTER/PI;0.00216176345711;0.02744151827305;0.217;12.694042996570564;1287.751;101.4453;4.0;enero
PALETA IBE.LONCHA;0.00389729136986;0.18274212871913;3.026;46.88952181819971;8575.559;182.8886;4.0;enero
HUESOS JAMON CURADO;0.00233135201489;0.01211073651635;1.285;5.194726681754531;568.3218;109.40360000000001;3.0;enero
LOMO EMBUCHADO N+IB;0.01879137454588;0.4316735529973;15.01;22.971898726368316;20257.19;881.8248000000001;3.0;enero
LOMO EMB.AL CORTE;0.00664697944326;0.16176288853043;4.148;24.33630040699082;7591.064;311.9235;4.0;enero
LOMO EMB.ENVASADO;0.01214439297165;0.26991053660898;11.461;22.225115511250024;12666.12;569.9011999999999;4.0;enero
LOMO EMB.NORMAL;0.01423373772694;0.27656106410835;12.611;19.429967687609263;12978.21;667.9481;4.0;enero
LOMO E.N.AL CORTE;0.00510684606991;0.10415552025899;3.236;20.395273096751716;4887.717;239.6495;5.0;enero
LOMO E.N.ENVASADO;0.00912689165702;0.17240547992042;9.886;18.88983526913233;8090.49;428.29859999999996;5.0;enero
LOMO EMB.IBERICO;0.00455763468797;0.15511248888894;3.039;34.033550187351025;7278.98;213.8766;4.0;enero
LOMO E.I.AL CORTE;0.00154013337335;0.05760738958108;1.025;37.40415640479287;2703.348;72.274;5.0;enero
LOMO E.I.ENVASADO;0.00301750131462;0.09750509930785;2.009;32.31319198941262;4575.632;141.6026;5.0;enero
OTRAS SALAZONES;0.0285684362959;0.2189414854096;10.746;7.663754611624053;10274.29;1340.634;3.0;enero
O.SALAZONES AL COR;0.01502626478076;0.11803468465095;4.881;7.855224593275284;5539.026;705.1391;4.0;enero
O.SALAZONES ENVASA;0.01354217790802;0.10090688599723;6.236;7.451304116852496;4735.268;635.4952;4.0;enero
TOCINO Y MANTECA;0.028392951359;0.21065625232681;17.879;7.419315085045846;9885.488;1332.399;3.0;enero
TOCINO;0.00191550193972;0.01814031157871;0.882;9.47026531400519;851.2723000000001;89.88896000000001;4.0;enero
CHORIZOS;0.06413888139648;0.71824120079354;32.506;11.198218384159754;33704.98;3009.852;3.0;enero
CHOR.IBERICO;0.00901315781303;0.13512156878385;6.502;14.991590249133843;6340.864;422.9614;4.0;enero
CHOR.NORMAL;0.05512571079765;0.58311971724827;28.839;10.57799906451376;27364.12;2586.89;4.0;enero
CHORIZO DE PAVO;0.00087402345186;0.01173755133633;1.006;13.429332257964633;550.8093;41.01539;4.0;enero
CHORIZO DE CERDO;0.06232726312985;0.69204248239965;31.692;11.103367092468027;32475.55;2924.838;4.0;enero
SALCHICHON/SALAMI;0.02926451589078;0.37586635971244;21.763;12.843757987153563;17638.32;1373.299;3.0;enero
SALCHICHON DE PAVO;0.00113863598422;0.01680521962161;1.517;14.759080034787564;788.6203;53.43289;4.0;enero
SALCHICHON DE CERD;0.02787702351354;0.35485462231321;20.597;12.729286616296738;16652.3;1308.188;4.0;enero
FUET/LONGANIZAS;0.0499037606735;0.65499779335194;27.628;13.125219111988486;30737.15;2341.839;3.0;enero
FUET/LONGANIZ.PAVO;0.00176637490427;0.03025513741618;1.848;17.1283782071992;1419.786;82.89086;4.0;enero
FUET/LONGANIZ.CERD;0.04781032233516;0.61916327911498;26.438;12.95041005526832;29055.54;2243.6;4.0;enero
OTROS PROD.CURADOS;0.02194514252444;0.30106737039675;15.354;13.719089318348221;14128.22;1029.822;3.0;enero
O.PROD.CURAD.CORTE;0.00869516248585;0.13087866904719;5.355;15.051894574731618;6141.757;408.0388;4.0;enero
