Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.48765257846694;158.77495709624802;99.303;3.4905067220683383;93531.88103300001;26796.075321;0.0;enero
T.HUEVOS KGS;0.85585586637867;2.84495721320589;83.107;3.324107860875636;1675.920463;504.171505;1.0;enero
T.HUEVOS UNDS.;13.4246754192194;2.84495721320589;83.107;0.21191999987820345;1675.920463;7908.2694599999995;1.0;enero
TOTAL HUEVOS GALLINA;13.3631316945827;2.8393154717012;83.186;0.21247380753212486;1672.597;7872.015;2.0;enero
OTRAS AVES;0.0615437246367;0.00564174150469;0.884;0.09167045930348984;3.3234630000000003;36.25446;2.0;enero
MIEL;0.02196895003943;0.25913358068915;7.143;11.795446765732441;152.6516;12.94157;1.0;enero
GRANEL;0.01450004650711;0.17400064635796;1.84;12.000006087742634;102.50110000000001;8.541754000000001;2.0;enero
ENVASADA;0.00746890353231;0.08513295130668;5.316;11.398319838829625;50.150510000000004;4.3998159999999995;2.0;enero
TOTAL CARNE;3.41153889056708;30.65651385945574;97.341;8.986124691182946;18059.28;2009.685;1.0;enero
CARNE CERTIFICADA;0.57700999796147;6.79076493470204;38.737;11.768886082898385;4000.335;339.90770000000003;2.0;enero
CARNE FRESCA;2.59226266868049;21.59956336311852;91.568;8.332320495173084;12723.97;1527.062;2.0;enero
SALCHICHAS FRESCAS;0.01825523892773;0.213580360823;7.165;11.699674908033193;125.81689999999999;10.753879999999999;3.0;enero
CARNE VACUNO;0.41087867979922;5.16629875306144;48.295;12.573781524964852;3043.387;242.04229999999998;3.0;enero
TERNERA;0.37470696483494;4.66646391892921;44.86;12.453635392084866;2748.942;220.7341;4.0;enero
AÑOJO;0.03067231804124;0.43148998102378;10.827;14.067733010710851;254.1841;18.06859;4.0;enero
MAYOR;0.00549945973235;0.06834425896626;2.259;12.427449657323779;40.26055;3.2396469999999997;4.0;enero
CARNE POLLO;0.99291783661753;5.6016403031564;75.845;5.641595000688992;3299.84;584.9126;3.0;enero
POLLO ENTERO;0.31343596843086;1.30326256820295;22.231;4.157986636720152;767.7319;184.6403;4.0;enero
POLLO FILETES;0.10936928367984;0.87944245335986;25.017;8.041036969157394;518.066;64.42776;4.0;enero
POLLO POR PIEZAS;0.57011268635977;3.41893511183867;73.949;5.996946206668204;2014.042;335.84459999999996;4.0;enero
CARNE CONEJO;0.12752119279605;1.02626822503753;25.277;8.04782485589538;604.5588;75.12077000000001;3.0;enero
CARNE OVINO/CAPRINO;0.05604142490476;0.98817844938591;9.601;17.633000072092504;582.1206999999999;33.01314;3.0;enero
CORDERO;0.05604142490476;0.98817844938591;9.601;17.633000072092504;582.1206999999999;33.01314;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.01329591723939;0.2253810428959;1.206;16.951146644332148;132.7685;7.83242;4.0;enero
OVINO/CAPRINO PIEZ;0.04274549068987;0.76279740649001;8.252;17.8450965044274;449.35220000000004;25.180709999999998;4.0;enero
CARNE CERDO;0.70928828342588;6.12606413547982;68.196;8.636917144451774;3608.77;417.8308;3.0;enero
CARNE CERDO ADOBAD;0.05425037483838;0.5121739787682;17.209;9.440929768577943;301.7138;31.95806;4.0;enero
CARN.CERDO IBERICO;0.00176413882107;0.01983076816496;0.782;11.241047432370404;11.682;1.0392270000000001;4.0;enero
