Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.53312771796862;124.49470976414472;99.409;2.6753995673510564;273823.957838;102348.808447;0.0;enero
T.HUEVOS KGS;0.74165799443234;2.33967081784393;72.523;3.154649225664566;5146.06544;1631.263913;1.0;enero
T.HUEVOS UNDS.;11.91071134227517;2.33967081784393;72.523;0.1964341801769338;5146.06544;26197.4033;1.0;enero
TOTAL HUEVOS GALLINA;11.52872001869616;2.29745614579499;71.052;0.19928111204619434;5053.215;25357.22;2.0;enero
OTRAS AVES;0.38199132357901;0.04221467204893;5.571;0.11051212277130479;92.85044;840.1833;2.0;enero
MIEL;0.02043499610851;0.14346828138966;5.495;7.020714886747376;315.556;44.946419999999996;1.0;enero
GRANEL;0.00934173757757;0.08796222938575;1.765;9.416045853918261;193.4714;20.54699;2.0;enero
ENVASADA;0.01109325853093;0.0555060520039;3.341;5.0035841001203725;122.08460000000001;24.39943;2.0;enero
TOTAL CARNE;3.24319580504197;25.98385089730282;97.747;8.011804546894005;57151.03;7133.353;1.0;enero
CARNE CERTIFICADA;0.43531740842778;4.19255358780204;48.769;9.631026709784328;9221.449;957.4730999999999;2.0;enero
CARNE FRESCA;2.31301525899746;16.8410646477073;91.458;7.281000236464845;37041.63;5087.437;2.0;enero
SALCHICHAS FRESCAS;0.04160313279362;0.34751467109132;14.959;8.353089004503232;764.3525;91.50537;3.0;enero
CARNE VACUNO;0.28295330795266;3.51780310501303;44.904;12.432450889040249;7737.347;622.3509;3.0;enero
TERNERA;0.21803122362837;2.65974633673935;37.213;12.19892404618523;5850.066;479.5559;4.0;enero
AÑOJO;0.05557506823276;0.73440678343289;16.559;13.214680733398565;1615.315;122.23639999999999;4.0;enero
MAYOR;0.00934700245195;0.12365043949315;2.42;13.228887028621154;271.967;20.55857;4.0;enero
CARNE POLLO;1.00164507788746;5.41055408616923;83.407;5.4016679217157995;11900.42;2203.101;3.0;enero
POLLO ENTERO;0.22234082792195;0.84155561537291;18.376;3.784980128203556;1850.987;489.03479999999996;4.0;enero
POLLO FILETES;0.12841060427951;0.93440881303016;35.234;7.276726235134289;2055.216;282.43690000000004;4.0;enero
POLLO POR PIEZAS;0.65089350929029;3.63458874846143;73.208;5.583999066797334;7994.215;1431.629;4.0;enero
CARNE CONEJO;0.02387451853344;0.20308852810108;6.607;8.506497327542359;446.6897;52.51159;3.0;enero
CARNE OVINO/CAPRINO;0.03306477958289;0.53896173448048;6.007;16.3001762382639;1185.437;72.72541;3.0;enero
CORDERO;0.03282088132219;0.53612561303354;5.783;16.334893867427926;1179.199;72.18896000000001;4.0;enero
CABRITO;0.00024389598743;0.00283588229979;0.205;11.627424992310488;6.237474;0.5364450000000001;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.00139371454402;0.01136391762977;0.135;8.15369092508737;24.99474;3.065451;4.0;enero
OVINO/CAPRINO PIEZ;0.03167106094699;0.52759769864108;5.87;16.658668287875603;1160.442;69.65995;4.0;enero
CARNE CERDO;0.7879862005789;5.81814083749137;78.541;7.38355675926428;12796.9;1733.162;3.0;enero
CARNE CERDO ADOBAD;0.12275872981155;1.03937076709911;29.875;8.466776812489515;2286.078;270.0057;4.0;enero
CARN.CERDO IBERICO;0.0082083074201;0.08817318808267;2.823;10.741945150196383;193.9354;18.054029999999997;4.0;enero
CARNE DESPOJOS;0.02741161390221;0.13991358188135;5.201;5.104171625225965;307.7375;60.29137;3.0;enero
DESPOJOS CERDO;0.01504578795083;0.08979425108669;2.557;5.968065705837649;197.5009;33.092949999999995;4.0;enero
DESPOJOS CORDERO;0.00053598694406;0.00284964371754;0.194;5.316628975972394;6.267742;1.178894;4.0;enero
DESPOJOS POLLO;0.00989238978829;0.03703914140931;2.609;3.74420561684041;81.46695;21.75814;4.0;enero
DESPOJOS TERNERA;0.00025506043088;0.00234373884715;0.259;9.188955099901783;5.155013;0.561001;4.0;enero
DESPOJOS OT.PROCED;0.00168238742418;0.00788680909391;0.631;4.687867360721136;17.3469;3.7003820000000003;4.0;enero
OTRAS CARNES FRESCA;0.15608020157266;1.21260332015357;36.351;7.769104011497959;2667.1;343.2957;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.07041187522447;0.5575033671911;21.83;7.917746337727779;1226.219;154.86970000000002;4.0;enero
OTRAS AVES;0.01242468979295;0.08585632510072;5.786;6.910138323888159;188.8395;27.32789;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.09684445436551;0.56673644740019;13.653;5.85202788443798;1246.527;213.0077;2.0;enero
C.CONG.POLLO;0.06467820879622;0.28085826985913;9.825;4.342394062643665;617.7429000000001;142.2586;3.0;enero
C.CONG.CERDO;0.02394627631605;0.22344104117771;3.589;9.33093054755492;491.4547;52.669419999999995;3.0;enero
C.CONG.VACA;0.00191046969308;0.01625349921155;0.883;8.507593326582652;35.74929;4.202045;3.0;enero
RESTO CARNES CONG.;0.00630947455427;0.0461835416748;1.835;7.319712802952676;101.5799;13.87758;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.83333595528328;8.57604843823823;92.831;10.291225746191298;18862.87;1832.908;2.0;enero
JAMON CURADO+PALETA;0.11543414383102;2.154234740639;47.098;18.66202380980514;4738.202;253.8954;3.0;enero
JAMON C.+P.ENTERO;0.02315498570209;0.35233721418202;9.325;15.21647297541145;774.9596;50.92899;4.0;enero
JAMON C.+P.LONCHA;0.09227915358239;1.80189779924839;43.598;19.52659652040929;3963.243;202.9664;4.0;enero
JAMON CURADO NORMAL;0.10648067482581;1.81296903896534;44.319;17.026273001472234;3987.594;234.20239999999998;3.0;enero
