Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.37216185802756;140.5197497783372;99.572;2.846133215361516;732260.6747999999;257282.642586;0.0;enero
T.HUEVOS KGS;0.76017395388815;2.41306125285384;85.5;3.1743540284581844;12574.6727;3961.33279;1.0;enero
T.HUEVOS UNDS.;12.0600308776286;2.41306125285384;85.5;0.20008748545827343;12574.6727;62845.873;1.0;enero
TOTAL HUEVOS GALLINA;11.84395639096048;2.38793354072547;85.305;0.20161620508396888;12443.73;61719.89;2.0;enero
OTRAS AVES;0.21607448666812;0.02512771212836;2.905;0.11629189783504724;130.9427;1125.983;2.0;enero
MIEL;0.02887140305271;0.20685280263129;6.473;7.164625919067553;1077.928;150.4514;1.0;enero
GRANEL;0.01248023627812;0.11791297514328;1.358;9.447976185350793;614.4548000000001;65.0356;2.0;enero
ENVASADA;0.01639117445052;0.08893984667786;5.122;5.426081391929178;463.4733;85.41584;2.0;enero
TOTAL CARNE;3.22102456405102;25.70127765573728;97.67;7.979224356927359;133931.6;16785.04;1.0;enero
CARNE CERTIFICADA;0.39459078421953;3.78117830289887;46.569;9.582530697917129;19704.05;2056.247;2.0;enero
CARNE FRESCA;2.39522376602063;16.8360297933722;92.981;7.029000810785694;87734.02;12481.72;2.0;enero
SALCHICHAS FRESCAS;0.01509593226951;0.1348365260199;6.098;8.931977410380211;702.6449;78.66622;3.0;enero
CARNE VACUNO;0.21174448815377;2.70695717705593;47.88;12.78407386495973;14106.19;1103.419;3.0;enero
TERNERA;0.1578234372962;1.96916872252048;38.111;12.477036087008806;10261.51;822.4317;4.0;enero
AÑOJO;0.04453907397554;0.59040443180135;12.057;13.255875776076381;3076.649;232.097;4.0;enero
MAYOR;0.00938193466434;0.14738427220218;4.547;15.709368853558841;768.0323000000001;48.890080000000005;4.0;enero
CARNE POLLO;1.11391111577048;5.96554587907821;84.491;5.355495420253423;31086.98;5804.688;3.0;enero
POLLO ENTERO;0.26633136935371;0.9810647502537;20.971;3.6836244736561476;5112.414;1387.876;4.0;enero
POLLO FILETES;0.12481727329732;0.95441810366155;37.243;7.646522620214789;4973.556;650.4336999999999;4.0;enero
POLLO POR PIEZAS;0.72276241554988;4.03006302516295;75.55;5.575916702996884;21001.01;3766.378;4.0;enero
CARNE CONEJO;0.05851443010941;0.47826238288224;13.256;8.173409225517982;2492.267;304.92379999999997;3.0;enero
CARNE OVINO/CAPRINO;0.03154345580547;0.50934342079106;11.54;16.147356330649846;2654.233;164.37570000000002;3.0;enero
CORDERO;0.02787876950745;0.45985854590653;10.963;16.494936972866633;2396.363;145.27870000000001;4.0;enero
CABRITO;0.00314577539203;0.04434938227498;1.017;14.098076546506995;231.1085;16.39291;4.0;enero
OTRO OVINO/CAPRINO;0.00051889612979;0.00513552715127;0.149;9.897023424073776;26.761680000000002;2.7040129999999998;4.0;enero
OVINO/CAPRINO ENTE;0.00246765394857;0.03941620828952;0.326;15.973150656808066;205.4013;12.85916;4.0;enero
OVINO/CAPRINO PIEZ;0.02907579418095;0.46992727007109;11.213;16.16214735688852;2448.832;151.5165;4.0;enero
