Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.82223707844949;160.82454117443066;99.019;3.509748790725617;357887.455;101969.53581;0.0;enero
T.HUEVOS KGS;0.8605972259118;2.7385877406432;79.922;3.1821944786559837;6094.25769;1915.111641;1.0;enero
T.HUEVOS UNDS.;13.51924015562095;2.7385877406432;79.922;0.2025696495601172;6094.25769;30084.7521;1.0;enero
TOTAL HUEVOS GALLINA;13.43342267325176;2.73013879076996;79.982;0.20323478663454406;6075.456;29893.78;2.0;enero
OTRAS AVES;0.08581748236919;0.00844894987323;0.969;0.09845254882781304;18.801689999999997;190.9721;2.0;enero
MIEL;0.01210964515673;0.09501567439103;4.51;7.846280643344167;211.4411;26.94794;1.0;enero
GRANEL;0.00398380171914;0.03806908744475;1.539;9.555969430365781;84.71623;8.865268;2.0;enero
ENVASADA;0.00812584253884;0.05694660042743;3.033;7.008085642219872;126.72489999999999;18.082669999999997;2.0;enero
TOTAL CARNE;3.56395811055881;33.01585176706329;96.826;9.263815887523581;73471.12;7930.978;1.0;enero
CARNE CERTIFICADA;0.54970892232442;6.61040793613305;52.079;12.025287688948511;14710.33;1223.283;2.0;enero
CARNE FRESCA;2.73433367681833;23.17062721971268;91.541;8.473957445703558;51562.26;6084.791;2.0;enero
SALCHICHAS FRESCAS;0.02842193701335;0.27866486467142;10.351;9.804569777930263;620.1209;63.24815;3.0;enero
CARNE VACUNO;0.53254471584309;7.16473505277124;59.663;13.453771748403282;15943.89;1185.087;3.0;enero
TERNERA;0.39639736364427;5.23871839492434;50.425;13.215825521043529;11657.87;882.1144;4.0;enero
AÑOJO;0.1018102663598;1.46209057132344;21.782;14.360934546191253;3253.632;226.5613;4.0;enero
MAYOR;0.03433719818197;0.46392473840795;7.779;13.510850126715136;1032.385;76.41155;4.0;enero
CARNE POLLO;1.05499249600105;6.37338676353438;79.765;6.041167863935205;14182.88;2347.705;3.0;enero
POLLO ENTERO;0.210408653734;0.86243756488685;18.918;4.098869269783721;1919.207;468.2284;4.0;enero
POLLO FILETES;0.11517364095194;0.92461984146191;28.213;8.028050809366553;2057.583;256.2992;4.0;enero
POLLO POR PIEZAS;0.72941047093821;4.58632935718561;69.264;6.2877207552098415;10206.09;1623.178;4.0;enero
CARNE CONEJO;0.05211621273476;0.42590594915231;11.234;8.172235218239681;947.7806999999999;115.9757;3.0;enero
CARNE OVINO/CAPRINO;0.06703639110043;1.11021175604484;7.959;16.56132941854697;2470.586;149.178;3.0;enero
CORDERO;0.0525170074714;0.99393904146708;6.663;18.926041092655275;2211.841;116.86760000000001;4.0;enero
CABRITO;0.00214001965711;0.02961770646991;0.443;13.839922624760959;65.90913;4.762247;4.0;enero
OTRO OVINO/CAPRINO;0.0123793626238;0.08665524627491;0.816;6.999976404949153;192.8364;27.54815;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.06703639110043;1.11021175604484;7.959;16.56132941854697;2470.586;149.178;4.0;enero
CARNE CERDO;0.70818259498336;5.55538623096294;70.13;7.844567587958671;12362.56;1575.939;3.0;enero
CARNE CERDO ADOBAD;0.11912636052023;1.02030503494491;30.535;8.564897227525346;2270.514;265.0953;4.0;enero
CARN.CERDO IBERICO;0.01487311565374;0.18011375739495;6.107;12.110021974422896;400.8123;33.09757;4.0;enero
CARNE DESPOJOS;0.04753652958696;0.31284440074626;10.244;6.581136727154477;696.1816;105.78439999999999;3.0;enero
DESPOJOS CERDO;0.01941268337812;0.10957725403505;4.228;5.644621709460273;243.84539999999998;43.1996;4.0;enero
DESPOJOS CORDERO;0.0018174439296;0.01799548595152;0.556;9.90153569989195;40.04587;4.04441;4.0;enero
DESPOJOS POLLO;0.00483000572661;0.01244319589248;1.873;2.5762279791781992;27.6902;10.74835;4.0;enero
DESPOJOS TERNERA;0.02147641902121;0.17282845138603;5.828;8.047358883028553;384.6001;47.792089999999995;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.27192487138019;2.22815944817138;45.507;8.194025933935329;4958.387;605.1221999999999;3.0;enero
AVESTRUZ;0.00232806873687;0.03980954948588;0.368;17.099817052385404;88.58933;5.180718;4.0;enero
PAVO;0.14112311167902;1.14185607105712;29.592;8.09120531337358;2541.005;314.0453;4.0;enero
OTRAS AVES;0.02234956646496;0.17588898811978;7.148;7.8699060402576615;391.4108;49.73513;2.0;enero
CARNE CABALLO;0.00206197590299;0.04767565510604;0.776;23.121344452546698;106.094;4.5885739999999995;4.0;enero
CARNE CONGELADA;0.03415517113413;0.16448186392233;3.558;4.815723606724059;366.0262;76.00648;2.0;enero
C.CONG.POLLO;0.02791564774552;0.1000614460026;2.124;3.5844214296856047;222.6696;62.12149;3.0;enero
C.CONG.CERDO;0.00202396309038;0.01981526661465;0.54;9.790330025668393;44.09548;4.503983;3.0;enero
C.CONG.VACA;0.00147310826989;0.02293533612866;1.047;15.569348565501883;51.03866;3.27815;3.0;enero
RESTO CARNES CONG.;0.00274245337644;0.02166978821409;0.845;7.901606787637272;48.2224;6.10286;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.795469028933;9.68074097581531;91.519;12.169852783332768;21542.83;1770.18;2.0;enero
JAMON CURADO+PALETA;0.1179357498523;2.75294036687922;46.63;23.342713047798824;6126.197;262.44579999999996;3.0;enero
JAMON C.+P.ENTERO;0.02584745433386;0.46789314105317;4.741;18.1020975996139;1041.216;57.51908;4.0;enero
JAMON C.+P.LONCHA;0.09208833146818;2.28504722582605;43.424;24.813645652984384;5084.981;204.9268;4.0;enero
JAMON CURADO NORMAL;0.05676846943336;1.09496232293813;35.674;19.288212873579592;2436.651;126.3285;3.0;enero
JAMON C.N.ENTER/PI;0.0051820166572;0.09813067499078;3.072;18.936773361059824;218.373;11.531690000000001;4.0;enero
JAMON C.N.LONCHA;0.05158649321962;0.99683164794735;34.139;19.323500895930117;2218.278;114.7969;4.0;enero
JAMON IBERICO;0.03694112370387;0.88380474610952;7.98;23.92468494445792;1966.756;82.20614;3.0;enero
JAMON IBE.ENTER/PI;0.0151115253853;0.28189885893218;2.123;18.654560128416374;627.3176;33.62811;4.0;enero
JAMON IBE.LONCHA;0.02182960281229;0.6019057074286;5.994;27.572911546040146;1339.438;48.57804;4.0;enero
PALETA CURADA NORM.;0.01017046190421;0.18613520512738;5.197;18.3015488264284;414.212;22.63262;3.0;enero
PALETA C.N.ENTR/PI;0.00555391678507;0.08786360713019;0.862;15.820115880442968;195.5254;12.359290000000001;4.0;enero
PALETA C.N.LONCHA;0.00461654961286;0.09827159799718;3.974;21.28680643296143;218.6866;10.273340000000001;4.0;enero
PALETA IBERICA;0.01405569481083;0.58803809270418;7.869;41.836287755119;1308.578;31.27854;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.01405569481083;0.58803809270418;7.869;41.836287755119;1308.578;31.27854;4.0;enero
HUESOS JAMON CURADO;0.00329657513015;0.01614141821764;1.99;4.896420551739424;35.919959999999996;7.335963;3.0;enero
LOMO EMBUCHADO N+IB;0.01674750398185;0.3584782001237;10.654;21.40487325825693;797.7318;37.268699999999995;3.0;enero
LOMO EMB.AL CORTE;0.0097327512716;0.20880223931025;3.34;21.453567802491115;464.6536;21.65857;4.0;enero
LOMO EMB.ENVASADO;0.00701475271024;0.14967591587626;7.24;21.337304686123687;333.07809999999995;15.61013;4.0;enero
LOMO EMB.NORMAL;0.01401681965367;0.26473087772747;9.507;18.886657905881727;589.1132;31.19203;4.0;enero
LOMO E.N.AL CORTE;0.00889470426162;0.17604577395184;3.066;19.792200929187356;391.7597;19.79364;5.0;enero
LOMO E.N.ENVASADO;0.00512211539205;0.08868510377562;6.676;17.314155771122063;197.3535;11.39839;5.0;enero
LOMO EMB.IBERICO;0.00273068163194;0.09374732239623;1.824;34.33110667300348;208.61860000000001;6.076664;4.0;enero
LOMO E.I.AL CORTE;0.00083804745935;0.03275647434584;1.2;39.086657897798894;72.89392;1.8649310000000001;5.0;enero
LOMO E.I.ENVASADO;0.00189263417258;0.06099085703782;0.609;32.225380858663165;135.7247;4.211733000000001;5.0;enero
OTRAS SALAZONES;0.02495801266749;0.1991623147779;8.618;7.97989477091915;443.2016;55.53978;3.0;enero
O.SALAZONES AL COR;0.00934990444592;0.07945559053711;2.824;8.49801096862968;176.8148;20.80661;4.0;enero
O.SALAZONES ENVASA;0.01560810372785;0.11970672424079;6.941;7.669523878622042;266.3868;34.733160000000005;4.0;enero
TOCINO Y MANTECA;0.02101431199186;0.15574306472397;14.29;7.4112854508032395;346.5795;46.76375;3.0;enero
TOCINO;0.00510662105129;0.04361506832328;5.194;8.540886015464748;97.05786;11.36391;4.0;enero
CHORIZOS;0.11374796387887;1.36588051154109;40.501;12.00795570279852;3039.533;253.1266;3.0;enero
CHOR.IBERICO;0.00832310329178;0.1513456018539;6.975;18.183794739558703;336.7937;18.521639999999998;4.0;enero
CHOR.NORMAL;0.10542487856196;1.21453477487563;37.305;11.520381066047186;2702.739;234.605;4.0;enero
CHORIZO DE PAVO;0.00015382312357;0.00244011151439;0.28;15.86309949840348;5.4300500000000005;0.34230700000000003;4.0;enero
CHORIZO DE CERDO;0.1135941439009;1.36344042249528;40.18;12.002735138218632;3034.103;252.7843;4.0;enero
SALCHICHON/SALAMI;0.0120762478422;0.16400126074839;12.253;13.580481527981718;364.9567;26.87362;3.0;enero
SALCHICHON DE PAVO;0.0002739316761;0.0041822506112;0.117;15.26749542313825;9.306882;0.609588;4.0;enero
