Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;43.72128442041433;130.10607180029788;99.622;2.975806258325494;1132654.7696;380621.13970999996;0.0;enero
T.HUEVOS KGS;0.71628837664246;2.27311794188954;78.074;3.1734675809547332;19788.9141;6235.73854;1.0;enero
T.HUEVOS UNDS.;11.4262483587897;2.27311794188954;78.074;0.19893825781766206;19788.9141;99472.642;1.0;enero
TOTAL HUEVOS GALLINA;11.14862764915859;2.24609241763544;77.658;0.20146806300459386;19553.64;97055.78;2.0;enero
OTRAS AVES;0.2776207096311;0.0270255242541;3.141;0.09734693168248745;235.2741;2416.862;2.0;enero
MIEL;0.04909634436494;0.34611664740208;12.966;7.0497437615578695;3013.162;427.4144;1.0;enero
GRANEL;0.0127242892254;0.11735526298784;2.822;9.222932684799261;1021.651;110.77289999999999;2.0;enero
ENVASADA;0.03637205513953;0.22876138441423;10.143;6.289481953565783;1991.511;316.6415;2.0;enero
TOTAL CARNE;3.14593698023119;24.2388549575369;97.589;7.7048126233461804;211014.4;27387.35;1.0;enero
CARNE CERTIFICADA;0.42947929362529;3.67434586538697;44.056;8.555350443955767;31987.48;3738.886;2.0;enero
CARNE FRESCA;2.17200928816032;14.95969430101633;89.732;6.887490943322386;130233.5;18908.7;2.0;enero
SALCHICHAS FRESCAS;0.01057935668125;0.09217043352699;4.432;8.71229095530159;802.4013;92.09992;3.0;enero
CARNE VACUNO;0.19673163631408;2.33610432740688;40.556;11.874573765437866;20337.25;1712.672;3.0;enero
TERNERA;0.14240171066732;1.67522363236619;34.023;11.764069578348241;14583.87;1239.696;4.0;enero
AÑOJO;0.0437522827998;0.53314547746498;12.532;12.185546521183225;4641.365;380.891;4.0;enero
MAYOR;0.01057761642725;0.12773452836619;3.609;12.07592743077927;1112.009;92.08477;4.0;enero
CARNE POLLO;0.97844959561991;5.27113975367927;76.626;5.3872368870873215;45888.57;8518.016;3.0;enero
POLLO ENTERO;0.20251272562506;0.74756774330151;19.598;3.691460578559274;6508.045;1763.0;4.0;enero
POLLO FILETES;0.14872026852237;1.09376296058693;30.798;7.354498290341492;9521.891;1294.703;4.0;enero
POLLO POR PIEZAS;0.62721660147247;3.42980973900032;69.289;5.468301908700106;29858.64;5460.313;4.0;enero
CARNE CONEJO;0.02920344925716;0.24213894086704;6.436;8.29145005217628;2107.971;254.2343;3.0;enero
CARNE OVINO/CAPRINO;0.02479872281045;0.36525507635377;4.986;14.72878579858853;3179.774;215.8884;3.0;enero
CORDERO;0.02222140090041;0.33382206881495;4.462;15.02254832226422;2906.13;193.4512;4.0;enero
CABRITO;0.00257731961267;0.03143311092024;0.527;12.196046918552153;273.6449;22.43718;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.02479872281045;0.36525507635377;4.986;14.72878579858853;3179.774;215.8884;4.0;enero
CARNE CERDO;0.72292804409704;5.25072077347103;70.083;7.2631305651301865;45710.81;6293.541;3.0;enero
CARNE CERDO ADOBAD;0.0533740265266;0.40765857615625;15.172;7.637770703940542;3548.923;464.6543;4.0;enero
CARN.CERDO IBERICO;0.0332637202811;0.33405295399845;6.003;10.042561420532733;2908.14;289.5815;4.0;enero
CARNE DESPOJOS;0.04318475323457;0.24753947166412;9.487;5.732103418989159;2154.986;375.95029999999997;3.0;enero
DESPOJOS CERDO;0.02553537290088;0.145742653733;5.159;5.707480924546584;1268.781;222.3014;4.0;enero
DESPOJOS CORDERO;0.00042992165125;0.00279460784135;0.28;6.500272394239831;24.32881;3.742737;4.0;enero
DESPOJOS POLLO;0.00667409002321;0.02909034997772;2.774;4.358699070068516;253.24970000000002;58.102129999999995;4.0;enero
DESPOJOS TERNERA;0.0078635633926;0.05203453637074;1.688;6.617170075802063;452.9932;68.45724;4.0;enero
DESPOJOS OT.PROCED;0.00268180607068;0.01787732488997;1.183;6.666151249850087;155.6333;23.346799999999998;4.0;enero
OTRAS CARNES FRESCA;0.17671274222233;1.24679147771242;37.703;7.055470149083948;10854.1;1538.395;3.0;enero
AVESTRUZ;0.00017902791181;0.00125389378164;0.09;7.003901061884444;10.91593;1.5585499999999999;4.0;enero
PAVO;0.07658640731088;0.52280572676481;18.888;6.826351373849127;4551.351;666.7325999999999;4.0;enero
OTRAS AVES;0.01895306605587;0.13625476597851;7.163;7.189061947910979;1186.183;164.9983;2.0;enero
CARNE CABALLO;0.00087249270912;0.01199669075311;0.253;13.749903727094454;104.4387;7.595595;4.0;enero
CARNE CONGELADA;0.103639637787;0.58263060491056;15.332;5.621696653436377;5072.164;902.2479000000001;2.0;enero
C.CONG.POLLO;0.07546924465385;0.30275491665396;9.825;4.011633057182039;2635.671;657.007;3.0;enero
C.CONG.CERDO;0.01321351310427;0.11169097171397;3.928;8.452783966882231;972.3398000000001;115.0319;3.0;enero
C.CONG.VACA;0.00202156059707;0.02256814220136;1.087;11.163722835737358;196.4698;17.598950000000002;3.0;enero
RESTO CARNES CONG.;0.01293532517521;0.14561664326221;3.397;11.257285092544985;1267.684;112.6101;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.87028861713829;8.6965316597655;93.025;9.992698385923564;75708.75;7576.407;2.0;enero
JAMON CURADO+PALETA;0.13999809252568;2.30161168914784;49.604;16.440307490086326;20036.97;1218.771;3.0;enero
JAMON C.+P.ENTERO;0.04861008408694;0.53256458872222;5.401;10.955845864608353;4636.308;423.1812;4.0;enero
JAMON C.+P.LONCHA;0.09138804289921;1.76904687068911;47.746;19.35753096977954;15400.66;795.5901;4.0;enero
JAMON CURADO NORMAL;0.10741184221235;1.47621094233375;42.293;13.743465449696515;12851.34;935.0873;3.0;enero
JAMON C.N.ENTER/PI;0.03546882311223;0.36730685304414;4.392;10.355766580747416;3197.636;308.7783;4.0;enero
JAMON C.N.LONCHA;0.07194300761329;1.10890454876261;40.718;15.413652911526565;9653.708;626.3089;4.0;enero
JAMON IBERICO;0.01982771886245;0.50925793556477;7.062;25.684141433393947;4433.409;172.61270000000002;3.0;enero
JAMON IBE.ENTER/PI;0.00969134584582;0.12689817263433;0.958;13.093968026020862;1104.728;84.36923;4.0;enero
JAMON IBE.LONCHA;0.01013637071926;0.38235976293043;6.433;37.721564603378496;3328.681;88.24345;4.0;enero
PALETA CURADA NORM.;0.00601023653784;0.09185305255087;3.526;15.28276831909259;799.6383000000001;52.32287;3.0;enero
PALETA C.N.ENTR/PI;0.00132221511967;0.00960718762209;0.086;7.265979248890815;83.63658;11.51071;4.0;enero
PALETA C.N.LONCHA;0.00468802141817;0.08224586263141;3.447;17.54383252442409;716.0016999999999;40.812160000000006;4.0;enero
PALETA IBERICA;0.00674833511691;0.22428898908116;3.207;33.2361960683919;1952.576;58.74848;3.0;enero
PALETA IB.ENTER/PI;0.00212769541448;0.02875240758476;0.231;13.513403934152931;250.3077;18.52292;4.0;enero
PALETA IBE.LONCHA;0.00462064085111;0.19553666190417;2.99;42.31808275184168;1702.269;40.22557;4.0;enero
HUESOS JAMON CURADO;0.00619136194391;0.03036492808523;2.892;4.904402029845075;264.3457;53.899680000000004;3.0;enero
LOMO EMBUCHADO N+IB;0.01503747159342;0.33432702964413;14.168;22.232928425963973;2910.526;130.91060000000002;3.0;enero
LOMO EMB.AL CORTE;0.00385048139465;0.07942773092103;3.077;20.62800018495951;691.4680999999999;33.520849999999996;4.0;enero
LOMO EMB.ENVASADO;0.01118698560404;0.25489931020992;11.452;22.785343543994532;2219.058;97.38971000000001;4.0;enero
LOMO EMB.NORMAL;0.0118965371255;0.2027876053485;12.766;17.04593557008617;1765.393;103.5668;4.0;enero
LOMO E.N.AL CORTE;0.00335627338239;0.05994307757551;2.47;17.860010418071315;521.842;29.21846;5.0;enero
LOMO E.N.ENVASADO;0.00854026029706;0.14284452777298;10.528;16.726015695582053;1243.551;74.34831;5.0;enero
LOMO EMB.IBERICO;0.00314093331923;0.13153942429563;1.844;41.87908845116203;1145.133;27.343790000000002;4.0;enero
LOMO E.I.AL CORTE;0.00049420812712;0.01948465334551;0.809;39.426007538598896;169.6261;4.302390999999999;5.0;enero
LOMO E.I.ENVASADO;0.0026467241583;0.11205475946329;1.189;42.33715066669155;975.5068;23.04139;5.0;enero
OTRAS SALAZONES;0.02893675963998;0.20361167017756;10.391;7.036436446608864;1772.567;251.9126;3.0;enero
O.SALAZONES AL COR;0.01679505920744;0.11542157085899;4.489;6.872352721913119;1004.817;146.2115;4.0;enero
O.SALAZONES ENVASA;0.01214170043253;0.08819013377904;6.201;7.263408800854484;767.7503;105.70110000000001;4.0;enero
TOCINO Y MANTECA;0.03595114340924;0.2689765291765;21.905;7.481723908323033;2341.609;312.97720000000004;3.0;enero
TOCINO;0.00339620847836;0.02689707857639;2.477;7.919737185670626;234.1559;29.566119999999998;4.0;enero
CHORIZOS;0.05860881392505;0.59139011308866;33.244;10.090463762753162;5148.421;510.2264;3.0;enero
CHOR.IBERICO;0.00666720137422;0.08620120150852;5.574;12.929143229679944;750.4354000000001;58.04216;4.0;enero
CHOR.NORMAL;0.05194160795609;0.50518884265918;29.931;9.726091712182777;4397.985;452.18420000000003;4.0;enero
CHORIZO DE PAVO;0.00149767062889;0.02365593304674;1.924;15.795150542714618;205.93970000000002;13.03816;4.0;enero
CHORIZO DE CERDO;0.0570524754859;0.56726467904166;31.894;9.942858293359373;4938.394;496.6775;4.0;enero
SALCHICHON/SALAMI;0.04391914042047;0.5579922841251;30.666;12.704991008088012;4857.672;382.3436;3.0;enero
