Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.38292518788695;150.51301770138977;99.833;3.110870562639563;200492.33885;64448.949196999994;0.0;enero
T.HUEVOS KGS;0.84793569472248;2.48507779697712;80.615;2.9307385128897674;3310.27221;1129.501044;1.0;enero
T.HUEVOS UNDS.;13.67900489741177;2.48507779697712;80.615;0.1816709486994429;3310.27221;18221.252399999998;1.0;enero
TOTAL HUEVOS GALLINA;13.16936381015491;2.43125272808527;80.466;0.18461428836908103;3238.574;17542.38;2.0;enero
OTRAS AVES;0.50964108725686;0.05382506889184;8.4;0.10561367644346714;71.69821;678.8724;2.0;enero
MIEL;0.05547814784178;0.43622381223199;13.013;7.862984421830465;581.0762;73.90021;1.0;enero
GRANEL;0.02588015210869;0.28723387845239;6.8;11.098616315932832;382.6127;34.473910000000004;2.0;enero
ENVASADA;0.02959799573309;0.1489899337796;6.562;5.033784554979797;198.4635;39.426300000000005;2.0;enero
TOTAL CARNE;3.85152005637936;31.67673875906619;98.236;8.224477166255234;42195.31;5130.455;1.0;enero
CARNE CERTIFICADA;0.54977847476388;5.65563126584714;55.436;10.287109309392468;7533.639;732.3378;2.0;enero
CARNE FRESCA;2.99068332213855;22.82246653889041;92.066;7.631187952915945;30400.89;3983.769;2.0;enero
SALCHICHAS FRESCAS;0.0581585305281;0.5252662867757;14.091;9.031629272715444;699.6861;77.47064;3.0;enero
CARNE VACUNO;0.31280743020961;3.86005645998511;54.774;12.34004082766989;5141.826;416.6782;3.0;enero
TERNERA;0.27407095579454;3.3588364661947;49.093;12.255353568776503;4474.171;365.07890000000003;4.0;enero
AÑOJO;0.03454685016609;0.47159542267365;10.673;13.650894955873152;628.1933;46.01847;4.0;enero
MAYOR;0.00418960022602;0.02962490143226;1.662;7.071056863194117;39.46214;5.580798;4.0;enero
CARNE POLLO;1.23093048187806;6.7155956983047;77.026;5.455706717132014;8945.575;1639.673;3.0;enero
POLLO ENTERO;0.28883080376679;1.28048005950445;22.47;4.433322356220397;1705.676;384.73990000000003;4.0;enero
POLLO FILETES;0.1936779428447;1.38923643892259;38.488;7.172920253683661;1850.546;257.99060000000003;4.0;enero
POLLO POR PIEZAS;0.74842203555337;4.0458799505947;61.593;5.4058803167162335;5389.354;996.9429;4.0;enero
CARNE CONEJO;0.10790356484632;0.82787049630756;13.333;7.672318310211918;1102.773;143.734;3.0;enero
CARNE OVINO/CAPRINO;0.14561771277907;2.0521751494789;23.441;14.092895090258105;2733.62;193.9715;3.0;enero
CORDERO;0.14260726232622;2.01833883048163;22.118;14.153127951257465;2688.548;189.9614;4.0;enero
CABRITO;0.00159318073774;0.02035761471839;0.59;12.777969401737431;27.11756;2.122212;4.0;enero
OTRO OVINO/CAPRINO;0.00141725620219;0.01347857665697;0.796;9.51033174953784;17.95427;1.88787;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.14561771277907;2.0521751494789;23.441;14.092895090258105;2733.62;193.9715;4.0;enero
CARNE CERDO;0.82518818427843;6.49910166250888;75.616;7.875902474526928;8657.192;1099.2;3.0;enero
CARNE CERDO ADOBAD;0.06317784726366;0.4975287931142;20.258;7.875051377389339;662.7381;84.15666999999999;4.0;enero
CARN.CERDO IBERICO;0.01276967454415;0.14419983348172;1.896;11.292365595001048;192.0828;17.009970000000003;4.0;enero
CARNE DESPOJOS;0.07553887648737;0.45803206753992;17.75;6.063527667326228;610.1261;100.62230000000001;3.0;enero
DESPOJOS CERDO;0.02297995196219;0.16461836138177;5.328;7.16356420816663;219.2815;30.61067;4.0;enero
DESPOJOS CORDERO;0.00600412237957;0.05671138828003;2.221;9.445408453521884;75.54296000000001;7.997850000000001;4.0;enero
DESPOJOS POLLO;0.02674798102156;0.08867214582163;9.113;3.3150967824504747;118.1166;35.62991;4.0;enero
DESPOJOS TERNERA;0.01548530339608;0.11816113743868;3.93;7.630534217919414;157.39770000000001;20.62735;4.0;enero
DESPOJOS OT.PROCED;0.00432152373368;0.02986898206759;2.149;6.911678358899669;39.78727;5.756528;4.0;enero
OTRAS CARNES FRESCA;0.29269699658797;2.40963207696881;46.097;8.232513845575378;3209.774;389.8899;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.15019956416654;1.18527187073558;32.786;7.891313648695389;1578.853;200.07479999999998;4.0;enero
OTRAS AVES;0.02225057028817;0.19733588675547;6.046;8.868801302604096;262.8632;29.63909;2.0;enero
CARNE CABALLO;0.00644289397534;0.06664095007058;1.357;10.34332558096179;88.76973;8.58232;4.0;enero
CARNE CONGELADA;0.05300661463952;0.28314419716464;10.148;5.341676677338738;377.165;70.60798;2.0;enero
C.CONG.POLLO;0.03424955870607;0.13230614814481;6.492;3.8630030033452822;176.2397;45.62246;3.0;enero
C.CONG.CERDO;0.01115205946777;0.08063099025553;3.712;7.230143498476292;107.4053;14.85521;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00760499646568;0.0702070587643;2.052;9.231701695209722;93.52;10.13031;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.80783010458694;8.5711317765964;93.999;10.610067299954093;11417.26;1076.078;2.0;enero
JAMON CURADO+PALETA;0.15700278731282;2.48947533982099;52.569;15.856249321617256;3316.13;209.1371;3.0;enero
JAMON C.+P.ENTERO;0.07112165734955;0.85413808597996;8.66;12.009535742144411;1137.763;94.73830000000001;4.0;enero
JAMON C.+P.LONCHA;0.08588112996327;1.63533725384102;48.896;19.041869320307555;2178.367;114.39880000000001;4.0;enero
JAMON CURADO NORMAL;0.1191352678862;1.85204374256274;47.772;15.54572189598558;2467.033;158.69529999999997;3.0;enero
JAMON C.N.ENTER/PI;0.04407741335032;0.52449755251378;7.229;11.899463072959913;698.6621;58.71375;4.0;enero
JAMON C.N.LONCHA;0.07505789207173;1.32754626512066;44.734;17.686964401449867;1768.371;99.9816;4.0;enero
JAMON IBERICO;0.03146141058685;0.50255281684569;4.639;15.973626340062918;669.4304000000001;41.908480000000004;3.0;enero
JAMON IBE.ENTER/PI;0.02683729382931;0.32156184204744;0.862;11.98190264981728;428.33959999999996;35.74888;4.0;enero
JAMON IBE.LONCHA;0.00462411375466;0.18099097479824;3.816;39.14068390199617;241.0908;6.159596;4.0;enero
PALETA CURADA NORM.;0.00581396349798;0.10885780129195;4.79;18.723509586809918;145.0051;7.744547;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00581396349798;0.10885780129195;4.79;18.723509586809918;145.0051;7.744547;4.0;enero
PALETA IBERICA;0.00059208153082;0.02602106920664;0.627;43.9484561702473;34.66162;0.788688;3.0;enero
PALETA IB.ENTER/PI;0.00020694866847;0.00807863136137;0.463;39.03688494856131;10.76122;0.275668;4.0;enero
PALETA IBE.LONCHA;0.00038513286235;0.01794243784527;0.324;46.5876574012709;23.9004;0.51302;4.0;enero
HUESOS JAMON CURADO;0.00177834660022;0.01417114316672;2.603;7.968718339254598;18.876810000000003;2.368864;3.0;enero
LOMO EMBUCHADO N+IB;0.01188285248984;0.24141423850211;11.868;20.31618575660495;321.57820000000004;15.82867;3.0;enero
LOMO EMB.AL CORTE;0.00760851732865;0.15523304693289;6.449;20.402535767143565;206.77970000000002;10.135;4.0;enero
LOMO EMB.ENVASADO;0.00427433666262;0.08618119156922;6.656;20.162471600050022;114.7985;5.693671999999999;4.0;enero
LOMO EMB.NORMAL;0.01001162267157;0.19697749443453;11.226;19.67488197431329;262.38579999999996;13.336079999999999;4.0;enero
LOMO E.N.AL CORTE;0.00573728976253;0.11079630286531;5.287;19.31161008964054;147.5873;7.6424129999999995;5.0;enero
LOMO E.N.ENVASADO;0.00427433666262;0.08618119156922;6.656;20.162471600050022;114.7985;5.693671999999999;5.0;enero
LOMO EMB.IBERICO;0.00187122606469;0.04443672154606;1.158;23.74738273719853;59.192370000000004;2.492585;4.0;enero
LOMO E.I.AL CORTE;0.00187122606469;0.04443672154606;1.158;23.74738273719853;59.192370000000004;2.492585;5.0;enero
LOMO E.I.ENVASADO;0.0;0.0;0.0;;0.0;0.0;5.0;enero
OTRAS SALAZONES;0.04097531535968;0.30346280462498;11.836;7.405990703455397;404.2306;54.58157;3.0;enero
