Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.07419699651651;146.8852199659408;99.712;3.1202915681559116;80635.018987;25842.142385000003;0.0;enero
T.HUEVOS KGS;0.92496282636994;2.85085023424551;89.781;3.0821241167429205;1565.02038;507.773315;1.0;enero
T.HUEVOS UNDS.;14.6767125284244;2.85085023424551;89.781;0.19424310646708298;1565.02038;8057.0189;1.0;enero
TOTAL HUEVOS GALLINA;14.41103150158711;2.80679036204194;89.952;0.19476679110255388;1540.833;7911.169;2.0;enero
OTRAS AVES;0.26568102683728;0.04405987220357;5.517;0.16583748086217406;24.18738;145.8499;2.0;enero
MIEL;0.02447633450337;0.18211159912291;7.234;7.440313380983993;99.97311;13.43668;1.0;enero
GRANEL;0.02041606620858;0.14291249989219;5.082;7.0000017844826745;78.45413;11.20773;2.0;enero
ENVASADA;0.00406025918676;0.03919909923072;2.219;9.654334225384655;21.51898;2.228945;2.0;enero
TOTAL CARNE;3.16054074766936;25.67130792197545;97.273;8.122441686887258;14092.68;1735.03;1.0;enero
CARNE CERTIFICADA;0.67237638565307;6.6738755379101;51.554;9.925802988199512;3663.732;369.11190000000005;2.0;enero
CARNE FRESCA;2.30338230697579;17.18058277582964;93.146;7.458849850412699;9431.559;1264.479;2.0;enero
SALCHICHAS FRESCAS;0.01788101207328;0.14055428542839;6.422;7.860532997367277;77.15955;9.816070999999999;3.0;enero
CARNE VACUNO;0.42890109809536;4.43282129570682;49.445;10.335299479045004;2433.469;235.4522;3.0;enero
TERNERA;0.23935991568683;2.58613560572839;44.284;10.804380500835233;1419.701;131.4005;4.0;enero
AÑOJO;0.14994741406061;1.41551796775995;14.351;9.440095893802498;777.0715;82.31606;4.0;enero
MAYOR;0.03959375013185;0.43116626493381;12.518;10.889755668457736;236.69570000000002;21.73563;4.0;enero
CARNE POLLO;0.94267427244377;4.97142277523536;77.217;5.273743986188887;2729.143;517.4963;3.0;enero
POLLO ENTERO;0.29185076254401;1.17311797411839;23.188;4.019581665274797;644.0020999999999;160.21620000000001;4.0;enero
POLLO FILETES;0.14006323514722;1.02193981030085;43.214;7.296274495064247;561.0104;76.88998;4.0;enero
POLLO POR PIEZAS;0.510760420481;2.77636590161902;62.679;5.435749894254507;1524.131;280.3902;4.0;enero
CARNE CONEJO;0.01633438858057;0.14776966608551;4.982;9.04653794395846;81.12055000000001;8.967027;3.0;enero
CARNE OVINO/CAPRINO;0.0780959211915;0.80135463932967;12.153;10.261158676451448;439.91659999999996;42.87202;3.0;enero
CORDERO;0.0780959211915;0.80135463932967;12.153;10.261158676451448;439.91659999999996;42.87202;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.02808653864796;0.46348282732304;2.852;16.50195608409605;254.4364;15.41856;4.0;enero
