Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.6242438201809;123.89084552061702;99.44;2.7154607977484235;146205.42346000002;53841.846504;0.0;enero
T.HUEVOS KGS;0.58644164570834;1.81679693779208;58.524;3.0980012266994157;2144.029;692.06848;1.0;enero
T.HUEVOS UNDS.;9.16315071419292;1.81679693779208;58.524;0.1982720785087626;2144.029;10813.57;1.0;enero
TOTAL HUEVOS GALLINA;9.16315071419292;1.81679693779208;58.524;0.1982720785087626;2144.029;10813.57;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.01220520215228;0.07064576111208;3.055;5.788168047577192;83.37011;14.403540000000001;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01220520215228;0.07064576111208;3.055;5.788168047577192;83.37011;14.403540000000001;2.0;enero
TOTAL CARNE;2.89021282355476;20.93343756061338;95.769;7.242870625308031;24703.86;3410.783;1.0;enero
CARNE CERTIFICADA;0.33666325652349;2.52537459685012;45.232;7.501188644487194;2980.232;397.30129999999997;2.0;enero
CARNE FRESCA;2.05555336561666;13.27849601602526;87.867;6.459815754791533;15670.15;2425.789;2.0;enero
SALCHICHAS FRESCAS;0.01856099892914;0.16528162844456;5.536;8.9047808835876;195.0513;21.90411;3.0;enero
CARNE VACUNO;0.15165329358971;1.66783770407951;29.914;10.997701827642102;1968.24;178.9683;3.0;enero
TERNERA;0.11930169593446;1.33458453945158;22.989;11.186635101857592;1574.963;140.7897;4.0;enero
AÑOJO;0.03062553680325;0.31726166989972;11.918;10.359383149358152;374.40520000000004;36.14165;4.0;enero
MAYOR;0.00172606085199;0.01599218957584;0.985;9.265136601291145;18.872619999999998;2.03695;4.0;enero
CARNE POLLO;0.95257679705776;4.87660088569213;77.763;5.119378196859849;5754.949;1124.15;3.0;enero
POLLO ENTERO;0.19420076349976;0.82236955216385;18.681;4.234636040268925;970.4905;229.1792;4.0;enero
POLLO FILETES;0.12343442937477;0.88055583925646;31.659;7.133794385542896;1039.157;145.6668;4.0;enero
POLLO POR PIEZAS;0.63494151944571;3.17367507058422;72.796;4.998373824025205;3745.301;749.3039;4.0;enero
CARNE CONEJO;0.01243789137389;0.10458177238595;3.631;8.408320127754607;123.4185;14.678139999999999;3.0;enero
CARNE OVINO/CAPRINO;0.02322404517193;0.33494266124134;7.754;14.422236038623652;395.2708;27.407040000000002;3.0;enero
CORDERO;0.02322404517193;0.33494266124134;7.754;14.422236038623652;395.2708;27.407040000000002;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.02322404517193;0.33494266124134;7.754;14.422236038623652;395.2708;27.407040000000002;4.0;enero
CARNE CERDO;0.743661109523;5.15517038849154;69.011;6.932150037801724;6083.693;877.6055;3.0;enero
CARNE CERDO ADOBAD;0.07214390346467;0.58040267403369;20.062;8.04506889924357;684.9418000000001;85.13808999999999;4.0;enero
CARN.CERDO IBERICO;0.04851677039824;0.41453262827127;5.976;8.544110106023261;489.1961;57.25536;4.0;enero
CARNE DESPOJOS;0.04264254540409;0.13237025475218;9.216;3.104182770934223;156.2121;50.3231;3.0;enero
DESPOJOS CERDO;0.00861439902802;0.0481094117329;3.266;5.584767036724448;56.774629999999995;10.16598;4.0;enero
DESPOJOS CORDERO;0.00155064995498;0.02386047476691;0.775;15.38740235362265;28.158099999999997;1.829945;4.0;enero
DESPOJOS POLLO;0.03037323084646;0.04456107057839;4.566;1.4671165805060273;52.587180000000004;35.843900000000005;4.0;enero
DESPOJOS TERNERA;0.00210425879562;0.01583927225271;1.161;7.5272453586344135;18.69216;2.4832669999999997;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.12935817497384;1.00698929883197;34.433;7.784504528110313;1188.363;152.6575;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.04381369415243;0.36756711370125;16.815;8.389320298407181;433.7714;51.70519;4.0;enero
OTRAS AVES;0.0148994230307;0.11037019217041;6.669;7.40768229366611;130.2495;17.583029999999997;2.0;enero
