Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.70707947212377;152.50425971274927;99.932;3.131049148615677;419197.32106;133883.97983;0.0;enero
T.HUEVOS KGS;0.73541543647858;2.63241958882261;62.707;3.5795000461610007;7235.8847000000005;2021.479147;1.0;enero
T.HUEVOS UNDS.;11.66604604290777;2.63241958882261;62.707;0.22564796839825316;7235.8847000000005;32067.1387;1.0;enero
TOTAL HUEVOS GALLINA;11.45842548239834;2.59464154661083;61.48;0.2264396230177125;7132.042;31496.44;2.0;enero
OTRAS AVES;0.20762056050942;0.03777804221178;3.909;0.1819571342987114;103.8427;570.6986999999999;2.0;enero
MIEL;0.02202339657573;0.2133233540471;6.124;9.686214990206816;586.3743000000001;60.536989999999996;1.0;enero
GRANEL;0.01265268116651;0.12176906308737;3.697;9.623973091932065;334.7137;34.779160000000005;2.0;enero
ENVASADA;0.00937071540921;0.09155429095972;2.423;9.770256267705781;251.66060000000002;25.757830000000002;2.0;enero
TOTAL CARNE;3.52113849391127;29.59564889802539;96.172;8.405136278849001;81351.28;9678.758;1.0;enero
CARNE CERTIFICADA;0.91220540239408;9.70115918158375;55.985;10.63484074543198;26666.14;2507.432;2.0;enero
CARNE FRESCA;2.75626544432554;21.84606194675648;89.919;7.925964457353695;60049.54;7576.307;2.0;enero
SALCHICHAS FRESCAS;0.0055664337764;0.06381605540665;3.139;11.464441682058037;175.4149;15.300780000000001;3.0;enero
CARNE VACUNO;0.64464639213269;8.21993390328724;54.452;12.751074082790014;22594.61;1771.977;3.0;enero
TERNERA;0.61873905613287;7.88811496444079;53.046;12.748694116291269;21682.52;1700.764;4.0;enero
AÑOJO;0.01568360992028;0.21056694562912;2.857;13.425923413000792;578.7976;43.11045;4.0;enero
MAYOR;0.01022346414305;0.12125246615816;2.992;11.860213374004468;333.2937;28.101830000000003;4.0;enero
CARNE POLLO;0.91112891625779;4.6739616491072;74.165;5.129857658677095;12847.59;2504.473;3.0;enero
