Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;57.76650697868218;174.20530915788706;99.524;3.0156801625927416;168166.449588;55764.020228;0.0;enero
T.HUEVOS KGS;0.85898754151843;2.76591738977357;84.472;3.2199738134551397;2670.036347;829.2105779999999;1.0;enero
T.HUEVOS UNDS.;13.47770494862542;2.76591738977357;84.472;0.20522169021482153;2670.036347;13010.49779;1.0;enero
TOTAL HUEVOS GALLINA;13.41130540608502;2.75983002307015;84.522;0.20578384724711116;2664.16;12946.4;2.0;enero
OTRAS AVES;0.0663995425404;0.00608736670341;0.841;0.09167784099888623;5.876347;64.09779;2.0;enero
MIEL;0.07668108409829;0.48970667326773;17.613;6.386277385436835;472.7309;74.02292;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.07668108409829;0.48970667326773;17.613;6.386277385436835;472.7309;74.02292;2.0;enero
TOTAL CARNE;3.95999392896475;34.2944536389151;98.13;8.660228842290307;33105.63;3822.72;1.0;enero
CARNE CERTIFICADA;0.75121438699322;8.23983232614203;48.713;10.968682800555012;7954.197;725.1734;2.0;enero
CARNE FRESCA;3.11964715099538;24.95929875167189;91.717;8.000680058867596;24094.08;3011.504;2.0;enero
SALCHICHAS FRESCAS;0.04114234714598;0.3702155926464;10.978;8.998407196671176;357.382;39.71614;3.0;enero
CARNE VACUNO;0.42332151951742;5.16127143812447;53.998;12.192320021926013;4982.355;408.647;3.0;enero
TERNERA;0.31987844606098;3.83784874329639;41.396;11.997834773039783;3704.809;308.7898;4.0;enero
AÑOJO;0.05802595040551;0.79873313320338;14.528;13.765102124504613;771.0449;56.01447;4.0;enero
MAYOR;0.04541710233272;0.5246899759887;6.205;11.552695989823624;506.5015;43.84271;4.0;enero
CARNE POLLO;1.17588528289497;6.37142773201474;78.726;5.418409282518281;6150.561;1135.123;3.0;enero
POLLO ENTERO;0.23635043185192;0.85502448336765;17.206;3.617613374632326;825.3849;228.1573;4.0;enero
POLLO FILETES;0.1146432289375;0.93766948788071;25.281;8.179021967288069;905.165;110.6691;4.0;enero
POLLO POR PIEZAS;0.82489193287854;4.57873365717537;72.108;5.550707280161458;4420.011;796.2969;4.0;enero
CARNE CONEJO;0.04346283737299;0.41725243351802;6.824;9.600211554004307;402.7883;41.95619;3.0;enero
CARNE OVINO/CAPRINO;0.24654834439438;3.68635519101957;15.495;14.951855385906908;3558.567;238.0017;3.0;enero
CORDERO;0.23945536493708;3.68016873641557;14.588;15.368913272762036;3552.595;231.15460000000002;4.0;enero
CABRITO;0.00709304264781;0.0061865177945;0.898;0.8721952061591659;5.972061;6.847161;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.1287402031819;1.45649155159475;1.753;11.313416598673612;1406.002;124.2774;4.0;enero
OVINO/CAPRINO PIEZ;0.11780814121247;2.22986363942481;13.76;18.927924814661424;2152.565;113.7243;4.0;enero
CARNE CERDO;0.95132785782515;7.21738810635033;73.226;7.586646440534267;6967.196;918.3499;3.0;enero
CARNE CERDO ADOBAD;0.04937340842204;0.37211959525226;10.867;7.536842343785504;359.22;47.66187;4.0;enero
CARN.CERDO IBERICO;0.01601062117247;0.18783586534524;7.166;11.731953640134552;181.3245;15.45561;4.0;enero
CARNE DESPOJOS;0.05182811115046;0.27041239620638;18.502;5.217485071399047;261.0385;50.03148;3.0;enero
DESPOJOS CERDO;0.00669940512974;0.04114234714598;3.242;6.141194083531759;39.71614;6.467169;4.0;enero
DESPOJOS CORDERO;0.00760774178967;0.05739299902782;2.577;7.5440256273881685;55.40346;7.344018;4.0;enero
DESPOJOS POLLO;0.02570622094911;0.10546775957893;9.521;4.102810747161709;101.8117;24.81511;4.0;enero
DESPOJOS TERNERA;0.00540224378968;0.04227649250668;3.243;7.825728373717684;40.810970000000005;5.214974;4.0;enero
DESPOJOS OT.PROCED;0.00641249638452;0.02413279794695;2.284;3.7634014118431605;23.29623;6.190206;4.0;enero
OTRAS CARNES FRESCA;0.22727244162567;1.83519331907638;41.768;8.074860752800896;1771.576;219.394;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08571570077226;0.67271416203742;17.399;7.848202324388311;649.3944;82.74435000000001;4.0;enero
OTRAS AVES;0.02668670977742;0.25775388660751;2.654;9.65851124987918;248.81879999999998;25.76161;2.0;enero
