Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.78704999061747;152.97339985313835;100.0;3.2695671106388446;49724.034819;15208.140141;0.0;enero
T.HUEVOS KGS;0.95055810843644;3.14414253129393;85.668;3.3076805125208675;1022.0041709999999;308.979107;1.0;enero
T.HUEVOS UNDS.;15.01992021812661;3.14414253129393;85.668;0.2093315068011785;1022.0041709999999;4882.2281299999995;1.0;enero
TOTAL HUEVOS GALLINA;14.82146124403915;3.12474192509942;84.916;0.2108254964641981;1015.698;4817.719;2.0;enero
OTRAS AVES;0.19845897408746;0.0194006061945;3.3;0.0977562555873874;6.306171;64.50913;2.0;enero
MIEL;0.02879484733949;0.25596399876881;8.243;8.88922923434772;83.20115;9.359771;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.02879484733949;0.25596399876881;8.243;8.88922923434772;83.20115;9.359771;2.0;enero
TOTAL CARNE;4.44733454246951;36.52435794917549;99.467;8.21264008821208;11872.25;1445.607;1.0;enero
CARNE CERTIFICADA;0.6318980807058;5.81448950690051;40.174;9.20162552227717;1890.001;205.39860000000002;2.0;enero
CARNE FRESCA;3.56521849846075;26.78334575579029;97.616;7.512399525401791;8705.932;1158.875;2.0;enero
SALCHICHAS FRESCAS;0.03496475271324;0.29122249072246;4.713;8.329030469939202;94.66193;11.3653;3.0;enero
CARNE VACUNO;0.37911405225383;4.54710989903694;49.275;11.994042088401384;1478.039;123.23110000000001;3.0;enero
TERNERA;0.26408234469829;3.12315140156262;37.147;11.82643014295663;1015.181;85.84002000000001;4.0;enero
AÑOJO;0.07202545858002;0.81366077239046;17.158;11.296849592237105;264.4806;23.41189;4.0;enero
MAYOR;0.04300627973999;0.61029618685992;7.837;14.19086213803365;198.3769;13.9792;4.0;enero
CARNE POLLO;1.43593172484928;7.74962750215133;82.243;5.396933132711973;2519.018;466.7499;3.0;enero
POLLO ENTERO;0.28356333539859;1.30472891530286;14.532;4.601190465857862;424.10240000000005;92.17232000000001;4.0;enero
POLLO FILETES;0.12883354476616;0.94250302350403;25.261;7.315664761182472;306.3608;41.87737;4.0;enero
POLLO POR PIEZAS;1.02353512156483;5.50239310218615;77.469;5.375871317218531;1788.554;332.70029999999997;4.0;enero
CARNE CONEJO;0.13722191052316;1.03078169446796;19.577;7.511786496326226;335.0558;44.60401;3.0;enero
CARNE OVINO/CAPRINO;0.33218222506133;3.50639066273424;35.125;10.555623986463646;1139.753;107.9759;3.0;enero
CORDERO;0.31591766058486;3.18269912608529;33.16;10.074457756470744;1034.537;102.68910000000001;4.0;enero
CABRITO;0.01626458908804;0.32369215193851;1.961;19.901649539760097;105.2162;5.286808;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.21188822269936;1.95714997959467;4.443;9.236709594622438;636.172;68.87431;4.0;enero
OVINO/CAPRINO PIEZ;0.12029391006853;1.54923976020521;30.466;12.878787956286144;503.58070000000004;39.10156;4.0;enero
CARNE CERDO;0.89347890413091;7.02553320179347;76.021;7.863121523419947;2283.651;290.4255;3.0;enero
CARNE CERDO ADOBAD;0.09341963066728;0.91943950928614;20.596;9.842037510945604;298.864;30.36607;4.0;enero
CARN.CERDO IBERICO;0.01068681378427;0.06414193791468;2.249;6.001970204542582;20.849349999999998;3.473751;4.0;enero
CARNE DESPOJOS;0.05371736362132;0.36421389239743;16.388;6.7801892692447785;118.3878;17.46084;3.0;enero
DESPOJOS CERDO;0.03105910987829;0.19473521084921;7.199;6.269825877570508;63.29872;10.09577;4.0;enero
DESPOJOS CORDERO;0.00929955115671;0.09244971895462;6.743;9.94130978976261;30.0508;3.022821;4.0;enero
DESPOJOS POLLO;0.01058018717834;0.05760430165336;2.046;5.444544664696379;18.72429;3.439092;4.0;enero
DESPOJOS TERNERA;0.00277851848442;0.01942473477496;1.343;6.991040327384577;6.314014;0.903158;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.33357154890894;2.55969044143281;60.9;7.673587420165549;832.0279;108.4275;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.20358070599177;1.65538520968422;37.098;8.131346247277063;538.0833;66.17394999999999;4.0;enero
OTRAS AVES;0.02201910632062;0.14761735085541;6.705;6.70405731758348;47.983050000000006;7.157315;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.06340685146617;0.37010282886577;12.551;5.8369532677904035;120.302;20.610409999999998;2.0;enero
C.CONG.POLLO;0.03976761079822;0.21188246974188;5.019;5.328016078635543;68.87244;12.92647;3.0;enero
C.CONG.CERDO;0.02363923451504;0.15822042065284;7.472;6.693127924769825;51.42958;7.683938;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.0;0.0;0.0;;0.0;0.0;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.81870830037271;9.37091551741511;96.517;11.445975951567952;3046.018;266.12129999999996;2.0;enero
JAMON CURADO+PALETA;0.10835861529552;2.43864052507041;47.843;22.505275823427354;792.6806;35.22199;3.0;enero
JAMON C.+P.ENTERO;0.02666572084881;0.33741956987572;13.442;12.65368267330034;109.67830000000001;8.667698;4.0;enero
JAMON C.+P.LONCHA;0.08169288829381;2.10122095519468;45.63;25.720977665002525;683.0023;26.55429;4.0;enero
JAMON CURADO NORMAL;0.07796260298613;1.53050880748997;41.964;19.631320003030574;497.4922;25.341759999999997;3.0;enero
JAMON C.N.ENTER/PI;0.01390948827367;0.26088213135462;12.614;18.755695840250617;84.79978999999999;4.521282;4.0;enero
JAMON C.N.LONCHA;0.06405312086534;1.26962664537087;34.735;19.821464250584043;412.6924;20.82048;4.0;enero
JAMON IBERICO;0.0060003684858;0.44989234964125;10.46;74.97745358566178;146.23760000000001;1.950421;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
JAMON IBE.LONCHA;0.0060003684858;0.44989234964125;10.46;74.97745358566178;146.23760000000001;1.950421;4.0;enero
PALETA CURADA NORM.;0.0151178400767;0.11747459173277;1.585;7.770593625592865;38.18514;4.914057;3.0;enero
