Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.46906532820899;165.98547130063253;99.529;3.6505142584854315;369370.51035399997;101183.144127;0.0;enero
T.HUEVOS KGS;1.02639404850238;3.33084068426139;86.506;3.2451870596107115;7412.1808;2284.053481;1.0;enero
T.HUEVOS UNDS.;16.29903450347764;3.33084068426139;86.506;0.20435815897872445;7412.1808;36270.5401;1.0;enero
TOTAL HUEVOS GALLINA;15.98895747162243;3.29935224535831;86.451;0.2063519307756042;7342.109;35580.52;2.0;enero
OTRAS AVES;0.3100770318552;0.03148843890308;2.696;0.10155037512675355;70.0718;690.0201;2.0;enero
MIEL;0.02325302834423;0.15313755193538;6.18;6.585703576685768;340.77979999999997;51.74539;1.0;enero
GRANEL;0.00651178299362;0.03272609554467;2.326;5.025673548509087;72.82598;14.49079;2.0;enero
ENVASADA;0.01674124984434;0.12041149234062;4.734;7.192503155985261;267.95390000000003;37.25461;2.0;enero
TOTAL CARNE;4.02138018384458;36.74711128627695;97.816;9.137935138265236;81774.02;8948.851;1.0;enero
CARNE CERTIFICADA;0.5591874151632;6.86851398010721;43.895;12.28302675249323;15284.63;1244.37;2.0;enero
CARNE FRESCA;3.09931254958074;25.83677105869253;87.845;8.336290917864211;57495.04;6896.957;2.0;enero
SALCHICHAS FRESCAS;0.03878179097981;0.33208835469889;13.932;8.562996868084953;739.0023;86.30183;3.0;enero
CARNE VACUNO;0.4219167617574;5.75222873847267;56.705;13.633562967522284;12800.54;938.8991;3.0;enero
TERNERA;0.27814640902248;3.7942773935768;43.458;13.641295628843213;8443.475;618.9643000000001;4.0;enero
AÑOJO;0.12225963242945;1.64135708812897;23.086;13.425176041454556;3652.542;272.0666;4.0;enero
MAYOR;0.02151070233051;0.31659533526429;6.608;14.718038044495547;704.5254;47.86816;4.0;enero
CARNE POLLO;1.15234749809109;7.01651078436146;80.34;6.088884469298143;15613.97;2564.34;3.0;enero
POLLO ENTERO;0.19664939429673;0.91821425296645;16.022;4.669296115811544;2043.319;437.6075;4.0;enero
POLLO FILETES;0.17695108885408;1.42478312862477;37.54;8.051847196033243;3170.596;393.7725;4.0;enero
POLLO POR PIEZAS;0.77874701494027;4.67351564963979;74.984;6.001327208937309;10400.06;1732.96;4.0;enero
CARNE CONEJO;0.25543383818874;1.86993247670714;10.683;7.320613783853393;4161.195;568.4216;3.0;enero
CARNE OVINO/CAPRINO;0.14289726416085;2.23974878214306;15.508;15.673839490880113;4984.154;317.99190000000004;3.0;enero
CORDERO;0.12059978000984;2.00316150608372;14.149;16.6099930358095;4457.672;268.3729;4.0;enero
