Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.01552609313232;141.88384772205936;99.51;3.0833907545661003;203309.95278999998;65937.135113;0.0;enero
T.HUEVOS KGS;0.70231112699712;2.24487504270518;82.41;3.196411044067608;3216.7540299999996;1006.364321;1.0;enero
T.HUEVOS UNDS.;11.25527824293701;2.24487504270518;82.41;0.19945087044950702;3216.7540299999996;16128.052099999999;1.0;enero
TOTAL HUEVOS GALLINA;10.92145082532883;2.21352113366386;82.436;0.2026764730314319;3171.826;15649.7;2.0;enero
OTRAS AVES;0.33382741760818;0.03135390904131;2.999;0.0939225102178918;44.92803;478.35209999999995;2.0;enero
MIEL;0.02352998061873;0.18908485344954;5.139;8.035911993017145;270.94579999999996;33.71687;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.02352998061873;0.18908485344954;5.139;8.035911993017145;270.94579999999996;33.71687;2.0;enero
TOTAL CARNE;3.24185720166209;25.49736591463187;98.808;7.865049053227714;36536.0;4645.362;1.0;enero
CARNE CERTIFICADA;0.33035572540828;3.13417033009555;45.58;9.487259003070278;4491.054;473.3774;2.0;enero
CARNE FRESCA;2.29966407094229;16.19968332178249;92.418;7.044369447901427;23213.05;3295.263;2.0;enero
SALCHICHAS FRESCAS;0.01700257538744;0.15713107658418;6.179;9.24160446306243;225.15820000000002;24.36354;3.0;enero
CARNE VACUNO;0.19465769162316;2.399007910718;45.867;12.324238979275544;3437.616;278.93129999999996;3.0;enero
TERNERA;0.12934365137875;1.54121234525581;30.327;11.91563968410608;2208.453;185.3407;4.0;enero
AÑOJO;0.04600861361528;0.56393346842147;20.394;12.257128048607534;808.0785;65.92723;4.0;enero
MAYOR;0.01930546152261;0.29386258554948;6.938;15.22173324917888;421.0852;27.66342;4.0;enero
CARNE POLLO;1.05101613409356;5.78512593711211;84.92;5.504316964745175;8289.694;1506.035;3.0;enero
POLLO ENTERO;0.37208519069042;1.50011968603884;31.022;4.031656522677728;2149.57;533.1729;4.0;enero
POLLO FILETES;0.12991541599156;1.05734720765327;39.236;8.138735496347229;1515.107;186.16;4.0;enero
POLLO POR PIEZAS;0.54901573677247;3.22765974128965;70.976;5.878993123702178;4625.018;786.7024;4.0;enero
CARNE CONEJO;0.0717822451924;0.56863913375499;9.401;7.921723989418534;814.8214;102.85910000000001;3.0;enero
CARNE OVINO/CAPRINO;0.02676566027816;0.35860569862467;6.045;13.397976918853047;513.8577;38.353379999999994;3.0;enero
CORDERO;0.02222709983483;0.30654504067602;4.738;13.791499698743449;439.25829999999996;31.84993;4.0;enero
CABRITO;0.00453855974546;0.05206065794865;1.171;11.470744215876836;74.59939999999999;6.503449;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.02676566027816;0.35860569862467;6.045;13.397976918853047;513.8577;38.353379999999994;4.0;enero
CARNE CERDO;0.64320929845398;4.77401538594307;72.414;7.422180303390977;6840.841;921.6754;3.0;enero
CARNE CERDO ADOBAD;0.04487955820641;0.35562432964821;12.838;7.923971265773557;509.5856;64.30937;4.0;enero
CARN.CERDO IBERICO;0.00250718678039;0.01912092384829;1.096;7.62644570313272;27.39899;3.592629;4.0;enero
CARNE DESPOJOS;0.06357350446034;0.36158804461865;11.832;5.687716096321123;518.1312;91.09653;3.0;enero
DESPOJOS CERDO;0.03615797399696;0.23549674500552;4.81;6.5129961381481065;337.45090000000005;51.811930000000004;4.0;enero
DESPOJOS CORDERO;0.00122648848152;0.00531430677494;0.771;4.332944707606083;7.615042000000001;1.757475;4.0;enero
DESPOJOS POLLO;0.02246233773998;0.09877319175435;8.053;4.397280145002595;141.53529999999998;32.18701;4.0;enero
DESPOJOS TERNERA;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS OT.PROCED;0.00372670982483;0.02200383039436;0.715;5.904358382756353;31.53;5.340122999999999;4.0;enero
OTRAS CARNES FRESCA;0.24865947403239;1.95270002463254;41.746;7.852908208026556;2798.087;356.3122;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.10444924485075;0.81777064682572;22.484;7.829359111156841;1171.81;149.6687;4.0;enero
OTRAS AVES;0.0135097935664;0.09107548003856;5.003;6.741441280421848;130.505;19.35862;2.0;enero
CARNE CABALLO;0.00025744690922;0.00306795506097;0.424;11.916845575000542;4.396172;0.368904;4.0;enero
CARNE CONGELADA;0.05532098636448;0.25143364550666;8.685;4.544995706512943;360.28740000000005;79.27123;2.0;enero
C.CONG.POLLO;0.04985678556091;0.2150777068231;8.16;4.3139104216882656;308.1918;71.44139999999999;3.0;enero
C.CONG.CERDO;0.00191652525291;0.01303907350173;1.261;6.803496839873705;18.68411;2.746251;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00354767415492;0.0233169000753;1.506;6.572446920741045;33.41154;5.083577;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.88687160699567;9.04625411157819;94.182;10.200184604198684;12962.67;1270.827;2.0;enero
JAMON CURADO+PALETA;0.10037201114647;2.19196673133084;49.048;21.838425934616968;3140.94;143.82629999999997;3.0;enero
JAMON C.+P.ENTERO;0.00690407200608;0.10644096486171;6.27;15.417128437811204;152.52270000000001;9.893068;4.0;enero
JAMON C.+P.LONCHA;0.09346791680856;2.08552555710823;47.621;22.31274247162018;2988.417;133.9332;4.0;enero
JAMON CURADO NORMAL;0.08895207202267;1.78738517011405;46.616;20.093800284476274;2561.202;127.4623;3.0;enero
JAMON C.N.ENTER/PI;0.00690407200608;0.10644096486171;6.27;15.417128437811204;152.52270000000001;9.893068;4.0;enero
JAMON C.N.LONCHA;0.08204797768476;1.68094399589143;45.22;20.48733001500393;2408.679;117.5692;4.0;enero
JAMON IBERICO;0.00644858364461;0.30136635928663;3.544;46.73372881473323;431.83759999999995;9.240384;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
JAMON IBE.LONCHA;0.00644858364461;0.30136635928663;3.544;46.73372881473323;431.83759999999995;9.240384;4.0;enero
PALETA CURADA NORM.;0.00451262481526;0.07829881250786;1.351;17.35105746946547;112.1969;6.466286;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00451262481526;0.07829881250786;1.351;17.35105746946547;112.1969;6.466286;4.0;enero
PALETA IBERICA;0.00045870902995;0.02491662669798;0.618;54.31902376239733;35.70384;0.657299;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00045870902995;0.02491662669798;0.618;54.31902376239733;35.70384;0.657299;4.0;enero
HUESOS JAMON CURADO;0.0011179034517;0.00446624718911;1.046;3.995199390715908;6.39983;1.6018800000000002;3.0;enero
LOMO EMBUCHADO N+IB;0.01935327257305;0.40820043412808;17.001;21.09206247094955;584.9236;27.731930000000002;3.0;enero
LOMO EMB.AL CORTE;0.00785015436442;0.17163231961982;8.745;21.86355982981205;245.9375;11.24874;4.0;enero
LOMO EMB.ENVASADO;0.01150311820862;0.23656811450826;10.916;20.56556406860565;338.98609999999996;16.48319;4.0;enero
LOMO EMB.NORMAL;0.01752294887846;0.35255907673856;15.05;20.11984850174438;505.19329999999997;25.1092;4.0;enero
LOMO E.N.AL CORTE;0.00647823473075;0.13456455388259;7.181;20.771793470813776;192.8219;9.282872;5.0;enero
