Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.01917148927451;161.17231698758332;99.821;3.5022863683051537;94944.71521;27109.352356;0.0;enero
T.HUEVOS KGS;0.88295447273925;2.7673622597256;79.813;3.134207193197882;1630.22054;520.1380889999999;1.0;enero
T.HUEVOS UNDS.;14.24217570273254;2.7673622597256;79.813;0.19430754945641115;1630.22054;8389.8981;1.0;enero
TOTAL HUEVOS GALLINA;13.71356880948008;2.71891019691898;80.391;0.1982642326510534;1601.678;8078.502;2.0;enero
OTRAS AVES;0.52860689325245;0.04845206280661;6.883;0.09165991481588884;28.542540000000002;311.3961;2.0;enero
MIEL;0.01959468782304;0.09042311004597;4.088;4.614674694620116;53.26719;11.543;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01959468782304;0.09042311004597;4.088;4.614674694620116;53.26719;11.543;2.0;enero
TOTAL CARNE;3.27267104708845;29.63995724409891;98.688;9.056809198855538;17460.55;1927.892;1.0;enero
CARNE CERTIFICADA;0.55145016065506;6.24549397211169;52.703;11.325581925105771;3679.147;324.8528;2.0;enero
CARNE FRESCA;2.46677648924604;21.20887725827923;91.098;8.597810685621365;12493.9;1453.149;2.0;enero
SALCHICHAS FRESCAS;0.01976320247782;0.22276442295534;4.261;11.271676399877345;131.2279;11.64227;3.0;enero
CARNE VACUNO;0.47377300205779;6.3671294014864;61.963;13.439198463887271;3750.801;279.09409999999997;3.0;enero
TERNERA;0.28454922537143;4.31203148084516;57.472;15.15390342467633;2540.167;167.62460000000002;4.0;enero
AÑOJO;0.10325358194055;1.41744080953469;21.949;13.7277640435824;834.9977;60.82547;4.0;enero
MAYOR;0.0859700759181;0.63765626233726;6.254;7.417188545287532;375.63579999999996;50.64396;4.0;enero
CARNE POLLO;0.92709626611006;5.38063371417214;75.637;5.803748662205675;3169.668;546.1415;3.0;enero
POLLO ENTERO;0.2457657311997;1.05258731486036;12.269;4.282888870316354;620.0668000000001;144.7777;4.0;enero
POLLO FILETES;0.14124137187853;0.96610162857413;30.386;6.840075366904064;569.1191;83.20363;4.0;enero
POLLO POR PIEZAS;0.54008921395797;3.36194629852236;72.532;6.224798073423388;1980.483;318.16020000000003;4.0;enero
CARNE CONEJO;0.08702329675436;0.78815188460958;15.3;9.056791847753997;464.291;51.2644;3.0;enero
CARNE OVINO/CAPRINO;0.05614973822454;0.86742405045614;12.065;15.448407737667845;510.9893;33.07715;3.0;enero
CORDERO;0.05614973822454;0.86742405045614;12.065;15.448407737667845;510.9893;33.07715;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.05614973822454;0.86742405045614;12.065;15.448407737667845;510.9893;33.07715;4.0;enero
CARNE CERDO;0.64299264461574;5.39441263482186;61.89;8.389540191467646;3177.785;378.7794;3.0;enero
CARNE CERDO ADOBAD;0.04897694173538;0.39134290519181;10.331;7.990349975426092;230.5355;28.851740000000003;4.0;enero
CARN.CERDO IBERICO;0.02865830463435;0.31075684448473;7.699;10.843518081395452;183.06320000000002;16.882270000000002;4.0;enero
CARNE DESPOJOS;0.02190164275256;0.18404136115704;7.791;8.40308479305534;108.4166;12.902;3.0;enero
DESPOJOS CERDO;0.01048993965195;0.04878909211618;3.629;4.651036491625536;28.74108;6.1795;4.0;enero
DESPOJOS CORDERO;0.00278823257988;0.01076940033567;0.828;3.8624469182929833;6.344127;1.6425150000000002;4.0;enero
DESPOJOS POLLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS TERNERA;0.00862347731088;0.12448284663717;4.171;14.435342281252975;73.33138000000001;5.079988999999999;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.25784049286946;2.22707555412928;49.213;8.637415827686734;1311.944;151.89079999999998;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.18358234672514;1.50986210921797;41.504;8.224440618348126;889.442;108.1462;4.0;enero
OTRAS AVES;0.01389201576249;0.12311031879411;3.332;8.861947819443786;72.52284;8.183622999999999;2.0;enero
CARNE CABALLO;0.01285013787902;0.24028030503394;4.832;18.698655788445368;141.5463;7.569865;4.0;enero
CARNE CONGELADA;0.05469145073245;0.29163712795623;13.495;5.332407973284574;171.8;32.218090000000004;2.0;enero
C.CONG.POLLO;0.04553996932426;0.22206826238389;10.865;4.876337548728783;130.8178;26.827060000000003;3.0;enero
C.CONG.CERDO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00915148989587;0.06956893347388;3.506;7.601924305815118;40.98224;5.391035;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.75120156234984;8.13945134555634;88.476;10.835242834286953;4794.855;442.524;2.0;enero
JAMON CURADO+PALETA;0.12787488520209;2.55121715080557;38.753;19.950885170090533;1502.892;75.32959;3.0;enero
JAMON C.+P.ENTERO;0.01911868102996;0.30068110424617;4.503;15.727084089894067;177.1277;11.26259;4.0;enero
JAMON C.+P.LONCHA;0.10875620417213;2.2505372348364;36.811;20.693414706479157;1325.765;64.067;4.0;enero
JAMON CURADO NORMAL;0.11725338631023;2.31274862869752;35.89;19.724365337972706;1362.413;69.07258999999999;3.0;enero
JAMON C.N.ENTER/PI;0.01747826462367;0.27787840801561;2.823;15.898512466686869;163.6949;10.29624;4.0;enero
JAMON C.N.LONCHA;0.09977513866194;2.03487005092804;34.052;20.39455998976459;1198.718;58.776360000000004;4.0;enero
JAMON IBERICO;0.00180391143949;0.03243580328451;2.695;17.980818001567762;19.10755;1.062663;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
JAMON IBE.LONCHA;0.00180391143949;0.03243580328451;2.695;17.980818001567762;19.10755;1.062663;4.0;enero
PALETA CURADA NORM.;0.0059513071412;0.15528631379904;3.847;26.09280786800329;91.47734;3.505845;3.0;enero
PALETA C.N.ENTR/PI;0.00164042659152;0.02280266227978;1.967;13.900446626295073;13.432780000000001;0.966356;4.0;enero
PALETA C.N.LONCHA;0.00431088054968;0.13248366849463;2.662;30.73239143780501;78.04457000000001;2.539489;4.0;enero
PALETA IBERICA;0.00286626842838;0.05074761027688;2.525;17.705114348069426;29.89482;1.6884849999999998;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00286626842838;0.05074761027688;2.525;17.705114348069426;29.89482;1.6884849999999998;4.0;enero
HUESOS JAMON CURADO;0.01111563200188;0.03863054594571;0.93;3.4753350901820497;22.7568;6.548088;3.0;enero
LOMO EMBUCHADO N+IB;0.01262796572727;0.23103856549948;13.251;18.295786549403374;136.1021;7.438986;3.0;enero
LOMO EMB.AL CORTE;0.00252035759696;0.05106070429248;4.26;20.25930937494317;30.079259999999998;1.484713;4.0;enero
LOMO EMB.ENVASADO;0.01010760813031;0.17997796305931;10.353;17.806187254094663;106.02289999999999;5.954273;4.0;enero
LOMO EMB.NORMAL;0.01099325305061;0.20281494956918;10.998;18.449038572599488;119.4759;6.475996;4.0;enero
LOMO E.N.AL CORTE;0.00252035759696;0.05106070429248;4.26;20.25930937494317;30.079259999999998;1.484713;5.0;enero
LOMO E.N.ENVASADO;0.00847289545364;0.15175433015363;8.12;17.910563276015406;89.39669;4.991283;5.0;enero
LOMO EMB.IBERICO;0.00163471097912;0.0282236159303;2.551;17.265202406258016;16.6262;0.962989;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.00163471097912;0.0282236159303;2.551;17.265202406258016;16.6262;0.962989;5.0;enero
OTRAS SALAZONES;0.01334589213839;0.13425803767023;8.454;10.059877322400618;79.08983;7.861908000000001;3.0;enero
O.SALAZONES AL COR;0.00628116774535;0.07244996200021;4.156;11.534473355490922;42.67942;3.7001619999999997;4.0;enero
O.SALAZONES ENVASA;0.00706472609057;0.06180807567001;4.376;8.748828316569941;36.410410000000006;4.161747;4.0;enero
TOCINO Y MANTECA;0.03180769703472;0.17909914733671;14.817;5.630685778389266;105.5052;18.73754;3.0;enero
TOCINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZOS;0.10980311016487;1.160727482282;38.255;10.570989114417042;683.7709;64.68372000000001;3.0;enero
CHOR.IBERICO;0.00486854404105;0.07380127061103;4.713;15.158796960392634;43.47546;2.868002;4.0;enero
CHOR.NORMAL;0.10493456951889;1.08692614376942;36.553;10.3581322032648;640.2954;61.81572;4.0;enero
CHORIZO DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZO DE CERDO;0.10814960573613;1.13579963750377;38.208;10.50211537779357;669.0862;63.70966000000001;4.0;enero
SALCHICHON/SALAMI;0.01322500871861;0.1539004942289;12.35;11.637080738732363;90.66097;7.790697;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.01322500871861;0.1539004942289;12.35;11.637080738732363;90.66097;7.790697;4.0;enero
FUET/LONGANIZAS;0.0197632364286;0.2470397339036;9.91;12.499963495154303;145.5282;11.642290000000001;3.0;enero
FUET/LONGANIZ.PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
FUET/LONGANIZ.CERD;0.0197632364286;0.2470397339036;9.91;12.499963495154303;145.5282;11.642290000000001;4.0;enero
OTROS PROD.CURADOS;0.0280264298489;0.28234768758769;18.879;10.074336585495857;166.32770000000002;16.51004;3.0;enero
O.PROD.CURAD.CORTE;0.0087061695077;0.09619467331469;6.236;11.049023710092728;56.66715;5.1287020000000005;4.0;enero
O.PROD.CURAD.ENVAS;0.01932026373628;0.18615309914992;13.839;9.635122050654845;109.6606;11.38134;4.0;enero
SALCHICHAS;0.06753570664029;0.29990142477661;17.238;4.440635031390373;176.6684;39.78449;3.0;enero
JAMON COCIDO;0.08353960808153;0.84285268877961;38.876;10.08925835463564;496.5146;49.212199999999996;3.0;enero
