Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.85976728857027;159.7287894909752;99.793;3.140572558751583;402908.00276;128291.25747699999;0.0;enero
T.HUEVOS KGS;0.80373137572934;2.45326206351937;73.6;3.0523407914655163;6188.2327000000005;2027.372801;1.0;enero
T.HUEVOS UNDS.;12.78387626284519;2.45326206351937;73.6;0.1919028323709211;6188.2327000000005;32246.6981;1.0;enero
TOTAL HUEVOS GALLINA;12.51652987223877;2.40971841828894;73.36;0.1925228831701683;6078.396;31572.33;2.0;enero
OTRAS AVES;0.26734639060642;0.04354364523043;2.748;0.16287351077252912;109.8367;674.3681;2.0;enero
MIEL;0.02466236865968;0.18630100208516;5.135;7.554059573753959;469.9351;62.20961;1.0;enero
GRANEL;0.01023357151126;0.08979378533906;2.707;8.774432781377936;226.50039999999998;25.81368;2.0;enero
ENVASADA;0.01442879714841;0.09650725639008;2.813;6.688517095180697;243.4348;36.39593;2.0;enero
TOTAL CARNE;4.31807441887589;35.95462883468692;98.918;8.326542191472193;90693.78;10892.13;1.0;enero
CARNE CERTIFICADA;0.72554637964088;7.28022542964334;52.773;10.034128256896274;18364.01;1830.155;2.0;enero
CARNE FRESCA;3.20729712638724;24.67917374506753;94.699;7.694695181817025;62252.0;8090.249;2.0;enero
SALCHICHAS FRESCAS;0.04741170887867;0.39922048238956;14.671;8.420293042192021;1007.014;119.5937;3.0;enero
CARNE VACUNO;0.48028371070422;5.74962269339199;63.849;11.971304804323925;14503.14;1211.492;3.0;enero
TERNERA;0.39878201991186;4.66335370907165;56.688;11.693991895879146;11763.08;1005.908;4.0;enero
AÑOJO;0.06105292672141;0.79270923738072;16.113;12.983967844782246;1999.57;154.003;4.0;enero
MAYOR;0.02044857774421;0.29356038124338;6.72;14.356029300203003;740.4916;51.580529999999996;4.0;enero
CARNE POLLO;1.14525249500774;6.14446092964364;80.543;5.365158300399156;15499.1;2888.843;3.0;enero
POLLO ENTERO;0.2333199976452;0.89038963858457;18.631;3.8161736995151716;2245.964;588.5382;4.0;enero
POLLO FILETES;0.16426854008842;1.17587787011184;35.737;7.158265785273795;2966.094;414.35929999999996;4.0;enero
POLLO POR PIEZAS;0.74766375905418;4.07819262806752;71.566;5.454581125112345;10287.04;1885.945;4.0;enero
CARNE CONEJO;0.0699983145023;0.57757520441202;12.873;8.251273027338584;1456.905;176.5673;3.0;enero
CARNE OVINO/CAPRINO;0.1028047034591;1.49312648404308;11.583;14.523912173308789;3766.338;259.3198;3.0;enero
CORDERO;0.09139722596955;1.3402124967238;11.179;14.663601466091219;3380.62;230.545;4.0;enero
CABRITO;0.00570002013895;0.08191684260669;0.757;14.371325119870468;206.6312;14.378020000000001;4.0;enero
OTRO OVINO/CAPRINO;0.0057074375286;0.07099734293251;0.778;12.439442845701768;179.0873;14.39673;4.0;enero
OVINO/CAPRINO ENTE;0.03634838875453;0.4289201704363;1.802;11.800252642086088;1081.93;91.68702;4.0;enero
OVINO/CAPRINO PIEZ;0.06645628298937;1.06420631360677;10.679;16.013629798959272;2684.408;167.6327;4.0;enero
CARNE CERDO;1.04467411847657;7.92564140394428;76.325;7.586711744617646;19992.04;2635.139;3.0;enero
CARNE CERDO ADOBAD;0.17484535715344;1.38838866057152;36.433;7.940666444766311;3502.142;441.0388;4.0;enero
CARN.CERDO IBERICO;0.03762481011447;0.38187013363575;5.878;10.149423544568442;963.2486;94.90673;4.0;enero
CARNE DESPOJOS;0.09481866047911;0.61571985421288;16.379;6.493656956359224;1553.123;239.1754;3.0;enero
DESPOJOS CERDO;0.05923790614124;0.39086967510059;10.449;6.598303359484744;985.9495;149.4247;4.0;enero
DESPOJOS CORDERO;0.00041327863602;0.0026465583261;0.408;6.403811122568888;6.675813;1.0424749999999998;4.0;enero
DESPOJOS POLLO;0.01875631476459;0.10003239956526;4.313;5.333265133408354;252.3268;47.311879999999995;4.0;enero
DESPOJOS TERNERA;0.01542055487172;0.1174310346932;5.95;7.615227575795828;296.214;38.897589999999994;4.0;enero
DESPOJOS OT.PROCED;0.0009905699895;0.00474012428665;0.412;4.785249237192355;11.95673;2.498664;4.0;enero
OTRAS CARNES FRESCA;0.26946563912998;2.17303312201739;45.639;8.064230857163706;5481.369;679.7138;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.14347748984817;1.16751972868558;29.993;8.137302443198662;2945.011;361.91490000000005;4.0;enero
OTRAS AVES;0.02242764513566;0.18416450842798;7.411;8.211495558894823;464.5459;56.57263;2.0;enero
CARNE CABALLO;0.00128060340394;0.02185056746326;0.26;17.062712308827248;55.116980000000005;3.230259;4.0;enero
CARNE CONGELADA;0.0989448857598;0.48294897583768;10.648;4.880989776571857;1218.215;249.58360000000002;2.0;enero
C.CONG.POLLO;0.07650662792926;0.3045183752273;7.146;3.9802875054019964;768.1326;192.98420000000002;3.0;enero
C.CONG.CERDO;0.01455207408518;0.11958857930659;4.526;8.217974881554934;301.6563;36.70689;3.0;enero
C.CONG.VACA;0.00169298251794;0.01619909138434;0.731;9.568374872525593;40.86141000000001;4.270465;3.0;enero
RESTO CARNES CONG.;0.00619321510279;0.0426427356639;1.362;6.885395542719023;107.5642;15.62208;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;1.0118322481529;10.79250413158244;94.323;10.66629784856543;27223.56;2552.297;2.0;enero
JAMON CURADO+PALETA;0.18643832885033;2.99924271631804;51.624;16.087049990271783;7565.442;470.2815;3.0;enero
