Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.41390062275389;147.58111760657778;99.682;2.9273893863306473;769058.4798099999;262711.371231;0.0;enero
T.HUEVOS KGS;0.82247006582581;2.59699945914166;83.194;3.157561067628752;13533.1978;4285.9655;1.0;enero
T.HUEVOS UNDS.;13.05248087455618;2.59699945914166;83.194;0.19896596548201928;13533.1978;68017.652;1.0;enero
TOTAL HUEVOS GALLINA;12.81380105704179;2.56872172814594;83.261;0.20046524186781448;13385.84;66773.87;2.0;enero
OTRAS AVES;0.23867981751438;0.02827773099572;2.676;0.11847558494977416;147.3578;1243.782;2.0;enero
MIEL;0.03514725355147;0.27222020953228;6.569;7.7451345987426;1418.564;183.1555;1.0;enero
GRANEL;0.01500002507042;0.16356580044193;1.193;10.90436847098654;852.3561;78.16647999999999;2.0;enero
ENVASADA;0.02014722464307;0.10865431314112;5.237;5.3930164112430825;566.2074;104.989;2.0;enero
TOTAL CARNE;3.53159706542749;28.2353022520582;98.167;7.995052020080996;147136.7;18403.47;1.0;enero
CARNE CERTIFICADA;0.45150631046321;4.22001926300363;46.337;9.346534400979243;21990.9;2352.84;2.0;enero
CARNE FRESCA;2.64816000371051;18.87869539977645;93.031;7.12898592733228;98378.58;13799.8;2.0;enero
SALCHICHAS FRESCAS;0.01297909469178;0.10899756186927;5.213;8.397932556745944;567.9961;67.63522999999999;3.0;enero
CARNE VACUNO;0.26588813691946;3.20737506697323;48.268;12.062873899277335;16713.92;1385.567;3.0;enero
TERNERA;0.17756791911603;2.0939419756582;39.932;11.792343944121528;10911.72;925.3224;4.0;enero
AÑOJO;0.06505397197016;0.83792412642806;15.561;12.8804452833773;4366.498;339.0021;4.0;enero
MAYOR;0.02326628421295;0.27550838919166;5.305;11.841529428163511;1435.699;121.2427;4.0;enero
CARNE POLLO;1.18210567285735;6.28129820628227;82.02;5.313652028332846;32732.41;6160.059;3.0;enero
POLLO ENTERO;0.32233985861771;1.23936663025001;23.346;3.844906539218523;6458.451;1679.742;4.0;enero
POLLO FILETES;0.13975824750723;1.03065751009207;33.429;7.374573797791218;5370.849;728.2928;4.0;enero
POLLO POR PIEZAS;0.72000752835272;4.01127406594017;72.839;5.571155728214959;20903.11;3752.024;4.0;enero
CARNE CONEJO;0.06129581385709;0.5118082823328;14.272;8.349808088460888;2667.079;319.418;3.0;enero
CARNE OVINO/CAPRINO;0.06316003037995;0.87404881465096;11.185;13.8386382874258;4554.747;329.13259999999997;3.0;enero
CORDERO;0.05617199135162;0.77457730211286;10.19;13.789386551461087;4036.392;292.71729999999997;4.0;enero
CABRITO;0.00578350791262;0.07659451348751;1.352;13.243608316040877;399.14090000000004;30.13838;4.0;enero
OTRO OVINO/CAPRINO;0.00120452785343;0.02287690310137;0.426;18.992423492923184;119.2136;6.276903;4.0;enero
OVINO/CAPRINO ENTE;0.02158605990821;0.19247873444265;0.685;8.916807201549693;1003.024;112.48689999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.04157395128189;0.68157008020831;10.613;16.394161709261578;3551.723;216.6456;4.0;enero
