Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.38075656543236;154.67897944851268;99.379;3.0701996157525393;50279.070153;16376.482459;0.0;enero
T.HUEVOS KGS;0.86867145421379;2.88831117876165;82.586;3.3249753571973497;938.85802;282.365407;1.0;enero
T.HUEVOS UNDS.;13.79982816236693;2.88831117876165;82.586;0.2093005177150157;938.85802;4485.693730000001;1.0;enero
TOTAL HUEVOS GALLINA;13.53098469468607;2.85978326976216;81.47;0.21135071351350124;929.5849000000001;4398.305;2.0;enero
OTRAS AVES;0.26884346768085;0.02852790899948;3.257;0.10611345421772352;9.27312;87.38873;2.0;enero
MIEL;0.01196461879208;0.11744957043032;5.793;9.816407231295468;38.17749;3.889151;1.0;enero
GRANEL;0.0044046053884;0.07708059429701;3.005;17.499999999999996;25.05538;1.4317360000000001;2.0;enero
ENVASADA;0.00756001648009;0.04036900689739;2.842;5.339804086894526;13.12212;2.4574160000000003;2.0;enero
TOTAL CARNE;3.22691606400743;28.50456213226217;98.042;8.833375757801099;9265.531;1048.923;1.0;enero
CARNE CERTIFICADA;0.39321735775956;4.17492992834282;34.776;10.617359193221558;1357.079;127.817;2.0;enero
CARNE FRESCA;2.37302677614518;19.13488502726162;97.634;8.063493096502217;6219.877;771.3625999999999;2.0;enero
SALCHICHAS FRESCAS;0.01929236332299;0.18222729785191;5.979;9.445566351877018;59.23377;6.271065999999999;3.0;enero
CARNE VACUNO;0.25397819829539;3.48767555970095;44.79;13.732184821803095;1133.684;82.55671000000001;3.0;enero
TERNERA;0.18922677416999;2.51590474283321;35.269;13.295712268354961;817.8057;61.50898;4.0;enero
AÑOJO;0.03184667740434;0.50035729741189;14.421;15.711444275930022;162.64329999999998;10.351899999999999;4.0;enero
MAYOR;0.03290474672105;0.47141198125138;12.722;14.326564651831603;153.2345;10.695829999999999;4.0;enero
CARNE POLLO;0.98927896762034;5.62050371146746;88.753;5.681414338553357;1826.969;321.56940000000003;3.0;enero
