Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.6187388333954;183.39698440562677;99.728;3.6961234549192783;408120.46530000004;110418.515582;0.0;enero
T.HUEVOS KGS;0.93144592110753;2.93425803676899;79.088;3.1502183543624596;6529.718900000001;2072.782952;1.0;enero
T.HUEVOS UNDS.;14.74851288949118;2.93425803676899;79.088;0.1989528068867033;6529.718900000001;32820.4412;1.0;enero
TOTAL HUEVOS GALLINA;14.51779244838185;2.91242994693954;78.995;0.20061107481007995;6481.144;32307.01;2.0;enero
OTRAS AVES;0.23072044110933;0.02182808982944;2.977;0.09460839154301491;48.5749;513.4312;2.0;enero
MIEL;0.01126330405838;0.12560845680492;3.231;11.152007985742483;279.5214;25.06467;1.0;enero
GRANEL;0.00365174696165;0.042386858456;1.51;11.607282459891405;94.32513;8.126375;2.0;enero
ENVASADA;0.00761155934357;0.08322161183001;3.001;10.93358247285737;185.19629999999998;16.938299999999998;2.0;enero
TOTAL CARNE;4.19498598720326;39.99454431627259;97.674;9.533892231887126;89001.42;9335.266;1.0;enero
CARNE CERTIFICADA;0.62494118349916;8.28380747631416;48.638;13.255339374389699;18434.28;1390.706;2.0;enero
CARNE FRESCA;3.18821264560142;27.70864550673961;90.578;8.690965310914079;61661.13;7094.854;2.0;enero
SALCHICHAS FRESCAS;0.03134380398471;0.33090063753421;13.807;10.557130771223584;736.3661;69.75059;3.0;enero
CARNE VACUNO;0.58931784730825;8.494431563733;57.858;14.414006978630994;18902.99;1311.432;3.0;enero
TERNERA;0.36966246181232;5.43092531013504;43.454;14.691579132782728;12085.65;822.6243000000001;4.0;enero
AÑOJO;0.16367303900575;2.20565808574403;26.688;13.476001295891585;4908.337;364.228;4.0;enero
MAYOR;0.05598248130109;0.85784951596311;12.944;15.323535077861616;1909.006;124.58;4.0;enero
CARNE POLLO;1.29537970432608;7.95008304431656;79.055;6.137260772085773;17691.63;2882.659;3.0;enero
POLLO ENTERO;0.33056572227242;1.7401654163934;22.885;5.264204057307786;3872.458;735.6208;4.0;enero
POLLO FILETES;0.15553836835633;1.22932010676895;33.834;7.903645381907609;2735.654;346.12559999999996;4.0;enero
POLLO POR PIEZAS;0.80927579344522;4.98059392619635;71.028;6.154383915269644;11083.51;1800.913;4.0;enero
CARNE CONEJO;0.07087409993642;0.60461708922812;14.462;8.5308609177467;1345.478;157.7189;3.0;enero
CARNE OVINO/CAPRINO;0.05087346199899;0.96904425884345;9.49;19.048128842945058;2156.452;113.2107;3.0;enero
CORDERO;0.04802427814571;0.93514605305641;9.747;19.472360421932002;2081.017;106.8703;4.0;enero
CABRITO;0.00284917801147;0.03389815186266;0.451;11.8975198201624;75.43488;6.340387;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
