Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.95498732484111;155.0590524287013;99.826;3.302291434048981;161684.34395699998;48961.258321999994;0.0;enero
T.HUEVOS KGS;0.746658058558;2.44785594932643;79.87;3.278416299495762;2552.446807;778.560919;1.0;enero
T.HUEVOS UNDS.;11.75366090889195;2.44785594932643;79.87;0.20826327799490688;2552.446807;12255.8659;1.0;enero
TOTAL HUEVOS GALLINA;11.65039721239053;2.43838961546461;78.54;0.20929669358151295;2542.576;12148.19;2.0;enero
OTRAS AVES;0.10326369650142;0.00946633386182;1.879;0.09167146037321258;9.870807000000001;107.6759;2.0;enero
MIEL;0.0261469549915;0.21024610173483;6.382;8.040940209029072;219.2294;27.26415;1.0;enero
GRANEL;0.01490748967114;0.15652861757147;3.702;10.499998391708937;163.2167;15.544450000000001;2.0;enero
ENVASADA;0.01123947491058;0.05371751293405;2.784;4.779361434711269;56.012730000000005;11.71971;2.0;enero
TOTAL CARNE;3.23725410285959;29.03430560877676;98.362;8.96880649039245;30274.87;3375.574;1.0;enero
CARNE CERTIFICADA;0.48135009558225;4.97857284062044;52.761;10.342935186494978;5191.295;501.917;2.0;enero
CARNE FRESCA;2.24273064166895;17.22486397300275;92.402;7.680308840023998;17960.84;2338.557;2.0;enero
SALCHICHAS FRESCAS;0.01075606962808;0.10045941648203;5.702;9.339788598966623;104.7518;11.21565;3.0;enero
CARNE VACUNO;0.39472248029158;4.82152414471563;58.678;12.214972253807204;5027.536;411.588;3.0;enero
TERNERA;0.34656339924863;4.41837568574673;55.25;12.74911227015324;4607.162;361.3712;4.0;enero
AÑOJO;0.04174349331048;0.34803665083571;9.128;8.337506596466707;362.9074;43.527089999999994;4.0;enero
MAYOR;0.00641560499488;0.05511223969367;1.335;8.590341789681135;57.46705;6.689728;4.0;enero
CARNE POLLO;0.86542674597361;4.67368207245096;79.316;5.400436367601529;4873.377;902.4043;3.0;enero
POLLO ENTERO;0.15343078052122;0.64387817108789;14.051;4.1965384579323874;671.3895;159.9865;4.0;enero
POLLO FILETES;0.23346319260634;1.5374792952516;48.321;6.585531869445465;1603.172;243.4385;4.0;enero
POLLO POR PIEZAS;0.47853277284604;2.49232412659982;63.636;5.20826214634555;2598.815;498.97929999999997;4.0;enero
CARNE CONEJO;0.01670599400901;0.12891469259547;3.617;7.716672981320108;134.4229;17.4198;3.0;enero
CARNE OVINO/CAPRINO;0.01364144465736;0.14255420961601;3.783;10.45008158567973;148.64520000000002;14.22431;3.0;enero
CORDERO;0.01364144465736;0.14255420961601;3.783;10.45008158567973;148.64520000000002;14.22431;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.01364144465736;0.14255420961601;3.783;10.45008158567973;148.64520000000002;14.22431;4.0;enero
CARNE CERDO;0.7392070047418;5.75105172007676;72.072;7.780028710747328;5996.78;770.7915;3.0;enero
CARNE CERDO ADOBAD;0.08391174762892;0.7780368989674;18.177;9.272085505929397;811.2805;87.49709;4.0;enero
CARN.CERDO IBERICO;0.0082938971939;0.07466645616949;3.215;9.002577970751393;77.85677;8.648275;4.0;enero
CARNE DESPOJOS;0.0221982820634;0.195206602507;7.303;8.793770704841629;203.54729999999998;23.146759999999997;3.0;enero
DESPOJOS CERDO;0.00650216068343;0.05646232391887;2.176;8.683624823782717;58.87482;6.779982;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.0030940891872;0.01219475801557;1.08;3.9413078543417646;12.71581;3.226292;4.0;enero
DESPOJOS TERNERA;0.01260203602886;0.12654954934325;4.013;10.041992345795325;131.9567;13.14049;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.19082894886845;1.5119318736735;44.425;7.922969144035708;1576.533;198.98260000000002;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.10296659108437;0.79534228253632;21.738;7.724275166928854;829.3253000000001;107.3661;4.0;enero
OTRAS AVES;0.00727759527268;0.05218613494501;4.015;7.170793784160846;54.41592;7.5885489999999995;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.01547896206291;0.10757891772342;4.426;6.950008488049198;112.1755;16.140340000000002;2.0;enero
C.CONG.POLLO;0.01263153558544;0.08955571480779;3.536;7.089851760463129;93.38221;13.17125;3.0;enero
C.CONG.CERDO;0.00284742072333;0.01802318373516;0.874;6.329652512357347;18.79327;2.9690839999999996;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.0;0.0;0.0;;0.0;0.0;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.97904386617235;11.70185840244574;93.83;11.952333094322915;12201.85;1020.876;2.0;enero
JAMON CURADO+PALETA;0.15561850446371;2.87922385386717;58.891;18.501809047641643;3002.246;162.26770000000002;3.0;enero
JAMON C.+P.ENTERO;0.0424915794324;0.47922758522388;7.914;11.278177738396115;499.7038;44.30714;4.0;enero
JAMON C.+P.LONCHA;0.11312696339223;2.39999703586192;56.111;21.21507520307628;2502.543;117.9606;4.0;enero
