Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.7397566673138;155.7733086141812;99.458;3.405643579330599;207499.53437;60928.141637999994;0.0;enero
T.HUEVOS KGS;0.78404121798757;2.36034535611084;79.812;3.0104863136777937;3144.12377;1044.390654;1.0;enero
T.HUEVOS UNDS.;12.41058523984722;2.36034535611084;79.812;0.19018807820056546;3144.12377;16531.6554;1.0;enero
TOTAL HUEVOS GALLINA;12.221025288687;2.34453994516542;79.962;0.19184478305071212;3123.07;16279.15;2.0;enero
OTRAS AVES;0.18955995116022;0.01580541094542;3.103;0.08337948416152685;21.05377;252.50539999999998;2.0;enero
MIEL;0.02689799683999;0.16004335783698;7.03;5.950010284743665;213.1875;35.829769999999996;1.0;enero
GRANEL;0.00715353852649;0.04292123566327;0.912;6.000000629660206;57.1737;9.528949;2.0;enero
ENVASADA;0.01974445756278;0.11712212217371;6.265;5.931898701257222;156.01379999999997;26.300819999999998;2.0;enero
TOTAL CARNE;3.87199938273479;33.83579523101697;98.007;8.738584872169763;45071.34;5157.739;1.0;enero
CARNE CERTIFICADA;0.55909177837328;6.65383690042932;56.274;11.901153187745109;8863.316;744.7443000000001;2.0;enero
CARNE FRESCA;2.99861364183712;23.79392705908619;94.163;7.934975925911091;31694.96;3994.336;2.0;enero
SALCHICHAS FRESCAS;0.06203865733214;0.59160530673644;11.916;9.536075282368781;788.0543;82.63927000000001;3.0;enero
CARNE VACUNO;0.33263246335225;4.39051020882784;54.679;13.19928357136425;5848.427;443.0867;3.0;enero
TERNERA;0.27152654865657;3.52218880093266;48.991;12.971802640881043;4691.77;361.6899;4.0;enero
AÑOJO;0.04286307015467;0.62733467904901;17.054;14.635784995924423;835.648;57.09622;4.0;enero
MAYOR;0.018242844541;0.24098687898945;5.71;13.209939845057198;321.0092;24.30058;4.0;enero
CARNE POLLO;1.19548212444114;6.30774611851266;83.542;5.27631989600962;8402.302;1592.455;3.0;enero
POLLO ENTERO;0.26023817591838;1.07614298652136;16.586;4.135223368837607;1433.488;346.6531;4.0;enero
POLLO FILETES;0.13975584702674;1.13051962932738;36.734;8.08924745102821;1505.921;186.1633;4.0;enero
POLLO POR PIEZAS;0.79548840178258;4.10108350266391;75.156;5.15542840533427;5462.893;1059.639;4.0;enero
