Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.34227433136203;133.01735602323942;99.604;2.9997865023616983;292568.226856;97529.68307099999;0.0;enero
T.HUEVOS KGS;0.70721774884787;2.236777374726;73.337;3.1627845573303546;4919.73386;1555.507108;1.0;enero
T.HUEVOS UNDS.;11.18862050522467;2.236777374726;73.337;0.1999153848932058;4919.73386;24609.0808;1.0;enero
TOTAL HUEVOS GALLINA;11.02465821843761;2.22147377997333;72.906;0.2015004670401613;4886.074;24248.45;2.0;enero
OTRAS AVES;0.16396228678706;0.01530359475267;2.335;0.09333606558286205;33.65986;360.63079999999997;2.0;enero
MIEL;0.02244479734189;0.15620038581726;6.005;6.959313708113253;343.5587;49.36675;1.0;enero
GRANEL;0.00756549492718;0.05666218169776;1.238;7.489553855112736;124.627;16.64011;2.0;enero
ENVASADA;0.01487930696124;0.0995382041195;4.89;6.689707012480654;218.9317;32.72665;2.0;enero
TOTAL CARNE;3.63028783565778;30.00292232544925;98.235;8.264612527621493;65990.65;7984.724;1.0;enero
CARNE CERTIFICADA;0.45768804862699;4.08849691793098;45.985;8.93293353452412;8992.543;1006.673;2.0;enero
CARNE FRESCA;2.49673821946518;17.75149811614141;92.643;7.1098755879756945;39043.96;5491.511;2.0;enero
SALCHICHAS FRESCAS;0.01339037375273;0.11916566887521;6.137;8.899353451641971;262.10179999999997;29.45178;3.0;enero
CARNE VACUNO;0.25922478696327;3.01841838385986;44.662;11.644019151175938;6638.933;570.1582;3.0;enero
TERNERA;0.19113187270055;2.15942212808174;34.861;11.298074452840888;4749.593;420.3896;4.0;enero
AÑOJO;0.05396030853083;0.68954847584254;14.117;12.778808991585239;1516.644;118.68430000000001;4.0;enero
MAYOR;0.01413263755767;0.1694478708664;4.382;11.989826398283125;372.69620000000003;31.08437;4.0;enero
CARNE POLLO;1.01437476330372;5.23682461234022;80.36;5.162613268575778;11518.26;2231.091;3.0;enero
POLLO ENTERO;0.23232440176698;0.85312621615668;18.767;3.672133489500315;1876.429;510.9915;4.0;enero
POLLO FILETES;0.13170848547038;0.9492155503547;29.081;7.206943022423326;2087.775;289.68940000000003;4.0;enero
POLLO POR PIEZAS;0.65034183060093;3.43448193652054;71.581;5.281041100104166;7554.054;1430.41;4.0;enero
CARNE CONEJO;0.01906569409842;0.16738205884348;4.74;8.77922712802108;368.1525;41.9345;3.0;enero
CARNE OVINO/CAPRINO;0.07921511852722;1.17926463547035;7.27;14.886863232616815;2593.762;174.23160000000001;3.0;enero
CORDERO;0.07921511852722;1.17926463547035;7.27;14.886863232616815;2593.762;174.23160000000001;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.06100749319012;0.9339923657335;3.143;15.309469655190918;2054.292;134.18439999999998;4.0;enero
OVINO/CAPRINO PIEZ;0.01820760260439;0.24527190601353;5.813;13.470851234107794;539.4692;40.04715;4.0;enero
CARNE CERDO;0.86840986977871;6.42141688504114;79.685;7.39445405736514;14123.74;1910.045;3.0;enero
CARNE CERDO ADOBAD;0.11510278853558;0.88824279274099;26.554;7.716952856154232;1953.667;253.1656;4.0;enero
CARN.CERDO IBERICO;0.01451584734741;0.1990805910571;3.655;13.714706850547323;437.8726;31.927229999999998;4.0;enero
CARNE DESPOJOS;0.05430866453408;0.33691340421027;9.759;6.203676836848737;741.0323000000001;119.4505;3.0;enero
DESPOJOS CERDO;0.02596124705497;0.19949955484853;5.65;7.6845135530687765;438.79409999999996;57.10109;4.0;enero
DESPOJOS CORDERO;0.00058454882977;0.00231001676473;0.407;3.951794353270592;5.080822;1.2857;4.0;enero
DESPOJOS POLLO;0.02136496647648;0.09155288610455;5.282;4.285187444843971;201.3682;46.991690000000006;4.0;enero
DESPOJOS TERNERA;0.00369853551419;0.0264728420812;0.785;7.157655233979604;58.226330000000004;8.134833;4.0;enero
DESPOJOS OT.PROCED;0.00269935210971;0.01707811441364;0.843;6.3267457224882975;37.562870000000004;5.937155;4.0;enero
OTRAS CARNES FRESCA;0.20213914039807;1.39128304664079;40.741;6.8827988676558105;3060.091;444.5998;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.07624445383181;0.5796126497639;25.363;7.6020303200342045;1274.843;167.6977;4.0;enero
OTRAS AVES;0.0162308573278;0.10573864090558;6.278;6.5146676340045415;232.5694;35.699349999999995;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.09748848685319;0.45732705323861;13.114;4.6910878197062456;1005.879;214.4234;2.0;enero
C.CONG.POLLO;0.07557688515579;0.28134130128226;10.525;3.7225839713071216;618.8029;166.2294;3.0;enero
C.CONG.CERDO;0.01493449742748;0.10975701060476;2.853;7.349226924955036;241.4077;32.84804;3.0;enero
C.CONG.VACA;0.00371122582058;0.02226524532831;0.249;5.9994315637692965;48.971830000000004;8.162745;3.0;enero
RESTO CARNES CONG.;0.00326586799228;0.04396334144085;1.322;13.461456967877233;96.69623;7.183192;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;1.03606131120106;11.79409670141508;93.54;11.383589536552293;25940.81;2278.79;2.0;enero
JAMON CURADO+PALETA;0.26924500051951;4.66659738802013;55.118;17.33215985075247;10264.06;592.1974;3.0;enero
JAMON C.+P.ENTERO;0.16621932634191;2.44004375732336;13.917;14.679663376232341;5366.813;365.5951;4.0;enero
JAMON C.+P.LONCHA;0.10302571964301;2.22655363069676;50.973;21.611629003046747;4897.247;226.6024;4.0;enero
JAMON CURADO NORMAL;0.13767436618484;2.13957420153279;48.739;15.540832043200517;4705.938;302.8112;3.0;enero
JAMON C.N.ENTER/PI;0.06675486712416;0.81945998628389;10.979;12.275659013142123;1802.381;146.8256;4.0;enero
JAMON C.N.LONCHA;0.07091945359526;1.32011466990303;45.449;18.614281455648122;2903.558;155.9855;4.0;enero
JAMON IBERICO;0.09798883373595;2.01005187503659;7.668;20.5130707081674;4421.057;215.5239;3.0;enero
JAMON IBE.ENTER/PI;0.07300672529366;1.33426805332919;1.879;18.27596085103415;2934.688;160.5764;4.0;enero
JAMON IBE.LONCHA;0.02498210389575;0.6757838217074;5.949;27.05071696632549;1486.369;54.947489999999995;4.0;enero
PALETA CURADA NORM.;0.0037545789116;0.07470117581377;5.004;19.89601965294918;164.30329999999998;8.258099;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.0037545789116;0.07470117581377;5.004;19.89601965294918;164.30329999999998;8.258099;4.0;enero
PALETA IBERICA;0.02982722577899;0.4422699083099;4.344;14.827725232877581;972.7611999999999;65.60421000000001;3.0;enero
PALETA IB.ENTER/PI;0.02645767481904;0.28631558131403;1.58;10.821645638639856;629.7437;58.19297;4.0;enero
PALETA IBE.LONCHA;0.00336955005064;0.15595432699586;2.749;46.28342795090375;343.0175;7.411238;4.0;enero
HUESOS JAMON CURADO;0.00986300324717;0.05347469244225;3.994;5.421745395608438;117.61619999999999;21.69342;3.0;enero
LOMO EMBUCHADO N+IB;0.02287347709232;0.52271859445395;20.165;22.85260751323504;1149.706;50.30962;3.0;enero
LOMO EMB.AL CORTE;0.00727528918864;0.19661722945282;6.608;27.02534900739354;432.4545;16.00181;4.0;enero
LOMO EMB.ENVASADO;0.01559818790368;0.32610109220864;15.012;20.906344648638314;717.2509;34.307809999999996;4.0;enero
LOMO EMB.NORMAL;0.01908377569363;0.36741765092489;18.393;19.252880395537552;808.1256;41.97427;4.0;enero
LOMO E.N.AL CORTE;0.0056584708632;0.12891599973303;5.394;22.782833533938742;283.54740000000004;12.44566;5.0;enero
LOMO E.N.ENVASADO;0.01342530483043;0.23850169665727;14.348;17.765086131721066;524.5783;29.52861;5.0;enero
LOMO EMB.IBERICO;0.00378969821611;0.15530067073657;2.824;40.979693337154806;341.5798;8.335343;4.0;enero
LOMO E.I.AL CORTE;0.00161681650682;0.06770127518519;2.65;41.873196432317464;148.90720000000002;3.556146;5.0;enero
LOMO E.I.ENVASADO;0.00217288170928;0.08759944101678;0.835;40.31486879490426;192.67270000000002;4.779197;5.0;enero
