Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;51.37522662231242;178.56902364581816;99.575;3.4757807485420433;1308740.24929;376531.30159;0.0;enero
T.HUEVOS KGS;0.77587581163326;2.60732487591395;85.74;3.3604925386517337;19109.199;5686.42804;1.0;enero
T.HUEVOS UNDS.;12.36266377403346;2.60732487591395;85.74;0.21090316161395384;19109.199;90606.508;1.0;enero
TOTAL HUEVOS GALLINA;12.07868840542468;2.58593477403306;85.574;0.2140906932305408;18952.43;88525.24;2.0;enero
OTRAS AVES;0.28397536860878;0.02139010188088;3.162;0.07532379299542394;156.769;2081.268;2.0;enero
MIEL;0.04615472295701;0.31946403485667;12.184;6.921589263014752;2341.366;338.27;1.0;enero
GRANEL;0.0240873158325;0.16551544558329;3.052;6.871477367350753;1213.07;176.537;2.0;enero
ENVASADA;0.0220674071245;0.15394858927337;8.366;6.976288079736356;1128.296;161.733;2.0;enero
TOTAL CARNE;4.12150746886453;37.95872915809358;97.696;9.20991395620377;278201.2;30206.71;1.0;enero
CARNE CERTIFICADA;0.56954330506679;6.07472125822507;51.317;10.665951481095338;44521.9;4174.208;2.0;enero
CARNE FRESCA;3.03948368906231;23.47703160735484;92.038;7.724019606302783;172064.2;22276.51;2.0;enero
SALCHICHAS FRESCAS;0.04186513217699;0.38378920380544;13.347;9.167275578705437;2812.808;306.83140000000003;3.0;enero
CARNE VACUNO;0.37047314257545;4.91830714968134;55.536;13.275745484517978;36046.49;2715.214;3.0;enero
TERNERA;0.31430879230639;4.19279098044304;50.555;13.339719037690415;30729.15;2303.583;4.0;enero
AÑOJO;0.04026971265985;0.52737764256554;10.185;13.096136220791255;3865.174;295.1385;4.0;enero
MAYOR;0.01589471947528;0.19813893600307;3.775;12.465708269416815;1452.169;116.49310000000001;4.0;enero
CARNE POLLO;1.22085852906037;6.80592575453961;83.091;5.574704679155351;49880.93;8947.726;3.0;enero
POLLO ENTERO;0.21939805218012;0.87732778133086;18.282;3.9987947596297957;6429.974;1607.978;4.0;enero
POLLO FILETES;0.16721771395948;1.27187391317747;37.134;7.606095568832178;9321.62;1225.546;4.0;enero
POLLO POR PIEZAS;0.83424276292077;4.65672460580504;74.462;5.581977828014186;34129.34;6114.202;4.0;enero
CARNE CONEJO;0.0569342187434;0.50179790836988;9.974;8.813643524844862;3677.699;417.27340000000004;3.0;enero
CARNE OVINO/CAPRINO;0.07241214443792;1.18112415224326;12.934;16.311133462643944;8656.511;530.7118;3.0;enero
CORDERO;0.04832462394025;0.74450295634056;10.371;15.40628556698091;5456.495;354.1733;4.0;enero
CABRITO;0.02174580993288;0.41154807620533;2.706;18.92539654653147;3016.254;159.376;4.0;enero
OTRO OVINO/CAPRINO;0.00234171329365;0.02507310605301;0.807;10.707163050647573;183.7619;17.16252;4.0;enero
OVINO/CAPRINO ENTE;0.01538395709636;0.20133198542111;0.953;13.087139034516278;1475.571;112.74969999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.05702818734156;0.97979230326558;12.445;17.18084247351614;7180.941;417.96209999999996;4.0;enero
CARNE CERDO;0.98215031882162;7.59319213209864;77.536;7.731191434330389;55650.84;7198.223;3.0;enero
CARNE CERDO ADOBAD;0.05861627984589;0.4793696083426;15.863;8.17809676088038;3513.321;429.6013;4.0;enero
CARN.CERDO IBERICO;0.03102049829163;0.40763365031207;7.165;13.140783441961446;2987.565;227.35060000000001;4.0;enero
CARNE DESPOJOS;0.07790298327692;0.47675112225673;14.739;6.119805714782125;3494.13;570.9544000000001;3.0;enero
DESPOJOS CERDO;0.03140232161833;0.21736354402388;7.596;6.92189407731513;1593.067;230.149;4.0;enero
DESPOJOS CORDERO;0.00448917615294;0.03450735137225;1.566;7.686789334304316;252.9059;32.90137;4.0;enero
DESPOJOS POLLO;0.02368257000763;0.10897137321652;6.285;4.601332253273307;798.656;173.5706;4.0;enero
DESPOJOS TERNERA;0.01174727274375;0.08180237310293;2.726;6.963520375096346;599.5332;86.09628;4.0;enero
DESPOJOS OT.PROCED;0.00658165366974;0.03410656240718;1.224;5.182065802700528;249.9685;48.237230000000004;4.0;enero
OTRAS CARNES FRESCA;0.25875229756921;1.99993748146861;49.221;7.7291583505017645;14657.63;1896.407;3.0;enero
AVESTRUZ;0.00013967073822;0.00110708270938;0.117;7.926375441677991;8.113858;1.023653;4.0;enero
PAVO;0.11614576039154;0.89995678966059;28.126;7.748511754770174;6595.823;851.2374;4.0;enero
OTRAS AVES;0.03428332488565;0.25982474301942;10.064;7.578749840804891;1904.267;251.264;2.0;enero
CARNE CABALLO;0.00136648106664;0.01555175524072;0.312;11.380878681977034;113.9795;10.015;4.0;enero
CARNE CONGELADA;0.06121990724099;0.39101906888377;10.467;6.387122857676482;2865.796;448.6834;2.0;enero
C.CONG.POLLO;0.04083492961627;0.16248681051227;6.046;3.9791132748153073;1190.873;299.281;3.0;enero
C.CONG.CERDO;0.01093720120938;0.10328030362712;2.919;9.44302858198613;756.9459;80.15923;3.0;enero
C.CONG.VACA;0.0013219144089;0.01611353382241;0.828;12.189543977938909;118.0968;9.688369;3.0;enero
RESTO CARNES CONG.;0.00812587005659;0.10913846185499;2.263;13.430987832059381;799.8806;59.55486;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;1.0208039271386;14.0906779360812;94.352;13.803510705115018;103271.2;7481.517;2.0;enero
JAMON CURADO+PALETA;0.2192056669276;5.13043303931627;58.021;23.40465514064764;37601.17;1606.568;3.0;enero
JAMON C.+P.ENTERO;0.1110959476885;1.92380476997911;7.983;17.31660614096485;14099.65;814.2271;4.0;enero
JAMON C.+P.LONCHA;0.1081096919504;3.20662826933715;54.887;29.660876943466366;23501.52;792.3407;4.0;enero
JAMON CURADO NORMAL;0.15270654462537;2.42311272198502;46.09;15.867772582566188;17759.1;1119.193;3.0;enero
JAMON C.N.ENTER/PI;0.07881266534577;0.95668260469144;4.691;12.13869116713973;7011.569;577.6215;4.0;enero
JAMON C.N.LONCHA;0.07389381105788;1.46642998085013;43.755;19.845098795910417;10747.53;541.571;4.0;enero
JAMON IBERICO;0.03488390798211;2.0626373361422;14.462;59.128619912643735;15117.16;255.66570000000002;3.0;enero
JAMON IBE.ENTER/PI;0.01342627069098;0.74473340931325;1.915;55.468374387320225;5458.184;98.40173;4.0;enero
JAMON IBE.LONCHA;0.02145762774008;1.3179037903855;13.541;61.41889524550771;9658.975;157.2639;4.0;enero
PALETA CURADA NORM.;0.00781856531546;0.13775861983502;4.716;17.619424315925574;1009.639;57.30261;3.0;enero
PALETA C.N.ENTR/PI;0.00125943491038;0.00932615346044;0.081;7.405030131778999;68.35179;9.230454;4.0;enero
PALETA C.N.LONCHA;0.00655912958641;0.12843241043276;4.642;19.580709412830508;941.2868000000001;48.07215;4.0;enero
PALETA IBERICA;0.02379670494645;0.50692518001466;5.218;21.3023265681271;3715.277;174.4071;3.0;enero
PALETA IB.ENTER/PI;0.01759757455826;0.21306216453051;1.03;12.107473323956722;1561.542;128.9734;4.0;enero
PALETA IBE.LONCHA;0.00619912220158;0.29386301548414;4.239;47.40397203481826;2153.735;45.43364;4.0;enero
HUESOS JAMON CURADO;0.00536183429393;0.03287832583547;3.47;6.131917555281405;240.9667;39.29712;3.0;enero
LOMO EMBUCHADO N+IB;0.02060109039171;0.59654628080076;16.418;28.957024577726585;4372.114;150.9863;3.0;enero
LOMO EMB.AL CORTE;0.01040567623196;0.36853100662911;5.789;35.416343773692475;2700.98;76.26366;4.0;enero
