Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.45623537324469;148.1690755215591;99.341;3.122225653935778;772121.21216;247298.337065;0.0;enero
T.HUEVOS KGS;0.77176553721471;2.45313129567468;84.084;3.1785965780850898;12783.4685;4021.73355;1.0;enero
T.HUEVOS UNDS.;12.23865412104676;2.45313129567468;84.084;0.2004412635091998;12783.4685;63776.631;1.0;enero
TOTAL HUEVOS GALLINA;12.02553696304158;2.42825383292079;84.23;0.20192477395259892;12653.83;62666.06;2.0;enero
OTRAS AVES;0.21311715800517;0.02487746275389;2.348;0.11673139313020059;129.6385;1110.571;2.0;enero
MIEL;0.03306008192231;0.22393659997286;9.373;6.7736250774906726;1166.952;172.2788;1.0;enero
GRANEL;0.01336368514645;0.11186062561229;2.847;8.370492449230506;582.9149;69.63926;2.0;enero
ENVASADA;0.0196963890999;0.11207597436056;6.512;5.690178732359374;584.0371;102.6395;2.0;enero
TOTAL CARNE;3.80889223184101;31.45310281620134;97.467;8.257808544244009;163904.7;19848.45;1.0;enero
CARNE CERTIFICADA;0.45183533290375;4.40741859557949;50.893;9.754479728831527;22967.42;2354.551;2.0;enero
CARNE FRESCA;2.83287229284269;20.79817562475461;94.311;7.341727220567485;108381.0;14762.33;2.0;enero
SALCHICHAS FRESCAS;0.0142376283971;0.1162529379403;5.63;8.165189784273409;605.8036;74.19345;3.0;enero
CARNE VACUNO;0.29171983492066;3.81879996297014;52.27;13.090642136173708;19900.08;1520.176;3.0;enero
TERNERA;0.20633660848519;2.67483409854879;41.875;12.963448988455568;13938.78;1075.237;4.0;enero
AÑOJO;0.07284792202558;0.96397656696785;18.996;13.232725658658147;5023.361;379.6165;4.0;enero
MAYOR;0.01253518351369;0.17998895203578;6.073;14.358700998608887;937.9372;65.32187;4.0;enero
CARNE POLLO;1.20188761583254;6.40664253187616;85.775;5.330483855130058;33385.54;6263.135;3.0;enero
POLLO ENTERO;0.280251967164;1.06279059320957;22.086;3.792268093474736;5538.289;1460.416;4.0;enero
POLLO FILETES;0.15195446742113;1.13603238736652;40.143;7.476136810233085;5919.958;791.8471999999999;4.0;enero
POLLO POR PIEZAS;0.76968121962715;4.20781897560389;78.156;5.46696329376754;21927.29;4010.872;4.0;enero
CARNE CONEJO;0.07130511385283;0.63911044921797;17.732;8.963038058350252;3330.457;371.5768;3.0;enero
CARNE OVINO/CAPRINO;0.04414023749665;0.76129793196286;14.45;17.247255002208522;3967.186;230.01839999999999;3.0;enero
CORDERO;0.04357221727309;0.75280929189901;14.217;17.2772775638338;3922.951;227.0584;4.0;enero
CABRITO;0.00023242351294;0.00650812817215;0.143;28.001160853318005;33.91439;1.211178;4.0;enero
OTRO OVINO/CAPRINO;0.00033558845896;0.0019805272436;0.081;5.9016548117286405;10.32069;1.748779;4.0;enero
OVINO/CAPRINO ENTE;0.00270315451226;0.04962775422327;0.349;18.35919996365278;258.6143;14.08636;4.0;enero
OVINO/CAPRINO PIEZ;0.04143707530844;0.7116702353092;14.096;17.174721671637368;3708.572;215.932;4.0;enero
CARNE CERDO;0.88000264476272;6.5862424668183;79.604;7.484343946027773;34321.45;4585.766;3.0;enero
CARNE CERDO ADOBAD;0.07741058285104;0.63775890650361;20.195;8.238652688235218;3323.414;403.3929;4.0;enero
CARN.CERDO IBERICO;0.01025303753138;0.10538625050673;3.766;10.278539426405903;549.1764000000001;53.42942;4.0;enero
CARNE DESPOJOS;0.06223333194595;0.35705751252759;14.601;5.737399900710138;1860.656;324.303;3.0;enero
DESPOJOS CERDO;0.02118707757916;0.13674238689761;6.459;6.454046641716694;712.5758000000001;110.4076;4.0;enero
DESPOJOS CORDERO;0.00518414211458;0.04475634754049;3.238;8.633318020846945;233.229;27.01499;4.0;enero
DESPOJOS POLLO;0.03145876382856;0.14682760515672;6.613;4.66730371087912;765.1306999999999;163.9342;4.0;enero
DESPOJOS TERNERA;0.00215272180677;0.01334389463103;0.737;6.198615440706507;69.53613;11.21801;4.0;enero
DESPOJOS OT.PROCED;0.00225064196876;0.01538729941059;1.071;6.83684905203491;80.18448;11.72828;4.0;enero
OTRAS CARNES FRESCA;0.28158432000594;2.22902841545733;53.965;7.916024640186894;11615.65;1467.359;3.0;enero
AVESTRUZ;0.00052489693415;0.00314938237254;0.146;6.000001462372604;16.41169;2.735281;4.0;enero
PAVO;0.09231835037777;0.75935399788698;27.043;8.225385254173695;3957.056;481.0785;4.0;enero
OTRAS AVES;0.02192441004706;0.12765179891576;7.892;5.822359581933989;665.204;114.2499;2.0;enero
CARNE CABALLO;0.00942272437466;0.14433902412188;2.285;15.3181838269631;752.1625;49.10259;4.0;enero
CARNE CONGELADA;0.08897179014715;0.49660626474728;12.94;5.581614845851075;2587.856;463.6393;2.0;enero
C.CONG.POLLO;0.05283110043604;0.21728826867383;7.533;4.1128855329609975;1132.307;275.3072;3.0;enero
C.CONG.CERDO;0.01202934615271;0.10039644231113;2.506;8.345960041100144;523.1741;62.68591000000001;3.0;enero
C.CONG.VACA;0.00057983197382;0.00428967721437;0.12;7.398138440112896;22.35386;3.0215520000000002;3.0;enero
RESTO CARNES CONG.;0.02353152348227;0.17463194563147;3.767;7.4211916522527686;910.0214;122.62469999999999;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00344486419005;0.02292715764036;0.346;6.655460527745082;119.4753;17.95147;3.0;enero
CARNE TRANSFORMADA;0.88704724692716;10.15831056416834;93.365;11.4518258180248;52935.79;4622.476;2.0;enero
JAMON CURADO+PALETA;0.18654014420063;3.41263096135691;57.864;18.294351470461155;17783.5;972.076;3.0;enero
JAMON C.+P.ENTERO;0.07623746757042;0.85724383987307;8.307;11.244390287245988;4467.168;397.2797;4.0;enero
JAMON C.+P.LONCHA;0.11030267663021;2.55538865667363;55.037;23.167059356505945;13316.34;574.7963000000001;4.0;enero
JAMON CURADO NORMAL;0.14505294494543;2.45308936580345;52.034;16.911682604763595;12783.25;755.8828000000001;3.0;enero
JAMON C.N.ENTER/PI;0.05004002944229;0.52930753443512;6.477;10.577682314226688;2758.265;260.7627;4.0;enero
JAMON C.N.LONCHA;0.09501291550314;1.92378279086194;49.719;20.247592452821042;10024.99;495.1201;4.0;enero
JAMON IBERICO;0.03042187745223;0.75422032321786;8.123;24.79203738829465;3930.304;158.5309;3.0;enero
JAMON IBE.ENTER/PI;0.02054665396697;0.25524506872065;1.472;12.422707324066526;1330.103;107.0703;4.0;enero
JAMON IBE.LONCHA;0.00987523883715;0.49897544639593;7.071;50.52793705796348;2600.202;51.46068;4.0;enero
PALETA CURADA NORM.;0.00466718038457;0.07786785832088;2.942;16.684133010650026;405.7758;24.321060000000003;3.0;enero
PALETA C.N.ENTR/PI;0.00031992069572;0.00528464715238;0.178;16.518616091217677;27.53873;1.667133;4.0;enero
PALETA C.N.LONCHA;0.00434726026453;0.07258321692545;2.748;16.696312736907018;378.2371;22.65393;4.0;enero
PALETA IBERICA;0.00639815101333;0.12745329887547;1.919;19.92033301650896;664.1696;33.34129;3.0;enero
PALETA IB.ENTER/PI;0.00533088323098;0.06740669127123;0.294;12.644563452337627;351.2618;27.77967;4.0;enero
PALETA IBE.LONCHA;0.00106726759044;0.06004660760424;1.619;56.26199852956487;312.9078;5.561618999999999;4.0;enero
HUESOS JAMON CURADO;0.00992135977651;0.05145913969743;6.91;5.186702312642962;268.1578;51.70102;3.0;enero
LOMO EMBUCHADO N+IB;0.0181552888258;0.46638605366428;17.325;25.688715731217112;2430.376;94.6087;3.0;enero
LOMO EMB.AL CORTE;0.00670523118972;0.1993154179651;5.188;29.725361039062133;1038.649;34.94151;4.0;enero
LOMO EMB.ENVASADO;0.01145005571708;0.26707063569918;12.587;23.324832847806785;1391.727;59.66718;4.0;enero
LOMO EMB.NORMAL;0.01443537235641;0.29211610578608;14.853;20.23613236801969;1522.241;75.22391;4.0;enero
LOMO E.N.AL CORTE;0.00501928000166;0.11282900414409;4.008;22.47912132950602;587.9612;26.15588;5.0;enero
LOMO E.N.ENVASADO;0.00941609235475;0.1792871592116;11.427;19.04050560008217;934.2801;49.06803;5.0;enero
LOMO EMB.IBERICO;0.00371991646939;0.17426989030857;3.301;46.847796648815894;908.1347;19.384790000000002;4.0;enero
LOMO E.I.AL CORTE;0.00168595176376;0.08648647139062;1.437;51.29830713393103;450.68809999999996;8.785633;5.0;enero
LOMO E.I.ENVASADO;0.00203396336233;0.08778341891795;1.658;43.158800469849;457.4466;10.59915;5.0;enero
OTRAS SALAZONES;0.03840588144112;0.28756445994739;15.922;7.487511005005591;1498.522;200.1362;3.0;enero
O.SALAZONES AL COR;0.01496645975151;0.11089691021949;6.415;7.409695549960926;577.8929;77.99145;4.0;enero
O.SALAZONES ENVASA;0.02343943128454;0.17666745377854;9.945;7.537190285628205;920.6286;122.1448;4.0;enero
TOCINO Y MANTECA;0.0445367002608;0.33925833016424;26.465;7.6175003576285185;1767.903;232.0844;3.0;enero
TOCINO;0.0036065484601;0.02336752683259;3.405;6.479193913808754;121.7701;18.79402;4.0;enero
CHORIZOS;0.06292683474525;0.66786436214955;35.124;10.61334746699545;3480.296;327.9169;3.0;enero
CHOR.IBERICO;0.00696407186484;0.10874605174932;6.137;15.615297179553242;566.6845999999999;36.29035;4.0;enero
CHOR.NORMAL;0.05596277247534;0.55911823364073;32.001;9.99089589221285;2913.611;291.6266;4.0;enero
CHORIZO DE PAVO;0.00081416449528;0.01294871183137;1.267;15.904294410275774;67.4768;4.242678;4.0;enero
CHORIZO DE CERDO;0.0614940229212;0.64816231203728;33.995;10.540248974568295;3377.627;320.4504;4.0;enero
SALCHICHON/SALAMI;0.03153496681193;0.37216435579078;22.96;11.801640953366766;1939.379;164.3313;3.0;enero
SALCHICHON DE PAVO;0.00107222970765;0.01743361145582;1.443;16.25921323702988;90.84797999999999;5.587477;4.0;enero
SALCHICHON DE CERD;0.03018123645211;0.35050359540086;22.032;11.61329476865325;1826.503;157.27689999999998;4.0;enero
FUET/LONGANIZAS;0.06673124614188;0.81531895800777;34.663;12.217948939156042;4248.694;347.742;3.0;enero
