Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.83003099962279;160.2125963991045;99.629;3.349623511646229;440385.80520999996;131473.22488;0.0;enero
T.HUEVOS KGS;0.73533092779003;2.52066450494111;66.503;3.427932118286823;6928.699070000001;2021.2474550000002;1.0;enero
T.HUEVOS UNDS.;11.65399887883205;2.52066450494111;66.503;0.2162918094594613;6928.699070000001;32034.0335;1.0;enero
TOTAL HUEVOS GALLINA;11.45909146299476;2.5029644915091;66.149;0.21842608548784254;6880.046;31498.28;2.0;enero
OTRAS AVES;0.19490741583729;0.01770001343201;1.957;0.09081241653110991;48.65307;535.7535;2.0;enero
MIEL;0.03138888209769;0.25881407495504;7.08;8.245405941808151;711.4175;86.28047000000001;1.0;enero
GRANEL;0.02058039334119;0.19704270676216;5.02;9.574292555807316;541.6229000000001;56.57054;2.0;enero
ENVASADA;0.0108084887565;0.06177133181283;2.497;5.715075733938114;169.7945;29.70993;2.0;enero
TOTAL CARNE;3.55025458579085;28.98947561441623;97.481;8.165463888263243;79685.08;9758.794;1.0;enero
CARNE CERTIFICADA;0.77984066766587;7.64262364484343;53.415;9.800237358380365;21007.73;2143.594;2.0;enero
CARNE FRESCA;2.67672836531197;19.77294166728473;92.951;7.386981033833895;54351.05;7357.681;2.0;enero
SALCHICHAS FRESCAS;0.00317399423486;0.03031145403857;1.823;9.54993985359695;83.31888000000001;8.724545;3.0;enero
CARNE VACUNO;0.39312905464892;4.71644124692493;52.335;11.997183090771292;12964.36;1080.617;3.0;enero
TERNERA;0.38103741590053;4.57609427227761;49.759;12.009566728408027;12578.58;1047.38;4.0;enero
AÑOJO;0.00952302499314;0.11370447821949;3.404;11.939953775332837;312.5462;26.1765;4.0;enero
MAYOR;0.00256830416097;0.0266406847011;1.48;10.372869812649327;73.22882000000001;7.059649;4.0;enero
CARNE POLLO;1.03793314423787;5.06859289947071;75.636;4.883352003555521;13932.34;2853.028;3.0;enero
POLLO ENTERO;0.2701115734915;1.04066819674292;22.397;3.852734569241436;2860.546;742.4716;4.0;enero
POLLO FILETES;0.09318721882505;0.72085513853426;29.369;7.735558026337775;1981.457;256.1492;4.0;enero
POLLO POR PIEZAS;0.6746342791612;3.30707029179461;64.0;4.902019351738858;9090.339;1854.407;4.0;enero
CARNE CONEJO;0.05709369353214;0.47455343765909;8.417;8.311836357055835;1304.433;156.93679999999998;3.0;enero
CARNE OVINO/CAPRINO;0.13082653263804;1.86467606969953;6.644;14.25304204047378;5125.545;359.6106;3.0;enero
CORDERO;0.07049174004132;0.96252493085739;3.95;13.654435686977202;2645.749;193.76479999999998;4.0;enero
CABRITO;0.04480618456977;0.74686505857265;1.94;16.668793956548075;2052.952;123.1614;4.0;enero
OTRO OVINO/CAPRINO;0.01552858983692;0.1552858983692;0.83;10.0;426.8435;42.68435;4.0;enero
OVINO/CAPRINO ENTE;0.09813174118631;1.40505882725823;1.547;14.318087198622381;3862.168;269.7405;4.0;enero
OVINO/CAPRINO PIEZ;0.03269477326171;0.45961724244129;5.114;14.057820152542476;1263.377;89.87005;4.0;enero
CARNE CERDO;0.8711102210527;6.18129869753515;72.783;7.095885857090833;16990.9;2394.472;3.0;enero
CARNE CERDO ADOBAD;0.08072039257354;0.67786810221486;16.528;8.397730494152494;1863.296;221.8809;4.0;enero
CARN.CERDO IBERICO;0.01337145632727;0.12666785583627;5.181;9.47300374290129;348.17940000000004;36.75491;4.0;enero
CARNE DESPOJOS;0.03632103887838;0.21249982798181;7.495;5.850598841440585;584.1108;99.83778;3.0;enero
DESPOJOS CERDO;0.01865181388657;0.11079058136601;3.891;5.939936031944238;304.53659999999996;51.26934;4.0;enero
DESPOJOS CORDERO;0.0001330582307;0.00065064345215;0.133;4.889915104786121;1.788462;0.365745;4.0;enero
DESPOJOS POLLO;0.00773425772637;0.0357363386408;3.129;4.6205259644932335;98.23058;21.259610000000002;4.0;enero
DESPOJOS TERNERA;0.00627786955247;0.04731546245596;1.926;7.5368661391313925;130.0588;17.256349999999998;4.0;enero
DESPOJOS OT.PROCED;0.00352404057364;0.01800678824245;0.92;5.109699467457466;49.49632;9.686738;4.0;enero
OTRAS CARNES FRESCA;0.15031485494814;1.25488196185719;34.261;8.348356270510163;3449.368;413.1793;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08120712132408;0.68274412093329;23.53;8.40744148790335;1876.699;223.2188;4.0;enero
OTRAS AVES;0.00447253117083;0.03550288419241;1.473;7.937984742038944;97.58887;12.29391;2.0;enero
CARNE CABALLO;0.00060245734223;0.01355665627123;0.146;22.502267498384676;37.263980000000004;1.65601;4.0;enero
CARNE CONGELADA;0.05385303102822;0.24497230091987;8.79;4.548904606529802;673.3698;148.029;2.0;enero
C.CONG.POLLO;0.04044228787998;0.15274347825327;5.183;3.776825848887386;419.855;111.1661;3.0;enero
C.CONG.CERDO;0.01212331849993;0.07184642413457;3.328;5.9263001409191185;197.4885;33.32408;3.0;enero
C.CONG.VACA;0.00128743519851;0.02038237306598;0.93;15.831766204209334;56.026230000000005;3.5388490000000004;3.0;enero
RESTO CARNES CONG.;0.0;0.0;0.0;;0.0;0.0;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.81967318945066;8.97156157345151;92.215;10.945290987819362;24660.66;2253.084;2.0;enero
JAMON CURADO+PALETA;0.14324111713114;2.56546178731153;52.95;17.910093405391898;7051.836;393.7353;3.0;enero
JAMON C.+P.ENTERO;0.06492355440401;0.71278968042879;5.228;10.978907223611895;1959.287;178.4592;4.0;enero
JAMON C.+P.LONCHA;0.07831756272713;1.85267210688274;49.851;23.655895847239893;5092.549;215.2761;4.0;enero
JAMON CURADO NORMAL;0.12487290032221;2.11441386673196;47.445;16.93252788456076;5812.014;343.2455;3.0;enero
JAMON C.N.ENTER/PI;0.05438239720275;0.58002430916073;4.11;10.665662769485182;1594.347;149.4841;4.0;enero
JAMON C.N.LONCHA;0.07049050311946;1.53438955757123;45.206;21.767323109762835;4217.667;193.76139999999998;4.0;enero
JAMON IBERICO;0.01202083588611;0.31663755238252;6.281;26.340726666783695;870.3603;33.042379999999994;3.0;enero
JAMON IBE.ENTER/PI;0.00745947553595;0.08851911211867;0.286;11.86666699180172;243.3177;20.5043;4.0;enero
JAMON IBE.LONCHA;0.00456136035016;0.22811840388379;5.996;50.01104634840422;627.0425;12.53808;4.0;enero
PALETA CURADA NORM.;0.00513547762985;0.08465002055154;2.622;16.48337830533593;232.6825;14.116190000000001;3.0;enero
PALETA C.N.ENTR/PI;0.00274070305513;0.03674494655063;0.623;13.407124307695248;101.003;7.533532;4.0;enero
PALETA C.N.LONCHA;0.00239477384712;0.04790507400091;2.055;20.004007500923638;131.6795;6.582656;4.0;enero
PALETA IBERICA;0.00121188837712;0.04976034764549;2.138;41.060174009940596;136.7792;3.3311889999999997;3.0;enero
PALETA IB.ENTER/PI;0.00034095860114;0.00750119618257;0.179;22.000313696032812;20.61898;0.937213;4.0;enero
PALETA IBE.LONCHA;0.00087092977598;0.04225914418691;1.953;48.52187323515356;116.1602;2.3939760000000003;4.0;enero
HUESOS JAMON CURADO;0.0014195486392;0.00739425337406;0.767;5.208876377916232;20.325020000000002;3.9019969999999997;3.0;enero
LOMO EMBUCHADO N+IB;0.01490464279643;0.32750511143369;14.502;21.973361985702944;900.2325999999999;40.969269999999995;3.0;enero
LOMO EMB.AL CORTE;0.00284561658419;0.06482525549647;4.003;22.78074138887234;178.189;7.821914;4.0;enero
LOMO EMB.ENVASADO;0.01205902766744;0.26267985593721;11.763;21.782838814312814;722.0436;33.14736;4.0;enero
LOMO EMB.NORMAL;0.01360990939516;0.27622113072136;13.357;20.2955892431936;759.2653;37.41036;4.0;enero
LOMO E.N.AL CORTE;0.00209905748188;0.04232728402918;3.047;20.164899910794183;116.3475;5.769803;5.0;enero
LOMO E.N.ENVASADO;0.01151084936667;0.23389384669218;11.341;20.319425547280314;642.9178;31.640549999999998;5.0;enero
LOMO EMB.IBERICO;0.00129473631167;0.05128398071232;1.512;39.60959482629271;140.9673;3.5589180000000002;4.0;enero
LOMO E.I.AL CORTE;0.00074655910231;0.02249798601931;0.961;30.135572588422363;61.84154;2.052111;5.0;enero
LOMO E.I.ENVASADO;0.00054817720936;0.02878600924503;0.496;52.512232820792576;79.1258;1.506807;5.0;enero
OTRAS SALAZONES;0.02879709788567;0.28092616318316;11.275;9.755363693190231;772.1983;79.15628;3.0;enero
O.SALAZONES AL COR;0.0105776936901;0.09148983461744;3.985;8.649317828428234;251.4835;29.07553;4.0;enero
O.SALAZONES ENVASA;0.01821940419557;0.18943632856571;8.355;10.39750403098995;520.7148;50.08075;4.0;enero
TOCINO Y MANTECA;0.02510246687038;0.19655663285261;9.892;7.8301719853862215;540.2868000000001;69.00063;3.0;enero
TOCINO;0.00829023227284;0.07732031267035;3.506;9.326676277051147;212.5349;22.78785;4.0;enero
CHORIZOS;0.11714297546034;1.30386115697026;49.373;11.130510829577098;3584.0;321.9978;3.0;enero
CHOR.IBERICO;0.00409376387034;0.07242865052844;4.874;17.692434840488165;199.0889;11.25277;4.0;enero
CHOR.NORMAL;0.11304920067598;1.23143247006176;47.607;10.89288966837761;3384.911;310.745;4.0;enero
CHORIZO DE PAVO;0.00061287986407;0.01034172901794;0.607;16.87399052271112;28.42692;1.6846590000000001;4.0;enero
CHORIZO DE CERDO;0.11563684119978;1.28285786004633;49.214;11.093850772263572;3526.267;317.8578;4.0;enero
SALCHICHON/SALAMI;0.01971453348961;0.25305900497724;18.374;12.836165010472314;695.5981999999999;54.1905;3.0;enero
SALCHICHON DE PAVO;0.00087501853031;0.01345489034449;0.93;15.37669189656642;36.98425;2.405215;4.0;enero
SALCHICHON DE CERD;0.01868039769548;0.23659517488661;17.577;12.665424941346199;650.3430999999999;51.347910000000006;4.0;enero
FUET/LONGANIZAS;0.03065281536692;0.38328643087608;18.209;12.504118342408718;1053.562;84.2572;3.0;enero
FUET/LONGANIZ.PAVO;0.00064186203457;0.01334591752893;0.625;20.792501830729506;36.68471;1.764324;4.0;enero
FUET/LONGANIZ.CERD;0.02933837852808;0.35959795850196;17.635;12.256913181405762;988.4481;80.64413;4.0;enero
OTROS PROD.CURADOS;0.02636510214948;0.38681893417803;19.141;14.671626606446052;1063.272;72.47131;3.0;enero
O.PROD.CURAD.CORTE;0.00838278313175;0.11966473170525;7.812;14.275059944232877;328.9295;23.04225;4.0;enero
O.PROD.CURAD.ENVAS;0.01798231901773;0.26715434799299;12.856;14.856501418396384;734.3429;49.42906;4.0;enero
SALCHICHAS;0.1141816026356;0.45121199462583;29.361;3.9517048649754325;1240.273;313.8577;3.0;enero
JAMON COCIDO;0.08246052334531;0.89377717787362;42.768;10.838849204615991;2456.778;226.66410000000002;3.0;enero
J.COC.SIN/BAJO SAL;0.0074896236872;0.09384129582676;4.687;12.529507455371478;257.9471;20.587169999999997;4.0;enero
PALETA COCIDA;0.00013477209507;0.00137350058509;0.227;10.191283175329863;3.775422;0.370456;3.0;enero
FIAMBRES;0.15808272420697;1.36851870041501;55.315;8.656978219980932;3761.728;434.5313;3.0;enero
PAVO;0.08097290653254;0.81953931084972;37.559;10.121154666966191;2252.716;222.575;4.0;enero
POLLO;0.00555420478232;0.07011975398301;6.276;12.62462525798822;192.7423;15.26717;4.0;enero
PROD.A BASE SANGRE;0.00755450023857;0.07019236857199;1.86;9.291464207459489;192.9419;20.7655;3.0;enero
MORCILLA;0.00755450023857;0.07019236857199;1.86;9.291464207459489;192.9419;20.7655;4.0;enero
FOIE-GRAS Y PATES;0.00677047731983;0.06456586570715;6.02;9.536383131806339;177.476;18.610409999999998;3.0;enero
COCIDOS Y OTROS;0.0431481999613;0.41705257855583;29.528;9.665584634582308;1146.377;118.604;3.0;enero
COCIDOS Y O. CORTE;0.00415957538912;0.04889770379075;4.038;11.755455597371622;134.408;11.43367;4.0;enero
COCIDOS Y O.ENVASA;0.03898865003821;0.36815487476507;26.953;9.442616618021395;1011.969;107.1704;4.0;enero
COCIDOS DE PAVO;0.000850555854;0.01321012533712;0.942;15.531167383027945;36.311449999999994;2.337973;4.0;enero
COCIDOS DE CERDO;0.04177463461971;0.39750884942257;28.641;9.515555385253126;1092.656;114.82839999999999;4.0;enero
TOTAL PESCA;2.02853620123784;21.1803986677424;89.923;10.44122291473912;58219.81;5575.957;1.0;enero
PESCADOS;0.96090674602865;10.06980266180582;67.569;10.479479620081165;27679.46;2641.301;2.0;enero
PESCADOS FRESCOS;0.83756817450931;8.88635948557137;55.178;10.609714833992319;24426.46;2302.273;3.0;enero
PESCADOS CONGELADOS;0.12333857151933;1.18344135723171;28.657;9.595062944653538;3252.995;339.028;3.0;enero
MERLUZA/PESCAD;0.21071447680217;2.13435086425547;31.449;10.129113559953819;5866.816;579.2033;3.0;enero
MERLUZA/PESCAD.FRE;0.14513888267951;1.51888292309726;19.569;10.465031114034327;4175.043;398.9518;4.0;enero
MERLUZA/PESCAD.CON;0.06557559412266;0.61546830495876;15.205;9.38563063275479;1691.774;180.2515;4.0;enero
SARDINA/BOQUERON;0.05456229657276;0.29537213716518;13.714;5.413484323763524;811.9068000000001;149.9786;3.0;enero
BOQUERONES FRESCOS;0.02012528977212;0.12395394014294;5.109;6.159113311979829;340.7195;55.31957;4.0;enero
SARDINAS FRESCAS;0.0344369886106;0.17141819702223;10.529;4.977734811847751;471.1873;94.65898;4.0;enero
ATUN Y BONITO;0.01040106124899;0.10863528141111;1.5;10.444634332062144;298.61220000000003;28.59001;3.0;enero
TRUCHA FRESCA;0.01433047094665;0.15917157924123;4.717;11.10721202629737;437.5243;39.39101;3.0;enero
LENGUADO;0.0096326672017;0.14067388581798;2.48;14.603835352377152;386.67859999999996;26.477880000000003;3.0;enero
LENGUADO FRESCO;0.0096326672017;0.14067388581798;2.48;14.603835352377152;386.67859999999996;26.477880000000003;4.0;enero
LENGUADO CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
BACALAO;0.03425921747379;0.31383537867673;10.79;9.160611415506349;862.6578000000001;94.17033;3.0;enero
BACALAO FRESCO;0.02708476147562;0.19996347944596;7.253;7.382877623859831;549.6514;74.44948;4.0;enero
BACALAO CONGELADO;0.00717445236016;0.11387189923077;3.667;15.871859413696377;313.00640000000004;19.72084;4.0;enero
BACALADILLA;0.01988852110075;0.11036238812333;4.86;5.5490495026866355;303.3596;54.66875;4.0;enero
CABALLA FRESCA;0.00582906700886;0.03832202191767;2.12;6.5742977151166775;105.338;16.0227;3.0;enero
SALMON;0.14140090482916;1.81519555743404;30.58;12.837227312138355;4989.535;388.677;3.0;enero
SALMON FRESCO;0.13262006932997;1.66453993051442;26.022;12.551191828838817;4575.419;364.5406;4.0;enero
SALMON CONGELADO;0.00878085368921;0.15065580881988;4.394;17.157307723381027;414.1165;24.13645;4.0;enero
LUBINA;0.07140840827715;0.76539087377812;15.276;10.71849789463763;2103.875;196.2845;3.0;enero
DORADA;0.05636365497642;0.59511693861331;15.133;10.5585228435275;1635.833;154.9301;3.0;enero
RODABALLO;0.02575811185244;0.39245165803221;3.786;15.23604137913112;1078.755;70.80284;3.0;enero
RAPE;0.01390170653712;0.19627927131631;2.73;14.119077452264236;539.5244;38.21244;3.0;enero
OTROS PESCADOS;0.3123445240391;3.11500615912481;36.115;9.972981497619617;8562.401;858.5598;3.0;enero
OTROS PESCADOS FRE;0.27311994934678;2.84635400790375;28.43;10.421626156241121;7823.941;750.7409;4.0;enero
OTROS PESCADOS CON;0.03922457469231;0.26865211484099;10.779;6.849076553368659;738.4599000000001;107.8189;4.0;enero
PEZ ESPADA/EMPERDR;0.00512168231315;0.06521597728291;2.779;12.733311692416754;179.263;14.07827;4.0;enero
MARISCO/MOLUSCO/CRUS;0.75536634973228;7.04271654444054;52.641;9.323577290591045;19358.73;2076.32;2.0;enero
MARISCO/MOLUSC CONG;0.28572913075195;2.76430243275222;30.088;9.674555847621692;7598.401;785.4005;3.0;enero
MARISCO/MOLUSC FRES;0.42372649957274;3.707687816883;35.032;8.750191032709953;10191.54;1164.722;3.0;enero
MARISCO/MOLUSC COCI;0.04591082854774;0.57072483960312;12.514;12.431159655715076;1568.785;126.1978;3.0;enero
ALMEJAS,BERBERECHO;0.04147664559245;0.4063113674343;8.821;9.7961482089619;1116.852;114.0093;3.0;enero
ALMEJAS CONGELADO;0.01542726774684;0.11327464787435;1.429;7.3424957505852975;311.3647;42.40584;4.0;enero
BERBEREC.CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
ALMEJAS,BERB.FRESC;0.02604935965558;0.29303686508016;7.578;11.249292456881593;805.4876999999999;71.60341;4.0;enero
MEJILLON;0.16616473523729;0.58792460181831;17.256;3.538203223317602;1616.063;456.7468;3.0;enero
MEJILLON CONGELADO;0.00015274748005;0.00137586310583;0.132;9.007435705677528;3.7819160000000003;0.41986599999999996;4.0;enero
MEJILLON FRESCO;0.16601197538801;0.58654870815322;17.139;3.5331710666191274;1612.281;456.3269;4.0;enero
CALAMARES,PULPO;0.13948847811879;1.5240743568891;17.675;10.926166644323903;4189.313;383.4202;3.0;enero
CALAMARES CONGELAD;0.02086171302742;0.17481041883363;6.381;8.379485356922507;480.5117;57.34382;4.0;enero
PULPO CONGELADO;0.01807220685664;0.22202379885637;2.662;12.285372816809035;610.2899;49.67614;4.0;enero
CALAMAR Y PULPO FR;0.1005545436827;1.12724035747941;10.95;11.210237908655639;3098.512;276.4002;4.0;enero
GAMBAS/LANGOSTINOS;0.2572591186612;2.35686728543123;32.856;9.161452848383064;6478.46;707.1433000000001;3.0;enero
GAMBAS/LANG.CONG.;0.2111185864487;1.91444471199748;24.738;9.068101223113484;5262.347;580.3140999999999;4.0;enero
GAMBAS/LANG.COCIDO;0.02563180757887;0.2695045359004;7.791;10.51445689388191;740.803;70.45566000000001;4.0;enero
GAMBAS/LANG.FRESCO;0.02050872463362;0.17291774649291;4.663;8.431423678555579;475.30920000000003;56.37354;4.0;enero
OTROS MARISC/MOLUSC;0.15097733574246;2.16753747766539;23.044;14.356707693946245;5958.038;415.0003;3.0;enero
OTROS MARISC.CONG.;0.02009662228909;0.33837292514523;5.129;16.83730331782124;930.1056;55.24077;4.0;enero
OTROS MARISC.COCI.;0.02027902460686;0.30122026732266;5.951;14.853784793015697;827.9819;55.74215;4.0;enero
OTROS MARISC.FRES.;0.11060169612251;1.52794410329722;14.708;13.81483428251146;4199.95;304.0174;4.0;enero
CONS.PESCADO/MOLUSCO;0.31226343289739;4.0678830995015;70.762;13.027087615597091;11181.63;858.3369;2.0;enero
SARDINAS;0.02676749465743;0.32558871929736;17.071;12.163585851577505;894.9649000000001;73.57739;3.0;enero
ATUN;0.14162009465814;1.52455020800331;44.532;10.765069827720186;4190.621;389.2795;3.0;enero
CHICHARRO/CABALLA;0.00365430008675;0.04376775229118;4.241;11.977054771677656;120.307;10.04479;3.0;enero
MEJILLONES;0.01828186511132;0.21000135497184;11.604;11.486867105358467;577.2431;50.25244;3.0;enero
BERBERECHOS;0.00139222467159;0.03477657459229;1.278;24.979139719197576;95.59242;3.8268899999999997;3.0;enero
ALMEJAS;0.00068921394984;0.00915338908635;1.336;13.28091093981841;25.16046;1.894483;3.0;enero
CALAMARES;0.00377002867845;0.04333191923704;2.663;11.493790348261587;119.109;10.3629;3.0;enero
PULPO;0.00010604021935;0.00102375401795;0.266;9.654393626985135;2.814053;0.291479;3.0;enero
ANCHOAS;0.00338606448715;0.09824222741213;5.566;29.013690608892315;270.0442;9.307475;3.0;enero
SALMON AHUMADO;0.00623642175626;0.23465095200852;9.547;37.625895293663326;644.9989;17.142419999999998;3.0;enero
TRUCHA AHUMADA;8.10889589e-05;0.00239207590227;0.234;29.499403303812574;6.57524;0.222894;3.0;enero
OTROS AHUMADOS;0.00015902122047;0.00383519263225;0.383;24.1174896079028;10.54202;0.43711099999999997;3.0;enero
OTRAS CONS.PESCADO;0.10611960063531;1.53656908664249;36.806;14.479597335867469;4223.658;291.6972;3.0;enero
BOQUERONES;0.00257503701768;0.06430967736264;3.884;24.9742729603586;176.77179999999998;7.078156;4.0;enero
PESCADO SALADO;0.05424167915154;0.70928300696561;14.175;13.076346788305356;1949.648;149.0973;4.0;enero
SUSHI;0.00223548632465;0.06754728394198;0.675;30.215923576518925;185.6712;6.144813;4.0;enero
TOTAL LECHE LIQUIDA;6.29394226060231;6.19004082465625;81.474;0.9834918352212332;17014.93;17300.53;1.0;enero
LECHE PASTERIZADA;0.28571217764651;0.30858722837976;6.096;1.0800632682921674;848.2319;785.3539000000001;2.0;enero
LECHE ESTERILIZADA;5.92206170444535;5.80831218771826;79.933;0.9807922439170627;15965.65;16278.32;2.0;enero
LECHE CRUDA;0.08616852403067;0.07314413706231;0.644;0.848849831015826;201.0556;236.8565;2.0;enero
LECHE BOTELLA VIDRIO;0.0;0.0;0.0;;0.0;0.0;2.0;enero
LECHE BOTELLA PLAST.;0.60938192182368;0.64596352192915;13.733;1.0600306618811206;1775.598;1675.044;2.0;enero
LECHE CARTON;5.59839199664823;5.47093447534674;75.971;0.977233190998809;15038.28;15388.63;2.0;enero
LECHE BOLSA;0.0;0.0;0.0;;0.0;0.0;2.0;enero
LECHE ENVASADA;6.20777246326973;6.11689872487698;81.281;0.9853612968370815;16813.88;17063.67;2.0;enero
LECHE ENTERA;1.62000346766947;1.62757706743672;32.585;1.0046750515775997;4473.817;4452.999;3.0;enero
LECHE DESNATADA;1.98803792445382;1.82822252738627;31.752;0.9196114947799826;5025.343;5464.637;3.0;enero
LECHE SEMIDESNATAD;2.59973216254807;2.66109840245289;43.644;1.0236048316010677;7314.718;7146.037;3.0;enero
