Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.64444651355138;161.63635465131586;99.658;3.4652861537194237;52540.039689000005;15161.818493;0.0;enero
T.HUEVOS KGS;0.78422744835142;2.53470581345339;67.808;3.2321054545868804;823.908361;254.913824;1.0;enero
T.HUEVOS UNDS.;12.39123232543227;2.53470581345339;67.808;0.2045563949479875;823.908361;4027.781;1.0;enero
TOTAL HUEVOS GALLINA;12.22805787216857;2.50846296513379;68.022;0.20513993238804742;815.3781;3974.741;2.0;enero
OTRAS AVES;0.1631744532637;0.0262428483196;1.797;0.16082694193061842;8.530261000000001;53.04;2.0;enero
MIEL;0.03703675533907;0.20038121275601;7.25;5.410333894572811;65.13409;12.03883;1.0;enero
GRANEL;0.02539025564841;0.14917581413375;4.294;5.875317531238167;48.48973;8.253125;2.0;enero
ENVASADA;0.01164650584354;0.05120542938666;2.976;4.396634499183375;16.64437;3.785707;2.0;enero
TOTAL CARNE;4.10035804432869;35.53314459185562;99.32;8.665863860596852;11550.08;1332.825;1.0;enero
CARNE CERTIFICADA;0.36722835255913;3.7134801527341;31.942;10.112182588451335;1207.07;119.36789999999999;2.0;enero
CARNE FRESCA;2.94486141143897;22.26196387807285;98.127;7.559596452178985;7236.271;957.2298000000001;2.0;enero
SALCHICHAS FRESCAS;0.02769785744516;0.29887237750778;15.51;10.79045114227554;97.14873;9.003213;3.0;enero
CARNE VACUNO;0.24240244925878;2.99661823142251;46.749;12.362161523472922;974.0534;78.79313;3.0;enero
TERNERA;0.18700942933113;2.31782358103465;44.209;12.394153542549317;753.4105999999999;60.78758;4.0;enero
AÑOJO;0.02838591279953;0.25133357407092;7.601;8.854165650612028;81.69619999999999;9.226866;4.0;enero
MAYOR;0.02700711943387;0.42746138396107;9.574;15.827729610620631;138.94670000000002;8.778688;4.0;enero
CARNE POLLO;1.21511652951536;6.06112798753421;76.708;4.988104301364113;1970.175;394.9747;3.0;enero
POLLO ENTERO;0.41078368734366;1.52679173337059;22.772;3.7167779062591744;496.285;133.5256;4.0;enero
POLLO FILETES;0.09758995200028;0.78926074033479;27.291;8.087520530110302;256.5499;31.721700000000002;4.0;enero
POLLO POR PIEZAS;0.70674289017141;3.74507520618467;68.794;5.299063150499244;1217.34;229.7274;4.0;enero
CARNE CONEJO;0.03318046677532;0.32615755187067;11.572;9.82980601446037;106.01780000000001;10.78534;3.0;enero
CARNE OVINO/CAPRINO;0.1641047999155;2.91117930012463;39.926;17.73975716507747;946.2814000000001;53.34241;3.0;enero
CORDERO;0.11759878862994;1.92926749064188;28.677;16.405504794039807;627.1101;38.22559;4.0;enero
CABRITO;0.04650601128555;0.98191180948275;10.699;21.113653532952032;319.1713;15.11682;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.01885535568119;0.37620602393006;2.073;19.952210411244995;122.2861;6.12895;4.0;enero
OVINO/CAPRINO PIEZ;0.1452494442343;2.53497296855043;37.658;17.45254848935028;823.9952;47.21346;4.0;enero
CARNE CERDO;0.9312397427462;7.14135578919391;83.575;7.668654441373201;2321.304;302.70029999999997;3.0;enero
CARNE CERDO ADOBAD;0.08102488390349;0.66315432981947;23.367;8.184576118730876;215.5589;26.33721;4.0;enero
CARN.CERDO IBERICO;0.01617312945905;0.14394124904649;1.396;8.900024538290197;46.788230000000006;5.25709;4.0;enero
CARNE DESPOJOS;0.0889013738302;0.62981062706206;12.51;7.084374514447112;204.7205;28.897470000000002;3.0;enero
DESPOJOS CERDO;0.02685761053342;0.17229136437359;11.864;6.4149922853029;56.00346;8.73009;4.0;enero
DESPOJOS CORDERO;0.04782297433142;0.38673053005025;5.531;8.086710110711552;125.70710000000001;15.5449;4.0;enero
DESPOJOS POLLO;0.00614967104823;0.01831446190246;2.533;2.9781205789422076;5.953131999999999;1.998956;4.0;enero
DESPOJOS TERNERA;0.00807112407;0.05247443071069;1.629;6.501502176841396;17.05686;2.623526;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.26991620321966;2.19571500615312;44.867;8.134802505228725;713.7191;87.7365;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.16737908729018;1.37020271062454;32.773;8.186224054675598;445.38559999999995;54.40672;4.0;enero
OTRAS AVES;0.00483925159327;0.04985644058554;4.026;10.302510548295205;16.20588;1.573003;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.11994900529333;0.90595662417046;10.889;7.552848162057866;294.482;38.98953;2.0;enero
C.CONG.POLLO;0.06112332278637;0.25317310145751;4.889;4.142004883182615;82.29414;19.86819;3.0;enero
C.CONG.CERDO;0.04947154699866;0.57850973569793;3.813;11.69378705124195;188.04510000000002;16.08077;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00935413550829;0.07427387930826;4.046;7.940218445883502;24.14279;3.04057;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;1.03554648931305;12.36523639537801;90.71;11.940783463599653;4019.331;336.6053;2.0;enero
