Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.38412357002427;159.72043667035925;99.305;3.4434290092651123;166545.607521;48366.209111000004;0.0;enero
T.HUEVOS KGS;0.78066674939087;2.71967065316358;78.482;3.483779289031644;2835.887571;814.026187;1.0;enero
T.HUEVOS UNDS.;12.26461537459396;2.71967065316358;78.482;0.22174936352242722;2835.887571;12788.706699999999;1.0;enero
TOTAL HUEVOS GALLINA;12.18556658601731;2.71229332981338;78.517;0.2225824552898252;2828.195;12706.28;2.0;enero
OTRAS AVES;0.07904878857664;0.00737732335019;0.959;0.093326203766498;7.692571;82.4267;2.0;enero
MIEL;0.01413045754044;0.11262654450911;5.421;7.970481082211007;117.4393;14.73428;1.0;enero
GRANEL;0.00904403735699;0.08280114303295;3.696;9.155329612713292;86.3394;9.430507;2.0;enero
ENVASADA;0.00508642114247;0.02982539188596;1.757;5.863728356449577;31.09989;5.303774000000001;2.0;enero
TOTAL CARNE;3.33466994346119;29.27070476607847;97.673;8.777691724326154;30521.5;3477.167;1.0;enero
CARNE CERTIFICADA;0.51760913564877;5.60838460893557;49.429;10.835173150307675;5848.042;539.7275999999999;2.0;enero
CARNE FRESCA;2.35015520951021;17.61092046101073;87.96;7.493513785704785;18363.47;2450.582;2.0;enero
SALCHICHAS FRESCAS;0.01519896797175;0.14395281104625;8.438;9.471222737870265;150.10420000000002;15.848450000000001;3.0;enero
CARNE VACUNO;0.37794016750406;4.99775693960863;56.303;13.223672341085278;5211.321;394.0903;3.0;enero
TERNERA;0.33569057628247;4.38623738241797;51.483;13.066310740659585;4573.67;350.0353;4.0;enero
AÑOJO;0.03252613382941;0.47771384068164;8.273;14.68707726491654;498.1275;33.91604;4.0;enero
MAYOR;0.0097234094412;0.13380581241093;4.505;13.761203127357874;139.52360000000002;10.13891;4.0;enero
CARNE POLLO;0.96313148266354;4.80671360018113;76.97;4.9907138191435125;5012.114;1004.288;3.0;enero
POLLO ENTERO;0.21125198398859;0.79478151066393;18.946;3.7622440066969554;828.7441;220.2792;4.0;enero
POLLO FILETES;0.14764071941177;1.01752321608139;26.702;6.891887415175216;1061.004;153.9497;4.0;enero
POLLO POR PIEZAS;0.60423887516509;2.99440896933772;70.26;4.955670832201165;3122.366;630.0591999999999;4.0;enero
CARNE CONEJO;0.00509292904682;0.03737909708993;0.965;7.339410532975806;38.97638;5.310560000000001;3.0;enero
CARNE OVINO/CAPRINO;0.0307677625208;0.43820397553432;8.702;14.242308820407867;456.9293;32.08253;3.0;enero
CORDERO;0.01891329731645;0.33829038145425;7.004;17.88637781101843;352.7462;19.7215;4.0;enero
CABRITO;0.00932178562304;0.05593071949236;0.755;6.000000617276076;58.32075;9.720124;4.0;enero
OTRO OVINO/CAPRINO;0.00253267958131;0.04398288417789;0.942;17.36614631493889;45.86236;2.6409059999999998;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.0307677625208;0.43820397553432;8.702;14.242308820407867;456.9293;32.08253;4.0;enero
CARNE CERDO;0.75724156687238;5.59828901372981;65.36;7.393002786220872;5837.515;789.6;3.0;enero
CARNE CERDO ADOBAD;0.08174271189352;0.67406132354639;19.465;8.246133605457054;702.8653;85.23574;4.0;enero
CARN.CERDO IBERICO;0.01988874452379;0.16137349086691;4.867;8.113809832182742;168.2693;20.73863;4.0;enero
CARNE DESPOJOS;0.04222145359801;0.33891029147049;9.79;8.026968817730387;353.39259999999996;44.02566;3.0;enero
DESPOJOS CERDO;0.02856315957458;0.23622187121314;6.261;8.270158999614553;246.3161;29.783720000000002;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.00178532933855;0.00607880079295;0.515;3.4048624316455562;6.33856;1.8616199999999998;4.0;enero
DESPOJOS TERNERA;0.01187295509468;0.09660958110363;6.502;8.136944874562914;100.7379;12.38031;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.17375951164785;1.39366972996017;34.938;8.020681669413404;1453.224;181.18460000000002;3.0;enero
AVESTRUZ;0.00222114027345;0.01332684739485;0.547;6.000002590613172;13.89633;2.3160540000000003;4.0;enero
PAVO;0.07996808520933;0.64624113533286;16.97;8.081238079430808;673.8563;83.38528;4.0;enero
OTRAS AVES;0.01209926444746;0.08199698624641;5.365;6.777022405160313;85.50088000000001;12.616290000000001;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.03466281903531;0.15538134704962;5.253;4.482651768493995;162.02110000000002;36.14403;2.0;enero
C.CONG.POLLO;0.03127983082707;0.12416882019058;4.435;3.9696129073400934;129.47480000000002;32.61648;3.0;enero
C.CONG.CERDO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00338298437215;0.03121249808846;0.84;9.226320507230806;32.54627;3.5275459999999996;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.94985251909776;11.50440401293924;91.832;12.111779230597746;11996.01;990.4416;2.0;enero
JAMON CURADO+PALETA;0.18785920385209;3.51911810779321;62.512;18.732742583982176;3669.497;195.8868;3.0;enero
JAMON C.+P.ENTERO;0.07223865891583;0.97223545200792;12.524;13.458658654512492;1013.781;75.32556;4.0;enero
JAMON C.+P.LONCHA;0.11562060247742;2.5468836148045;56.149;22.027939313859424;2655.717;120.5613;4.0;enero
JAMON CURADO NORMAL;0.12183495104527;2.30070050697668;58.928;18.883747949484103;2399.014;127.0412;3.0;enero
JAMON C.N.ENTER/PI;0.02387478319058;0.33513559186663;9.932;14.037220325366539;349.4566;24.895;4.0;enero
JAMON C.N.LONCHA;0.09796016785468;1.96556453150236;53.044;20.06493633634927;2049.557;102.1462;4.0;enero
JAMON IBERICO;0.05477137076164;1.0311499200121;13.19;18.826439902325017;1075.213;57.11186;3.0;enero
JAMON IBE.ENTER/PI;0.03992234889899;0.53107117598142;1.369;13.302603444626987;553.7649;41.62831;4.0;enero
JAMON IBE.LONCHA;0.01484902186264;0.50007864812876;12.264;33.67754810750765;521.448;15.48355;4.0;enero
PALETA CURADA NORM.;0.00398078803662;0.07120159472436;2.576;17.886306447163804;74.24418;4.150895;3.0;enero
PALETA C.N.ENTR/PI;0.00173945465472;0.0215239202249;1.187;12.373947298053519;22.44368;1.813785;4.0;enero
PALETA C.N.LONCHA;0.0022413333819;0.04967767449945;1.595;22.164339718712426;51.8005;2.33711;4.0;enero
PALETA IBERICA;0.0072720968856;0.11606635460543;1.27;15.960507186745666;121.0261;7.582848;3.0;enero
PALETA IB.ENTER/PI;0.00670207600759;0.08450443786843;0.359;12.60869583881677;88.11547999999999;6.988469;4.0;enero
PALETA IBE.LONCHA;0.000570020878;0.03156193591739;0.867;55.36978930951464;32.91064;0.594379;4.0;enero
HUESOS JAMON CURADO;0.00526470952643;0.03079948687621;4.611;5.850177815432264;32.115610000000004;5.489680999999999;3.0;enero
LOMO EMBUCHADO N+IB;0.02102449179179;0.51044881053385;20.753;24.278770473445363;532.2613;21.922909999999998;3.0;enero
LOMO EMB.AL CORTE;0.01288196797431;0.34915194530168;14.827;27.10392899577441;364.0719;13.43244;4.0;enero
LOMO EMB.ENVASADO;0.00814252189944;0.16129686523217;9.101;19.809202508036073;168.1894;8.490468;4.0;enero
LOMO EMB.NORMAL;0.0187318988332;0.38383803973317;17.791;20.491144178759857;400.2402;19.532349999999997;4.0;enero
LOMO E.N.AL CORTE;0.01078602190438;0.2320757434699;13.673;21.51634268195854;241.9928;11.24693;5.0;enero
LOMO E.N.ENVASADO;0.00794587501078;0.15176229626327;8.77;19.099507109961138;158.2474;8.285418;5.0;enero
LOMO EMB.IBERICO;0.00229259679466;0.12661077080067;2.906;55.225921581685334;132.02110000000002;2.390564;4.0;enero
LOMO E.I.AL CORTE;0.00209595086502;0.11707629773369;2.518;55.85832172279761;122.0792;2.1855149999999997;5.0;enero
LOMO E.I.ENVASADO;0.00019664592964;0.00953455746067;0.418;48.48591312320469;9.941987999999998;0.205049;5.0;enero
OTRAS SALAZONES;0.02906548424569;0.25059296585333;9.797;8.621668358766524;261.30129999999997;30.307509999999997;3.0;enero
O.SALAZONES AL COR;0.00456767039035;0.04633568436238;3.196;10.144270580508836;48.3157;4.762856;4.0;enero
O.SALAZONES ENVASA;0.02449781001925;0.20425728149095;6.904;8.33777718622099;212.9856;25.54465;4.0;enero
TOCINO Y MANTECA;0.0259278611019;0.1746529339423;10.31;6.736110366214292;182.11620000000002;27.03581;3.0;enero
TOCINO;0.00660548646999;0.05830364949003;4.101;8.826548923364255;60.79508;6.887752000000001;4.0;enero
CHORIZOS;0.14505501182235;1.71410969508653;50.36;11.8169629132549;1787.357;151.2535;3.0;enero
CHOR.IBERICO;0.00732353004476;0.10810927633226;6.838;14.761907942128826;112.729;7.6364790000000005;4.0;enero
CHOR.NORMAL;0.1377315575401;1.60600041875427;49.675;11.66036634913252;1674.628;143.6171;4.0;enero
CHORIZO DE PAVO;0.00038734306313;0.00606371637982;0.682;15.654640438727887;6.322831;0.403895;4.0;enero
CHORIZO DE CERDO;0.14067047190393;1.63996216597774;49.037;11.658183439504342;1710.041;146.6816;4.0;enero
SALCHICHON/SALAMI;0.02251463501803;0.25907376451615;16.029;11.50690492244874;270.1445;23.47673;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.02251463501803;0.25907376451615;16.029;11.50690492244874;270.1445;23.47673;4.0;enero
FUET/LONGANIZAS;0.02646825883558;0.31765353481664;16.866;12.001300757627911;331.2275;27.5993;3.0;enero
FUET/LONGANIZ.PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
FUET/LONGANIZ.CERD;0.02646825883558;0.31765353481664;16.866;12.001300757627911;331.2275;27.5993;4.0;enero
