Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;52.95690012263491;180.96348102298964;99.718;3.417184174374322;1326291.351;388124.04697;0.0;enero
T.HUEVOS KGS;0.83760618237652;2.7294791364437;85.027;3.2586664161186;20004.503399999998;6138.86199;1.0;enero
T.HUEVOS UNDS.;13.33606442306372;2.7294791364437;85.027;0.20466901252540992;20004.503399999998;97740.753;1.0;enero
TOTAL HUEVOS GALLINA;13.04158403973871;2.70318606136432;84.717;0.20727436583834546;19811.8;95582.49;2.0;enero
OTRAS AVES;0.294480383325;0.02629307507937;3.091;0.08928633813395309;192.7034;2158.263;2.0;enero
MIEL;0.02623763819343;0.1998095183705;9.963;7.61537745499022;1464.415;192.2971;1.0;enero
GRANEL;0.00297552675622;0.03618197583242;0.801;12.159855647979164;265.1797;21.8078;2.0;enero
ENVASADA;0.02326211143721;0.16362750160511;9.136;7.034077798430752;1199.235;170.4893;2.0;enero
TOTAL CARNE;4.07632620754385;35.76544192797431;97.897;8.773940088942087;262126.9;29875.62;1.0;enero
CARNE CERTIFICADA;0.48155797421067;5.24822349918076;48.841;10.898425070798854;38464.52;3529.365;2.0;enero
CARNE FRESCA;3.08432795537071;23.41438208624376;93.412;7.59140481331516;171605.3;22605.21;2.0;enero
SALCHICHAS FRESCAS;0.0425100629331;0.37254637960043;12.704;8.763722137665274;2730.413;311.55859999999996;3.0;enero
CARNE VACUNO;0.38553468392177;4.9394401809758;58.516;12.811921694645925;36201.43;2825.605;3.0;enero
TERNERA;0.32247798914818;4.18895600383063;53.658;12.9898974342267;30701.09;2363.459;4.0;enero
AÑOJO;0.04710158241866;0.59815281087456;11.904;12.699208395119381;4383.895;345.21009999999995;4.0;enero
MAYOR;0.01595507142194;0.15233109338413;5.156;9.547503070065916;1116.443;116.93560000000001;4.0;enero
CARNE POLLO;1.22545508135289;6.89217890486811;84.008;5.624179139441969;50513.16;8981.428;3.0;enero
POLLO ENTERO;0.26457543753514;1.03456908692262;21.796;3.9102990684280443;7582.414;1939.088;4.0;enero
POLLO FILETES;0.171020132461;1.33050995862329;38.647;7.779844042201471;9751.381;1253.416;4.0;enero
POLLO POR PIEZAS;0.78985951135673;4.52709917710602;73.963;5.731524545839607;33179.36;5788.924;4.0;enero
CARNE CONEJO;0.06611509715008;0.59465836321117;11.722;8.994290091736605;4358.284;484.5612;3.0;enero
CARNE OVINO/CAPRINO;0.07118587349471;1.0687623071107;10.178;15.013685365399256;7833.018;521.7252;3.0;enero
CORDERO;0.06168011898677;0.90872762874062;9.221;14.732909787924973;6660.115;452.057;4.0;enero
CABRITO;0.00786288246152;0.1163991907108;0.605;14.803628475988027;853.0961;57.6275;4.0;enero
OTRO OVINO/CAPRINO;0.0016428761397;0.04363551494792;0.389;26.5604411028235;319.8071;12.04073;4.0;enero
OVINO/CAPRINO ENTE;0.03219757416042;0.45906107736214;1.223;14.257629319368178;3364.484;235.9778;4.0;enero
OVINO/CAPRINO PIEZ;0.03898829933429;0.60970122974856;8.979;15.63805654924594;4468.534;285.7474;4.0;enero
CARNE CERDO;0.92432772944525;7.05573886707245;76.571;7.633373577688754;51711.9;6774.449;3.0;enero
CARNE CERDO ADOBAD;0.05598744802635;0.42036577622832;14.704;7.508214627508103;3080.884;410.33509999999995;4.0;enero
CARN.CERDO IBERICO;0.0355297908187;0.41496589880353;7.892;11.679379170030085;3041.308;260.39979999999997;4.0;enero
CARNE DESPOJOS;0.08992539656813;0.52045084514717;18.633;5.787584653606411;3814.413;659.0681999999999;3.0;enero
DESPOJOS CERDO;0.04200598704979;0.28645274565854;10.787;6.819331380524269;2099.428;307.86420000000004;4.0;enero
DESPOJOS CORDERO;0.00269360638191;0.02076514567956;1.005;7.7090497776521545;152.1889;19.74159;4.0;enero
DESPOJOS POLLO;0.0246528500317;0.08469978444167;5.444;3.435699496519024;620.7694;180.68210000000002;4.0;enero
DESPOJOS TERNERA;0.01637861850861;0.10829159730927;4.712;6.611766264189043;793.6750999999999;120.0398;4.0;enero
DESPOJOS OT.PROCED;0.0041943427827;0.02024159934676;1.089;4.8259287319656075;148.3518;30.740569999999998;4.0;enero
OTRAS CARNES FRESCA;0.32178349308764;2.3431573933715;50.015;7.281782452194716;17173.13;2358.369;3.0;enero
AVESTRUZ;0.00072496315246;0.01156791797655;0.409;15.956559912446044;84.78191000000001;5.313295;4.0;enero
PAVO;0.16654329351354;1.0758671791863;27.838;6.459985007434837;7885.09;1220.605;4.0;enero
OTRAS AVES;0.02207184888629;0.16320957597968;7.518;7.3944678046904855;1196.172;161.76579999999998;2.0;enero
CARNE CABALLO;0.00667205640005;0.09934225830918;1.003;14.889301341700909;728.0849000000001;48.89987;4.0;enero
CARNE CONGELADA;0.06218719662123;0.33636504505121;9.513;5.40891153367002;2465.238;455.77340000000004;2.0;enero
C.CONG.POLLO;0.04396982815962;0.18479789733368;4.963;4.202834194911954;1354.394;322.2573;3.0;enero
C.CONG.CERDO;0.01313733444355;0.09656200910931;3.552;7.350197981497494;707.7083;96.28425;3.0;enero
C.CONG.VACA;0.00022877246007;0.00345001765313;0.264;15.080563683361108;25.28537;1.676686;3.0;enero
RESTO CARNES CONG.;0.0048512569189;0.0515551305061;2.316;10.627169693937276;377.85040000000004;35.55513;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00077588758776;0.00476896527567;0.271;6.146464192618231;34.95201;5.686523;3.0;enero
CARNE TRANSFORMADA;0.92981206523183;12.01469179492818;93.702;12.921634644450979;88056.34;6814.644;2.0;enero
JAMON CURADO+PALETA;0.15828192858741;3.66630064535334;58.545;23.163103192343137;26870.52;1160.057;3.0;enero
JAMON C.+P.ENTERO;0.04750892004915;0.75436052942024;6.752;15.87829251096008;5528.75;348.1955;4.0;enero
JAMON C.+P.LONCHA;0.11077304947123;2.9119401159331;55.758;26.28744202523139;21341.77;811.8618;4.0;enero
JAMON CURADO NORMAL;0.10518938301037;1.90300243627137;46.781;18.091202570165102;13947.21;770.9388;3.0;enero
JAMON C.N.ENTER/PI;0.02494339225396;0.29199834445714;4.188;11.706440787368411;2140.072;182.8115;4.0;enero
JAMON C.N.LONCHA;0.0802459907564;1.61100436470069;44.689;20.07582372047684;11807.14;588.1273;4.0;enero
JAMON IBERICO;0.03165259259558;1.24003854352174;15.693;39.176523685294995;9088.311;231.9836;3.0;enero
JAMON IBE.ENTER/PI;0.01109007876268;0.30841874188398;1.664;27.810329257699944;2260.418;81.27980000000001;4.0;enero
JAMON IBE.LONCHA;0.02056251383289;0.93161980163776;14.599;45.30670759463265;6827.893;150.7038;4.0;enero
PALETA CURADA NORM.;0.00423138166297;0.09490920399547;4.179;22.42983771136556;695.5948000000001;31.01203;3.0;enero
PALETA C.N.ENTR/PI;0.0001951858665;0.00428670120773;0.218;21.96214963985326;31.41747;1.430528;4.0;enero
PALETA C.N.LONCHA;0.00403619552358;0.09062249869444;3.983;22.45245508172338;664.1773000000001;29.5815;4.0;enero
PALETA IBERICA;0.01720861634474;0.4283500249464;6.277;24.89160176304224;3139.401;126.12289999999999;3.0;enero
PALETA IB.ENTER/PI;0.01128026425754;0.14965666955647;0.548;13.267124434281868;1096.842;82.67367999999999;4.0;enero
PALETA IBE.LONCHA;0.00592834662946;0.27869335538993;5.763;47.01030030946499;2042.559;43.44918;4.0;enero
HUESOS JAMON CURADO;0.00757401576217;0.03362640770581;3.943;4.439706591812198;246.44979999999998;55.51038;3.0;enero
LOMO EMBUCHADO N+IB;0.01617168870008;0.41385265845814;14.656;25.591183835738487;3033.149;118.5232;3.0;enero
LOMO EMB.AL CORTE;0.00519854042442;0.1875844774996;3.179;36.084066331079555;1374.817;38.10039;4.0;enero
LOMO EMB.ENVASADO;0.01097314964009;0.22626818095854;11.575;20.620167260983887;1658.332;80.42282;4.0;enero
LOMO EMB.NORMAL;0.01300972181575;0.26812064208155;12.449;20.60925251735808;1965.071;95.34897;4.0;enero
LOMO E.N.AL CORTE;0.00356487147413;0.09352962645751;2.357;26.236465223518536;685.4838000000001;26.12714;5.0;enero
LOMO E.N.ENVASADO;0.00944485170605;0.17459098833538;10.179;18.48530752721973;1279.587;69.22184;5.0;enero
LOMO EMB.IBERICO;0.00316196824875;0.14573201637659;2.862;46.08901953203212;1068.078;23.17424;4.0;enero
LOMO E.I.AL CORTE;0.00163366895028;0.09405483739776;1.044;57.57276428705656;689.3331;11.97325;5.0;enero
LOMO E.I.ENVASADO;0.00152829929847;0.0516771653345;1.959;33.813511127141446;378.7448;11.20099;5.0;enero
OTRAS SALAZONES;0.03958256419521;0.25575056205301;14.086;6.4611923773227975;1874.41;290.1028;3.0;enero
O.SALAZONES AL COR;0.00595371551994;0.04857199021743;3.517;8.158265213494364;355.9868;43.63511;4.0;enero
O.SALAZONES ENVASA;0.03362883639537;0.20717854454693;10.876;6.160740803253653;1518.423;246.4676;4.0;enero
TOCINO Y MANTECA;0.03515912912949;0.27704430246502;21.14;7.879725958075652;2030.473;257.6832;3.0;enero
TOCINO;0.00357409503674;0.03089527807014;1.31;8.644223993061201;226.4332;26.194740000000003;4.0;enero
CHORIZOS;0.04695988612026;0.56676240759724;28.663;12.06907542632803;4153.833;344.17159999999996;3.0;enero
CHOR.IBERICO;0.00690554624849;0.12279484450091;6.403;17.782060981448154;899.9702;50.611129999999996;4.0;enero
CHOR.NORMAL;0.04005434396506;0.44396745394174;24.458;11.084127462652503;3253.862;293.5605;4.0;enero
CHORIZO DE PAVO;0.00065306111571;0.01048761093453;0.67;16.059156918225916;76.86428;4.786321;4.0;enero
CHORIZO DE CERDO;0.04622369300743;0.55485937275834;28.166;12.00378716319928;4066.595;338.776;4.0;enero
SALCHICHON/SALAMI;0.02050928732735;0.24075654219336;15.574;11.738903373411738;1764.518;150.3137;3.0;enero
SALCHICHON DE PAVO;0.0018847517893;0.0228177158244;1.208;12.10648317400794;167.23229999999998;13.813450000000001;4.0;enero
SALCHICHON DE CERD;0.01858823481567;0.21703574953675;14.402;11.67597416801361;1590.667;136.23420000000002;4.0;enero
FUET/LONGANIZAS;0.10356005977709;1.42349042835301;47.673;13.745554332597187;10432.84;758.9974;3.0;enero
FUET/LONGANIZ.PAVO;0.00429237724626;0.0840372433865;4.882;19.57825199537049;615.9136;31.45907;4.0;enero
FUET/LONGANIZ.CERD;0.09911647204572;1.33552138216117;45.399;13.47426269919157;9788.11;726.4300999999999;4.0;enero
OTROS PROD.CURADOS;0.02956876330585;0.4704817853692;19.647;15.91144616034896;3448.187;216.71110000000002;3.0;enero
O.PROD.CURAD.CORTE;0.01098884470528;0.1930258336675;5.219;17.56561666346941;1414.697;80.53785;4.0;enero
O.PROD.CURAD.ENVAS;0.01857992542272;0.2774559517017;15.228;14.93310362604123;2033.49;136.17329999999998;4.0;enero
SALCHICHAS;0.08814744572015;0.4849563658374;26.203;5.501649672039162;3554.272;646.0375;3.0;enero
JAMON COCIDO;0.12523177523565;1.46121425366146;51.666;11.668079055111042;10709.32;917.8306;3.0;enero
J.COC.SIN/BAJO SAL;0.00493704560222;0.05818732228651;4.203;11.785858785735527;426.4581;36.183879999999995;4.0;enero
PALETA COCIDA;0.00211210578551;0.03225254713935;1.484;15.270327537801023;236.38070000000002;15.47974;3.0;enero
FIAMBRES;0.17759069283266;1.82014728248607;61.83;10.249114148122425;13339.96;1301.572;3.0;enero
PAVO;0.08950594277847;0.95702553178979;41.507;10.692312734567693;7014.093;655.994;4.0;enero
POLLO;0.00779385719392;0.10267754494023;6.448;13.17416298315121;752.5294;57.121610000000004;4.0;enero
PROD.A BASE SANGRE;0.00872203003014;0.06101182002713;5.101;6.995139871823271;447.159;63.92424;3.0;enero
MORCILLA;0.00872203003014;0.06101182002713;5.101;6.995139871823271;447.159;63.92424;4.0;enero
FOIE-GRAS Y PATES;0.02212811807595;0.28774622751591;17.611;13.00364660601733;2108.908;162.1782;3.0;enero
COCIDOS Y OTROS;0.04851251461177;0.51929871848013;30.067;10.70442797360378;3805.969;355.5509;3.0;enero
COCIDOS Y O. CORTE;0.00409940285169;0.07348580157828;3.014;17.92597708418276;538.5815;30.04475;4.0;enero
COCIDOS Y O.ENVASA;0.04441311858224;0.44581284868023;27.678;10.0378641021277;3267.387;325.50620000000004;4.0;enero
COCIDOS DE PAVO;0.00428837536621;0.05074869641647;3.557;11.834014535277733;371.94;31.429740000000002;4.0;enero
COCIDOS DE CERDO;0.04378096343526;0.46154680019731;27.056;10.542180070563724;3382.702;320.87309999999997;4.0;enero
TOTAL PESCA;1.52342008842845;18.54899374160207;89.504;12.175888897944782;135946.6;11165.23;1.0;enero
PESCADOS;0.75869642250709;8.95525790758238;66.885;11.803479813427789;65633.58;5560.528;2.0;enero
PESCADOS FRESCOS;0.61399468898967;7.12178012114435;51.233;11.59909075575761;52195.92;4500.001;3.0;enero
PESCADOS CONGELADOS;0.14470173351742;1.83347778643803;33.096;12.670738227315287;13437.66;1060.527;3.0;enero
MERLUZA/PESCAD;0.13697072344146;1.50849865636923;27.181;11.013292610766777;11055.87;1003.866;3.0;enero
MERLUZA/PESCAD.FRE;0.08909784106588;1.07920280692544;16.425;12.112558441538553;7909.537;653.003;4.0;enero
MERLUZA/PESCAD.CON;0.04787290966422;0.42929530367086;13.234;8.967395269723356;3146.329;350.8632;4.0;enero
SARDINA/BOQUERON;0.07669595611952;0.51636164142722;19.039;6.732579754563573;3784.443;562.1089000000001;3.0;enero
BOQUERONES FRESCOS;0.0386714372122;0.29850000099567;9.455;7.718875286627755;2187.723;283.4251;4.0;enero
SARDINAS FRESCAS;0.03648602593484;0.20845306079478;10.183;5.7132300779220975;1527.764;267.4081;4.0;enero
ATUN Y BONITO;0.0299200227672;0.40630216278063;7.503;13.579607406782483;2977.811;219.2855;3.0;enero
TRUCHA FRESCA;0.00937332816284;0.08994721384123;3.238;9.596080738726979;659.2280999999999;68.69763999999999;3.0;enero
LENGUADO;0.01111412824708;0.22427556397067;2.616;20.179321219317508;1643.728;81.45606;3.0;enero
LENGUADO FRESCO;0.01111412824708;0.22427556397067;2.616;20.179321219317508;1643.728;81.45606;4.0;enero
LENGUADO CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
BACALAO;0.06595668655552;0.80366169956828;18.075;12.184688794088212;5890.081;483.4002;3.0;enero
BACALAO FRESCO;0.03784663786328;0.36858038412069;6.799;9.73878803850745;2701.346;277.38009999999997;4.0;enero
BACALAO CONGELADO;0.02811004869223;0.43508145189082;12.115;15.477790759251159;3188.736;206.0201;4.0;enero
BACALADILLA;0.01798500563427;0.12395285187134;5.238;6.892010733379307;908.4573;131.81310000000002;4.0;enero
CABALLA FRESCA;0.01398899264307;0.10018625522111;3.52;7.161791972970785;734.2706;102.5261;3.0;enero
