Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;42.80318764714127;146.93531913313373;99.815;3.4328125359361454;974644.31201;283920.051505;0.0;enero
T.HUEVOS KGS;0.72187001449214;2.32434996282157;82.84;3.2199009740788496;15417.7667;4788.27356;1.0;enero
T.HUEVOS UNDS.;11.51183321706801;2.32434996282157;82.84;0.20190962803173504;15417.7667;76359.74;1.0;enero
TOTAL HUEVOS GALLINA;11.23614226521233;2.2819890010554;82.469;0.20309363722819382;15136.78;74531.04;2.0;enero
OTRAS AVES;0.27569095185568;0.04236096176616;3.434;0.1536537977798436;280.9867;1828.7;2.0;enero
MIEL;0.02905933691963;0.19630079213354;8.169;6.755171072086328;1302.093;192.755;1.0;enero
GRANEL;0.00748621917494;0.06571299697377;2.237;8.7778617534647;435.8843;49.657230000000006;2.0;enero
ENVASADA;0.02157310719164;0.13058781023555;6.232;6.053268501170878;866.2088;143.0977;2.0;enero
TOTAL CARNE;3.54452149664354;30.24044960204243;98.322;8.531602821615943;200589.5;23511.35;1.0;enero
CARNE CERTIFICADA;0.47060808808277;4.81835178844323;46.183;10.238565614273382;31960.86;3121.615;2.0;enero
CARNE FRESCA;2.5589448116009;19.36580063370637;92.322;7.567885225938458;128456.3;16973.87;2.0;enero
SALCHICHAS FRESCAS;0.02066666030744;0.16332295615959;6.834;7.902726116842749;1083.346;137.0851;3.0;enero
CARNE VACUNO;0.39178764242367;5.03092342727713;61.431;12.840944640711225;33370.88;2598.787;3.0;enero
TERNERA;0.22336409460107;2.820425324827;44.644;12.627030901561008;18708.31;1481.608;4.0;enero
AÑOJO;0.1415908144707;1.8509420444492;30.211;13.072472613201924;12277.58;939.1934;4.0;enero
MAYOR;0.0268327182761;0.35955515345358;9.28;13.39987807995595;2384.984;177.9855;4.0;enero
CARNE POLLO;1.0965938900521;5.89951199035334;79.551;5.3798512319570015;39132.36;7273.874;3.0;enero
POLLO ENTERO;0.18962236840288;0.71174849766507;16.332;3.753504945960944;4721.136;1257.794;4.0;enero
POLLO FILETES;0.16444142893906;1.20641241908508;36.711;7.336426269636447;8002.317;1090.765;4.0;enero
POLLO POR PIEZAS;0.74253009271015;3.98135001829795;70.377;5.361870256014083;26408.9;4925.315;4.0;enero
CARNE CONEJO;0.02853578492226;0.23867551809499;6.533;8.364077551930398;1583.171;189.28220000000002;3.0;enero
CARNE OVINO/CAPRINO;0.05691277655989;0.82254951586152;9.132;14.452809467059378;5456.096;377.5111;3.0;enero
CORDERO;0.0455141383963;0.71418218226933;8.169;15.69143583584353;4737.279;301.9022;4.0;enero
CABRITO;0.00904680152492;0.08633540984076;0.572;9.543197073896318;572.6759000000001;60.00881;4.0;enero
OTRO OVINO/CAPRINO;0.00235183814624;0.0220318182209;0.65;9.367914308241613;146.1404;15.600100000000001;4.0;enero
OVINO/CAPRINO ENTE;0.01471703036443;0.17569882203632;1.024;11.938469764997649;1165.437;97.6203;4.0;enero
OVINO/CAPRINO PIEZ;0.04219574619546;0.64685069382519;8.696;15.329760749549465;4290.659;279.8908;4.0;enero
CARNE CERDO;0.73153923956087;5.5285480828818;72.142;7.557418363778336;36671.7;4852.411;3.0;enero
CARNE CERDO ADOBAD;0.1220429284585;1.01648114776736;31.17;8.328881981171033;6742.474;809.5293;4.0;enero
CARN.CERDO IBERICO;0.02605230498722;0.29617834595716;6.12;11.368604279062016;1964.596;172.8089;4.0;enero
CARNE DESPOJOS;0.04290649426377;0.27610734514546;11.153;6.435094497537467;1831.462;284.6053;3.0;enero
DESPOJOS CERDO;0.0142851210727;0.09710938269073;5.813;6.797939072166668;644.1413;94.75538;4.0;enero
DESPOJOS CORDERO;0.00273274755166;0.01635123080683;0.904;5.98343992545815;108.4602;18.12673;4.0;enero
DESPOJOS POLLO;0.01199216292763;0.05663593984808;4.256;4.722746029207813;375.6748;79.54584;4.0;enero
DESPOJOS TERNERA;0.01001539834891;0.07879199764542;2.241;7.867085751409751;522.6392999999999;66.43366;4.0;enero
