Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.90009994177017;148.82875835277392;99.826;3.0435266702930663;775561.3509600001;254823.247823;0.0;enero
T.HUEVOS KGS;0.7630261063463;2.47018690518553;87.611;3.2373556876236615;12872.3878;3976.2043599999997;1.0;enero
T.HUEVOS UNDS.;12.24067390110447;2.47018690518553;87.611;0.20180154500829006;12872.3878;63787.36;1.0;enero
TOTAL HUEVOS GALLINA;11.86332161731956;2.41233196582197;87.48;0.20334372139925402;12570.9;61820.94;2.0;enero
OTRAS AVES;0.3773522837849;0.05785493936355;2.855;0.15331811108511914;301.4878;1966.42;2.0;enero
MIEL;0.03706086003618;0.2680049020728;9.873;7.231480915745947;1396.6;193.12779999999998;1.0;enero
GRANEL;0.01393489818813;0.14016191984978;3.919;10.058338278286106;730.3976;72.61613;2.0;enero
ENVASADA;0.02312596760498;0.12784288627396;6.472;5.528109718807386;666.2019;120.51169999999999;2.0;enero
TOTAL CARNE;3.67849681217424;30.23391202268633;98.407;8.219094256823904;157551.9;19169.01;1.0;enero
CARNE CERTIFICADA;0.40632026315795;3.87003607388548;47.908;9.524595312592243;20167.14;2117.375;2.0;enero
CARNE FRESCA;2.77696524279792;20.11326320853131;94.887;7.242893392596523;104812.2;14471.04;2.0;enero
SALCHICHAS FRESCAS;0.02019833164121;0.16272610573429;5.564;8.056413204060595;847.9818;105.2555;3.0;enero
CARNE VACUNO;0.31473842478259;3.8935397545427;55.017;12.370716277277513;20289.62;1640.133;3.0;enero
TERNERA;0.21323161609704;2.42038976751039;42.719;11.350989181683106;12612.89;1111.171;4.0;enero
AÑOJO;0.07639003250575;1.10560331293244;19.413;14.473135783116792;5761.408;398.076;4.0;enero
MAYOR;0.02511673780017;0.36754705789609;8.345;14.633550774797573;1915.324;130.8858;4.0;enero
CARNE POLLO;1.21259073167326;6.54461983640711;84.288;5.397220731991018;34104.66;6318.93;3.0;enero
POLLO ENTERO;0.31832001112964;1.24014365437448;29.013;3.8959022713448364;6462.511;1658.797;4.0;enero
POLLO FILETES;0.13338262013729;1.01847984337411;32.647;7.635776252751521;5307.399;695.07;4.0;enero
POLLO POR PIEZAS;0.76088810040633;4.28599633865852;76.697;5.632886539255492;22334.75;3965.063;4.0;enero
CARNE CONEJO;0.0878179680125;0.77016119283284;20.479;8.769972822910132;4013.386;457.62809999999996;3.0;enero
CARNE OVINO/CAPRINO;0.04584213679355;0.77197923553815;12.622;16.839948779322853;4022.86;238.8879;3.0;enero
CORDERO;0.04375317233487;0.74844677016425;12.142;17.106114373507964;3900.23;228.0021;4.0;enero
CABRITO;0.00043104076973;0.00748233379464;0.321;17.35876121228958;38.99118;2.246196;4.0;enero
OTRO OVINO/CAPRINO;0.00165792234564;0.01604997997974;0.153;9.680779091895143;83.63803;8.639597;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.04584213679355;0.77197923553815;12.622;16.839948779322853;4022.86;238.8879;4.0;enero
CARNE CERDO;0.80463281003451;6.00025670748188;78.833;7.457136513268119;31267.93;4193.021;3.0;enero
CARNE CERDO ADOBAD;0.06042984740917;0.47014998859269;18.445;7.780095577758307;2449.998;314.90590000000003;4.0;enero
CARN.CERDO IBERICO;0.02028125081505;0.19909544173703;4.717;9.816724005465163;1037.506;105.6876;4.0;enero
CARNE DESPOJOS;0.06379399400644;0.36832923459726;17.021;5.7737290215764325;1919.4;332.4368;3.0;enero
DESPOJOS CERDO;0.02446376609726;0.15591903836511;7.053;6.373468326389929;812.5095;127.48310000000001;4.0;enero
DESPOJOS CORDERO;0.00345010543719;0.03042059050524;1.72;8.817292995543651;158.52470000000002;17.97884;4.0;enero
DESPOJOS POLLO;0.02760675012139;0.1228067698136;7.955;4.448432693945217;639.9581999999999;143.8615;4.0;enero
DESPOJOS TERNERA;0.00393463857301;0.02615573174352;2.333;6.647556378601225;136.30010000000001;20.503790000000002;4.0;enero
DESPOJOS OT.PROCED;0.00433874337247;0.03302708497995;2.206;7.612131473240151;172.10739999999998;22.60962;4.0;enero
OTRAS CARNES FRESCA;0.24754894721732;1.76437436865968;51.415;7.127375771510432;9194.329;1290.002;3.0;enero
AVESTRUZ;0.00154331100684;0.01096183610348;0.531;7.102804330975066;57.12321;8.042346;4.0;enero
PAVO;0.08832396495206;0.6699986304161;26.194;7.585694672785173;3491.429;460.2649;4.0;enero
OTRAS AVES;0.02277024607629;0.16576653940781;6.827;7.2799625815368545;863.8258000000001;118.658;2.0;enero
CARNE CABALLO;0.00693474869643;0.08512634753567;1.231;12.275332713850313;443.60179999999997;36.137660000000004;4.0;enero
CARNE CONGELADA;0.07368576594339;0.40062319203326;13.616;5.436914265653916;2087.687;383.9838;2.0;enero
C.CONG.POLLO;0.04814763908088;0.19034001365524;7.512;3.953257465760549;991.8806;250.90210000000002;3.0;enero
