Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.56076687769597;126.88412135230428;99.113;2.725129542767167;149738.293;54947.220178;0.0;enero
T.HUEVOS KGS;0.58946760237002;1.88635747059885;76.662;3.200103725827378;2226.12526;695.6415949999999;1.0;enero
T.HUEVOS UNDS.;9.29773741961814;1.88635747059885;76.662;0.20288349578669046;2226.12526;10972.4315;1.0;enero
TOTAL HUEVOS GALLINA;9.19426348470083;1.86744982624895;75.726;0.2031103230135148;2203.812;10850.32;2.0;enero
OTRAS AVES;0.10347393491731;0.0189076443499;1.565;0.18272857183803326;22.31326;122.1115;2.0;enero
MIEL;0.02398173668766;0.17185766351264;4.959;7.1661892443771995;202.8124;28.30129;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.02398173668766;0.17185766351264;4.959;7.1661892443771995;202.8124;28.30129;2.0;enero
TOTAL CARNE;3.10668983329028;24.14414411339081;97.5;7.771662254361527;28492.95;3666.262;1.0;enero
CARNE CERTIFICADA;0.32685922249654;2.81873229891111;42.817;8.623689052986448;3326.438;385.7326;2.0;enero
CARNE FRESCA;2.12919389034344;14.24408707221634;91.559;6.689896649064094;16809.71;2512.701;2.0;enero
SALCHICHAS FRESCAS;0.01354078479108;0.10022053269294;5.276;7.401382876932214;118.27210000000001;15.97973;3.0;enero
CARNE VACUNO;0.15392624319947;1.76809708779937;35.462;11.486651340591196;2086.564;181.65120000000002;3.0;enero
TERNERA;0.10680216013913;1.26385279055155;31.312;11.833588280471474;1491.496;126.0392;4.0;enero
AÑOJO;0.03434849264249;0.35608925437379;9.469;10.366954325477874;420.2275;40.53529;4.0;enero
MAYOR;0.0127755819441;0.14815555129755;4.474;11.59677515636711;174.8411;15.0767;4.0;enero
CARNE POLLO;1.02471747385209;5.2316282186145;78.924;5.105434768227254;6173.941;1209.288;3.0;enero
POLLO ENTERO;0.18317745939083;0.69685403012929;19.643;3.804256443160071;822.3703;216.1711;4.0;enero
POLLO FILETES;0.1387958976357;1.03340558475653;35.771;7.4455052516673215;1219.541;163.7956;4.0;enero
POLLO POR PIEZAS;0.70274394735103;3.50136801056788;69.194;4.98242357513875;4132.029;829.3211;4.0;enero
CARNE CONEJO;0.02679526781377;0.21279719791053;7.477;7.941596232194523;251.1259;31.62159;3.0;enero
CARNE OVINO/CAPRINO;0.04227832373381;0.50247210226629;8.026;11.884863397846168;592.9766;49.89343;3.0;enero
CORDERO;0.03217755802699;0.37708528230396;5.942;11.718890600323963;445.0053;37.973330000000004;4.0;enero
CABRITO;0.01010076570681;0.12538681996233;2.236;12.413595523527487;147.97129999999999;11.9201;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.04227832373381;0.50247210226629;8.026;11.884863397846168;592.9766;49.89343;4.0;enero
CARNE CERDO;0.68788450679616;5.08574455789978;66.601;7.3933116790008;6001.781;811.7851999999999;3.0;enero
CARNE CERDO ADOBAD;0.0855814937421;0.64903781315822;22.771;7.583857032386335;765.9415;100.9963;4.0;enero
CARN.CERDO IBERICO;0.0366769707652;0.35078216000195;9.297;9.564098470606474;413.9645;43.28317;4.0;enero
CARNE DESPOJOS;0.03486662707082;0.19382452619002;8.591;5.55902714066117;228.7359;41.14675;3.0;enero
DESPOJOS CERDO;0.02024267135164;0.12388086944059;3.933;6.119788603422112;146.1941;23.88875;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.01131476248515;0.04836223843049;3.238;4.274260152957141;57.07317;13.35276;4.0;enero
DESPOJOS TERNERA;0.00236206712379;0.01316550890341;1.318;5.57372344367877;15.53686;2.7875189999999996;4.0;enero
DESPOJOS OT.PROCED;0.00094712441548;0.00841589077332;0.675;8.88572888176724;9.931747999999999;1.1177190000000001;4.0;enero
OTRAS CARNES FRESCA;0.15872550719337;1.24952033099458;38.06;7.872208777838817;1474.582;187.3149;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.07272307265609;0.55391880225296;19.164;7.616823409985151;653.6898;85.82184;4.0;enero
OTRAS AVES;0.00608480613261;0.04522637525454;3.161;7.43267316474283;53.37248;7.180792;2.0;enero
CARNE CABALLO;0.00109062611192;0.02399477775143;0.763;22.000919920315013;28.31668;1.2870679999999999;4.0;enero
CARNE CONGELADA;0.0686308393826;0.33959226633791;10.003;4.948100145544305;400.7591;80.99252;2.0;enero
C.CONG.POLLO;0.05538290654983;0.22551143008096;7.661;4.071859787243842;266.1302;65.35839;3.0;enero
C.CONG.CERDO;0.00627825789961;0.04662012517501;1.554;7.425646719272331;55.017269999999996;7.409088;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00696966984892;0.0674606687133;1.036;9.679177088100284;79.61158;8.225036;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.90886554419796;9.56047248592689;93.572;10.519127440752063;11282.49;1072.569;2.0;enero
JAMON CURADO+PALETA;0.11128560837822;2.56155387819447;41.381;23.017835958522863;3022.937;131.33020000000002;3.0;enero
JAMON C.+P.ENTERO;0.03018737645324;0.72077773027001;3.576;23.876792717857395;850.6030999999999;35.62468;4.0;enero
JAMON C.+P.LONCHA;0.08109824887243;1.84077623266171;39.604;22.69810086229073;2172.334;95.70554;4.0;enero
JAMON CURADO NORMAL;0.05848540866791;1.0224338047906;35.435;17.481861340767733;1206.593;69.01971;3.0;enero
JAMON C.N.ENTER/PI;0.00122061475807;0.02086940504784;2.052;17.0974543031094;24.62837;1.44047;4.0;enero
