Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.09993610628512;157.6397484999746;99.505;3.210589687097284;433313.21443;134963.747056;0.0;enero
T.HUEVOS KGS;0.77043289095319;2.72735613080245;74.454;3.5400307578095522;7496.8367;2117.73208;1.0;enero
T.HUEVOS UNDS.;12.18076367449873;2.72735613080245;74.454;0.22390682585135133;7496.8367;33481.948;1.0;enero
TOTAL HUEVOS GALLINA;12.01157878163353;2.70551144956198;73.616;0.2252419518489016;7436.791;33016.9;2.0;enero
OTRAS AVES;0.1691848928652;0.02184468124046;1.581;0.12911720940634083;60.0457;465.048;2.0;enero
MIEL;0.01356248395567;0.10097414745334;2.534;7.445107237239524;277.5533;37.27996;1.0;enero
GRANEL;0.00163048517132;0.02080259895504;0.468;12.758533055647657;57.18127;4.481806;2.0;enero
ENVASADA;0.01193200096715;0.08017153758427;2.34;6.719035458086673;220.372;32.79816;2.0;enero
TOTAL CARNE;3.68385544900935;28.98992059643945;97.644;7.869451176276563;79686.22;10126.02;1.0;enero
CARNE CERTIFICADA;0.71307200610315;6.33615701138688;58.062;8.885718352643106;17416.55;1960.061;2.0;enero
CARNE FRESCA;2.7840189617124;19.54147213230079;90.234;7.019159136862047;53714.74;7652.589;2.0;enero
SALCHICHAS FRESCAS;0.0053299746013;0.03942652513479;1.935;7.3971318972342806;108.37389999999999;14.650799999999998;3.0;enero
CARNE VACUNO;0.43075994120309;5.03912303728139;51.807;11.698216466478724;13851.32;1184.054;3.0;enero
TERNERA;0.40434253698802;4.71701369772322;48.419;11.665885397219279;12965.92;1111.439;4.0;enero
AÑOJO;0.01555351185154;0.23053176983299;4.827;14.821846797906385;633.6756;42.75281;4.0;enero
MAYOR;0.01086397603773;0.09157913406916;4.079;8.42961488050868;251.7287;29.862419999999997;4.0;enero
CARNE POLLO;1.0734681188762;5.47270098045446;75.225;5.098149525096062;15043.12;2950.702;3.0;enero
POLLO ENTERO;0.275188406215;1.11006649199518;24.98;4.033841785935911;3051.302;756.4258000000001;4.0;enero
POLLO FILETES;0.11246298068493;0.84438558641057;28.039;7.508120283385842;2321.01;309.13329999999996;4.0;enero
POLLO POR PIEZAS;0.68581676835635;3.51824962965055;64.871;5.130014009547286;9670.81;1885.143;4.0;enero
CARNE CONEJO;0.04789973973359;0.41767729611629;9.195;8.719823916357232;1148.093;131.6647;3.0;enero
CARNE OVINO/CAPRINO;0.0118560065918;0.18271635915395;4.895;15.411290280512574;502.2427;32.58927;3.0;enero
CORDERO;0.01013990305543;0.15259036830296;4.355;15.048503666028992;419.4337;27.87212;4.0;enero
CABRITO;0.00171610390016;0.03012598357497;0.537;17.554871573964878;82.80897999999999;4.717150999999999;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.00099926655448;0.01224088978108;0.344;12.249874396557376;33.647220000000004;2.74674;4.0;enero
OVINO/CAPRINO PIEZ;0.01085674003732;0.17047547664889;4.562;15.702271221642402;468.5955;29.84253;4.0;enero
CARNE CERDO;0.94014417465372;6.61140151570462;74.799;7.0323272684636455;18173.13;2584.227;3.0;enero
CARNE CERDO ADOBAD;0.10043292081627;0.80488226290038;25.76;8.01412780150805;2212.425;276.06559999999996;4.0;enero
CARN.CERDO IBERICO;0.01659716939497;0.14821133294117;3.531;8.929916265485822;407.3968;45.62157;4.0;enero
CARNE DESPOJOS;0.05677855598439;0.30999364095162;10.681;5.459695752685967;852.0969;156.0704;3.0;enero
DESPOJOS CERDO;0.0331851673686;0.19712858748367;6.241;5.940261963848556;541.8584000000001;91.21793;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.0093292309008;0.03389578335466;2.684;3.633288072195285;93.17124000000001;25.64378;4.0;enero
