Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;57.78732497830608;181.49460614038733;99.682;3.140733823697881;175202.90062;55784.065271;0.0;enero
T.HUEVOS KGS;0.84433713079831;2.63875154747856;80.371;3.1252345197511837;2547.27639;815.067277;1.0;enero
T.HUEVOS UNDS.;13.4255653472433;2.63875154747856;80.371;0.19654677320686406;2547.27639;12960.153699999999;1.0;enero
TOTAL HUEVOS GALLINA;13.14965698751631;2.61332160106406;80.199;0.19873686466080714;2522.728;12693.81;2.0;enero
OTRAS AVES;0.27590835972698;0.02542994641449;3.243;0.09216808957748952;24.548389999999998;266.3437;2.0;enero
MIEL;0.06933686699001;0.48458330075904;17.489;6.988826028566081;467.7847;66.93323;1.0;enero
GRANEL;0.02003787444645;0.2184105358877;4.417;10.899885438013486;210.8391;19.34324;2.0;enero
ENVASADA;0.04929899254355;0.26617276487134;16.381;5.399152216674137;256.9456;47.58999;2.0;enero
TOTAL CARNE;3.77345901082987;32.24163077122145;95.335;8.544317210995956;31123.94;3642.648;1.0;enero
CARNE CERTIFICADA;0.44076115913703;4.70855926584544;42.402;10.682790822731038;4545.332;425.4817;2.0;enero
CARNE FRESCA;2.78274794739186;21.83722071819346;93.504;7.847358485579133;21080.21;2686.281;2.0;enero
SALCHICHAS FRESCAS;0.02358667751777;0.22728093790399;9.177;9.635987846644255;219.402;22.76902;3.0;enero
CARNE VACUNO;0.42532173490795;5.99084404542133;54.276;14.08544062935743;5783.165;410.5775;3.0;enero
TERNERA;0.33805535198456;4.56568953305857;48.67;13.505745453386583;4407.415;326.3363;4.0;enero
AÑOJO;0.05127657765621;0.83645376857699;7.73;16.312589622986476;807.4572;49.499019999999994;4.0;enero
MAYOR;0.03598984670361;0.58870074378576;8.333;16.35741181766738;568.2928;34.74222;4.0;enero
CARNE POLLO;1.2276881279898;7.0197947262821;87.277;5.717897376572509;6776.446;1185.129;3.0;enero
POLLO ENTERO;0.21663115162029;0.89596799311285;22.565;4.135914832245768;864.9083;209.1214;4.0;enero
POLLO FILETES;0.1374396946819;1.13351035427914;31.369;8.247328815030992;1094.216;132.67520000000002;4.0;enero
POLLO POR PIEZAS;0.87361738527869;4.99031668966339;79.947;5.7122451702027375;4817.322;843.3325;4.0;enero
CARNE CONEJO;0.05729323142336;0.4739597230228;11.358;8.272525588938853;457.5294;55.3071;3.0;enero
CARNE OVINO/CAPRINO;0.0299491287247;0.49842742209949;9.615;16.642468189344438;481.1489;28.91091;3.0;enero
CORDERO;0.0291735732613;0.48683796097795;8.491;16.687635642619338;469.9612;28.16224;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00077555753522;0.01158949219887;0.984;14.943433172337151;11.18773;0.748672;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.0299491287247;0.49842742209949;9.615;16.642468189344438;481.1489;28.91091;4.0;enero
CARNE CERDO;0.72343494979608;5.69186874542676;67.118;7.8678376639546315;5494.554;698.3563;3.0;enero
CARNE CERDO ADOBAD;0.02885695743346;0.23107724082345;9.878;8.007678611172937;223.06670000000003;27.8566;4.0;enero
CARN.CERDO IBERICO;0.00076517770733;0.01950620350193;0.511;25.492383422775536;18.83;0.7386520000000001;4.0;enero
CARNE DESPOJOS;0.06792618415385;0.4090459161644;15.435;6.021918075625901;394.8659;65.57145;3.0;enero
DESPOJOS CERDO;0.03328775581999;0.24935112463947;11.755;7.4907760675674835;240.7071;32.1338;4.0;enero
DESPOJOS CORDERO;0.00751244186877;0.04507529347747;1.32;6.000085493480087;43.51271;7.252015;4.0;enero
DESPOJOS POLLO;0.02712598128552;0.11461950840657;4.816;4.225451134839987;110.6461;26.18563;4.0;enero
DESPOJOS TERNERA;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.25113454895965;1.7532813828697;58.975;6.981442378728261;1692.502;242.42870000000002;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08545603527718;0.69514608593673;26.155;8.134546421231898;671.0481;82.49361;4.0;enero
OTRAS AVES;0.06123801146168;0.3490984736623;11.105;5.700682718620428;336.9966;59.11513;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.14834680124971;0.86927370700445;11.376;5.859740147286183;839.1394;143.20420000000001;2.0;enero
C.CONG.POLLO;0.10233103528295;0.41738023425545;9.279;4.078725804946204;402.9113;98.78362;3.0;enero
C.CONG.CERDO;0.02883966807942;0.22659278224884;5.911;7.856983014672103;218.73770000000002;27.83991;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.01717604609178;0.22530069050015;2.648;13.117145197224229;217.4904;16.58062;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.84236457296157;9.53513986812082;92.323;11.319492977485082;9204.594;813.1631;2.0;enero
JAMON CURADO+PALETA;0.15490246021103;3.10335306836999;59.694;20.034240025252018;2995.772;149.5326;3.0;enero
