Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.05633183558977;161.05461000041805;99.751;3.4225916835831387;167935.6151;49066.798095;0.0;enero
T.HUEVOS KGS;0.79852357748935;2.55393152771542;82.871;3.198316993651306;2663.04741;832.6402340000001;1.0;enero
T.HUEVOS UNDS.;12.59569834214865;2.55393152771542;82.871;0.20276220169303957;2663.04741;13133.8454;1.0;enero
TOTAL HUEVOS GALLINA;12.45493692718269;2.5412911727143;82.358;0.20403886326939027;2649.867;12987.07;2.0;enero
OTRAS AVES;0.14076141496596;0.01264035500112;1.923;0.08979985746930344;13.18041;146.7754;2.0;enero
MIEL;0.05914608310458;0.5438473992187;10.215;9.194985883630263;567.0831;61.67308;1.0;enero
GRANEL;0.0546355060229;0.52060780329075;8.687;9.528744971677094;542.8506;56.96979;2.0;enero
ENVASADA;0.00451057132753;0.02323963428898;1.613;5.152259570121642;24.23254;4.703284;2.0;enero
TOTAL CARNE;3.50186209676202;31.91226883794592;98.965;9.112942759069067;33275.71;3651.478;1.0;enero
CARNE CERTIFICADA;0.47692676140036;5.13094794129525;52.117;10.758356117886208;5350.166;497.3033;2.0;enero
CARNE FRESCA;2.44301690825441;19.31770732513856;95.012;7.907316261245807;20143.05;2547.394;2.0;enero
SALCHICHAS FRESCAS;0.01457032756;0.11243850207872;5.177;7.716950879493234;117.24239999999999;15.19284;3.0;enero
CARNE VACUNO;0.48301695968699;6.28307950038382;58.031;13.007989418125986;6551.522;503.6537;3.0;enero
TERNERA;0.45096094245191;5.86343564568541;56.197;13.00209196345348;6113.949;470.2281;4.0;enero
AÑOJO;0.01470620235423;0.18568698480995;4.915;12.626440214626866;193.6204;15.334520000000001;4.0;enero
MAYOR;0.01734976692955;0.23395686988845;4.958;13.484726961372571;243.95260000000002;18.09103;4.0;enero
CARNE POLLO;0.97529197212339;5.47784680187739;78.683;5.616622466348267;5711.886;1016.961;3.0;enero
