Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;51.81120638696993;133.7329335700463;99.09;2.581158457713098;256482.42473300002;99367.17521799999;0.0;enero
T.HUEVOS KGS;0.72600033696045;2.64993259161933;82.887;3.6500431979326775;5082.22708;1392.3745020000001;1.0;enero
T.HUEVOS UNDS.;11.40716758474626;2.64993259161933;82.887;0.23230416945595195;5082.22708;21877.4682;1.0;enero
TOTAL HUEVOS GALLINA;11.33201224283317;2.64056434613979;83.003;0.23301813389848677;5064.26;21733.33;2.0;enero
OTRAS AVES;0.07515534191308;0.00936824547954;1.449;0.1246517578268634;17.967080000000003;144.1382;2.0;enero
MIEL;0.01313967877549;0.07856162017693;4.005;5.978960484440599;150.671;25.200200000000002;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01313967877549;0.07856162017693;4.005;5.978960484440599;150.671;25.200200000000002;2.0;enero
TOTAL CARNE;2.62729233307833;22.02793872727592;96.048;8.38427397284198;42246.73;5038.806;1.0;enero
CARNE CERTIFICADA;0.38701803267367;3.59625930443089;39.532;9.292226720255051;6897.159;742.2504;2.0;enero
CARNE FRESCA;1.6091286048943;12.38567576426292;89.199;7.6971323029065815;23754.12;3086.1;2.0;enero
SALCHICHAS FRESCAS;0.00375529508284;0.02399186712818;1.449;6.388810093181651;46.01329;7.202169;3.0;enero
CARNE VACUNO;0.32999994412515;3.63751496128097;51.267;11.022774476293224;6976.282;632.8971;3.0;enero
TERNERA;0.15263977768742;1.57692413350559;30.408;10.331016969474621;3024.336;292.7433;4.0;enero
AÑOJO;0.13932339249146;1.73177714737758;28.801;12.429909410106577;3321.324;267.2042;4.0;enero
MAYOR;0.03803673223333;0.32881388896247;5.894;8.644640842050777;630.6224;72.94952;4.0;enero
