Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.68846848533164;122.09200891909612;99.35;2.672271865674245;268539.43154;100491.05968199999;0.0;enero
T.HUEVOS KGS;0.64354324284216;1.93021285895113;73.004;2.9993522275620204;4245.47248;1415.4631259999999;1.0;enero
T.HUEVOS UNDS.;10.21821465687201;1.93021285895113;73.004;0.1888992278756858;4245.47248;22474.800600000002;1.0;enero
TOTAL HUEVOS GALLINA;10.02520548654531;1.91307725878274;72.955;0.19082673780106196;4207.783;22050.28;2.0;enero
OTRAS AVES;0.1930091703267;0.01713560016838;1.578;0.0887812746896146;37.68948;424.5206;2.0;enero
MIEL;0.01897185804915;0.10051538934546;4.965;5.298131004617969;221.082;41.728300000000004;1.0;enero
GRANEL;0.00343412440349;0.02232245741123;0.713;6.5001889239964195;49.09789;7.5533019999999995;2.0;enero
ENVASADA;0.01553773455496;0.0781929273877;4.152;5.032453547915144;171.9841;34.175;2.0;enero
TOTAL CARNE;3.49261266462579;27.84897612390612;97.006;7.973680106577161;61253.38;7681.946;1.0;enero
CARNE CERTIFICADA;0.40794702845174;3.71938220640744;48.933;9.11731658034957;8180.722;897.273;2.0;enero
CARNE FRESCA;2.45675247954358;17.23617375320034;92.67;7.015836514552924;37910.69;5403.588;2.0;enero
SALCHICHAS FRESCAS;0.03924563958514;0.30630505673748;13.656;7.80481755362826;673.7130999999999;86.32016;3.0;enero
CARNE VACUNO;0.2667014513901;3.27627966115311;51.208;12.284446312820744;7206.125;586.6056;3.0;enero
TERNERA;0.16058420293714;2.01215140106049;38.48;12.530195151561824;4425.695;353.2024;4.0;enero
AÑOJO;0.08326516229671;1.03504226600497;24.011;12.430676136996535;2276.559;183.1404;4.0;enero
MAYOR;0.02285208160971;0.22908608501806;7.984;10.024735992570248;503.8712;50.26279;4.0;enero
CARNE POLLO;1.03982020462788;5.21935122641897;76.658;5.019474716099389;11479.88;2287.068;3.0;enero
POLLO ENTERO;0.25195763028297;0.86548705024719;23.715;3.435049969612585;1903.625;554.1768000000001;4.0;enero
POLLO FILETES;0.08818449771397;0.64958687554691;23.153;7.366225270725366;1428.756;193.9604;4.0;enero
POLLO POR PIEZAS;0.69967816756134;3.70427866458107;70.954;5.294260756330206;8147.502;1538.931;4.0;enero
CARNE CONEJO;0.03014713777705;0.23900236496124;6.456;7.927862562897624;525.6819;66.30815;3.0;enero
CARNE OVINO/CAPRINO;0.05832781441301;0.76786370273068;10.224;13.164623266929663;1688.904;128.2911;3.0;enero
CORDERO;0.03983254994467;0.57776548775911;8.071;14.504858176581816;1270.786;87.61106;4.0;enero
CABRITO;0.00410160365667;0.07079810236972;0.72;17.26107842098332;155.71929999999998;9.021412;4.0;enero
OTRO OVINO/CAPRINO;0.01439367990704;0.11930029446268;1.291;8.288380402587979;262.3991;31.658669999999997;4.0;enero
OVINO/CAPRINO ENTE;0.00979183712459;0.1659845147812;1.126;16.951314923766038;365.08029999999997;21.536990000000003;4.0;enero
OVINO/CAPRINO PIEZ;0.0485360182071;0.6018793243451;10.195;12.40067369714728;1323.824;106.7542;4.0;enero
CARNE CERDO;0.8459447402435;6.19619393536039;80.206;7.324584740105834;13628.43;1860.642;3.0;enero
CARNE CERDO ADOBAD;0.1081080789451;0.82996781178714;33.831;7.677204330016569;1825.501;237.782;4.0;enero
CARN.CERDO IBERICO;0.01577542665812;0.15870021568187;5.402;10.059963455896337;349.05859999999996;34.6978;4.0;enero
CARNE DESPOJOS;0.03054561303889;0.17317547381017;11.02;5.6694057372382565;380.8967;67.18459;3.0;enero
DESPOJOS CERDO;0.01544389891386;0.10713980642771;8.469;6.937354810809156;235.6523;33.96861;4.0;enero
DESPOJOS CORDERO;0.00328117217209;0.02353625114045;1.121;7.173122867674506;51.76761;7.216886000000001;4.0;enero
DESPOJOS POLLO;0.00885491741407;0.02474272042479;2.542;2.7942350298440406;54.42122;19.47625;4.0;enero
DESPOJOS TERNERA;0.00074692288295;0.00313279919636;0.363;4.194273957677078;6.890542;1.642845;4.0;enero
DESPOJOS OT.PROCED;0.00221870438381;0.01462390207666;0.549;6.591189968043065;32.16504;4.880005;4.0;enero
OTRAS CARNES FRESCA;0.18526521798275;1.36430584294871;39.905;7.364068969900701;3000.769;407.4879;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08342701843429;0.66956201432298;23.714;8.02572148554413;1472.691;183.4964;4.0;enero
OTRAS AVES;0.01127094307033;0.06866123763209;4.583;6.091880440140603;151.0193;24.79026;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.10926557765479;0.59008201238512;15.981;5.4004383178149515;1297.876;240.3279;2.0;enero
C.CONG.POLLO;0.09451384560161;0.4523257990444;12.449;4.785815201626694;994.8834;207.88170000000002;3.0;enero
C.CONG.CERDO;0.01437109279211;0.1348637168597;4.067;9.384374508644532;296.63059999999996;31.608990000000002;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00038062562149;0.00289243692159;0.236;7.599165054110228;6.3618689999999996;0.8371799999999999;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00137910067601;0.02057152408478;0.685;14.916622435557196;45.246739999999996;3.0333099999999997;3.0;enero
CARNE TRANSFORMADA;0.9265945619622;10.02271853971237;93.129;10.816724974607833;22044.81;2038.03;2.0;enero
JAMON CURADO+PALETA;0.17216605528028;3.2274486646818;63.023;18.746138194474703;7098.722;378.6765;3.0;enero
JAMON C.+P.ENTERO;0.07315610987508;1.11420173823219;12.678;15.230467286118513;2450.669;160.90570000000002;4.0;enero
JAMON C.+P.LONCHA;0.09900994540519;2.11324692644961;58.252;21.343784382479196;4648.053;217.77079999999998;4.0;enero
JAMON CURADO NORMAL;0.13303792506962;2.08974232363987;57.317;15.707869185017298;4596.355;292.6148;3.0;enero
JAMON C.N.ENTER/PI;0.05073839830828;0.56599545492344;10.884;11.155169926423609;1244.898;111.59830000000001;4.0;enero
JAMON C.N.LONCHA;0.08229952676134;1.52374686871643;51.351;18.51464921706032;3351.457;181.0165;4.0;enero
JAMON IBERICO;0.02871395623709;0.91881046384031;10.978;31.99874152672063;2020.909;63.15589;3.0;enero
JAMON IBE.ENTER/PI;0.01923429686458;0.52480943304003;1.122;27.285085425002357;1154.31;42.30553;4.0;enero
JAMON IBE.LONCHA;0.00947965482598;0.39400103080027;9.85;41.56280350209949;866.599;20.85035;4.0;enero
PALETA CURADA NORM.;0.00489149252437;0.06165809537399;2.499;12.60517011254085;135.616;10.75876;3.0;enero
PALETA C.N.ENTR/PI;0.00211995577242;0.01149147205777;0.142;5.420618772932796;25.27531;4.662809;4.0;enero
PALETA C.N.LONCHA;0.00277153584265;0.05016662786274;2.35;18.100659962870427;110.3407;6.095948999999999;4.0;enero
PALETA IBERICA;0.00552267235614;0.15723728171033;2.998;28.4712312392412;345.84090000000003;12.14703;3.0;enero
PALETA IB.ENTER/PI;0.00106348620892;0.01190492355886;0.577;11.194243478640054;26.18469;2.339121;4.0;enero
PALETA IBE.LONCHA;0.00445918569256;0.14533235360495;2.437;32.59168010140389;319.6562;9.807908;4.0;enero
HUESOS JAMON CURADO;0.00727057769979;0.03243345119721;5.336;4.460918036559376;71.33686;15.991520000000001;3.0;enero
LOMO EMBUCHADO N+IB;0.02145361730195;0.47992936307297;17.18;22.370556737263254;1055.597;47.18689;3.0;enero
LOMO EMB.AL CORTE;0.00726255309072;0.18569072685678;6.592;25.568243637891126;408.42379999999997;15.973870000000002;4.0;enero
LOMO EMB.ENVASADO;0.01419106421123;0.29423845435535;12.672;20.734065463707132;647.1728;31.21302;4.0;enero
LOMO EMB.NORMAL;0.01669870680648;0.3403317179109;13.78;20.38072300178553;748.5541999999999;36.72854;4.0;enero
LOMO E.N.AL CORTE;0.00496352305211;0.12253173406324;3.362;24.686444039171253;269.5066;10.91719;5.0;enero
LOMO E.N.ENVASADO;0.01173518375436;0.21779998384765;11.533;18.55957166130404;479.0476;25.811349999999997;5.0;enero
LOMO EMB.IBERICO;0.00475491049547;0.13959746330123;4.432;29.35858906997758;307.04240000000004;10.458350000000001;4.0;enero
LOMO E.I.AL CORTE;0.00229903322117;0.06315899279353;2.994;27.471979183208294;138.9172;5.056687;5.0;enero
LOMO E.I.ENVASADO;0.00245587909291;0.0764384705077;1.442;31.12468798983721;168.1252;5.401667000000001;5.0;enero
OTRAS SALAZONES;0.04871456007571;0.38529385257693;20.534;7.909213425680071;847.4476999999999;107.14689999999999;3.0;enero
O.SALAZONES AL COR;0.02517666309475;0.2137806322066;10.414;8.491221866931813;470.20709999999997;55.37567;4.0;enero
O.SALAZONES ENVASA;0.02353789698095;0.17151322037033;11.368;7.28668412939001;377.2406;51.77123;4.0;enero
TOCINO Y MANTECA;0.0207311296946;0.17333032830584;13.744;8.360872314206455;381.2373;45.59779;3.0;enero
TOCINO;0.00188924303322;0.01875703039869;1.633;9.928331119325401;41.25579;4.15536;4.0;enero
CHORIZOS;0.07263494220514;0.71342048108463;37.641;9.82200108413026;1569.157;159.7594;3.0;enero
CHOR.IBERICO;0.00873512113967;0.10990322718554;7.775;12.581763369760514;241.7304;19.21276;4.0;enero
CHOR.NORMAL;0.06389980287938;0.60351743575992;35.146;9.444746439970798;1327.427;140.5466;4.0;enero
CHORIZO DE PAVO;0.00062236321878;0.00998540979069;1.149;16.044344346245612;21.96275;1.368878;4.0;enero
CHORIZO DE CERDO;0.07190449818653;0.70236425200175;37.249;9.76801548881841;1544.839;158.15279999999998;4.0;enero
SALCHICHON/SALAMI;0.03691420649337;0.43405833345013;30.963;11.758571419598013;954.7044000000001;81.19221;3.0;enero
SALCHICHON DE PAVO;0.00092102643803;0.01402659382424;1.693;15.22930639658838;30.85127;2.025783;4.0;enero
SALCHICHON DE CERD;0.03589231685715;0.41783543822291;29.581;11.641361572890755;919.0224000000001;78.94458;4.0;enero
FUET/LONGANIZAS;0.04939021851966;0.61831636069816;33.234;12.51900435410971;1359.977;108.633;3.0;enero
FUET/LONGANIZ.PAVO;0.00258543038217;0.03844421983159;2.733;14.869562954257656;84.55745;5.686613;4.0;enero
FUET/LONGANIZ.CERD;0.04630485862978;0.57637425241929;30.99;12.447381753771351;1267.726;101.8468;4.0;enero
OTROS PROD.CURADOS;0.01692264113794;0.21487225183107;14.513;12.697323667126263;472.6081;37.22108;3.0;enero
O.PROD.CURAD.CORTE;0.007858515573;0.08173148446279;3.064;10.400371890020526;179.7671;17.28468;4.0;enero
O.PROD.CURAD.ENVAS;0.00906412556493;0.13314076736827;12.104;14.688760257619228;292.841;19.936400000000003;4.0;enero
SALCHICHAS;0.1060625083435;0.4043315897113;31.102;3.812200899509094;889.3209;233.28279999999998;3.0;enero
JAMON COCIDO;0.12249367968483;1.28077898291944;45.765;10.455878100933512;2817.053;269.4229;3.0;enero
J.COC.SIN/BAJO SAL;0.00229556104329;0.02597234513915;3.755;11.31416008952179;57.12576;5.04905;4.0;enero
PALETA COCIDA;0.00044655608239;0.00535867480731;0.548;12.000004072519353;11.78632;0.982193;3.0;enero
FIAMBRES;0.18005936082983;1.38080925850425;59.254;7.668633566955873;3037.068;396.03770000000003;3.0;enero
PAVO;0.08337246018567;0.72908597287179;40.09;8.74492573744495;1603.613;183.3764;4.0;enero
POLLO;0.00446979045214;0.05994924009679;3.903;13.412091850533903;131.85739999999998;9.831233000000001;4.0;enero
PROD.A BASE SANGRE;0.00667495166004;0.04616778103012;4.998;6.91657159204302;101.5453;14.68145;3.0;enero
MORCILLA;0.00667495166004;0.04616778103012;4.998;6.91657159204302;101.5453;14.68145;4.0;enero
FOIE-GRAS Y PATES;0.01938794653226;0.17743751872717;17.082;9.151950075369083;390.271;42.643480000000004;3.0;enero
COCIDOS Y OTROS;0.0452715890522;0.44873377488566;29.519;9.912039411035837;986.9828;99.57414;3.0;enero
