Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;43.34275272049744;140.52374509855017;99.313;3.242150908243868;932100.8346000001;287494.586458;0.0;enero
T.HUEVOS KGS;0.73263982531783;2.30158731778381;83.631;3.141499053488288;15266.5406;4859.635588;1.0;enero
T.HUEVOS UNDS.;11.54012296534709;2.30158731778381;83.631;0.19944218312881618;15266.5406;76546.19679999999;1.0;enero
TOTAL HUEVOS GALLINA;11.43034436415494;2.28948871810468;83.301;0.20029919004753885;15186.29;75818.03;2.0;enero
OTRAS AVES;0.10977860119215;0.01209859967912;1.364;0.11020908945587742;80.2506;728.1668000000001;2.0;enero
MIEL;0.01879677158966;0.13539454486061;6.968;7.203074433008047;898.0785999999999;124.67989999999999;1.0;enero
GRANEL;0.0018396729294;0.02115221942017;0.569;11.497815226868942;140.30370000000002;12.202639999999999;2.0;enero
ENVASADA;0.01695708961464;0.11424232544044;6.44;6.7371422830582555;757.7749;112.4772;2.0;enero
TOTAL CARNE;3.26130580579771;27.62468817609556;96.667;8.470437861725928;183235.9;21632.4;1.0;enero
CARNE CERTIFICADA;0.40930862297904;4.09574564041586;45.941;10.006497323721419;27167.28;2714.964;2.0;enero
CARNE FRESCA;2.35975505054889;17.75051060329057;90.621;7.522183541533965;117740.0;15652.37;2.0;enero
SALCHICHAS FRESCAS;0.01976000891212;0.16301086584341;8.249;8.249534024419182;1081.259;131.0691;3.0;enero
CARNE VACUNO;0.37415510412459;4.70962927499842;56.896;12.587371448580036;31239.2;2481.789;3.0;enero
TERNERA;0.23098609492735;2.83059736985711;42.875;12.254405923210774;18775.49;1532.142;4.0;enero
AÑOJO;0.11838063371168;1.56436664077846;24.587;13.214717574400696;10376.52;785.2245;4.0;enero
MAYOR;0.02478831518146;0.31466466132189;7.324;12.694072147235683;2087.186;164.4221;4.0;enero
CARNE POLLO;1.02574312081459;5.54054282761376;76.886;5.401491577358784;36750.69;6803.804;3.0;enero
POLLO ENTERO;0.14674074541227;0.57487306575975;15.498;3.9176103688490698;3813.161;973.3385;4.0;enero
POLLO FILETES;0.16547066991172;1.19247022656264;40.194;7.206535316493178;7909.713;1097.575;4.0;enero
POLLO POR PIEZAS;0.71353163011048;3.77320013833232;67.229;5.288062896031811;25027.82;4732.89;4.0;enero
CARNE CONEJO;0.02142289435423;0.19647903598005;6.62;9.17145147295092;1303.255;142.0991;3.0;enero
CARNE OVINO/CAPRINO;0.04441725314133;0.66070810662065;9.126;14.875033008419608;4382.509;294.6218;3.0;enero
CORDERO;0.03917687244303;0.57784228867747;8.089;14.749576794769226;3832.856;259.8621;4.0;enero
CABRITO;0.00461725093822;0.07554841342476;0.619;16.362206524099264;501.11629999999997;30.626450000000002;4.0;enero
OTRO OVINO/CAPRINO;0.00062313021235;0.00731737135116;0.411;11.742925003623055;48.536480000000005;4.133253;4.0;enero
OVINO/CAPRINO ENTE;0.00982747355819;0.13119026390854;0.725;13.349337765361364;870.1914;65.18611;4.0;enero
OVINO/CAPRINO PIEZ;0.03458978109073;0.52951775225596;8.868;15.308502556489682;3512.317;229.43570000000003;4.0;enero
CARNE CERDO;0.65309622212634;4.86946980376458;73.864;7.455976070280393;32299.43;4332.019;3.0;enero
CARNE CERDO ADOBAD;0.11837654810919;0.94264332297965;33.106;7.963091828882775;6252.599;785.1974;4.0;enero
CARN.CERDO IBERICO;0.02168877511268;0.23143988324836;7.461;10.670952234317859;1535.152;143.86270000000002;4.0;enero
CARNE DESPOJOS;0.03247763013479;0.20479693067612;9.492;6.305784314499152;1358.428;215.4257;3.0;enero
DESPOJOS CERDO;0.00860779909869;0.06054442271334;4.403;7.033670514283412;401.59409999999997;57.095949999999995;4.0;enero
DESPOJOS CORDERO;0.00292096305743;0.02117732100005;1.47;7.2501160006585845;140.4702;19.37489;4.0;enero
DESPOJOS POLLO;0.00856947433819;0.03401766105771;2.614;3.9696321752289774;225.64079999999998;56.84174;4.0;enero
DESPOJOS TERNERA;0.01106400753529;0.0785951271056;2.702;7.103676209085668;521.3253;73.38810000000001;4.0;enero
DESPOJOS OT.PROCED;0.00131538580365;0.01046237618537;0.617;7.9538460551026935;69.39744999999999;8.725018;4.0;enero
OTRAS CARNES FRESCA;0.20844261478864;1.56888643275983;48.044;7.526706735811256;10406.5;1382.61;3.0;enero
AVESTRUZ;0.00026399520013;0.00285111734606;0.293;10.79988327290441;18.9116;1.751093;4.0;enero
PAVO;0.11111117094943;0.87259906036827;30.253;7.853387313912591;5787.992;737.0058;4.0;enero
OTRAS AVES;0.01206690987677;0.08788804857486;6.272;7.283393136466085;582.9657;80.04039999999999;2.0;enero
CARNE CABALLO;0.00150579040806;0.01633772132254;0.326;10.849930531505818;108.3689;9.987981;4.0;enero
CARNE CONGELADA;0.05411903638022;0.27606521567231;8.882;5.101074116189966;1831.154;358.9742;2.0;enero
C.CONG.POLLO;0.03929821935984;0.15638887308191;6.587;3.979540946878585;1037.335;260.667;3.0;enero
C.CONG.CERDO;0.01076503791946;0.08546058257793;2.026;7.938716353556093;566.8642;71.40502000000001;3.0;enero
C.CONG.VACA;0.00102164741738;0.01211334704575;0.219;11.856680533426832;80.34842;6.776637;3.0;enero
RESTO CARNES CONG.;0.00303411766282;0.02210241598191;1.361;7.2846271760383;146.6064;20.12545;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.8474315982604;9.59810843736644;91.757;11.32611582701112;63664.72;5621.055;2.0;enero
JAMON CURADO+PALETA;0.1562534903868;3.09314331180902;55.424;19.795674990375684;20516.97;1036.437;3.0;enero
JAMON C.+P.ENTERO;0.05770716023329;0.68376417157379;7.824;11.84886188836035;4535.441;382.7744;4.0;enero
JAMON C.+P.LONCHA;0.09854636030555;2.40937929099546;53.241;24.449196129870018;15981.53;653.6628000000001;4.0;enero
JAMON CURADO NORMAL;0.10865233174665;1.78664904555677;47.489;16.443724831628085;11850.93;720.6962;3.0;enero
JAMON C.N.ENTER/PI;0.03280551857977;0.3511091401075;6.182;10.702746224045338;2328.924;217.60060000000001;4.0;enero
JAMON C.N.LONCHA;0.07584681316688;1.43553945316854;45.103;18.92682623342363;9522.003;503.0956;4.0;enero
JAMON IBERICO;0.03774177064684;1.01554177844597;10.548;26.907634725157084;6736.138;250.343;3.0;enero
JAMON IBE.ENTER/PI;0.02146314733819;0.29031854099902;1.403;13.526373202609326;1925.697;142.36610000000002;4.0;enero
JAMON IBE.LONCHA;0.01627862330864;0.72522323744694;9.883;44.550649259239705;4810.441;107.9769;4.0;enero
PALETA CURADA NORM.;0.00287834766052;0.05511170210144;2.871;19.146992858871307;365.55859999999996;19.09222;3.0;enero
PALETA C.N.ENTR/PI;0.00019530913652;0.00357787215678;0.159;18.319020914785472;23.732200000000002;1.2954949999999998;4.0;enero
PALETA C.N.LONCHA;0.0026830392778;0.05153382994466;2.744;19.207258861599858;341.82640000000004;17.79673;4.0;enero
PALETA IBERICA;0.00698106897722;0.23584087616098;3.622;33.7829173340601;1564.344;46.305769999999995;3.0;enero
PALETA IB.ENTER/PI;0.0032431874402;0.03875858815843;0.161;11.950770306365404;257.0876;21.512220000000003;4.0;enero
PALETA IBE.LONCHA;0.00373788002941;0.19708237845868;3.459;52.72571000349285;1307.257;24.79354;4.0;enero
HUESOS JAMON CURADO;0.01074245705079;0.06164641976027;8.215;5.738577261124936;408.9037;71.25524;3.0;enero
LOMO EMBUCHADO N+IB;0.01967879437108;0.42446243921651;15.922;21.56953475971881;2815.48;130.5304;3.0;enero
LOMO EMB.AL CORTE;0.00658992605854;0.15899416078138;4.652;24.12685049403701;1054.616;43.7113;4.0;enero
LOMO EMB.ENVASADO;0.01308886680493;0.26546827843513;12.053;20.281990976869256;1760.864;86.81909;4.0;enero
LOMO EMB.NORMAL;0.01566195362484;0.3018557698502;13.375;19.273187565275563;2002.224;103.8865;4.0;enero
LOMO E.N.AL CORTE;0.00538168827081;0.11412164186868;3.585;21.205546684595344;756.9744000000001;35.697;5.0;enero
LOMO E.N.ENVASADO;0.01028025932361;0.1877341882856;10.382;18.26161990430779;1245.25;68.18946000000001;5.0;enero
LOMO EMB.IBERICO;0.00401684526905;0.12260659398619;2.983;30.52310601326456;813.2555;26.64393;4.0;enero
LOMO E.I.AL CORTE;0.00120823793849;0.04487250383666;1.096;37.13879725755247;297.6415;8.014301;5.0;enero
LOMO E.I.ENVASADO;0.00280860748131;0.07773409014952;1.912;27.6770928891234;515.614;18.629630000000002;5.0;enero
OTRAS SALAZONES;0.03273095256529;0.26509770976634;12.817;8.099297117537056;1758.406;217.106;3.0;enero
O.SALAZONES AL COR;0.01231432853629;0.10083414694056;4.895;8.188359328190923;668.8378;81.68154;4.0;enero
O.SALAZONES ENVASA;0.02041663005941;0.16426353267373;8.462;8.045575209803248;1089.568;135.4245;4.0;enero
TOCINO Y MANTECA;0.03185328675479;0.19174425989709;19.674;6.019606748060907;1271.849;211.2844;3.0;enero
TOCINO;0.0014158659957;0.01092905450686;1.425;7.718989325250002;72.49295;9.391508;4.0;enero
CHORIZOS;0.07218048997756;0.79372416748616;38.74;10.996380985123126;5264.811;478.7767;3.0;enero
CHOR.IBERICO;0.01315171724119;0.18717351095476;10.155;14.231868547817081;1241.531;87.23598;4.0;enero
CHOR.NORMAL;0.05902878479718;0.60655065653139;35.237;10.275506409549147;4023.28;391.5408;4.0;enero
CHORIZO DE PAVO;0.00031185207829;0.0049418121047;0.55;15.846654387415217;32.77928;2.06853;4.0;enero
CHORIZO DE CERDO;0.07157520269184;0.78344337447129;38.139;10.945737420323203;5196.618;474.7618;4.0;enero
SALCHICHON/SALAMI;0.02281596419564;0.25925348908062;17.434;11.362811006254818;1719.641;151.33939999999998;3.0;enero
SALCHICHON DE PAVO;0.00025194282354;0.00384717668027;0.497;15.270038757764867;25.51851;1.671149;4.0;enero
SALCHICHON DE CERD;0.02252199680457;0.25432860433561;16.919;11.292453619564963;1686.974;149.3895;4.0;enero
FUET/LONGANIZAS;0.03606441222173;0.43707519161656;24.061;12.11929336125777;2899.141;239.217;3.0;enero
FUET/LONGANIZ.PAVO;0.00118403926168;0.01916063142779;1.603;16.182429120208205;127.09339999999999;7.85379;4.0;enero
FUET/LONGANIZ.CERD;0.03447642446662;0.41368986630027;22.877;11.999210263254328;2744.025;228.6838;4.0;enero
OTROS PROD.CURADOS;0.02037114569514;0.27934621076539;16.622;13.712837507807714;1852.917;135.12279999999998;3.0;enero
O.PROD.CURAD.CORTE;0.00727219906059;0.1001312876278;5.462;13.769052083624864;664.1757;48.23685;4.0;enero
O.PROD.CURAD.ENVAS;0.01309894663455;0.17921487790951;12.604;13.68162516494324;1188.741;86.88595;4.0;enero
SALCHICHAS;0.10467319613631;0.44718230883548;30.356;4.272175927953007;2966.182;694.3024;3.0;enero
JAMON COCIDO;0.0805179382767;0.89034489740414;39.359;11.05772100552839;5905.701;534.0794000000001;3.0;enero
J.COC.SIN/BAJO SAL;0.00275111657157;0.03146289311451;2.572;11.436408562117325;208.6949;18.24829;4.0;enero
PALETA COCIDA;0.0008335783906;0.01258768549502;0.797;15.100781926243485;83.49472999999999;5.529166;3.0;enero
FIAMBRES;0.18782162922454;1.76337166457199;63.739;9.38854418339581;11696.53;1245.83;3.0;enero
PAVO;0.10561701553992;1.04851696259931;47.25;9.92753825923957;6954.864;700.5628;4.0;enero
POLLO;0.00511992778971;0.07013912095409;5.084;13.699240269570176;465.2362;33.960730000000005;4.0;enero
PROD.A BASE SANGRE;0.01280866533133;0.0844208344339;8.459;6.590915778508837;559.9675;84.9605;3.0;enero
MORCILLA;0.01280866533133;0.0844208344339;8.459;6.590915778508837;559.9675;84.9605;4.0;enero
FOIE-GRAS Y PATES;0.01622240481532;0.17343653944847;15.208;10.69117319058771;1150.413;107.604;3.0;enero
COCIDOS Y OTROS;0.04186319377125;0.42127325710931;28.96;10.06309407283044;2794.326;277.68059999999997;3.0;enero
COCIDOS Y O. CORTE;0.00396912814563;0.05086027842247;3.384;12.813967338994859;337.3587;26.327419999999996;4.0;enero
COCIDOS Y O.ENVASA;0.03789406864082;0.37041293345876;26.919;9.774958106759732;2456.967;251.35320000000002;4.0;enero
COCIDOS DE PAVO;0.00269221002317;0.03597395607801;2.261;13.362239858076913;238.617;17.857560000000003;4.0;enero
COCIDOS DE CERDO;0.03784154377337;0.37354995252308;26.808;9.871424769566161;2477.775;251.0048;4.0;enero
TOTAL PESCA;1.48255026486271;16.64548327554351;90.33;11.227601296260216;110410.3;9833.828;1.0;enero
PESCADOS;0.85515534685244;9.35732021318476;73.915;10.942246046435942;62067.56;5672.287;2.0;enero
PESCADOS FRESCOS;0.68360285811749;7.40735410773807;60.747;10.835756491914754;49133.34;4534.371;3.0;enero
PESCADOS CONGELADOS;0.17155248873495;1.94996761304908;39.731;11.366594722281786;12934.23;1137.916;3.0;enero
MERLUZA/PESCAD;0.15346306911318;1.65991395779093;29.334;10.816374046101494;11010.29;1017.928;3.0;enero
