Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;57.55360803489374;160.24930963825344;98.798;2.7843486292136035;154693.743165;55558.323961999995;0.0;enero
T.HUEVOS KGS;0.74498179050641;2.3074907130705;80.084;3.0973786775404717;2227.494;719.1545600000001;1.0;enero
T.HUEVOS UNDS.;11.6403404766628;2.3074907130705;80.084;0.19823223536259021;2227.494;11236.79;1.0;enero
TOTAL HUEVOS GALLINA;11.6403404766628;2.3074907130705;80.084;0.19823223536259021;2227.494;11236.79;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.01460707192615;0.12721284952548;4.698;8.708990423859293;122.80260000000001;14.100670000000001;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01460707192615;0.12721284952548;4.698;8.708990423859293;122.80260000000001;14.100670000000001;2.0;enero
TOTAL CARNE;3.16538336800921;27.11457544608729;95.973;8.565968887092579;26174.56;3055.645;1.0;enero
CARNE CERTIFICADA;0.30672999867809;3.04474815372392;44.137;9.926476597808415;2939.192;296.0962;2.0;enero
CARNE FRESCA;2.2611750283677;16.3980831897701;92.532;7.252018523133759;15829.59;2182.784;2.0;enero
SALCHICHAS FRESCAS;0.01945780857832;0.16357071381284;9.489;8.406430413496286;157.9;18.783240000000003;3.0;enero
CARNE VACUNO;0.2932783533958;3.8482822929146;40.996;13.121603583613346;3714.869;283.1109;3.0;enero
TERNERA;0.23060507935505;3.09404830471232;36.089;13.41708653324373;2986.783;222.6104;4.0;enero
AÑOJO;0.03211751884291;0.48064430702812;8.976;14.965175528624314;463.9812;31.004060000000003;4.0;enero
MAYOR;0.03055576555696;0.27358968117415;9.958;8.953782573835158;264.1048;29.49645;4.0;enero
CARNE POLLO;1.09977738011025;5.84236986085837;81.624;5.312320444590966;5639.825;1061.65;3.0;enero
POLLO ENTERO;0.19641589961086;0.73294741967881;15.962;3.7316094121245844;707.5374;189.6065;4.0;enero
POLLO FILETES;0.18255227159973;1.3927637095401;37.722;7.62939676036397;1344.479;176.2235;4.0;enero
POLLO POR PIEZAS;0.72080931249098;3.71665914600478;68.396;5.156230755622035;3587.809;695.8201;4.0;enero
CARNE CONEJO;0.03163871970469;0.26391435432209;6.853;8.341499175230323;254.76489999999998;30.54186;3.0;enero
CARNE OVINO/CAPRINO;0.0300065139536;0.50018204667851;6.309;16.669115494451468;482.84159999999997;28.966240000000003;3.0;enero
CORDERO;0.0300065139536;0.50018204667851;6.309;16.669115494451468;482.84159999999997;28.966240000000003;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.0300065139536;0.50018204667851;6.309;16.669115494451468;482.84159999999997;28.966240000000003;4.0;enero
CARNE CERDO;0.58245521516906;4.46776364005615;70.289;7.670570240768323;4312.874;562.2625;3.0;enero
CARNE CERDO ADOBAD;0.01731792242555;0.13321306667903;6.008;7.692208303374779;128.5948;16.71754;4.0;enero
CARN.CERDO IBERICO;0.00605168754295;0.1267191332354;0.735;20.939470575084822;122.326;5.841886000000001;4.0;enero
CARNE DESPOJOS;0.05641520770178;0.30043164566997;6.631;5.325366295876616;290.0162;54.45939;3.0;enero
DESPOJOS CERDO;0.00975176068073;0.07018025820103;4.323;7.1966756054271634;67.74723;9.413684;4.0;enero
DESPOJOS CORDERO;0.00593447084264;0.03172616114835;0.509;5.34608088734455;30.62627;5.728733;4.0;enero
DESPOJOS POLLO;0.03594068127364;0.16475010113188;4.083;4.583944858404805;159.0385;34.69468;4.0;enero
DESPOJOS TERNERA;0.00478829904841;0.0337750941113;1.73;7.053672665343659;32.604169999999996;4.622297;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.16760383515602;1.17513489484309;32.2;7.011384278582612;1134.395;161.7933;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.06803964690893;0.54938803314577;15.561;8.074527986324167;530.3417;65.68083;4.0;enero
OTRAS AVES;0.01826109042938;0.10353763062368;2.5;5.669849290986334;99.94816;17.62801;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.10461564346486;0.63102452930758;11.253;6.031837193827434;609.148;100.9888;2.0;enero
C.CONG.POLLO;0.07009775806393;0.35199661395798;8.773;5.021510297618107;339.7935;67.66758999999999;3.0;enero
C.CONG.CERDO;0.01897425459795;0.14200911030194;4.859;7.484305091870968;137.08589999999998;18.31645;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.01554358936644;0.13701880504766;1.675;8.815132838200247;132.2686;15.004719999999999;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00198710447622;0.01269295272314;0.542;6.387662488302928;12.25291;1.918215;3.0;enero
CARNE TRANSFORMADA;0.79959279976797;10.08547083474957;90.949;12.613258695771309;9735.825;771.8723;2.0;enero
JAMON CURADO+PALETA;0.1392552383222;3.27235592146818;55.681;23.4989790035521;3158.909;134.4275;3.0;enero
JAMON C.+P.ENTERO;0.00869042707998;0.29627877274657;2.718;34.09254459185053;286.0073;8.389145000000001;4.0;enero
JAMON C.+P.LONCHA;0.13056475426698;2.97607745949559;55.478;22.79388090762887;2872.902;126.0383;4.0;enero
JAMON CURADO NORMAL;0.10075394505849;1.6879896835758;40.848;16.753584016940813;1629.47;97.26097999999999;3.0;enero
JAMON C.N.ENTER/PI;0.00038569435642;0.01928227306562;0.597;49.99366141764007;18.61379;0.37232299999999996;4.0;enero
JAMON C.N.LONCHA;0.10036825380981;1.66870719296837;40.794;16.625846616105537;1610.856;96.88866;4.0;enero
JAMON IBERICO;0.01660483077091;0.82305592577587;13.78;49.56725769331787;794.522;16.02917;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
