Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.04913572198115;163.21004335965083;99.56;3.544258557750606;363197.90956;102475.00390899999;0.0;enero
T.HUEVOS KGS;0.933900039499;2.96827592931781;81.661;3.178365781963306;6605.42446;2078.245524;1.0;enero
T.HUEVOS UNDS.;14.64187583486038;2.96827592931781;81.661;0.20272511273799657;6605.42446;32583.1584;1.0;enero
TOTAL HUEVOS GALLINA;14.5829866879704;2.96287879556299;81.68;0.2031736611271193;6593.414;32452.11;2.0;enero
OTRAS AVES;0.05888914688998;0.00539713375482;0.774;0.09164903959147917;12.010459999999998;131.0484;2.0;enero
MIEL;0.01127399186159;0.11927613201693;5.068;10.57976034409432;265.43;25.08847;1.0;enero
GRANEL;0.00358652000371;0.04303823734832;0.95;11.999999248235985;95.77472999999999;7.981228;2.0;enero
ENVASADA;0.00768747095914;0.07623786321274;4.13;9.917157881692196;169.6552;17.10724;2.0;enero
TOTAL CARNE;3.73675499433243;34.17261406969811;97.898;9.144997229287965;76045.7;8315.552;1.0;enero
CARNE CERTIFICADA;0.48371610072479;5.36199306416136;48.173;11.085000181153866;11932.26;1076.433;2.0;enero
CARNE FRESCA;2.81063287667211;23.43329096218788;93.214;8.337371684747982;52147.05;6254.615;2.0;enero
SALCHICHAS FRESCAS;0.03433221212209;0.29021581985594;10.101;8.45316400888681;645.829;76.40086;3.0;enero
CARNE VACUNO;0.51908102674521;7.25277791937638;62.24;13.972342554790274;16139.9;1155.132;3.0;enero
TERNERA;0.33825377311486;4.40599866321747;48.734;13.02571918901045;9804.847;752.7298000000001;4.0;enero
AÑOJO;0.14690732000006;2.41078484247703;27.194;16.410243155181043;5364.817;326.9188;4.0;enero
MAYOR;0.03392009540328;0.4359962560966;11.557;12.853627058323541;970.2401;75.48375999999999;4.0;enero
CARNE POLLO;1.03651376636298;6.17183319842257;83.839;5.95441507745613;13734.43;2306.596;3.0;enero
POLLO ENTERO;0.14633810372298;0.65564934440861;16.452;4.480373380058044;1459.043;325.65209999999996;4.0;enero
POLLO FILETES;0.14020888422911;1.1430646544118;33.389;8.152583630463523;2543.708;312.0125;4.0;enero
POLLO POR PIEZAS;0.74996704803255;4.37311740212437;74.731;5.831079396883755;9731.675;1668.932;4.0;enero
CARNE CONEJO;0.0539927275339;0.40955284143278;8.356;7.585333435426068;911.3945;120.1522;3.0;enero
CARNE OVINO/CAPRINO;0.04070743442541;0.62484821448044;9.904;15.349732138618956;1390.5;90.58789999999999;3.0;enero
CORDERO;0.03964247826934;0.60819188659987;8.987;15.341923945008508;1353.434;88.21800999999999;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0010649570548;0.01665603129673;0.874;15.640096679511135;37.06534;2.3698919999999997;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.04070743442541;0.62484821448044;9.904;15.349732138618956;1390.5;90.58789999999999;4.0;enero
CARNE CERDO;0.81358113489806;6.33667988594505;77.2;7.788626867237966;14101.27;1810.495;3.0;enero
CARNE CERDO ADOBAD;0.12845513206602;1.05895392838132;35.104;8.243765051263502;2356.533;285.8564;4.0;enero
CARN.CERDO IBERICO;0.00935841529405;0.13858567191674;5.271;14.808668728866218;308.4003;20.82566;4.0;enero
CARNE DESPOJOS;0.05128001900003;0.37250979015371;10.579;7.264228785747773;828.9611;114.1155;3.0;enero
DESPOJOS CERDO;0.01479598780531;0.09996039081876;4.908;6.755911949513623;222.4459;32.92611;4.0;enero
DESPOJOS CORDERO;0.00497236728612;0.02481789708618;0.732;4.991163294686681;55.228269999999995;11.065209999999999;4.0;enero
DESPOJOS POLLO;0.00219831667729;0.01252851901209;1.607;5.699142048768164;27.88022;4.892003;4.0;enero
DESPOJOS TERNERA;0.02896855189728;0.23202894753596;5.552;8.009684031105925;516.3434;64.46489;4.0;enero
DESPOJOS OT.PROCED;0.00034477556175;0.00317400379546;0.152;9.205999924404653;7.063238999999999;0.767243;4.0;enero
OTRAS CARNES FRESCA;0.29547649808483;2.2650925275847;49.132;7.665897430983986;5040.602;657.5358;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.19802925082903;1.53010431129129;37.517;7.726658081498585;3405.003;440.6825;4.0;enero
OTRAS AVES;0.01715369897064;0.15413380980685;6.366;8.98545614392649;343.0002;38.17282;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.06888995378167;0.28815609006385;8.89;4.182846325852752;641.2454;153.30360000000002;2.0;enero
C.CONG.POLLO;0.06072562994135;0.21287924834804;7.226;3.50559143731611;473.7288;135.1352;3.0;enero
C.CONG.CERDO;0.00296622300297;0.02314444526977;0.436;7.802665290683512;51.50427;6.600855999999999;3.0;enero
C.CONG.VACA;0.00227631867508;0.02721523364925;0.901;11.955810030985571;60.56316;5.065583999999999;3.0;enero
RESTO CARNES CONG.;0.00292179564334;0.0249171403283;0.905;8.528022959124822;55.44912;6.50199;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.8572324335003;10.45116944404138;92.42;12.191756909344246;23257.41;1907.634;2.0;enero
JAMON CURADO+PALETA;0.11458700678623;2.68780492855503;56.858;23.45645465344236;5981.281;254.9951;3.0;enero
JAMON C.+P.ENTERO;0.01843476138692;0.30936214877301;7.786;16.781456634007434;688.4361;41.02362;4.0;enero
JAMON C.+P.LONCHA;0.09615225438669;2.37844282471896;53.423;24.736214869737328;5292.845;213.9715;4.0;enero
JAMON CURADO NORMAL;0.08510095654139;1.64072244219467;46.511;19.27971798291887;3651.166;189.3786;3.0;enero
JAMON C.N.ENTER/PI;0.01140477634511;0.17838227941232;5.211;15.641015133861922;396.9613;25.37951;4.0;enero
JAMON C.N.LONCHA;0.07369618468996;1.46234029759318;43.707;19.842822308171204;3254.205;163.9991;4.0;enero
JAMON IBERICO;0.01211375550725;0.62608847415103;10.414;51.68409365502316;1393.26;26.95723;3.0;enero
JAMON IBE.ENTER/PI;0.0006729981506;0.0211605285969;1.537;31.442179414415914;47.08938;1.4976500000000001;4.0;enero
JAMON IBE.LONCHA;0.01144075735665;0.60492811631452;8.891;52.87483139941821;1346.171;25.459580000000003;4.0;enero
PALETA CURADA NORM.;0.0117307848907;0.17101464266258;8.23;14.578277946093829;380.56579999999997;26.10499;3.0;enero
PALETA C.N.ENTR/PI;0.00468729180335;0.03762643168108;1.336;8.0273286280465;83.73161999999999;10.430819999999999;4.0;enero
PALETA C.N.LONCHA;0.00704349308735;0.13338821996888;7.039;18.93779383533546;296.8342;15.67417;4.0;enero
PALETA IBERICA;0.00564150535318;0.24997909992508;5.119;44.310708627423175;556.2886;12.55427;3.0;enero
PALETA IB.ENTER/PI;0.00166969688532;0.0721929090827;0.237;43.237134666292036;160.6538;3.7156439999999997;4.0;enero
PALETA IBE.LONCHA;0.00397180891723;0.17778619084237;4.926;44.76202016444409;395.6348;8.838627;4.0;enero
HUESOS JAMON CURADO;0.00264531794618;0.01058463216946;2.317;4.00127031411141;23.55441;5.886733;3.0;enero
