Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NIÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NIÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DEL HÁBITAT (2000 A 10000);TAMAÑO DEL HÁBITAT (10001 A 100000);TAMAÑO DEL HÁBITAT (100001 A 500000);TAMAÑO DEL HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;46.09339233413297;37.67581090630281;43.03215645886276;46.05882961316545;49.18101738344369;62.95815356628027;54.21810039312355;27.4879116723331;33.95777118792437;40.49151660214174;53.88595687834317;30.8943906749996;35.55051559328117;49.55692378678077;65.83333729879068;75.30472960237175;58.10120016803777;43.46424909696182;33.1460479503203;46.32067303419637;46.18839106270388;45.76449435141271;46.77088494608737;45.73259395042169;46.83952480006517;44.2890145942537;52.25429196091805;39.49811330752821;27.48928251830078;35.32676068521363;43.70982485522303;39.29740912925875;60.97873885494087;77.30153709162076;68.9240151293867;0.0
T.HUEVOS KGS;0.68374968016292;0.54049149953038;0.60070756327724;0.66861408594771;0.76813476818797;0.99691383598123;0.82799331022281;0.35912704582446;0.46505600884874;0.56529322680119;0.84830061940708;0.49163557975406;0.46454842807251;0.72358898596403;1.09282486531104;1.15635889234349;0.88009073687515;0.61972292499072;0.48656699388745;0.76053519990364;0.69239295118322;0.6602805612718;0.68515438373942;0.70312218916993;0.68595128186888;0.67841618010709;0.84260290382715;0.53033193291459;0.35914495580134;0.4918143734824;0.66109072859373;0.59775341212388;0.85459206257907;1.03098893181215;1.16485003029487;1.0
T.HUEVOS UNDS.;10.87365429199176;8.54150731226777;9.5070892213516;10.66632990619154;12.43937603289602;15.75086065730805;13.15517972880056;5.7287612272111;7.42271545909201;9.05177851305914;13.40475112941457;7.76109318151516;7.41303301938771;11.57043859730723;17.25904111562844;18.44972174627016;13.99040285807242;9.81971029935582;7.74679659453673;11.91796402647071;11.01804592976136;10.46632171864936;11.00903382234094;11.16764780220722;10.92268490983812;10.75494907684163;13.24858342689953;8.36612319743936;5.72904692549628;7.83025558068056;10.51699152587912;9.51039838935562;13.53656658827464;17.11580831767777;18.40704905094683;1.0
TOTAL HUEVOS GALLINA;10.64839143042599;8.4273412297723;9.36364205673564;10.40649605344075;11.92112977516687;15.54454128533619;12.89706505434838;5.58961913985837;7.23757137514496;8.79213780871496;13.22690940949887;7.66712310997992;7.22996477553042;11.25712222205486;17.04137878064369;17.99743842371846;13.70716126471159;9.65788559254017;7.57590792485355;11.87695480812851;10.78171281269656;10.28921007565398;10.64933417622251;10.95269835458998;10.68008208834269;10.5716053581237;13.15031610292889;8.27167964704082;5.58989789900713;7.65762625325185;10.29482987657305;9.30832274500602;13.31900734622828;15.92279349324772;18.1625840701002;2.0
OTRAS AVES;0.22526286156576;0.11416608249547;0.14344716461595;0.25983385275079;0.51824625772915;0.20631937197186;0.25811467445217;0.13914208735272;0.18514408394705;0.25964070434417;0.17784171991569;0.09397007153524;0.18306824385729;0.31331637525236;0.21766233498475;0.4522833225517;0.28324159336082;0.16182470681564;0.17088866968318;0.04100921834219;0.2363331170648;0.17711164299538;0.35969964611843;0.21494944761724;0.24260282149542;0.18334371871793;0.09826732397063;0.09444355039854;0.13914902648915;0.17262932742871;0.22216164930607;0.2020756443496;0.21755924204635;1.19301482443004;0.24446498084663;2.0
MIEL;0.02816577557921;0.01579323168753;0.02549507357818;0.03115191791411;0.02832356894165;0.04978840335151;0.03488268751228;0.00751420813874;0.02282629661997;0.02013651343351;0.03930508245608;0.00888838249544;0.01856981322221;0.02694282438587;0.05512637861121;0.06413848058583;0.04116446615625;0.02040434254643;0.01605879331444;0.02103866477951;0.03046168191034;0.02756825061039;0.02834739974633;0.03025991422633;0.02720131398421;0.03049662995463;0.0495639344472;0.01676409218354;0.00751458287881;0.0193026303385;0.01805888738157;0.0244814327095;0.04327442970478;0.04804299093358;0.05721473251554;1.0
GRANEL;0.00834653173024;0.00303403298003;0.01005997132665;0.00922877239638;0.00375774698464;0.01945738904101;0.0109112972154;0.00064717930201;0.00617663422703;0.00529786556635;0.01257421930585;0.0006438704412;0.0062083527351;0.00546159426196;0.01981910462614;0.02884644637466;0.01452681143383;0.00196372504872;0.00334797018374;0.00774062254914;0.01521340819052;0.00698556358103;0.00703655408384;0.00733810409105;0.00885200931848;0.00712451762785;0.03211951160039;0.00452335204432;0.0006472115774;0.00479108996713;0.00247162797508;0.00409968228834;0.01816101377134;0.01210846588029;0.01871009980298;2.0
ENVASADA;0.01981923732772;0.01275920531458;0.01543509952462;0.02192313682366;0.0245658251026;0.03033101431049;0.0239713735134;0.00686702870479;0.0166496612492;0.01483864786716;0.02673086315022;0.00824451205424;0.0123614604871;0.02148122946068;0.03530727398507;0.03529203421116;0.02663765472242;0.01844061835309;0.01271082366008;0.01329804223037;0.01524827371981;0.02058268164188;0.02131084566248;0.02292181013527;0.01834930466573;0.02337211232677;0.01744443286759;0.01224073629952;0.00686737116946;0.01451154335223;0.01558725777437;0.02038174361374;0.02511341197745;0.03593451916958;0.03850463271256;2.0
TOTAL CARNE;3.30293885006652;2.73195543102495;2.98592645695773;3.36320032943104;3.59585577841071;4.38532459524609;3.82449559535513;1.99197455093652;2.62065718615895;2.96174474667445;3.77795393758078;2.12184199163197;2.56865295492188;3.76960370216734;4.37712658209149;4.52177451537138;3.90966464491865;3.1985826227254;2.69871123723013;3.71531995312864;3.35783994179583;3.24544778647344;3.26600330015571;3.28143146750676;3.32368430478054;3.25274130852175;3.22945947541051;2.47124574900982;1.99207389243301;2.80246355594687;3.70396067233907;2.97958718140391;4.35425468870992;4.24549950380556;4.48963297904426;1.0
