Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;98.322;98.436;98.388;98.542;98.292;97.954;98.297;98.331;98.668;98.652;97.932;97.757;98.771;98.851;97.647;98.107;98.261;98.566;98.506;98.353;98.595;98.597;98.113;97.693;98.49;97.938;98.216;98.398;98.331;98.674;98.643;98.831;98.958;98.996;97.522;0.0
T.HUEVOS KGS;78.296;80.671;78.291;77.873;76.677;77.678;78.332;75.486;80.89;76.955;79.971;72.775;76.303;80.218;80.487;74.285;80.843;78.295;80.854;76.489;74.726;78.005;78.441;82.953;76.098;83.468;65.826;71.62;75.486;82.344;84.28;79.765;82.596;74.401;79.312;1.0
T.HUEVOS UNDS.;78.296;80.671;78.291;77.873;76.677;77.678;78.332;75.486;80.89;76.955;79.971;72.775;76.303;80.218;80.487;74.285;80.843;78.295;80.854;76.489;74.726;78.005;78.441;82.953;76.098;83.468;65.826;71.62;75.486;82.344;84.28;79.765;82.596;74.401;79.312;1.0
TOTAL HUEVOS GALLINA;77.947;80.181;77.723;77.509;76.307;77.647;78.044;74.828;80.375;76.511;79.713;72.198;75.828;79.835;80.312;74.06;80.651;77.884;80.229;76.536;74.248;77.471;78.38;82.626;75.621;83.417;65.342;71.36;74.828;82.004;83.746;78.85;82.501;74.409;79.044;2.0
OTRAS AVES;2.436;2.816;2.609;2.67;2.795;1.373;2.297;2.969;2.783;2.416;2.449;1.429;2.475;2.574;2.352;0.684;3.094;2.939;3.059;1.87;2.467;2.917;1.314;2.901;2.361;2.515;1.308;0.498;2.969;2.838;2.609;2.811;4.957;0.224;1.858;2.0
MIEL;6.061;6.471;6.369;5.786;5.639;5.85;6.351;3.281;6.075;5.762;6.219;3.845;5.239;6.266;6.838;5.78;6.197;5.464;6.399;3.434;5.031;6.652;6.388;5.946;5.651;7.064;4.199;1.421;3.281;7.491;6.101;7.138;6.666;5.58;6.793;1.0
GRANEL;1.259;0.915;1.93;1.521;0.697;0.991;1.486;0;0.529;1.134;1.373;0;1.039;0.875;1.952;1.35;1.435;0.982;0.99;2.472;1.164;1.114;1.267;0.931;1.35;0.977;0;0;0;1.863;0.292;1.103;1.721;0.846;2.055;2.0
ENVASADA;4.826;5.423;4.371;4.27;4.999;4.798;4.869;3.281;5.585;4.603;4.932;3.845;4.259;5.222;5.026;4.462;4.696;4.526;5.421;1.077;3.953;5.576;5.181;4.524;4.344;5.983;4.199;1.421;3.281;5.681;5.593;6.108;4.845;4.738;4.907;2.0
TOTAL CARNE;95.355;96.536;94.571;95.984;95.016;94.189;94.905;96.15;97.701;95.544;95.214;94.209;95.805;96.715;94.141;92.105;95.574;97.234;97.054;94.675;96.231;95.858;95.184;93.81;95.749;94.443;90.429;93.425;96.15;97.746;97.924;97.449;97.331;93.544;93.653;1.0
