Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;5922917.6048;1497772.4454;866048.3546000001;1477370.8986;841663.249;1240062.2503;4634222.4497;495518.2325;793176.53171;2978981.8755;2943935.4116999996;322520.4512;1623588.3072000002;2075816.4867999998;1900991.947;1149288.4769000001;1754328.3407;1355396.645;1663903.6996;381025.52410000004;913898.7747999999;2388324.4639000003;1365102.4071;874566.058;4214007.266;1708910.0357000001;152138.19640000002;297823.45823000005;495518.2325;947063.0962799999;747907.2908600001;469934.41393;897667.434;363941.946136;1550923.1787;0.0
T.HUEVOS KGS;94639.5728;23034.8476;13978.8517;23097.1958;13485.358400000001;21043.3092;74621.82370000001;7862.7979000000005;12154.94617;45980.6199;48658.9529;5504.4616;24929.0709;32091.9718;32114.0745;17943.0572;28985.565;21135.9954;26574.9452;6182.82518;14178.5427;38226.7885;21740.7821;14310.633300000001;66694.4549;27945.1079;2353.53191;4555.17768;7862.7979000000005;14513.135980000001;11967.22923;7255.42863;14523.4561;5428.167446;26180.6449;1.0
T.HUEVOS UNDS.;94639.5728;23034.8476;13978.8517;23097.1958;13485.358400000001;21043.3092;74621.82370000001;7862.7979000000005;12154.94617;45980.6199;48658.9529;5504.4616;24929.0709;32091.9718;32114.0745;17943.0572;28985.565;21135.9954;26574.9452;6182.82518;14178.5427;38226.7885;21740.7821;14310.633300000001;66694.4549;27945.1079;2353.53191;4555.17768;7862.7979000000005;14513.135980000001;11967.22923;7255.42863;14523.4561;5428.167446;26180.6449;1.0
TOTAL HUEVOS GALLINA;93828.98;22846.58;13852.95;22844.18;13358.15;20927.11;74022.87;7740.015;12066.09;45566.31;48262.67;5453.796;24721.33;31856.07;31797.79;17889.68;28639.37;20960.65;26339.27;6161.849;14002.17;37876.27;21637.38;14151.31;66096.95;27732.02;2336.528;4545.447;7740.015;14415.24;11897.9;7202.076;14301.16;5422.861;25967.75;2.0
OTRAS AVES;810.5928;188.26760000000002;125.90169999999999;253.01579999999998;127.2084;116.19919999999999;598.9536999999999;122.7829;88.85616999999999;414.3099;396.28290000000004;50.6656;207.74089999999998;235.90179999999998;316.2845;53.377199999999995;346.195;175.34539999999998;235.67520000000002;20.97618;176.3727;350.5185;103.4021;159.3233;597.5049;213.0879;17.00391;9.73068;122.7829;97.89598;69.32923;53.35263;222.2961;5.306446;212.8949;2.0
MIEL;8158.489;1726.59;1468.205;1371.643;1179.671;2412.381;7256.286;267.3342;634.8691;3485.717;4672.772;234.144;1907.724;2300.547;3716.074;2635.619;2371.455;1817.2;1334.215;713.8978000000001;816.9954;3135.378;1565.49;1926.728;5141.181;3017.308;125.6525;99.03933;267.3342;1437.256;531.5499;527.9684;1559.988;588.2089;3021.492;1.0
GRANEL;3921.43;817.7561;943.8889;485.5172;321.63190000000003;1352.636;3757.486;0;163.944;1376.597;2544.832;0;988.8864;646.2733000000001;2286.27;1414.025;1150.435;971.1916;385.7782;607.2771;238.8391;1249.821;465.3701;1360.122;2420.274;1501.156;0;0;0;905.0831;97.81212;131.1884;949.9401;43.26818;1794.138;2.0
ENVASADA;4237.059;908.8335999999999;524.3158000000001;886.1258;858.0388;1059.745;3498.8;267.3342;470.9251;2109.12;2127.94;234.144;918.8375;1654.274;1429.804;1221.594;1221.02;846.0083000000001;948.4367;106.6207;578.1564000000001;1885.557;1100.12;566.6058;2720.907;1516.153;125.6525;99.03933;267.3342;532.1725;433.7378;396.78;610.0478;544.9408000000001;1227.354;2.0
TOTAL CARNE;1063194;262479.5;150872.3;272745.6;157180.7;219915.6;821714.8;90514.57;150964.3;539742.4;523451.3;59780.48;295777.1;385180.8;322455.3;180663.8;304104;258022.9;320403;75973.26;169223.6;429750.5;238043.6;150202.8;764611.9;298581.8;23331.99;51777.44;90514.57;183312.8;150649.6;85527.88;159567.2;55914.42;262597.7;1.0
