Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;166.05668420984745;136.4213100769085;155.52666275664717;165.9243984426011;172.07389931696164;228.65026793333078;203.0249130012177;80.84889367416422;109.16542353272546;141.69320978687685;200.12104051890782;94.60094571127733;113.14703573162657;181.12360092177403;266.651332315716;291.52357750686633;221.19785043010256;150.18479264369898;111.38850718720931;152.49299403932093;160.96596377410273;162.85394765059283;170.52485807029655;178.88753112460984;164.1257388713783;170.72019169846894;175.66834648758646;130.20446462360556;80.85292567853016;115.62287392108706;159.84067055087664;134.5543468179748;225.80426540310413;273.2283297205847;286.71103865433906;0.0
T.HUEVOS KGS;2.42529592803689;1.93872350082313;2.21297696511794;2.38083146021661;2.68883566064653;3.4181035164974;2.91904059159296;1.27526560259911;1.67907637637509;2.00792115453307;3.00895719442203;1.63436646508844;1.68747532859251;2.52144878246185;3.92172756840329;4.18651894013478;3.13646025005378;2.15006780293484;1.72542429243073;2.41822153080284;2.41465864704342;2.40832951196896;2.41645891472297;2.4994272645671;2.3980885207652;2.49100526891255;2.93871020724685;1.77916635133916;1.27532920119946;1.81397940295286;2.31501591620304;1.88988063969575;3.00336904364429;3.70889566552697;4.24739069598127;1.0
T.HUEVOS UNDS.;2.42529592803689;1.93872350082313;2.21297696511794;2.38083146021661;2.68883566064653;3.4181035164974;2.91904059159296;1.27526560259911;1.67907637637509;2.00792115453307;3.00895719442203;1.63436646508844;1.68747532859251;2.52144878246185;3.92172756840329;4.18651894013478;3.13646025005378;2.15006780293484;1.72542429243073;2.41822153080284;2.41465864704342;2.40832951196896;2.41645891472297;2.4994272645671;2.3980885207652;2.49100526891255;2.93871020724685;1.77916635133916;1.27532920119946;1.81397940295286;2.31501591620304;1.88988063969575;3.00336904364429;3.70889566552697;4.24739069598127;1.0
TOTAL HUEVOS GALLINA;2.35557523045542;1.88029078145497;2.15274328464847;2.31613589245847;2.61640086799581;3.31122202276856;2.83024125280024;1.2551334309494;1.63472440591785;1.95596966368818;2.91437979254502;1.61412218852741;1.64346122451293;2.44796761248776;3.79159121080588;4.06616117689774;3.03848594909695;2.09660103542076;1.67513061466429;2.3714016177067;2.35858378869795;2.33521330866019;2.34927272197303;2.41106898664916;2.33379192710864;2.40818780181481;2.82919636210205;1.74744424982169;1.25519602554091;1.76483491884318;2.23371282008012;1.83684988718721;2.91140891810448;3.6311715647667;4.11095016212591;2.0
OTRAS AVES;0.06972069758146;0.05843271936815;0.06023368046947;0.06469556775814;0.07243479265071;0.10688149372884;0.08879933879272;0.0201321716497;0.04435197045724;0.05195149084488;0.094577401877;0.02024427656102;0.04401410407958;0.07348116997409;0.13013635759741;0.12035776323704;0.09797430095683;0.05346676751408;0.05029367776644;0.04681991309614;0.05607485834546;0.07311620330876;0.06718619274993;0.08835827791793;0.06429659365655;0.08281746709773;0.10951384514479;0.03172210151746;0.02013317565854;0.04914448410967;0.08130309612292;0.05303075250853;0.0919601255398;0.07772410076027;0.13644053385535;2.0
MIEL;0.29501892605579;0.19068376437825;0.20907283954001;0.22545900616144;0.30614264189951;0.69086291802615;0.38204931173733;0.11615360190503;0.14231682304181;0.18475115321397;0.44930165243085;0.1320250779115;0.14150656715043;0.28790916403941;0.64737064553894;0.71318535465552;0.45201287497499;0.18922328460208;0.15905882487858;0.28817481216714;0.32163691254081;0.26463098727322;0.33111428925954;0.29694236358352;0.29581646701519;0.29309604776629;0.13118103276266;0.18490800391242;0.11615939458578;0.15992451090244;0.25304000090763;0.09444871541405;0.31665410840339;0.65257568656403;0.76610440419831;1.0
GRANEL;0.13341982574529;0.06399383796511;0.06209641496314;0.07229154225908;0.14165502892189;0.43559898803559;0.18958370675582;0.02302542393568;0.02979630805727;0.06764854381594;0.22545469761903;0.01359264036856;0.03688496023551;0.1286575929413;0.36238887713514;0.37862461377608;0.25609410582527;0.04247496608684;0.0539595641826;0.22810877437953;0.16865892443823;0.07880152575499;0.17767340348438;0.13541279632591;0.14404871026192;0.10775808945236;0;0.08493809389692;0.02302657223352;0.0464234443801;0.10943479751784;0.01340698347732;0.14168322610152;0.34263253919333;0.42719038245159;2.0
ENVASADA;0.16159918726049;0.12668996938545;0.14697643827636;0.15316744644354;0.16448754975432;0.25526392999056;0.1924656049815;0.09312819263841;0.11252054890916;0.11710260939803;0.22384695481181;0.11843243754293;0.1046216127037;0.15925150472292;0.2849817684038;0.33456074087944;0.19591876914971;0.14674833598059;0.10509926069597;0.06006603778761;0.15297798810258;0.18582946151823;0.15344097954772;0.16152955263858;0.15176775675326;0.18533795831393;0.13118103276266;0.09996991001549;0.09313283702205;0.11350101783549;0.14360523554193;0.08104172267214;0.1749708427566;0.30994308771765;0.3389141541306;2.0
TOTAL CARNE;34.77703983124879;27.99300240219242;31.40003114911666;35.29936755546845;35.69909182439142;49.65509174887109;42.57828053730955;15.85530417313205;23.49112390751762;29.22251377865179;42.54394797521174;19.3978731864162;22.72538299503325;38.94619890940186;56.16849060182151;55.01876760826112;46.48219273261461;32.105018495577;24.47905700488611;34.06858740421532;34.79024952120129;34.10570532479113;34.59896181810962;37.17436741933078;34.24803904693957;36.05453312146933;29.41811651937955;24.42474748952059;15.85609489088643;25.27318659427122;35.73529929159331;29.82824212490232;47.92897173637014;48.4361196384956;60.39441949966357;1.0
