Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;99.253;99.307;99.334;99.279;99.164;99.181;99.31;98.838;99.352;99.296;99.213;98.657;99.187;99.554;99.377;99.097;99.319;99.38;99.298;98.962;99.351;99.282;99.111;99.415;99.312;99.11;98.578;98.961;98.838;99.444;99.487;99.233;99.66;99.767;99.291;0.0
T.HUEVOS KGS;80.146;80.787;79.451;80.654;78.3;80.78;80.428;76.253;81.654;77.623;83.016;73.964;76.642;81.241;84.868;80.903;79.86;80.443;81.271;75.735;77.753;79.69;82.083;82.238;79.047;82.679;71.808;72.589;76.253;82.81;84.143;77.58;80.582;79.851;85.05;1.0
T.HUEVOS UNDS.;80.146;80.787;79.451;80.654;78.3;80.78;80.428;76.253;81.654;77.623;83.016;73.964;76.642;81.241;84.868;80.903;79.86;80.443;81.271;75.735;77.753;79.69;82.083;82.238;79.047;82.679;71.808;72.589;76.253;82.81;84.143;77.58;80.582;79.851;85.05;1.0
TOTAL HUEVOS GALLINA;79.694;80.318;78.876;80.259;77.744;80.43;80.08;75.65;80.636;77.03;82.706;73.191;75.849;80.933;84.56;80.87;79.078;79.94;80.791;75.789;76.754;79.226;81.645;82.084;78.549;82.322;70.543;72.283;75.65;82.1;83.933;77.216;79.72;79.696;84.767;2.0
OTRAS AVES;7.973;10.492;7.305;6.677;7.452;7.722;8.15;4.524;9.017;7.323;8.73;3.553;6.778;9.117;8.965;4.828;9.003;8.362;10.166;5.674;6.957;8.208;7.647;9.645;7.418;9.274;5.489;3.49;4.524;10.083;11.508;8.133;10.295;3.024;8.759;2.0
MIEL;9.533;9.878;9.416;8.723;7.965;11.113;9.574;9.225;9.397;8.376;10.889;8.947;7.248;11.29;9.875;8.394;9.793;8.633;11.438;7.565;9.246;9.976;9.768;9.125;8.991;10.791;3.356;8.224;9.225;10.267;14.733;5.664;8.629;9.501;10.295;1.0
GRANEL;2.402;2.353;0.967;1.929;1.188;4.404;2.666;1.294;1.302;1.942;2.849;0.705;1.311;2.94;3.245;3.254;2.179;1.216;2.608;2.526;4.39;1.676;2.538;2.063;2.465;2.208;0;2.267;1.294;1.566;4.031;0.132;2.176;3.274;3.354;2.0
ENVASADA;7.325;7.659;8.102;7.08;6.625;7.203;7.131;7.993;8.076;6.456;8.343;8.245;6.024;8.383;7.171;5.52;7.713;7.375;9.032;3.913;6.14;8.374;7.22;7.159;6.709;8.789;3.356;5.985;7.993;8.64;10.61;5.657;6.674;6.277;7.416;2.0
TOTAL CARNE;97.086;97.872;96.673;97.334;96.68;96.549;96.946;97.064;98.26;96.837;97.408;95.123;97.082;97.922;97.175;95.125;97.461;97.817;98.352;97.855;97.306;97.405;96.574;96.557;97.11;97.031;92.688;96.487;97.064;98.465;98.709;97.615;98.656;96.028;96.856;1.0
