Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;3.4464619128387293;3.5090880831412266;3.4880904462805575;3.4425271738087755;3.324442565395625;3.4349131323712263;3.5417466311130625;2.9695529528196;3.194307932873715;3.4243960557663877;3.4686142647717655;3.1911074436608375;3.1949496468398193;3.4995674839489945;3.6476726819979577;3.665525500155606;3.593884075157139;3.359674569880192;3.23032256844715;3.4055119410253067;3.366691964661223;3.3556250661894262;3.4949594763999197;3.715485486587685;3.3634840665775414;3.65580798278959;3.395981441621359;3.361543298161337;2.9695529528196;3.239252645928718;3.4774086279542726;3.280374616929126;3.554060079412106;3.4754518286495246;3.719361188437618;0.0
T.HUEVOS KGS;3.255127840506358;3.3098988561211686;3.3004721875220397;3.221198622081437;3.208441403301491;3.23695984683908;3.2892420877918505;3.0707007920423197;3.1716382984798814;3.2624961178529746;3.2482727792070696;3.126719215395573;3.1982667675005274;3.2081550948846487;3.37420873406515;3.3817453176074572;3.4024489534751976;3.192999177477833;3.088263328274856;3.221439102143788;3.240721396122489;3.2424235673427795;3.292635888651595;3.261129961440103;3.2380012788339867;3.295643187651278;3.530165633626507;3.299705879151138;3.0707007920423197;3.1459550502604707;3.127198912557413;3.1645193029187135;3.359103329052242;3.275783430944016;3.379110832529786;1.0
T.HUEVOS UNDS.;0.1976468400152786;0.20005525996089768;0.20050229749575255;0.19604852100065787;0.19555023329276994;0.19641270111505327;0.199135270363852;0.19059389419796616;0.19326980801672874;0.1986667118426707;0.1967034482363546;0.19560095845640946;0.19501947024067737;0.19461571675036798;0.20327911437913218;0.20601879995165848;0.20510675291723676;0.19508981391591146;0.18754140751327264;0.19871995542807497;0.19837970794145626;0.19691085049838636;0.20016937452632882;0.1946979240536612;0.19758183035337648;0.19779798312932972;0.2103378249482376;0.2039031214395443;0.19059389419796616;0.19157145244379178;0.18835323745107083;0.19194242293594105;0.20275912079311476;0.2021939709344152;0.2040172856962447;1.0
TOTAL HUEVOS GALLINA;0.20438476873777583;0.20771356618924008;0.20753722957741944;0.20248808121942083;0.2016783502371275;0.2027429475945503;0.2062899805074822;0.1945434669369616;0.19947999741130226;0.20533691031111573;0.2034981241188312;0.19847864078937472;0.2011976009711772;0.20138998782839176;0.21122143488030196;0.2121956593159988;0.2133918333249084;0.2010377328472214;0.19382210186246815;0.2035942195341238;0.20431118726656938;0.20324189795419265;0.20689077670504236;0.20405401442893892;0.2035166203215093;0.2064452132062734;0.22053867060893792;0.2087959970273657;0.1945434669369616;0.19775395819424138;0.19537606895414214;0.19887754677264602;0.21075291533536608;0.20666800888307338;0.21166878426903185;2.0
OTRAS AVES;0.09350242166961395;0.09149919891367175;0.09066424938225832;0.09167423174229454;0.09322786693787992;0.0998387741581685;0.09458217089664707;0.08412120498883226;0.08999930701012042;0.0893676797874959;0.09695147186364769;0.09072340352253788;0.09085152325251132;0.09177348142326829;0.09700512773132536;0.10387017055401723;0.09305674993973108;0.09031250737532746;0.09019476553336123;0.08981280636621233;0.0893156603791646;0.09870760206667172;0.09371296257905165;0.08648795341145311;0.09598467608074428;0.08917928519935231;0.09582858128226841;0.08900674847747764;0.08412120498883226;0.09024841121963256;0.09476631920494732;0.08693620456336942;0.0921283039080365;0.10052463630359777;0.09765554972303972;2.0
MIEL;7.7297559286432715;7.025472442939532;8.0052359893224;7.391762387685509;7.858452764844209;8.239266631577538;7.953157195368182;6.748488076772291;6.631204403214945;7.418914820178893;7.92078598837514;5.8297157542263145;7.35856434585502;7.457750589513663;8.330151931116905;7.938025604000792;8.591827006335578;6.8596238803229665;7.026799722458775;10.760277304899134;7.370659097720592;7.012596000699746;8.636866397771216;7.728120137121289;7.843469103642096;7.465998288216086;6.3151566841313285;7.296839833784477;6.748488076772291;7.039781877130575;7.121103678415314;6.8862414589820045;8.126866186676518;8.084675541970473;8.298197265103795;1.0
GRANEL;9.918105542693787;9.88581300177953;9.395044458432881;9.316000955293674;11.883751418638283;9.707403468120264;9.992442724890541;8.36940334518279;9.435177307402537;9.296601915397638;10.2046440602817;6.022325743309395;10.127769531961535;9.256138162619763;10.392684068342852;8.958733712750801;11.183283359870964;9.330938144583047;9.291932728668455;12.826027113597512;8.44833307888533;9.329154489724118;10.706728976187517;9.963810808072182;9.835476873380538;10.19453170970791;;10.12900135125571;8.36940334518279;9.38851398719829;9.2954257705009;10.166294888072132;10.437192146030476;8.581752810815262;10.397477466911246;2.0
ENVASADA;6.53864103321864;6.129624361232518;7.534346143393174;6.735164216779507;6.083781135711011;6.549062282024576;6.621965568254771;6.440107608798196;6.147424966947153;6.643733865629699;6.463766491889837;5.808395008338571;6.711581017584109;6.445953021971601;6.651531720224802;7.031395140477961;6.5943912518472905;6.371213936474813;6.245170603169051;6.676587825475993;6.46188102833643;6.34452843022818;7.057106013361108;6.504590601687891;6.578815130933804;6.460635624453926;6.3151566841313285;5.896120954952673;6.440107608798196;6.386310466307617;6.043777338001725;6.5373094897967965;6.8915937008634405;7.598146470751504;6.614788827376865;2.0
TOTAL CARNE;8.967450432407983;9.014259234530472;9.066942993211434;8.857892705417653;8.65548907488828;9.193550762524024;9.185112592634983;7.921085725341213;8.320594206851693;8.767903427286205;9.168069843353775;8.015634034476149;8.385110573475822;8.899265864806527;9.69620536195869;9.694646760368421;9.465557489300117;8.838146193869159;8.226357039829928;8.72280679354601;8.574200408017166;8.77898388758236;9.185665984609015;9.68325123302778;8.772926568834041;9.44790178990806;8.091821825192905;8.784313348094443;7.921085725341213;8.274914404879983;8.817813443981429;8.419141297128244;9.342309225045035;9.324147261931994;9.831032419950022;1.0
