Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;129.43927677778927;113.15633892005019;123.75586986791338;130.12084123592496;130.08213148548708;166.09785510599835;152.67978752772785;74.3694366929685;96.25614735036193;115.67659026199365;148.61675108823258;85.0005646688684;99.99306308220162;138.25939406988104;186.76137696070964;218.98435458626864;163.0168247171222;120.73150885248397;91.85312575890275;135.59509693415362;124.52256779733236;125.182613597842;132.811174967077;138.13701706620554;127.57231272823417;133.94980235426365;154.63604875295098;112.49547603129813;74.35334781459007;101.6459577033839;123.84633551167833;106.58593914568094;165.8443981058539;210.9029681377816;198.23615439640494;0.0
T.HUEVOS KGS;1.73580808977605;1.50889633676711;1.52282748795636;1.74931918712712;1.76779959160309;2.35607730754914;2.08820807195756;0.88546833647778;1.24847647173173;1.48293731351659;2.08783338144524;1.17689266432546;1.22235475296742;1.82146248612377;2.75213802827671;3.03427776474428;2.3210066037109;1.51378957852019;1.19616182289056;2.04906884681712;1.67212402974535;1.68721825818831;1.72268600011493;1.81834178696008;1.72669350410109;1.75781428935191;1.86857211736243;1.46811656584264;0.88735483169792;1.28237115937197;1.60726217341766;1.40420788226948;2.18312194234518;2.9477675980909;2.9748232995515;1.0
T.HUEVOS UNDS.;1.73580808977605;1.50889633676711;1.52282748795636;1.74931918712712;1.76779959160309;2.35607730754914;2.08820807195756;0.88546833647778;1.24847647173173;1.48293731351659;2.08783338144524;1.17689266432546;1.22235475296742;1.82146248612377;2.75213802827671;3.03427776474428;2.3210066037109;1.51378957852019;1.19616182289056;2.04906884681712;1.67212402974535;1.68721825818831;1.72268600011493;1.81834178696008;1.72669350410109;1.75781428935191;1.86857211736243;1.46811656584264;0.88735483169792;1.28237115937197;1.60726217341766;1.40420788226948;2.18312194234518;2.9477675980909;2.9748232995515;1.0
TOTAL HUEVOS GALLINA;1.70764020565957;1.48636175591523;1.49081594747391;1.72008925765766;1.73717789042905;2.32474401921817;2.05544223562062;0.8758538098242;1.22033283739375;1.45651921160857;2.05722118054479;1.16543989830666;1.19489758516363;1.79221504985747;2.71748736139187;2.99160477845043;2.28493658482572;1.4912769349081;1.17284075161404;1.98872025923786;1.63895749165285;1.6653626301501;1.70070656341519;1.78232464746467;1.69826593192414;1.730274408897;1.82414772157893;1.4502488322965;0.87775326316578;1.25001213079764;1.58580109582117;1.37713674256537;2.14509812482838;2.89995162997564;2.93738887858696;2.0
OTRAS AVES;0.02816788411648;0.02253458085187;0.03201154048245;0.02922992946945;0.03062170117404;0.03133328833097;0.03276583633694;0.00961452665357;0.02814363433798;0.02641810190801;0.03061220090045;0.01145276601879;0.02745716780378;0.0292474362663;0.03465066688484;0.04267298629385;0.03607001888518;0.02251264361208;0.02332107127652;0.06034858757926;0.03316653809249;0.0218556280382;0.02197943669973;0.03601713949541;0.02842757217694;0.02753988045491;0.0444243957835;0.01786773354613;0.00960156853213;0.03235902857432;0.02146107759648;0.02707113970411;0.0380238175168;0.04781596811526;0.03743442096454;2.0
MIEL;0.21977849092587;0.1788065057545;0.18947029088505;0.21558151185437;0.2429648798638;0.31732438589761;0.27204476198452;0.07984080228849;0.15980533599582;0.18766385961777;0.26448556989321;0.11055692360741;0.1562660164028;0.22054465104241;0.37722532059674;0.55120613324269;0.23371263720188;0.17667151826912;0.1487980129607;0.23061333383119;0.22132906719022;0.18724985808786;0.28605131501276;0.19844925544089;0.22021412746755;0.21872291440823;0.48403906302991;0.15737176518295;0.07973319565852;0.18641638422794;0.19231604934699;0.12254013434754;0.20000111221905;0.45143534155782;0.42980380838741;1.0
GRANEL;0.07843182583739;0.06148347833619;0.04919324547479;0.09057967180302;0.09558879009206;0.10661203264959;0.1011667487413;0.01854023146978;0.05170839309352;0.06721880232603;0.09404235811738;0;0.06413516751894;0.07034374342492;0.14883607581879;0.25227343683211;0.07489833582119;0.04240530587454;0.05554055083766;0.11135985065919;0.108071410454;0.04504968639488;0.13534243198166;0.03574461261131;0.09342594467696;0.04219204494719;0.30774700423076;0.02568031188361;0.01851524359679;0.08512232077133;0.04176106037146;0.02126600931923;0.0545746913101;0.17787827057621;0.17396700313274;2.0
ENVASADA;0.14134673030096;0.11732304226087;0.14027708623235;0.12500184005134;0.14737604259705;0.21071228341034;0.17087801324322;0.06130055754139;0.10809694290229;0.12044505729173;0.17044315984369;0.11055692360741;0.09213079102707;0.15020090761749;0.22838924477795;0.29893289277389;0.15881437831422;0.13426619523844;0.09325746212303;0.119253483172;0.11325761375675;0.14220013941909;0.15070878930579;0.16270465751155;0.12678821352206;0.17653086203365;0.17629205879914;0.13169146459469;0.06121793880231;0.10129409332822;0.15055498897552;0.101274136308;0.14542646051666;0.2735570709816;0.25583680525467;2.0
TOTAL CARNE;25.93676910217947;22.12342700360559;23.20292254362129;27.07782587375981;26.14439901443909;34.26418008667842;30.61677916153903;13.5521297728615;20.36736238161;22.70751454049911;30.43423464278208;15.91386218038953;19.40877463230916;28.45035207080771;37.83906003349595;40.6732812989664;32.14016733797743;24.44136156392392;19.40368883088588;30.72298751718258;25.67931443051625;24.47223333034498;26.70816883744781;26.91316765834047;25.63189034782381;26.67329082619049;26.99631327035841;20.91200230907963;13.5580100941777;21.66382073436807;27.03467722956554;21.60357683954459;33.21880817362344;37.039045019687;39.68695542252088;1.0
