Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2.635363872570196;2.734475119556808;2.654348686857463;2.6401181100349103;2.515802429452543;2.5807516580117515;2.676940021620947;2.4039098789276583;2.584189967854412;2.653479187715837;2.6160610960439916;2.419997453600187;2.545004380039556;2.6882995044614515;2.710794685631184;2.7457307135982356;2.7056782137613777;2.587369470311131;2.5434417389355817;2.6917559697932085;2.5397045543205015;2.579059619474315;2.6772420418060534;2.7926558832420407;2.570862833906213;2.7968849642043394;2.4536180409767403;2.6181784454549852;2.4016814865821083;2.6039217567357147;2.652516244190937;2.5450493701470394;2.706391610300511;2.7404847158895422;2.7382873452253484;0.0
T.HUEVOS KGS;2.5754992800644487;2.6488553640690817;2.6230438357246983;2.560376714572987;2.5045576723025076;2.5263671715269016;2.6364343370896965;2.334731717899529;2.4104289427754035;2.565273974272875;2.5856640729003186;2.310713530952223;2.497685817049328;2.5432344800344757;2.733686738944003;2.7280261281645393;2.7389522384089733;2.494140857694959;2.3926415533454484;2.8222378646929602;2.5687800068279074;2.574358454574776;2.539254002339793;2.5301240580182918;2.5861608647402647;2.5505365087662106;2.598259657500431;2.5784402857358066;2.3330372623136335;2.4119040452010028;2.4647538117786425;2.4674739306175133;2.7342857888171483;2.7075079464571883;2.743552634272582;1.0
T.HUEVOS UNDS.;0.16039919072028389;0.16521387767384269;0.1619262683155444;0.15921150557253502;0.1557472815299283;0.1584135478362071;0.16432916408170317;0.14671400047233812;0.14865112265518035;0.15941109488238672;0.16138576389251985;0.1456398228807738;0.1541018241859072;0.15834703778537942;0.17128219491400862;0.17061020618558181;0.17061505944356467;0.1557460793075317;0.148315964458639;0.17080899103673436;0.15895628256373626;0.1612651291669306;0.15909449718450622;0.15684759648291532;0.16095257821511894;0.15910051827864038;0.16089032465100012;0.16149249719655584;0.1466186692132049;0.14806583425738284;0.15424726683171433;0.152745674644322;0.16978330905137728;0.16982044371800412;0.17174723744787962;1.0
TOTAL HUEVOS GALLINA;0.16299128560601048;0.16780616015188404;0.16547158862814124;0.1620027508612738;0.15837086298731506;0.1601501632397387;0.1669123648367113;0.1483074613966844;0.15185235538129133;0.1621506016571595;0.16382629308936583;0.14686593557235347;0.15734847746056513;0.16098558957247852;0.17344208068405761;0.17288576776348624;0.17344943782494246;0.1579797408861704;0.15105131776557087;0.17718889420012748;0.16216985148056598;0.1632797972329427;0.16107960749292946;0.15967830573582528;0.16364824670609598;0.1614537699868943;0.16335015483947027;0.1636738963973726;0.1482033397123445;0.15166097095185446;0.1562941350797582;0.15585126495102852;0.17292926145067325;0.17111535051742854;0.17409869355620175;2.0
OTRAS AVES;0.08166488420062858;0.08183190895782713;0.0810517325314463;0.07905597168504716;0.08029048799624963;0.08778631002624636;0.08337969834278111;0.07414391396939621;0.07766109518095357;0.08253360124986169;0.08064765441101525;0.07874339393914116;0.0811941670798478;0.07900206823472107;0.08665343008553524;0.08873273711747887;0.08383321919461575;0.08042300138602071;0.07762353741362484;0.07811821795322596;0.08031215254469544;0.08311812698160077;0.08143743121929503;0.08355146864988838;0.08112288692992273;0.08304903246470363;0.09941717456344747;0.07757518127757905;0.07414391396939621;0.07729011586826041;0.07838930139586608;0.07585369014244762;0.08378974241482015;0.11639891825806963;0.08337977245323086;2.0
MIEL;7.100887315060758;7.22605545771691;7.563425527083975;7.426370945413721;6.15045986231;7.109225432194729;7.16247646462692;6.821582628533053;6.879755983557632;7.241599625455355;6.967501409463854;5.5271637797400786;7.140297322154872;7.243073196867564;7.188338686476581;7.431779389646241;6.873950288135123;7.045249456958627;7.0297206820039175;8.80208849768484;7.19977220128682;6.323763296217611;8.00428746132617;6.753724873747279;7.208815580753187;6.851284258526825;6.850273034837793;6.0661265334112215;6.821582628533053;7.623889864635665;6.843155636081757;6.704177669275615;6.614050805676278;8.365711454361827;7.142602683536177;1.0
GRANEL;8.837338316804766;8.852103685010817;8.005735033396416;9.544026676536062;8.214524804171194;8.892522370396398;8.726266074692283;8.355651827894578;9.844175550414233;8.261581062843147;9.494003039767053;;8.522437481884797;8.394730758146295;9.47495851159141;8.648193087385438;8.492877682387054;8.510492001343511;9.552953868208395;12.251402857846594;7.82215008782393;7.889414318092327;9.679770479385711;8.204911911287137;8.804994395641634;9.014551703464472;8.253302326314028;5.698502307612616;8.355651827894578;9.70479587923696;8.55983209462095;7.718678174801704;7.561992587726446;8.880149125738093;9.24305554089032;2.0
ENVASADA;6.4027913580939835;6.591532617850383;7.419674075609507;6.397729693013511;5.288554005090972;6.454335346178233;6.4754529074895695;6.462715851892249;6.013518001396862;6.774803150268886;6.0754435191722385;5.5271637797400786;6.415955660277011;6.805803939817808;6.211455590456272;6.6432271938613425;6.306963631496074;6.681911167803068;6.074208947800079;6.96969648980975;6.691718421068225;5.949705274628772;6.927459983611741;6.5011146179207095;6.359337529444661;6.47964035288601;5.282621413902091;6.143412149611996;6.462715851892249;6.4598954523287;6.482541655777422;6.524116893488052;6.316890510308448;8.062020837072836;6.186609151266592;2.0
TOTAL CARNE;7.1634040999914745;7.26457054878343;7.143271871157741;7.1645544874480205;6.8610181353896165;7.27029543753123;7.284874278368214;6.664394486960758;6.8724256105975945;7.080767449554966;7.251078836444102;6.596494227693534;6.868877976625589;7.060690481835665;7.712074303405574;7.79974363956506;7.484413643973588;7.013335322173673;6.70411442334907;7.118482750285853;6.996507671451786;7.007987953221383;7.304971756771134;7.551281111199908;7.055032058330936;7.428426219748937;7.086343021218931;7.1249407819970605;6.661261753081224;6.750425994804912;6.966718380770808;6.716150149067618;7.405127639144879;7.449437046684375;7.808074528494925;1.0
CARNE CERTIFICADA;8.614725506364081;8.431775250661856;8.578157625389778;8.589444261325884;8.487433499184805;8.93171825445449;8.759593220338983;8.231788710907704;8.01244101118525;8.405752908268006;8.787136427507368;8.393320732743398;8.009027302418668;8.577534785859521;9.056229310155478;9.133497891267288;8.944596314448262;8.437750787855624;8.12658090784423;8.797907660859284;8.428491736088318;8.322559430270536;8.722109182586923;9.332029042379828;8.488915389720228;8.946601816513308;8.706621248304202;8.177144317510862;8.218687342749392;8.040507167060595;8.606936809864527;7.593229249161648;8.970981819267655;8.684243854791497;9.15997272230636;2.0
CARNE FRESCA;6.540357451597977;6.572061229997763;6.563829248459459;6.592936962559771;6.326757979266079;6.56956585322131;6.5986492805588;6.2771584534977265;6.400667738622837;6.45554741299558;6.626276427971178;6.257781907015835;6.322681118793996;6.458559620946148;6.89843104555536;6.894514274863241;6.723928595065189;6.4493353469176045;6.287674019458391;6.657364337618645;6.480361614093292;6.3985413209691;6.674235156950735;6.703620444798943;6.483461005901653;6.678827245131906;6.551262204470503;6.28743472944128;6.275258818929591;6.300068489461088;6.454671834120105;6.153887417921451;6.702868469058422;6.641101864238929;6.949131022101877;2.0
SALCHICHAS FRESCAS;7.959020807538241;7.87435869652271;8.459863763639536;7.826843298658107;7.744883751682081;8.000509083114515;7.977763668426844;7.864292056307093;7.940644821757642;7.896725280792819;8.043804283391088;7.462151927564244;7.974152938705636;7.790461738315715;8.242824130103475;7.889727964462682;8.150294460620017;7.981035326089916;7.813152790424755;7.354837472948865;8.149960929705173;7.820464399351507;8.173669566301676;8.115601173276044;7.818604791844475;8.321379296727489;7.237861682327111;7.4748103175011735;7.864292056307093;7.902226329945869;7.625422247660709;8.191782280838394;8.001634700296679;8.354475518816752;8.306134861683079;3.0
