Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2259518.71587;557604.147061;342636.67409;569676.96649;328816.316542;460784.67732;1699566.34073;233005.419159;326946.919437;1165603.64853;1093915.16755;138970.64322099998;679089.58635;775195.55066;666262.89192;406157.812646;626513.7119700001;543967.3427200001;682879.877495;148726.363204;342235.536264;902365.7962100001;529285.65618;336905.47352999996;1614708.6810899999;644810.0464199999;62236.099839;114118.753429;233485.841979;392034.730813;284621.68063;185642.00027000002;309428.58388;131536.671761;546414.475124;0.0
T.HUEVOS KGS;31004.9281;7675.77512;4266.49431;7897.149230000001;4488.63447;6676.87563;23602.175;2856.4443309999997;4546.31203;15456.46387;15548.46425;2015.147844;8458.730539999999;10795.13561;9735.91221;5664.30297;8811.83208;7075.4681900000005;9453.322320000001;2143.5942999999997;4543.617969999999;12184.34649;7238.409030000001;4894.9597;21725.83;9279.09815;710.175842;1512.253734;2868.475051;5339.69041;3975.17312;2522.61729;4031.66419;1860.865748;8184.01146;1.0
T.HUEVOS UNDS.;497840.23;123064.832;69112.947;126998.843;72181.317;106482.303;378664.28;45455.9971;73720.009;248728.387;249111.845;31972.2264;137099.294;173382.221;155386.461;90571.173;141459.888;113307.599;152501.532;35418.118;73426.195;194505.009;115529.823;78961.078;349087.24;148752.995;11468.814199999999;24145.1214;45643.977100000004;86980.369;63520.238;40750.695;64928.185;29668.4468;130734.366;1.0
TOTAL HUEVOS GALLINA;481972.7;119354.2;66210.46;122725.2;69755.95;103926.9;366954.3;44479.34;70539.11;240170;241802.7;31396.77;131254.4;167802.1;151519.4;88122.06;136985.8;110044.3;146820.5;33137.28;70543.63;189616.6;112650.2;76024.98;337684.4;144288.3;11027.55;23533.38;44667.32;82775.68;61851.31;39168.71;62636.71;28966.32;127345.7;2.0
OTRAS AVES;15867.53;3710.632;2902.487;4273.643;2425.367;2555.403;11709.98;976.6571;3180.899;8558.387;7309.145;575.4564;5844.894;5580.121;3867.061;2449.113;4474.088;3263.299;5681.032;2280.838;2882.565;4888.409;2879.623;2936.098;11402.84;4464.695;441.2642;611.7414;976.6571;4204.689;1668.928;1581.985;2291.475;702.1268;3388.666;2.0
MIEL;1423.846;333.42879999999997;184.09779999999998;335.5367;251.2165;319.5666;1131.807;88.15145;203.8879;692.8947;730.9517;79.14067999999999;378.26309999999995;458.9527;507.49;377.71209999999996;353.54940000000005;292.335;400.2499;77.35321;214.5754;550.4855;381.2979;200.1343;994.0264;429.82;69.77681;68.90275;88.15145;245.5669;171.3176;81.02244999999999;152.6916;92.23255;454.1843;1.0
GRANEL;408.283;93.59077;45.15754;109.6994;74.00086;85.83442;345.46540000000005;16.71185;46.10573;217.54479999999998;190.73829999999998;0;130.0703;126.3028;151.9099;148.5545;91.7047;58.08663;109.93719999999999;26.83629;96.43727;106.15660000000001;149.1805;29.67236;345.267;63.015989999999995;36.821769999999994;11.96908;16.71185;88.08854;29.740560000000002;12.21281;36.442260000000005;34.23688;142.05929999999998;2.0
ENVASADA;1015.563;239.838;138.9402;225.8373;177.2157;233.7322;786.3416;71.43961;157.78220000000002;475.34990000000005;540.2134;79.14067999999999;248.19279999999998;332.6499;355.58009999999996;229.1576;261.8447;234.2484;290.3127;50.51692;118.13810000000001;444.32890000000003;232.1174;170.462;648.7594;366.804;32.955040000000004;56.93367;71.43961;157.4784;141.577;68.80964999999999;116.2493;57.99567;312.1251;2.0
TOTAL CARNE;166566.2;41035.86;23871.05;43684.74;24232.73;33741.82;125237;15315.69;26013.45;85745.31;80820.87;9545.058;48838.02;60734.4;47448.7;26556.36;44654.44;40626.69;54728.69;12742.53;25619.01;64920.26;39009.35;24275.02;118222;48344.17;3762.018;7795.349;15350.23;32230.44;23655.7;14258.63;22651.75;8498.218;38363.85;1.0
