Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2.652343038892473;2.746604015566506;2.716012157606194;2.657151686619385;2.567531613246216;2.547272548403921;2.695170838868344;2.4384824686030324;2.574687583189128;2.6901428892329644;2.613041398371716;2.4918151489014306;2.5699947195913335;2.7033813871805306;2.70539982633056;2.7917724928736902;2.707452827960033;2.6118952315705743;2.5507707006876;2.61243492332985;2.55444108062335;2.606238573144327;2.6790561109894226;2.8527016385091093;2.5777244292822945;2.841348863212671;2.7254379534396387;2.648203231366422;2.437735750927848;2.586646672220972;2.6654839017524394;2.572265154957648;2.7330137629553333;2.7559347882418113;2.72847870924053;0.0
T.HUEVOS KGS;2.5822473126599963;2.7133932564542045;2.6180939277104334;2.5417204493500827;2.5024598692525974;2.523942418028834;2.6421498749162806;2.301064661134391;2.4259804916215653;2.5881698665322803;2.576804009520755;2.3476386309788335;2.466554699786056;2.5753667701769514;2.727593791677016;2.722521959312764;2.7141977287394154;2.488892871177753;2.439029967743501;2.6085714052258933;2.5964533727626926;2.5743026607020014;2.6084547313541124;2.5365316316374757;2.5842503135103376;2.5774363738502646;2.6036300437940274;2.664721952971455;2.301064661134391;2.382609969815159;2.5728996266075286;2.553407332868426;2.625354436089483;2.7307942251574997;2.7430283654414653;1.0
T.HUEVOS UNDS.;0.1621063898035754;0.1700086157973952;0.16400220815367786;0.1601500714226265;0.15697300337860962;0.15838825897795852;0.1660300075001598;0.14455345294974278;0.1513161005032833;0.1619532044626619;0.16224815648016624;0.14911357899144495;0.15316609699577005;0.162048441678242;0.17189097261123185;0.1716116722416849;0.17006568687926205;0.1557213795435056;0.1534176815607971;0.16537335084028496;0.16185652031559788;0.1618688120560886;0.16394272479996588;0.15877600305958636;0.16218503278299842;0.16191735906058963;0.16477349108844658;0.1665444045812413;0.14455345294974278;0.147909347902958;0.16191624703620483;0.16209426090583876;0.16449889606204507;0.17103347282727413;0.17276374502556321;1.0
TOTAL HUEVOS GALLINA;0.1639958606823696;0.17239332894670245;0.16605547666076184;0.1615151763705357;0.15884659690271088;0.16031071980297096;0.16792105637341959;0.146018450586225;0.1534096799575216;0.16414506357006176;0.163858935307994;0.1492786170333268;0.15608520746799315;0.16363399640908943;0.17354050127832288;0.17331644912165475;0.1723117707550681;0.15771405657032936;0.15498196609307718;0.16632744983591327;0.1648740503356224;0.16350276906187097;0.16581931601322977;0.1605659702026755;0.164144622757012;0.16363859998659572;0.16588540099709695;0.16922742212372188;0.146018450586225;0.15060988645456833;0.16329724306550883;0.16288574787682852;0.16633568647991526;0.1734333569474693;0.17463656994623686;2.0
OTRAS AVES;0.08055151051388776;0.0766249725562901;0.08441848163707154;0.08716523874589165;0.07933970256260715;0.07697322151019279;0.07996668515453703;0.0789620859157034;0.08391656286106296;0.08111946808184067;0.07982800454869815;0.13084965142133417;0.07324386615307439;0.08417443741488152;0.08271565853310926;0.0780102793206419;0.0819455988828342;0.08264849589609016;0.07811255563257134;0.08100782044863485;0.06685858852238898;0.08481383406191367;0.07766159414540846;0.0917352075889254;0.0788746137934046;0.08479720622389109;0.0817841296578459;0.07265612521684359;0.0789620859157034;0.07470832658163383;0.09350899275918549;0.0804467888035919;0.09243787868643402;0.07874243273999046;0.0752091700932083;2.0
MIEL;6.731142079078565;7.113435666239828;5.884223427704149;6.744094008053678;5.876900760107592;7.303603494990387;6.699220081923733;7.202632705538893;6.712480613056805;6.899050949823918;6.581514115953602;5.764976413513247;6.954696452821512;6.729766457860875;6.713039134208068;7.126083863520442;7.047631639202988;6.172767114444969;6.523140128360844;5.675064371046739;6.91245899204672;6.61799038768201;7.57532384545554;6.0373817505386995;6.734381967642756;6.723208667177635;5.769046609299971;6.12889726525585;7.202632705538893;6.573034472115101;6.235921282243328;7.458033797372096;6.763365995390472;7.660716759720139;6.663434118346331;1.0
GRANEL;8.316615029179438;8.83387291436375;8.4269846033377;7.387286585995159;8.499945301649511;9.557572785830015;8.088905468697218;11.048305985804191;8.599144028307748;8.652304720825905;8.007314774390856;;8.781673774927127;8.189987359474776;8.137435626640327;7.658269695434429;8.869478087222388;7.944820092789652;8.254452946956015;11.393160307755943;6.657546767298322;8.659729475834792;10.015110441482998;7.216200257768514;8.229095107615535;8.623229559731255;;7.042113270824405;11.048305985804191;7.981440681615039;8.000001320675976;8.863007491250567;8.78942830087419;7.607866863599756;8.122503859936987;2.0
ENVASADA;6.049479018935163;6.372842389427121;5.059262274271483;6.293651288160686;5.47742141115388;6.472741946596066;6.0942478334399395;5.891089710519672;5.883880066562386;6.1260686846207095;5.982198902582001;5.764976413513247;5.980743515945379;6.253859178090564;5.864246643460965;6.697594947772128;5.940364121961402;5.885667411368459;5.985969636322886;3.86908331902189;7.129386714125676;5.639872241652661;6.8853968635778715;5.805479501910335;6.000281796989876;6.154515807661774;5.769046609299971;5.864645586226151;5.891089710519672;6.048744628203445;6.206836560568441;7.176989468561022;5.719524745542666;7.714543069563607;5.727704376548308;2.0
TOTAL CARNE;7.10795763109311;7.246654794033086;7.130395241019453;7.089246232791536;6.915270918330829;7.093138186778605;7.227574745021516;6.591919866304458;6.8282730448473625;7.102465306952318;7.113799184460946;6.633207059516562;6.866107438012746;7.032188956952456;7.544943471861346;7.793484010125261;7.390023855070622;6.925179617839911;6.688667375120864;6.794247114202285;7.012443638615108;6.941207435017465;7.316042282547762;7.487415600143667;6.981253553102392;7.421352233365897;7.237164754466125;7.182079474031519;6.591919866304458;6.751445304368277;6.929750328305643;6.684036683340912;7.347389513024292;7.749738313973438;7.563508284962059;1.0
