Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;6021274.2541000005;1513764.2024;892560.4748;1483220.0149;858665.1346;1273064.4245999998;4715320.8646;519249.65372;786703.51257;3027801.9663;2993471.7203;326116.77675;1651673.7001;2096108.5814;1947374.9144000001;1172855.8672;1795385.3098;1370656.4089000002;1682376.3515;402290.033084;916868.35234;2392381.563;1403185.6122;906548.32498;4287415.7194;1733858.3492;148555.05738999997;305858.31784;519249.65372;953372.7908;753444.3029;459218.66623000003;910458.13753;370387.60321;1600729.6790999998;0.0
T.HUEVOS KGS;89715.4151;21734.4558;12396.0021;21596.283;14251.8921;19736.7821;71754.63059999999;7048.56802;10912.22047;42349.8765;47365.5386;5267.603730000001;22367.0367;30730.242100000003;31350.5345;16843.2196;28667.126800000002;18880.5495;25324.5192;5595.4277999999995;14070.296;36351.226299999995;20618.9312;13079.528839999999;64146.565200000005;25568.849899999997;2349.621;4332.65112;7048.56802;13570.0592;11176.20275;6678.11463;13817.935300000001;5322.58791;25419.68;1.0
T.HUEVOS UNDS.;89715.4151;21734.4558;12396.0021;21596.283;14251.8921;19736.7821;71754.63059999999;7048.56802;10912.22047;42349.8765;47365.5386;5267.603730000001;22367.0367;30730.242100000003;31350.5345;16843.2196;28667.126800000002;18880.5495;25324.5192;5595.4277999999995;14070.296;36351.226299999995;20618.9312;13079.528839999999;64146.565200000005;25568.849899999997;2349.621;4332.65112;7048.56802;13570.0592;11176.20275;6678.11463;13817.935300000001;5322.58791;25419.68;1.0
TOTAL HUEVOS GALLINA;88917.71;21522.52;12276.17;21378.66;14148.11;19592.25;71128.29;6960.634;10828.79;42021.56;46896.15;5198.462;22189.67;30549.98;30979.6;16699.35;28373.99;18729.48;25114.89;5490.715;13938.96;35996.61;20504.63;12986.79;63557.13;25360.58;2349.621;4309.865;6960.634;13440.25;11111.94;6650.94;13705.14;5283.975;25105.35;2.0
OTRAS AVES;797.7051;211.9358;119.83210000000001;217.623;103.7821;144.5321;626.3406;87.93402;83.43047;328.3165;469.3886;69.14173;177.3667;180.2621;370.9345;143.86960000000002;293.1368;151.0695;209.62920000000003;104.7128;131.336;354.61629999999997;114.3012;92.73884;589.4352;208.2699;0;22.78612;87.93402;129.8092;64.26275;27.17463;112.7953;38.61291000000001;314.33;2.0
MIEL;5487.168;1035.233;546.0221;1900.099;819.3329;1186.481;4304.458;388.17859999999996;794.5316;2754.258;2732.91;303.0125;1209.044;1950.973;2024.138;1294.439;1698.431;1099.346;1394.953;325.9349;836.1254;2148.217;1602.987;573.9043;4006.599;1480.569;244.5327;145.56320000000002;388.17859999999996;796.0564;573.7972;346.94829999999996;748.8536;424.60290000000003;1818.635;1.0
GRANEL;1527.566;208.0005;273.7193;717.4165;63.83618;264.5938;1215.509;76.68258999999999;235.375;860.3796;667.1867;0;355.1903;589.2691;583.1069;231.0576;632.3834;343.89979999999997;320.22540000000004;208.7211;192.2753;491.1064;456.7002;178.7633;938.5948000000001;588.9715;70.09497;0;76.68258999999999;202.53889999999998;186.3564;146.7426;197.47729999999999;160.9627;486.7108;2.0
ENVASADA;3959.602;827.2328;272.3027;1182.683;755.4966999999999;921.8871;3088.949;311.496;559.1566;1893.878;2065.724;303.0125;853.8541;1361.704;1441.031;1063.381;1066.047;755.446;1074.727;117.2138;643.8501;1657.111;1146.287;395.141;3068.005;891.5974;174.43779999999998;145.56320000000002;311.496;593.5174000000001;387.44079999999997;200.2056;551.3763;263.64029999999997;1331.925;2.0
TOTAL CARNE;1060468;266043.1;152425.3;263884.3;153045.6;225069.5;821883.3;94499.38;144085;544652.5;515815.2;57244.64;295958.9;383744.8;323519.4;184376.2;306413.6;254097.4;315580.4;74644.1;168478.8;418858.8;242688.5;155797.5;764847.2;295620.5;23829.83;50025.28;94499.38;175765.8;146161.9;89529.78;159666;57376.31;263613.5;1.0
CARNE CERTIFICADA;192832;47125.08;24130.54;50016.58;28182.19;43377.65;160984.4;12128.78;19718.85;92306.82;100525.2;8035.786;40809;72414.47;71572.78;36332.14;59873.94;46325.82;50300.14;14526.41;30281.5;76381.44;42233.31;29409.38;142484.3;50347.77;4316.469;6706.061;12128.78;28278.15;27311.37;14206.33;31972.16;10336.84;57575.88;2.0
CARNE FRESCA;672680.1;167791;98184.1;166857.7;97159.67;142687.5;520517.1;61383.18;90779.77;343245.5;329434.6;37101.05;184482.4;245281.2;205815.3;109952.9;191436.1;168571.5;202719.6;49323.65;110224.7;268356.2;147952;96823.53;488757.1;183922.9;14407.52;30230.06;61383.18;113728.7;95556.93;58386.79;100156;31905.08;166925.8;2.0
SALCHICHAS FRESCAS;8828.081;2279.916;1391.253;1842.795;1304.027;2010.09;6570.863;675.7344;1581.484;4482.03;4346.051;339.0113;2319.401;3406.001;2763.667;958.3823000000001;2707.383;2118.388;3043.928;1036.127;1316.094;3380.584;1712.092;1383.185;6621.09;2206.992;90.57458;261.5414;675.7344;1755.548;1343.397;768.8326;1479.858;163.13979999999998;2289.455;3.0
CARNE VACUNO;142986;38656.06;20065.34;36206.59;19158.52;28899.52;111456.4;13443.51;18086.1;72354.12;70631.91;8192.154;37318.46;52213.82;45261.6;26211.86;41395.81;37392.07;37986.3;8893.237;21229.45;55461.97;33391.34;24010.04;100968.8;42017.24;3427.471;6907.307;13443.51;22233.75;19514.45;10279.07;22641.29;7717.413;36821.78;3.0
