Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NIÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NIÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DEL HÁBITAT (2000 A 10000);TAMAÑO DEL HÁBITAT (10001 A 100000);TAMAÑO DEL HÁBITAT (100001 A 500000);TAMAÑO DEL HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;48.66888986818978;39.75190871073613;43.82405756441026;48.91668454388412;51.99751062045628;67.57406467573952;57.51687012123972;28.7466493252474;35.10655242351468;41.61316346492323;58.52888550559518;31.31189934965218;37.32894939555858;51.22674247130575;72.13309753455853;79.55408682011651;61.75127226165365;46.31617570924526;34.54400134791017;50.85979874152037;48.67600813519629;48.70504939129805;48.50028971531643;47.87117786805384;49.56718778616268;46.49895870121128;53.27740686754965;41.03145726509329;28.74808294555187;37.23622882639103;45.75429484170902;40.61691346757714;64.91142965516407;78.77327217250983;74.78938123515564;0.0
T.HUEVOS KGS;0.63108304283804;0.49449540477463;0.5156423710348;0.60986441887077;0.73527900393051;0.95619985021471;0.76934875169269;0.32028219345879;0.41929709014489;0.49870363325965;0.81611865891045;0.42644078947641;0.42341967073699;0.6624305782159;1.03789117728137;1.061931748342;0.81592062883812;0.58232649268995;0.44261659905198;0.55324847276851;0.62916268534073;0.63965037320404;0.63984940133079;0.63006243428461;0.62799134632925;0.63855039757315;0.74410729064206;0.47658715602444;0.32029816620923;0.44428943999457;0.64648434243059;0.52578412665022;0.79691198238333;0.92012666859956;1.09522563832832;1.0
T.HUEVOS UNDS.;10.04931903956945;7.84854957608465;8.30900552993006;9.69511398411252;11.60607034839312;15.29303988322126;12.2390918579436;5.11885065681416;6.70183337344274;7.95836946416161;12.97196766906928;6.81057223262932;6.74384828453352;10.58568285389143;16.45886273998596;16.85757375993168;13.02293649250498;9.27756948864935;7.04294053645921;8.97253024616219;10.12707188653037;10.16687522201262;10.11685436046883;10.01519969233747;10.02062415462094;10.11862051680681;11.9736674628787;7.57382846821973;5.11910593833076;7.10402955095416;10.28488316018553;8.3676641842175;12.77345034449195;14.52309438148807;17.35503078924462;1.0
TOTAL HUEVOS GALLINA;9.82573800819159;7.70388720395905;8.01022806917607;9.49839405610456;11.46700556382555;14.87536021078702;11.98070061320851;4.98321642390096;6.523680674268;7.76148034477846;12.71109226332891;6.63583457685403;6.59224422021597;10.30692129031469;16.17226944225019;16.54362982856821;12.69798636876064;9.06575551487897;6.89235543865547;8.58376241309052;9.77577715695252;9.96262261081332;9.97557143937232;9.8131562474304;9.77379823672315;9.95118874824243;11.56241881506062;7.42312724707866;4.98346494122088;6.9120211941672;10.06732427460633;8.18717564459357;12.39217553589664;14.34992082934609;17.06806167473848;2.0
OTRAS AVES;0.22358103137786;0.1446623721256;0.29877746075399;0.19671992800796;0.13906478456757;0.41767967243424;0.25839124473508;0.13563423291319;0.17815269917474;0.19688911938315;0.26087540574037;0.17473765577528;0.15160406431754;0.27876156357674;0.28659329773576;0.31394393136346;0.32495012374433;0.21181397377037;0.15058509780373;0.38876783307167;0.35129472957784;0.20425261119929;0.14128292109651;0.20204344490706;0.24682591789779;0.16743176856438;0.41124864781808;0.15070122114107;0.13564099710988;0.19200835678696;0.21755888557919;0.18048853962392;0.38127480859531;0.17317355214197;0.28696911450613;2.0
MIEL;0.01985052193424;0.00946829008551;0.01482080576091;0.02412313975177;0.0204926422615;0.03766593993205;0.02609843331999;0.00562769212289;0.01047047527861;0.01426903102641;0.02765315137537;0.0184638569096;0.00904847605551;0.02344713456024;0.0341317622445;0.05209768444365;0.02653986629254;0.01480187482527;0.01053921540409;0.01903646662909;0.01652854221548;0.01832196377857;0.02000245123312;0.0275032999169;0.01919492531674;0.02143411204008;0.03693452000326;0.01637027839098;0.00562797278077;0.01172873977221;0.01553505726619;0.01774888916865;0.02308391621002;0.0607079802556;0.03693469608195;1.0
GRANEL;0.00578568496262;0.00175728026525;0.00390223922321;0.0098651720191;0.0022175255288;0.0121128208655;0.00774136110572;0.00190260823014;0.00237139226076;0.00440645567763;0.00771364144004;0.00237251637816;0.00224372946963;0.00790694789015;0.01020862342595;0.01778465574469;0.00537697886343;0.00438573970476;0.00361815932237;0.01178443205631;0.00511281047285;0.00570184557089;0.00408361766277;0.00673694770329;0.00621401721728;0.00475102689058;0.00448819472149;0.00290648082214;0.00190270311486;0.00366780994645;0.00458794926722;0.00388076452837;0.00398251925195;0.02613592485738;0.01233600251278;2.0
ENVASADA;0.01406483697161;0.00771100982026;0.01091857063418;0.01425796773267;0.01827511199277;0.02555310921253;0.01835707221427;0.00372508254127;0.0080990841586;0.00986257534878;0.01993950993532;0.01609134280667;0.00680474832377;0.01554019330418;0.02392313778589;0.03431302479244;0.02116287971143;0.01041613254888;0.00692105236862;0.00725203457277;0.0114157360449;0.01262011820768;0.015918829817;0.02076634928893;0.01298090809946;0.01668308292214;0.0324463302251;0.0134637968176;0.00372526831436;0.00806093279654;0.01094710799896;0.01386812236612;0.01910139695806;0.03457206724338;0.02459869886317;2.0
TOTAL CARNE;2.9684313685286;2.45929114235267;2.62181862095253;3.01953246445684;3.24156594023911;3.9862652165181;3.45769115175426;1.7621731789294;2.30554316373579;2.6014761831488;3.48116369336003;1.92037583274462;2.33911561767015;3.3073544601678;3.99940316555438;4.02379892512874;3.66095813040326;2.88601559286954;2.35204016334596;3.46189121991809;3.06486170085593;2.88004964259038;3.00104891878959;2.84395748755647;2.99732431346769;2.89863322216447;2.70645065816129;2.39422325313112;1.76226106003237;2.53940965369832;3.1029046942411;2.58055094810051;4.02046698969282;3.96588336393269;4.13796398823614;1.0
CARNE CERTIFICADA;0.46208050734612;0.37189788915739;0.35719744698463;0.50624020609959;0.49421970321925;0.64488949499289;0.55818374605873;0.22611742040747;0.33159795564496;0.36755071168993;0.59420921894783;0.19588275597467;0.30781963509966;0.50315719241167;0.7832027662957;0.62102451553156;0.58741356433559;0.43645555214657;0.36585901670925;0.73859380136922;0.51101186866947;0.41599023505407;0.4504566678303;0.43481904124679;0.48000929582824;0.4187726812466;0.27275270031859;0.26543833450728;0.22612869707911;0.41091313752947;0.44806280533859;0.35431622843046;0.65577905477517;0.52119745878392;0.78542335758416;2.0
CARNE FRESCA;2.1220014714392;1.76622423629496;1.87567139235077;2.12620661966583;2.29657339194429;2.90296321190655;2.49748665232062;1.20663120984763;1.60521376435139;1.82832723125683;2.53238082789473;1.29403696340715;1.60447289087904;2.389886936177;2.9719224448154;2.79803769632888;2.62129747892454;2.0921491886908;1.68234770618666;2.5510673675548;2.23249889326507;2.06348330663973;2.09887107803809;2.01711202270314;2.14134893825049;2.07526465282334;1.70126580264108;1.65791814371432;1.20669138559135;1.80216012446757;2.27144422557589;1.82374528381343;2.90883793146558;2.61860595421888;3.071664260397;2.0
SALCHICHAS FRESCAS;0.02233373540299;0.01923261936205;0.02125874611308;0.0184180462107;0.02635962076755;0.03219624640893;0.02584741488618;0.01129796493499;0.01957145497708;0.02014272215523;0.02539448590428;0.01679942126875;0.01467391726475;0.02692563781843;0.0311658890826;0.02323349868676;0.02577348250015;0.02406081075326;0.01912935229892;0.04173278619797;0.02523194589683;0.01995513633404;0.01838463351099;0.02353039745041;0.02411927691937;0.01802070381216;0.00317346797929;0.02847464659877;0.01129852837429;0.02022566836523;0.03034959495432;0.01512306639434;0.02816103467108;0.02914821098092;0.02854501305641;3.0
CARNE VACUNO;0.29712311582171;0.2347695734448;0.24134213089634;0.35106883141966;0.30770349648808;0.37877449219595;0.35094786186046;0.14369762911562;0.24182226455437;0.24450191332051;0.37066840728557;0.16639651727803;0.19329873310525;0.32697922666059;0.48998788919135;0.42922562368363;0.35893130827898;0.28265296380954;0.23621753249152;0.38812305688869;0.30432499707221;0.27008226187904;0.30850274080437;0.30574555530531;0.29014053815097;0.31398954450935;0.20514566210006;0.21247873040171;0.14370479544086;0.28277414495469;0.29594650113354;0.22419919623204;0.37374212559302;0.40510560635308;0.47555129516504;3.0
TERNERA;0.21360938911214;0.16363040809596;0.17131996770784;0.26801829780852;0.2071192736325;0.2718335663829;0.24685388205628;0.10333856340285;0.19240680876648;0.17940403920084;0.26141285181225;0.11991108660955;0.13865019464773;0.23253512133315;0.35666532856889;0.27868025739349;0.25623007255407;0.20483621427103;0.17793221117851;0.30634527505162;0.24594407028342;0.18972313755237;0.20589504008441;0.21704437543678;0.21304605159687;0.21496990163325;0.15630940381575;0.15926318100044;0.10334371698653;0.22539367460293;0.21523831227533;0.1474424488821;0.26732967207875;0.2408981969129;0.32699950965582;4.0
AÑOJO;0.06876581278768;0.05637052219843;0.05731169820044;0.07027920358837;0.08183358498146;0.0905001434856;0.08627484726608;0.03167785961827;0.04008145693788;0.05419936830159;0.08912637800922;0.03515056302854;0.04406166546745;0.07942208055955;0.11014661977112;0.12896750508507;0.08435843073118;0.06285460251835;0.04750122190357;0.06818937538449;0.04593846433997;0.06809994157086;0.08203761093705;0.07341733128012;0.06461723061087;0.07878675616551;0.03583430473759;0.04025823429296;0.03167943942057;0.04810450215674;0.06890970645912;0.06111016562604;0.09149790645075;0.12689452961691;0.12301174541683;4.0
MAYOR;0.01474799000311;0.01476860681052;0.01271041856131;0.01277131261228;0.018750574675;0.0164406978645;0.01781921955897;0.00868113987257;0.00933402166515;0.01089852445748;0.02012917746409;0.01133486511189;0.01058683243916;0.01502203140196;0.02317606476973;0.0215778807376;0.0183428146408;0.01496216416432;0.01078407288732;0.01358826555455;0.0124424796579;0.0122591450281;0.02057008039952;0.01528387783511;0.01247728975342;0.0202329164086;0.01300194366008;0.01295733764531;0.00868157280854;0.00927597017553;0.01179859658447;0.01564659991722;0.01491461002771;0.03731283836515;0.02553994744719;4.0
CARNE POLLO;0.84010711116778;0.71061325327825;0.78426548753162;0.8003374068635;0.91967782996394;1.1420065657376;0.97439760561379;0.51909072595132;0.64954229654737;0.73689975456623;0.98431457273985;0.55420506663966;0.65693039958585;0.95366309588655;1.10910060341781;1.06585078639187;1.01214330386169;0.84269049056341;0.68261031918348;0.83062402772281;0.86514021586983;0.85467831272915;0.8263549213975;0.80061116510257;0.8439069768412;0.83092745672715;0.73346461730449;0.65482180315679;0.5191166134555;0.71399043889931;0.93681704136331;0.74483604541487;1.10420223379023;1.05837547420255;1.15071682696934;3.0
POLLO ENTERO;0.18959447564617;0.13616632643327;0.18057445405127;0.15466708000837;0.21928462774943;0.33242756355383;0.23263815044628;0.10057127134533;0.11716733664493;0.14308445942735;0.25460935488461;0.086379606201;0.1282518427994;0.21637302892776;0.29997173405274;0.20301116115909;0.27754308986225;0.18573736106613;0.13997943388915;0.25462449650416;0.21650823416003;0.19714961838657;0.17248202254971;0.13997319406027;0.20016700749256;0.16405599514656;0.13526825523934;0.11244701522515;0.10057628692175;0.14417025507985;0.20871392239522;0.14668071691903;0.30952414850592;0.14038884415689;0.3111779624414;4.0
POLLO FILETES;0.12811587633532;0.11737490227529;0.11769462032881;0.13167644872018;0.12679858047554;0.15509479835861;0.14554025296542;0.07807659342684;0.11038212129911;0.1174448941974;0.14301982684438;0.10648348295016;0.10551634256537;0.14295552572864;0.15451074717316;0.19853957463329;0.12980742454392;0.13008141199749;0.1068446642689;0.10994128345678;0.11139262214953;0.12445562950242;0.13904104252487;0.14599561829224;0.12283818549323;0.1408641466652;0.18327739699079;0.11402573268597;0.07808048717419;0.11764824942036;0.1399141112148;0.11609711606207;0.1440052699138;0.18776425567782;0.16172182760084;4.0
POLLO POR PIEZAS;0.52239684613627;0.45707202456969;0.48599639949661;0.51399396518735;0.57359462173897;0.65448420382515;0.59621923567165;0.34044279360577;0.42199273593513;0.47637062461451;0.5866852867435;0.36134197748849;0.42316221422107;0.59433467391185;0.65461801892657;0.66430024592497;0.60479317533895;0.52687180322059;0.43578595580426;0.46605811357326;0.5372392161513;0.53307295704674;0.51483185632292;0.51464238199676;0.52090181459195;0.5260075376505;0.41491896507436;0.42834890499893;0.3404597717828;0.45217183537283;0.58818899144109;0.48205818969211;0.65067285472312;0.73022219669027;0.67781703692709;4.0
CARNE CONEJO;0.05989000125007;0.04137206565264;0.0492570970991;0.05184045631209;0.06498083209232;0.11520691992765;0.08155014877809;0.01651762331592;0.02240238208128;0.03866710281386;0.08956080793618;0.02035701941301;0.02827849566724;0.06053742569992;0.13155496800133;0.1143368833749;0.09959593526759;0.05281285559879;0.02765109395992;0.06087099797199;0.06595365121405;0.05770827963213;0.06094507299111;0.05755448555441;0.06164131799177;0.05565956026381;0.03301273598852;0.03743502321063;0.01651844706411;0.02651554914721;0.06380376007831;0.0335214596991;0.09698915227683;0.07479710004004;0.14219089962989;3.0
