Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;99.406;99.432;99.465;99.333;99.335;99.477;99.459;99.218;99.357;99.432;99.393;98.671;99.388;99.71;99.504;99.408;99.399;99.394;99.474;98.913;99.337;99.545;99.417;99.306;99.404;99.412;99.065;99.016;99.218;99.418;99.804;99.439;99.607;99.592;99.559;0.0
T.HUEVOS KGS;74.886;75.676;73.724;74.081;75.69;75.252;75.377;68.725;77.023;72.399;77.769;67.131;71.117;78.077;77.947;71.735;77.328;75.561;76.083;74.328;69.945;74.019;77.857;77.68;72.801;79.647;70.048;66.148;68.725;77.723;81.298;76.885;80.534;68.23;76.804;1.0
T.HUEVOS UNDS.;74.886;75.676;73.724;74.081;75.69;75.252;75.377;68.725;77.023;72.399;77.769;67.131;71.117;78.077;77.947;71.735;77.328;75.561;76.083;74.328;69.945;74.019;77.857;77.68;72.801;79.647;70.048;66.148;68.725;77.723;81.298;76.885;80.534;68.23;76.804;1.0
TOTAL HUEVOS GALLINA;74.679;75.486;73.295;73.869;75.521;75.15;75.266;67.99;76.543;72.063;77.701;66.566;70.72;77.846;77.984;71.817;76.97;75.29;75.789;74.291;69.668;73.697;77.854;77.551;72.514;79.621;69.835;65.81;67.99;77.293;81.228;76.709;80.083;68.446;76.809;2.0
OTRAS AVES;2.87;2.943;3.761;2.522;1.841;3.153;2.755;2.685;3.732;2.868;2.866;2.17;2.742;3.384;2.449;1.587;3.212;3.432;3.505;5.51;4.406;2.766;1.573;2.699;3.059;2.34;1.962;2.166;2.685;4.306;3.709;2.418;4.01;1.057;2.228;2.0
MIEL;6.027;4.528;5.492;7.278;6.104;6.184;6.43;3.471;5.132;4.872;7.315;6.661;3.792;6.552;7.412;6.407;7.079;4.773;5.416;6.797;3.953;6.016;5.559;8.503;5.695;6.813;6.675;3.77;3.471;4.881;6.674;7.836;5.367;4.692;7.779;1.0
GRANEL;1.723;0.985;1.36;3.061;0.708;1.778;1.991;0.579;0.883;1.19;2.332;0.469;0.995;1.698;2.712;2.53;1.815;1.122;1.183;4.234;1.146;1.887;1.006;1.85;1.794;1.558;1.669;0.767;0.579;0.821;1.945;0.598;1.537;1.697;3.066;2.0
ENVASADA;4.429;3.606;4.185;4.407;5.528;4.566;4.632;2.718;4.29;3.74;5.197;6.07;2.901;4.947;4.935;4.046;5.491;3.735;4.227;2.874;2.918;4.218;4.603;6.672;4.027;5.372;5.047;3.438;2.718;4.096;4.909;7.006;4.109;3.132;4.888;2.0
TOTAL CARNE;96.79;97.028;96.604;96.507;97.472;96.579;96.751;96.36;97.734;96.721;96.916;94.247;96.388;97.984;97.048;94.889;97.239;97.7;97.886;96.559;96.959;96.761;96.98;96.56;96.81;96.746;92.933;94.743;96.36;97.902;99.184;98.343;97.846;95.828;96.741;1.0
CARNE CERTIFICADA;47.086;51.421;43.028;46.43;47.097;46.411;47.836;44.254;47.487;43.987;51.12;39.338;41.803;49.963;53.577;38.269;49.226;52.142;50.507;51.416;47.245;46.645;47.091;46.518;48.094;44.709;25.916;39.135;44.254;51.375;58.969;46.257;52.535;33.576;52.707;2.0
CARNE FRESCA;89.106;91.868;87.674;88.571;88.168;88.491;88.492;89.952;92.71;87.504;91.086;86.235;87.266;90.867;90.906;81.582;90.364;91.951;93.536;88.506;89.477;89.673;89.127;87.57;89.34;88.556;70.961;85.771;89.952;93.328;96.694;90.405;91.502;80.889;90.472;2.0
SALCHICHAS FRESCAS;8.141;8.973;8.391;6.736;8.047;8.818;8.241;7.315;8.168;7.813;8.522;5.54;6.58;10.221;8.141;5.175;7.536;10.747;10.172;13.488;9.083;8.153;6.562;7.747;8.788;6.609;0.827;7.821;7.315;9.223;14.483;7.597;8.885;6.571;7.4;3.0
CARNE VACUNO;49.491;55.433;48.191;50.429;46.658;45.577;49.45;46.544;52.879;48.033;51.259;46.801;47.257;51.585;51.232;39.038;52.308;56.201;52.6;46.516;47.535;50.228;51.131;48.092;48.765;51.262;31.359;48.945;46.544;54.857;61.522;46.068;54.254;39.392;50.476;3.0
TERNERA;39.496;43.775;37.778;41.343;36.294;36.736;39.481;37.558;41.603;38.716;40.42;37.506;38.357;40.55;40.635;30.089;41.781;46.332;41.933;37.777;39.561;40.898;39.33;36.918;39.641;39.3;23.755;39.324;37.558;43.715;51.743;37.163;44.289;29.501;39.269;4.0
AÑOJO;16.745;20.431;15.514;17.639;16.237;13.52;16.895;13.104;19.176;16.048;17.712;11.96;16.368;18.521;17.062;12.565;17.717;19.062;18.599;20.544;13.039;15.501;19.565;17.888;15.96;18.581;7.271;13.114;13.104;20.93;20.831;16.927;19.857;13.677;16.888;4.0
MAYOR;4.31;6.732;3.352;4.448;4.16;2.683;4.408;3.022;4.672;4.04;4.681;4.083;4.327;4.244;4.433;2.627;4.919;4.417;5.496;3.52;4.555;4.097;4.717;4.464;3.889;5.299;2.964;5.824;3.022;4.618;5.098;4.029;4.83;2.934;4.403;4.0
CARNE POLLO;72.39;77.47;71.914;71.384;71.208;69.641;71.118;75.395;78.363;71.532;73.481;71.006;70.969;75.202;72.137;60.984;72.112;79.324;80.144;71.133;73.562;73.743;72.53;68.154;73.378;70.106;54.125;67.099;75.395;80.888;84.204;75.729;75.532;59.067;70.31;3.0
POLLO ENTERO;16.875;17.731;16.809;15.197;19.154;16.815;16.814;15.275;18.707;15.733;18.396;10.366;15.857;19.332;17.154;9.074;19.454;19.683;20.638;25.456;17.928;16.804;15.958;14.462;17.27;15.967;6.082;12.099;15.275;20.817;24.528;15.401;24.469;7.564;15.822;4.0
POLLO FILETES;30.293;36.223;31.525;29.164;29.873;25.536;28.529;34.622;39.257;31.581;28.956;32.226;33.039;31.17;26.711;23.017;27.267;34.44;38.926;24.667;27.745;30.112;32.745;31.552;30.186;30.6;27.948;28.049;34.622;38.548;38.269;35.105;27.708;22.431;25.627;4.0
POLLO POR PIEZAS;60.832;67.447;61.146;60.583;58.449;56.108;59.146;65.881;67.832;59.936;61.901;57.178;59.963;64.906;59.063;45.518;59.942;69.343;71.921;59.397;63.658;62.83;58.124;57.917;61.349;59.648;37.259;56.257;65.881;69.995;77.129;65.569;64.141;45.185;56.604;4.0
CARNE CONEJO;12.806;10.854;12.116;11.85;13.953;15.434;14.065;6.602;9.146;9.693;16.467;6.04;7.904;13.072;18.844;11.433;16.133;14.396;8.993;13.765;13.18;12.842;12.545;12.528;12.562;13.394;3.181;7.224;6.602;9.672;16.049;8.576;17.338;9.579;18.679;3.0
CARNE OVINO/CAPRINO;10.528;10.832;8.796;8.938;10.164;13.206;11.362;6.498;7.856;8.609;12.823;5.808;7.663;10.227;14.593;9.378;12.154;9.834;10.62;15.914;11.779;9.22;10.294;11.299;10.867;9.732;7.78;8.791;6.498;7.701;12.159;8.186;12.49;6.178;14.969;3.0
CORDERO;9.844;10.2;8.029;8.201;9.783;12.362;10.597;5.963;7.475;7.985;12.003;5.562;7.067;9.842;13.393;8.706;10.91;9.623;9.942;14.414;11.025;8.729;9.228;10.555;10.177;9.058;6.565;8.293;5.963;7.581;12.151;7.759;10.854;6.178;13.847;4.0
CABRITO;0.755;0.602;0.631;0.912;0.991;0.596;0.833;0.41;0.414;0.57;0.961;0.25;0.606;0.432;1.317;0.528;1.539;0.074;0.649;0.989;0.85;0.601;0.816;0.82;0.754;0.738;0.868;0.491;0.41;0.218;0;0.747;1.849;0;1.157;4.0
OTRO OVINO/CAPRINO;0.152;0.117;0.107;0.029;0.194;0.344;0.165;0.125;0.126;0.124;0.189;0;0.132;0.172;0.204;0.166;0.061;0.263;0.169;0.464;0;0.03;0.408;0.204;0.161;0.139;0.277;0;0.125;0.109;0.403;0;0.127;0;0.24;4.0
OVINO/CAPRINO ENTE;0.645;0.841;0.124;0.614;0.115;1.137;0.785;0.201;0.075;0.543;0.762;0;0.491;0.71;0.87;0.536;1.17;0.259;0.448;2.375;0.456;0.67;0.329;0.489;0.794;0.294;0;0;0.201;0.129;0.195;1.097;1.856;0.179;0.92;4.0
OVINO/CAPRINO PIEZ;9.958;9.96;8.661;8.581;10.046;12.109;10.681;6.294;7.777;8.158;12.134;5.808;7.174;9.603;13.878;8.825;11.16;9.69;10.161;13.451;11.333;8.705;9.942;10.77;10.186;9.422;7.78;8.791;6.294;7.581;11.957;7.089;11.174;5.997;14.098;4.0
CARNE CERDO;67.962;72.255;64.789;67.629;67.322;66.735;66.957;67.682;75.268;65.023;71.471;55.196;66.176;72.367;69.131;52.905;68.202;74.98;78.198;76.026;70.072;67.621;66.847;65.573;68.6;66.442;38.443;57.118;67.682;78.222;83.703;72.48;72.839;51.379;67.762;3.0
CARNE CERDO ADOBAD;17.1;21.001;15.515;17.537;17.549;13.83;16.437;18.417;20.637;17.663;16.471;12.58;18.007;19.746;14.603;10.836;15.424;20.631;23.556;20.276;14.486;16.34;17.624;19.718;16.004;19.683;8.863;11.986;18.417;22.21;25.856;20.246;18.336;12.642;13.656;4.0
CARN.CERDO IBERICO;5.805;5.772;6.601;6.446;5.873;4.669;5.807;4.392;6.785;5.338;6.4;4.098;5.102;5.597;7.017;3.966;6.678;6.493;6.347;3.678;7.617;5.762;5.123;6.065;5.789;5.878;1.148;5.646;4.392;6.065;9.102;4.145;6.606;1.664;7.313;4.0
CARNE DESPOJOS;9.502;9.155;8.138;8.926;10.788;10.546;10.206;5.704;7.971;7.694;11.623;2.704;6.555;9.933;13.589;6.903;10.98;11.449;9.127;10.647;9.142;10.292;9.015;8.296;9.202;10.255;2.256;5.929;5.704;8.273;13.848;6.48;11.525;6.178;13.328;3.0
DESPOJOS CERDO;4.865;4.54;3.861;4.323;5.308;5.865;5.266;2.771;3.599;3.886;5.986;1.293;2.832;5.945;6.486;3.046;5.197;6.564;5.206;5.331;6.871;5.094;4.111;3.197;4.891;4.808;0;2.363;2.771;4.415;9.919;3.116;5.755;2.331;6.348;4.0
DESPOJOS CORDERO;1.141;0.938;0.62;1.163;0.893;1.72;1.325;0.34;0.526;0.635;1.688;0.439;0.448;0.669;2.401;0.898;1.827;0.629;0.952;2.25;1.083;0.95;1.119;1.19;1.24;0.834;0.421;0.394;0.34;0.368;1.036;0.508;0.814;0.287;2.744;4.0
