Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2.6490604266361806;2.7395264416737386;2.702756895283682;2.653887412855627;2.557655286186016;2.567096726814133;2.695227871033454;2.4090667689582967;2.55713452187628;2.676118749736082;2.6221558681573303;2.4978660353957767;2.5539326226495933;2.671704715046452;2.7385914899553696;2.7677336245547353;2.7446550134664025;2.567127757934978;2.548856562831688;2.5578405127113495;2.632668001010861;2.5863853184076944;2.7002194274884626;2.800538519036767;2.5880552943949926;2.8061433755435123;2.7201675986201272;2.649923594944106;2.4090667689582967;2.5559722314725173;2.6318397482901466;2.5778908737266044;2.691820454613808;2.7138122817359656;2.7852299334530732;0.0
T.HUEVOS KGS;3.0776729523765574;3.1239645500090236;3.132412063620995;3.0405982691841484;2.9775388513041285;3.1077141900390677;3.1178288190568004;2.90098598438382;2.9404689929827517;3.079191199809267;3.076374235020706;2.852719569330881;3.0258102009245285;3.0417613776647148;3.1888204317884528;3.232174282092118;3.1947617835174986;3.0390774375867227;2.8897478054517745;3.0992202038685064;3.123878843032168;3.10536748218348;3.042048940035614;3.0024709931026394;3.084330198104111;3.061858058122322;3.2067704878524372;3.086746374817831;2.90098598438382;2.925093894863341;2.9850857606516157;2.9163774692824305;3.1809357598327686;3.1877125484170357;3.2160716608164095;1.0
T.HUEVOS UNDS.;0.19327351475243312;0.19682440681338728;0.1943920217317706;0.19126672460934552;0.18863592370473717;0.19431034416419543;0.19598657627330593;0.18151226057646644;0.18396907588074105;0.1929545801764058;0.19354707620635858;0.17862169928570223;0.18997870428467606;0.19034726205315414;0.20108610445162667;0.20360868860537873;0.20016008255095233;0.19075419563369977;0.1816074321720801;0.19109869763849066;0.19407663178291276;0.195374628441752;0.19239707558768904;0.18888731537031198;0.1932946135633866;0.1932230462718832;0.1992857499028214;0.19423514571475192;0.18151226057646644;0.18293678526517657;0.18763569551712705;0.1832512570905065;0.19845270884819835;0.20196104566852502;0.20295695123803326;1.0
TOTAL HUEVOS GALLINA;0.19531985348367842;0.1987845962695417;0.1973161769218286;0.19320500553563705;0.18985047744457922;0.19667626256030557;0.19792302448890653;0.1834348946630604;0.18668878348079623;0.19559511567444296;0.19508472122363754;0.18119851696868522;0.192181691960245;0.19274493106793053;0.2025213764990368;0.2050109949792055;0.20280060565955885;0.19279778288582258;0.18347748122152446;0.19409047350311642;0.1973282430989833;0.19721385191829333;0.19385519842725588;0.1908516445238544;0.195465935314174;0.19497327870943962;0.20339025514344175;0.1965629348513599;0.1834348946630604;0.18553327025777122;0.1890658484743312;0.18541676041463548;0.20158440347175943;0.20334213127575665;0.20428345557930944;2.0
OTRAS AVES;0.10334286130961062;0.09243597292615384;0.11599537854818225;0.09767907329319092;0.08848623781811067;0.11004986731035356;0.10620022787021656;0.11087447576591236;0.08437752328384682;0.08886317872205472;0.11862568747900419;0.08076450987155064;0.09418554176722604;0.1016959232586515;0.12009465609247257;0.12971257137808703;0.0969770892560688;0.10328752820243021;0.09601434942700572;0.1250420668409744;0.1035912787429463;0.10566468894016816;0.08944331132099907;0.09348076103265013;0.10731474208168688;0.08919921920036326;0.08388595741120804;0.07957466164851325;0.11087447576591236;0.08946710717682227;0.12145676862967388;0.08502144088978592;0.09666652044784246;0.0875182287534132;0.12406045414400059;2.0
MIEL;7.009372393074583;6.757865915020714;7.47696018544623;6.994942450755205;6.707831253310471;7.103265041608147;7.0453058994621465;7.904834474587034;6.2978493172161505;6.520310509140206;7.362287572408534;7.17626089390095;6.816336538898609;6.402946742859989;7.712181442305861;7.306128019243977;7.227844668776871;6.85630379312861;6.441528975430236;7.903950293072161;5.7800408834007495;7.042029334667663;7.403025208191819;6.98760992120818;7.03597479192901;6.951829998662944;5.725210129021897;8.317056499196122;7.904834474587034;5.544567028057079;7.140964697845337;6.862670204764645;6.647563082656329;6.680696568376381;7.734073941887958;1.0
GRANEL;8.168100946230016;8.685756708467062;8.746375211573568;8.002970231503337;9.744641497039224;7.79091004071895;8.076019637217325;10.395849152832522;7.683981090895797;6.679955432452416;9.356963318867605;10.666919273476957;8.75415646510893;6.629203594025172;9.556612355536753;8.903139084767304;9.438699588530525;7.729629985065399;6.477563556082424;8.505034592092853;4.159586177029256;9.054486110021447;8.205342137323683;8.942634412406571;8.167065093141773;8.171375832009323;7.000131067228677;11.934651936032159;10.395849152832522;4.416373550302439;8.10136073964619;7.784929702260122;8.182070605138199;7.0542553974971245;9.681289779635145;2.0
ENVASADA;6.5327215337871705;6.318513379901353;7.023275183934108;6.297485743592249;6.339342543113025;6.777301679467701;6.610643598880888;6.6325330403827705;5.891993806534633;6.448983849928731;6.590643056206661;6.661593728849666;6.177374084091216;6.2878226765940495;6.925112672645658;6.478388578649863;6.666122686393398;6.488588398046947;6.422695954076197;6.927203221102962;6.505798109535774;6.132789645096514;7.197208826925695;6.353368575454499;6.4945169407387295;6.604526864349831;5.548853004492915;7.53611293224902;6.6325330403827705;6.057904986820343;6.7384612862921225;6.604592273052336;6.3276290962753405;6.398289833685863;6.757564540306014;2.0
TOTAL CARNE;7.691502737662577;7.761852579515659;7.652097284763865;7.715961629885168;7.55490816429484;7.703157014485159;7.847401714282949;6.995529551436618;7.343600867464299;7.585436887917132;7.802349124956195;7.205381141833939;7.355777505850279;7.5826634433854405;8.276970021991051;8.33979596591924;8.016669806858443;7.580987310656351;7.195931721149966;7.4752274339404705;7.540399635401947;7.571130727759525;7.793811506138654;8.134789863251072;7.572667100233787;7.988324713432701;7.961013076980963;7.675799809573445;6.995529551436618;7.275856152364315;7.527393295864417;7.249101984271065;7.947347994888668;8.016647643448085;8.325831394279591;1.0
