Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2.6602259536395767;2.7648795568880233;2.6985146613745905;2.6650976235672856;2.5622250660635952;2.5757196650980956;2.7128708623369118;2.398840568968903;2.568467322742283;2.692647383433881;2.627815504783498;2.5214959192854374;2.570317768888539;2.6963980124617675;2.7301246898350007;2.8207780463413132;2.7335973622365004;2.5893203468595956;2.550340254665786;2.633125261571755;2.62459017453386;2.5874367586624025;2.6876886856988187;2.864939156627525;2.5901679057587557;2.839243559550389;2.6793665485634173;2.6939799356725675;2.398840568968903;2.5773001048495794;2.6591032224029174;2.569414696163645;2.751069093048743;2.763628817725989;2.7700637564920405;0.0
T.HUEVOS KGS;2.737335290684719;2.8426547189579146;2.763615982453329;2.73321875450563;2.6319663398451154;2.691582393197143;2.7802469934825345;2.5314271153585395;2.6203023351900416;2.7313679230795134;2.742520760563957;2.545787680549386;2.6771046659110724;2.7053295208926564;2.8478210071693146;2.893608998748327;2.8377146381868084;2.663288465617891;2.594619000107529;2.7785642765212035;2.7518146088899065;2.7344298185016993;2.7085788556771995;2.7569943079531734;2.737871085116659;2.7360669491165366;2.8339751105817883;2.9008643242894387;2.5314271153585395;2.618521592677888;2.664492772970331;2.605167743705041;2.7717997939176997;2.806462911439923;2.8724383407502;1.0
T.HUEVOS UNDS.;0.1722899044621869;0.17900303533029704;0.1740309256206408;0.1713125339838641;0.16623778739867112;0.16963729190097793;0.1750752988852671;0.1590968687007978;0.16461690177740815;0.17211625462413313;0.17244047228169299;0.1607624623474782;0.1683729970183094;0.1700542917004868;0.17948252885549815;0.18207258397221704;0.17852051593341775;0.16822653823832304;0.16297661395786706;0.17636010331538804;0.17321699547155292;0.17193063589785204;0.1707764338254047;0.1729271003746121;0.17230070547832618;0.17226432923762952;0.18137440707723446;0.18427044856553093;0.1590968687007978;0.16457781843057392;0.16710328452716525;0.1640011729186536;0.17385746474414315;0.17674053114736776;0.18106215577519855;1.0
TOTAL HUEVOS GALLINA;0.17398821535822032;0.18073040817170505;0.17568821554361388;0.17344782385832286;0.1675025676696863;0.17117052803739094;0.1767515392428401;0.1607696268452956;0.16641895117389338;0.17362011588990253;0.17430821538330063;0.16198556215468513;0.1701077571449962;0.1717850215618703;0.1811914566704514;0.18407774144168798;0.1802583521947521;0.16957588545282318;0.16470002853497293;0.17718334948544;0.17480397504000955;0.1737890262960938;0.17229564200367722;0.17494216643464758;0.17400876687985037;0.17393956875850075;0.18137440707723446;0.18520568885909858;0.1607696268452956;0.166424745097853;0.16897669298386575;0.1655424089732686;0.17551607782284553;0.17848695585084184;0.18285032564548245;2.0
OTRAS AVES;0.08741017933891992;0.0901360781577111;0.08861680681253162;0.08623085618066871;0.08609240415758629;0.08624275125989873;0.08877433442167687;0.08231234719301309;0.0836978814401908;0.09120234871303913;0.08452619600487495;0.08442718110372566;0.08543236000602941;0.08987537362126728;0.0865905090131183;0.08360427405019731;0.09416682780312993;0.08231576082519118;0.08627636290421963;0.09304096803010879;0.0934619173439967;0.08448871862851805;0.08592262615992019;0.0897283120007903;0.08761649686980069;0.08690844479125613;;0.07941780082339847;0.08231234719301309;0.07959175311574516;0.09025853099297906;0.08610857208948007;0.10534195493447263;0.08636717021714457;0.0828589012100987;2.0
MIEL;6.660752941379802;7.590114768654018;6.480014300861725;6.522970620045881;6.08770771052229;6.431283085303597;6.621111414031261;6.446600827060824;6.948221876856973;6.570684531126139;6.735662039275709;6.787304516039008;6.277527545841531;7.190690654615904;6.419792443595792;6.562989690721649;6.533546274156183;6.266822115279579;7.1688888445797545;8.157781691517936;6.669697645048659;6.629377968368507;6.804660079526776;5.848500360830029;6.803219734887449;6.345933318832436;6.809070718466631;7.0606498955704335;6.446600827060824;6.858847670391726;7.151923243138032;6.973244013273468;6.448549633944066;6.670433941953788;6.414766188154801;1.0
GRANEL;8.797082183984541;10.490517674896362;7.223600793578043;8.194935651918312;7.564599347587367;8.42200630725956;8.601543865262668;8.429980188487104;9.77474018694389;8.77258844806712;8.810009440056518;8.882810367877957;8.433089255710785;10.400195237801158;8.075551971200486;9.825495653001273;7.538822010847963;9.8524406523272;10.078011851900703;9.040768420306565;7.640220410145822;9.14014216694171;9.96925750384022;10.140491826797131;8.441237253224411;10.631837460959698;8.500188375168495;8.295583295153252;8.429980188487104;9.59168511107915;12.77086524928695;5.000000758224958;7.372403330611774;7.586559293160645;8.567690360943873;2.0
ENVASADA;5.944691980039038;5.783148477575266;6.279187807786402;6.125328901398453;5.673535122528347;5.8065008775623035;5.961210405924088;6.032766375731761;5.815735786365822;6.050818202706613;5.842544699498756;6.322259312976198;5.700245095440286;6.380308434048716;5.599060045775261;6.0485140091149185;6.007199867546117;5.844109881267768;5.858785912277459;6.8615612148259615;5.878144013022306;5.739563429016828;6.324316155463148;5.66712974221058;6.082988261717011;5.70043844309482;6.127476637692365;6.7548997526577015;6.032766375731761;5.716410617313231;5.67947012245452;7.1293878246023334;6.015718385244767;6.64466974706064;5.570846903042576;2.0
TOTAL CARNE;7.06836318680937;7.13548946609001;7.141400130050593;7.109680977959235;6.8367689011387345;7.054176244002146;7.1974308521995045;6.5773155995085055;6.7323735804727205;7.019911076965642;7.11805364662855;6.559916294328702;6.807686117519826;6.95244792714207;7.568662513367536;7.822849114271784;7.286119919351047;6.95100558258169;6.61254258708143;6.998754428055541;6.912380138312428;6.907171510724437;7.149121890962906;7.583135458390298;6.9375186807398945;7.399038510610066;7.101578878882469;7.0078928306475525;6.5773155995085055;6.611018271731012;6.832256888857362;6.73713460072523;7.285021270602394;7.685967770267387;7.648607841915036;1.0
