Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;99.416;99.474;99.276;99.453;99.352;99.457;99.483;99.04;99.39;99.346;99.508;98.635;99.332;99.588;99.69;99.571;99.315;99.35;99.442;99.285;99.333;99.45;99.505;99.346;99.422;99.403;99.022;99.047;99.04;99.532;99.509;99.349;99.651;99.544;99.685;0.0
T.HUEVOS KGS;80.328;80.374;80.228;79.749;77.932;82.94;81.011;75.839;79.948;78.038;82.875;74.386;76.67;82.182;83.983;80.63;83.044;78.494;80.467;76.535;74.604;81.273;81.167;83.142;78.644;84.145;71.123;79.006;75.839;81.251;83.098;79.032;82.123;77.409;84.899;1.0
T.HUEVOS UNDS.;80.328;80.374;80.228;79.749;77.932;82.94;81.011;75.839;79.948;78.038;82.875;74.386;76.67;82.182;83.983;80.63;83.044;78.494;80.467;76.535;74.604;81.273;81.167;83.142;78.644;84.145;71.123;79.006;75.839;81.251;83.098;79.032;82.123;77.409;84.899;1.0
TOTAL HUEVOS GALLINA;80.031;79.99;79.733;79.424;77.828;82.748;80.786;75.168;79.442;77.655;82.671;73.787;76.074;82.079;83.827;80.074;82.868;78.315;80.135;76.543;74.584;80.808;80.901;82.92;78.34;83.864;70.297;78.19;75.168;80.857;82.993;79.02;82.046;77.054;84.716;2.0
OTRAS AVES;2.78;3.787;2.738;2.969;2.318;1.806;2.54;3.202;3.965;2.882;2.666;1.903;3.211;2.951;2.272;1.826;3.134;2.163;4.064;4.608;3.256;2.898;2.29;2.158;2.863;2.596;2.726;1.783;3.202;4.254;3.432;1.037;3.262;1.334;2.556;2.0
MIEL;7.192;7.738;7.334;6.53;7.539;7.205;7.28;6.462;7.11;6.896;7.531;4.737;5.872;8.023;8.159;7.108;6.598;6.86;8.372;7.817;4.737;7.666;7.835;6.982;6.718;8.299;4.582;3.936;6.462;7.746;7.521;7.569;8.11;5.809;8.197;1.0
GRANEL;1.543;1.899;1.879;0.729;1.574;1.836;1.619;0.907;1.515;1.211;1.927;0.226;0.885;2.07;1.995;2.065;1.444;1.3;1.191;2.273;1.383;1.712;1.456;1.112;1.675;1.234;0;0.517;0.907;1.242;1.446;0.601;1.768;2.761;2.2;2.0
ENVASADA;5.824;6.127;5.518;5.914;6.143;5.47;5.817;5.636;6.017;5.759;5.915;4.516;5.097;6.243;6.395;5.195;5.289;5.712;7.338;5.898;3.595;6.112;6.56;5.959;5.233;7.2;4.582;3.467;5.636;6.753;6.113;6.936;6.548;3.484;6.25;2.0
TOTAL CARNE;97.228;98.187;96.882;97.147;96.325;97.195;97.059;97.224;98.569;96.937;97.574;95.263;97.046;97.87;97.608;95.059;97.647;98.512;98.25;97.581;96.742;97.565;97.032;97.051;97.05;97.647;90.895;96.528;97.224;98.696;99.177;97.872;98.548;94.978;97.483;1.0
