Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2.8730020194434527;2.9453717088001605;2.9518271448342985;2.869101396082802;2.7828949218532055;2.7963589703480456;2.9326524263593847;2.5839252233065766;2.7481451239046293;2.8949668150973573;2.8503235296770475;2.8143045148927177;2.7476122291632774;2.9206429102477944;2.950244244289692;3.0154457778105;2.951269152254891;2.817901691466289;2.7579883137085868;2.813721797753575;2.7911358519171543;2.821672056030661;2.916682052068064;3.0510764946288784;2.798579844990958;3.0575943733475985;3.022508941325241;2.8250961524624953;2.5839252233065766;2.7919598621671398;2.892159533629362;2.814155395995097;2.9504267154222115;2.93126501842634;2.985320752703095;0.0
T.HUEVOS KGS;3.099694464043675;3.1038798273567636;3.126406792817036;3.102311987172694;3.0158543084615763;3.1327453629902937;3.146408596854036;2.924214289509862;2.961414005223575;3.077201129234809;3.1215229707138126;2.972699086571742;2.9888263277310254;3.0637245308989907;3.2631378225213914;3.2934624045679595;3.238433127465299;3.0126662097480614;2.9253687540832547;3.1890718872532133;3.0957400635320718;3.077999432085672;3.126210067696176;3.0857258926594233;3.104304965080625;3.088642081050674;3.1880084564248303;3.0794149337044554;2.924214289509862;2.9229405703540694;2.9937735860931;2.9800465039865522;3.2297252454117373;3.203634472315557;3.2769194627846323;1.0
T.HUEVOS UNDS.;0.194917973975949;0.1940390932182868;0.19734692670744236;0.19492882003483925;0.19038023973183185;0.19752897313476794;0.19807007822222086;0.183576409333274;0.18535734514512006;0.19331180838950207;0.19647971762839828;0.18697196774082386;0.18725940136011415;0.19303214865016424;0.20540079435821734;0.20773381661019058;0.2033802079209019;0.1895379277249433;0.18378732802872144;0.19777278234463114;0.19454843143345507;0.19348192983370616;0.19734559002361676;0.1942922747261215;0.1951968217905048;0.1942493806155356;0.19888808713446313;0.1940646175564225;0.183576409333274;0.18283003312179255;0.18879831326138907;0.18955799297502118;0.20304599714004185;0.20278589819291842;0.20566150431487212;1.0
TOTAL HUEVOS GALLINA;0.1969201049375416;0.19698252218960588;0.19892494618978776;0.19704573941760936;0.19214353147548463;0.19871680354341606;0.1999146275959182;0.18540615280680903;0.1882042281017272;0.19553421612278366;0.19826453286083462;0.18865207545918494;0.1898209734941803;0.1947651665026328;0.20723955330243193;0.2092383838763151;0.2054900343680337;0.19164023983070358;0.18588211163780785;0.20202649612168502;0.19657264188404502;0.19533652651263797;0.1990211222631201;0.19627062576650933;0.19714498739665465;0.19638104640205956;0.20257878315380062;0.19614803384818608;0.18540615280680903;0.18564294673806023;0.19053253912621182;0.19034247198460946;0.20485754817814886;0.20395404239007817;0.2078086814409043;2.0
OTRAS AVES;0.10013268925484071;0.089947677603679;0.10180494159458757;0.0990567430521174;0.08313998268596672;0.13098459181173122;0.10494696428411085;0.10454814241530007;0.07911085272592223;0.09377382453817525;0.10703498953996991;0.10644569087891864;0.08711801200009617;0.10064448656159102;0.11305228215143431;0.12144235928583233;0.11038614040143989;0.08713586205059325;0.0895821791831941;0.08626281639105038;0.10202289151458024;0.10751510308754847;0.09548135812112798;0.09306704941349081;0.10326618590502312;0.09253662730809505;0.07907444683549585;0.08135178818919757;0.10454814241530007;0.08088368101028427;0.09051760160263146;0.08198011659886133;0.11844953749470177;0.11400707294217581;0.11425563987270831;2.0
MIEL;7.61468242340884;6.913981174219403;8.807211115424684;7.406376678588108;8.545659537976116;6.858544882034545;7.8653983589383225;6.454200013510061;6.495240450790082;7.930048479671254;7.3381989266084116;6.606812426074146;7.224184099665373;8.15351279033737;7.387274526849467;8.809352980465093;7.145306556520678;8.050178277103166;6.202826428123549;7.550506050248121;7.858571546119448;7.46987922123814;7.658921784456844;7.756241162361953;7.989542565799539;6.814897741069927;6.065695800358592;9.044595944547781;6.454200013510061;6.835047255074764;7.545872946754723;6.457323073105019;6.994143858204429;10.600792462983044;7.559036409646805;1.0
GRANEL;10.254145669338072;9.229872852088576;10.141709401149987;13.20221744340234;12.875181282294017;8.567505283031656;10.631972761755078;6.724695066063144;7.668481962613484;11.047613105347205;9.604929591494534;6.250101399933629;9.520975233874614;10.752194023197214;10.161648364271617;12.185601815243922;9.283900636210161;9.920574664037613;7.6016144321642924;8.357359832057119;9.131293224043578;9.925912851517442;11.49752425636615;13.574365072095516;10.158370506410533;10.695206843951368;;10.144106922927643;6.724695066063144;7.623178297177343;10.238915193390826;7.1030376069343495;8.767446805740596;13.743491053617925;10.407257462701144;2.0
ENVASADA;6.314815333191461;5.849400855667153;6.852084759707496;6.4480046608870465;6.7386770949269055;6.059693178798471;6.331047040120614;6.383040192448686;6.184910620913436;6.477356934529656;6.167397481230135;6.664360750111104;6.302519986597541;6.345763997306839;6.251792413690149;6.5943589516884975;6.24210496916466;6.616317437309293;5.911369896639452;7.074301694620814;6.63892291491406;6.124323649969384;6.335611029718142;6.321166905960116;6.554666814701638;5.937161373676752;6.065695800358592;7.1337688917811715;6.383040192448686;6.635749099049041;5.591785469594435;6.306799302115654;6.372451871106537;6.662349908356837;6.2367241451865905;2.0
TOTAL CARNE;7.977809907125484;8.032597288337767;8.085517014849849;7.963664404781166;7.7998787284350035;7.982136190822757;8.161912511297656;7.290115495104649;7.5017731226081;7.912577335286794;8.047412607296435;7.277735557385627;7.631185012280165;7.909337949885729;8.590283475504442;8.662111515364048;8.37570677813649;7.876875256857226;7.429344906585808;7.557662435765127;7.759599247532287;7.853125749384316;8.165705432757191;8.457007214375906;7.8366795655927985;8.318662497412376;8.05682841630265;7.764478095079018;7.290115495104649;7.53568522053489;7.692038531752771;7.6015515265318605;8.352316991752083;8.708210723208127;8.62180251267739;1.0
CARNE CERTIFICADA;9.29097305472516;9.205773775898079;9.612807082154678;9.362960432718495;9.005526956382935;9.292669148042375;9.453396311267332;8.344636102891085;8.777117228282616;9.058307739530493;9.50159781357744;8.603062856343934;8.831200667410869;9.045240020077557;10.000846093218799;10.169719574199183;9.799683392919443;9.176478085380902;8.462846783932768;9.150753332621989;9.166128193545903;9.224531118511118;9.227153413611004;9.78524829048518;9.159372692906642;9.630286836693351;9.548138003950946;9.335049209075459;8.344636102891085;8.61183739008493;9.149760018676659;8.369020806706352;9.502624010125567;9.890768332938192;10.089397604188857;2.0
CARNE FRESCA;7.164045150156949;7.1995020423191125;7.3160985351528245;7.210524336356972;6.9763643128572035;7.0933974146245005;7.270340949368056;6.717278455983037;6.889166791429251;7.121012590260107;7.208059657518819;6.6903726016078995;6.994595889302066;7.116623361493083;7.48744713773894;7.66231114496211;7.355671125053781;7.162724905728797;6.791379578055109;7.0616365769787315;7.040607031843777;7.116518598611096;7.197880381162931;7.426161041812712;7.08137086626376;7.366271152265289;7.376891194774578;6.81935161032153;6.717278455983037;6.919048606462585;7.01672592099169;6.9643069844825;7.34484376276073;7.72560291698094;7.5318881838235185;2.0
