Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;132.95518395860051;113.4409949191155;126.52153496225613;133.49803010449935;135.66931689444803;173.77683952606677;157.64845063472615;74.02652795258146;97.42663012915621;117.04928572601015;155.19234299611068;83.26521532123986;100.88181156535403;141.37261365731308;197.74037943139305;222.57961111202633;171.4576215383805;121.55520142432646;94.48044625186179;133.46317997716338;130.91356537761294;130.76195629144283;132.63649211372865;141.26322276594001;131.37628504461918;136.7676877510974;147.51959924704693;113.66038286715657;74.03021971965883;102.55875291175553;124.9595752977047;108.23169704340447;174.92813583077086;220.05717581465538;208.64042039837918;0.0
T.HUEVOS KGS;2.10725495741216;1.67485250345034;2.04818900790912;2.0719478961339;2.21948983688505;2.96041750504621;2.53724341307621;1.12802866997518;1.44912740649059;1.77538319640395;2.57141183549863;1.57660667532922;1.4611959725338;2.16654034004593;3.39011668863033;3.67642942786475;2.79112424118069;1.88835568284283;1.43978674453789;2.21481334417556;1.97354879977032;2.14798687281666;2.08810946383779;2.11655316574597;2.10639855777477;2.10937348619279;2.43711371282373;1.76148827978761;1.12808492574215;1.5400799143258;1.93730329271221;1.67114507360866;2.79335972097115;3.34886167354015;3.54389442252288;1.0
T.HUEVOS UNDS.;2.10725495741216;1.67485250345034;2.04818900790912;2.0719478961339;2.21948983688505;2.96041750504621;2.53724341307621;1.12802866997518;1.44912740649059;1.77538319640395;2.57141183549863;1.57660667532922;1.4611959725338;2.16654034004593;3.39011668863033;3.67642942786475;2.79112424118069;1.88835568284283;1.43978674453789;2.21481334417556;1.97354879977032;2.14798687281666;2.08810946383779;2.11655316574597;2.10639855777477;2.10937348619279;2.43711371282373;1.76148827978761;1.12808492574215;1.5400799143258;1.93730329271221;1.67114507360866;2.79335972097115;3.34886167354015;3.54389442252288;1.0
TOTAL HUEVOS GALLINA;2.08905677222911;1.65882959266953;2.03416828731847;2.05477276755968;2.20417901378691;2.92951370290795;2.51669913601635;1.11077198426716;1.43801314202356;1.75750657012689;2.55276839671;1.56568920617932;1.4481764776633;2.14454970256875;3.36555576782693;3.63630389728439;2.77068040122646;1.87580765367623;1.42527172922254;2.20140091934881;1.95475661650329;2.12371237860313;2.07657969504085;2.10294206026964;2.08632443687291;2.09570075817675;2.43711371282373;1.75024431794601;1.11082737942827;1.52998482560915;1.91899350559514;1.66494646137234;2.75985673975141;3.30033753439123;3.51894577497683;2.0
OTRAS AVES;0.01819818518305;0.0160229107808;0.01402072059064;0.01717512857421;0.01531082309813;0.03090380213825;0.02054427705985;0.01725668570801;0.01111426446702;0.01787662627705;0.01864343878862;0.01091746914989;0.01301949487049;0.02199063747718;0.0245609208034;0.04012553058035;0.02044383995422;0.01254802916659;0.01451501531534;0.01341242482675;0.01879218326702;0.02427449421353;0.01152976879694;0.01361110547633;0.02007412090185;0.01367272801603;0;0.01124396184159;0.01725754631388;0.01009508871664;0.01830978711706;0.00619861223632;0.03350298121973;0.04852413914891;0.02494864754604;2.0
MIEL;0.18584375738842;0.1293331769224;0.15750125099583;0.19874700020669;0.19132104260008;0.2990208108048;0.23427530113397;0.08486676034559;0.10379542274234;0.13794543791804;0.25286733220719;0.10064637305512;0.09376332610545;0.18996782862772;0.3790117083464;0.44226073225776;0.24566379329813;0.16962149806749;0.09328016993428;0.10441892556237;0.16277037775936;0.20795393907664;0.22153059038323;0.12946446349022;0.1757044302433;0.2103106362656;0.1336085008932;0.12026043344158;0.08487099272445;0.10821327381031;0.12234528496395;0.10299265409621;0.2832596819532;0.48886270406068;0.38480968142114;1.0
GRANEL;0.07482135791404;0.04542894412871;0.05324169050092;0.10132474626451;0.08408395171515;0.10313765709229;0.09660701692838;0.02656895870507;0.04012471011418;0.05253561291468;0.10600878094811;0.014817438527;0.02994197100623;0.07471475867429;0.17976931643763;0.16014756809697;0.1119992648558;0.08043975796542;0.02763847943792;0.02008402410249;0.05678315672996;0.1147987256646;0.05920723607251;0.03315841864888;0.0728202501829;0.07965108542897;0;0.01599918104917;0.02657028372206;0.04842893528328;0.02952116728223;0;0.14420723776472;0.26520087182945;0.17935871365024;2.0
ENVASADA;0.11102242121187;0.08390416790551;0.10425950587236;0.09742225394218;0.10723713843062;0.19588311134688;0.13766828420558;0.05829780164052;0.06367071262815;0.08540982500335;0.14685855125908;0.08582893452811;0.06382136088802;0.11525306995343;0.19924249518298;0.28211306627712;0.13366443268044;0.08918174870732;0.06564167985912;0.08433492158184;0.10598723535107;0.09315521341203;0.16232334492756;0.09630604484133;0.10288418006039;0.13065955083663;0.1336085008932;0.10426124523265;0.05830070900239;0.05978437781609;0.09282411768172;0.10299265409621;0.13905252312079;0.22366189162914;0.20545096777089;2.0
TOTAL CARNE;25.10357081986812;21.67534911929416;23.71061048745356;25.47484020383732;25.53708054960078;32.12884652204525;29.38206555435275;13.82336539974946;19.82634563464528;22.50765608375329;28.73182178300467;15.64830941608692;19.21992032104577;27.78348251120685;35.36183354349323;36.72450378428806;30.61537960604823;23.6753726465309;19.80801358861932;26.68360685681915;24.61145581774911;24.33854580128909;25.02859288892598;27.10748654167766;24.63197038220968;26.24194455703116;22.62980533270111;19.82742321521426;13.82405478295697;21.28806115629767;27.20831513317647;21.96109481987123;32.62440529546047;35.87730179351409;35.94055069139395;1.0
