Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;99.275;99.318;99.556;99.421;99.192;98.927;99.275;99.119;99.509;99.401;99.125;98.743;99.489;99.597;98.978;99.384;99.096;99.263;99.425;99.16;99.511;99.396;99.06;99.12;99.307;99.202;99.384;98.905;99.119;99.526;99.586;99.386;99.56;99.858;98.882;0.0
T.HUEVOS KGS;78.24;80.179;80.14;78.156;73.93;78.18;78.587;73.253;80.128;75.867;80.928;75.544;74.252;79.411;82.145;75.842;81.185;79.078;78.397;75.388;73.946;78.807;78.64;81.221;76.557;82.113;67.676;76.498;73.253;80.037;83.576;78.082;80.517;70.993;82.491;1.0
T.HUEVOS UNDS.;78.24;80.179;80.14;78.156;73.93;78.18;78.587;73.253;80.128;75.867;80.928;75.544;74.252;79.411;82.145;75.842;81.185;79.078;78.397;75.388;73.946;78.807;78.64;81.221;76.557;82.113;67.676;76.498;73.253;80.037;83.576;78.082;80.517;70.993;82.491;1.0
TOTAL HUEVOS GALLINA;78;79.808;79.666;78.108;73.859;77.904;78.377;72.833;79.811;75.501;80.818;75.332;73.943;79.075;82.042;75.528;81.054;78.953;77.955;74.966;73.667;78.403;78.519;81.301;76.219;82.092;67.676;76.061;72.833;79.781;82.967;78.091;80.438;70.517;82.338;2.0
OTRAS AVES;2.263;2.953;2.449;2.554;1.487;1.63;1.969;3.168;3.126;2.589;1.872;0.998;2.562;2.758;1.627;1.139;1.977;2.628;3.65;1.934;2.24;2.728;1.651;2.008;2.207;2.244;0;1.097;3.168;3.081;4.163;1.517;3.064;1.913;1.269;2.0
MIEL;6.934;7.164;6.803;7.182;7.405;6.248;6.912;6.231;7.369;6.03;7.987;6.347;5.401;7.344;8.13;5.55;7.617;7.304;7.459;5.866;6.39;7.313;7.589;6.074;6.274;8.525;3.356;5.853;6.231;7.201;7.708;6.493;8.37;4.747;7.888;1.0
GRANEL;1.752;1.413;1.69;2.451;1.484;1.34;1.919;0.611;1.428;1.317;2.246;0.166;0.869;2.007;2.744;1.298;2.303;1.829;1.299;1.183;1.386;2.378;1.226;1.198;1.606;2.055;0;0.647;0.611;2.027;1.245;0;2.316;1.659;2.941;2.0
ENVASADA;5.381;5.722;5.337;5.297;5.633;4.926;5.301;5.169;5.819;4.722;6.149;5.983;4.453;5.546;5.952;4.664;5.475;5.363;6.133;4.834;5.104;5.079;6.529;4.906;4.89;6.559;3.356;5.161;5.169;5.091;6.649;6.493;6.034;3.155;5.682;2.0
TOTAL CARNE;96.956;98.38;96.949;97.559;96.28;95.193;96.639;97.25;98.892;97.123;96.768;94.821;97.322;97.76;96.593;94.368;97.265;98.263;98.518;97.095;97.334;96.951;96.564;97.182;97.084;96.652;91.166;96.043;97.25;99.091;99.066;98.047;98.11;95.412;96.201;1.0
