Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2.7105425525254576;2.795588636737947;2.774691568186881;2.7185721277469694;2.6165347528256233;2.6189226317995953;2.7639133523953894;2.4705519388247845;2.5890838532386264;2.7299517490024625;2.6903404203618373;2.5935922262128606;2.5985051157320807;2.7444623188065806;2.8037769702512065;2.8533187374294684;2.760387126299485;2.6693015064539627;2.611462144056785;2.6779040011854147;2.6275054367459627;2.643656047984875;2.7416389822606972;2.9516713166879844;2.635363863249125;2.9024253016059585;2.797608205157976;2.6359774015205955;2.4705519388247845;2.6296439721372025;2.792401081524191;2.68506985969396;2.7152232797538285;2.725781067844718;2.828556807958525;0.0
T.HUEVOS KGS;3.0830185424702465;3.058633332010835;3.128962867100747;3.066867533224473;3.064318260646617;3.1090418131361726;3.130627594209544;2.879561516084774;2.946477612462481;3.0540948349213957;3.111508081044651;2.878565859040527;2.9877472425168485;3.0417286467756854;3.2504459780787913;3.265215459285853;3.1958357700253277;3.0210056027102117;2.9082954564959786;3.2046910568142555;3.0565291695119394;3.1021230925447556;3.06168758175285;3.0366228967766586;3.084590431749072;3.0792391831063397;3.2440137523477555;3.011340287761413;2.879561516084774;2.9282787744948227;3.011822541825125;2.94303468312554;3.1893072270365654;3.149555239586003;3.256904543029704;1.0
T.HUEVOS UNDS.;0.19444915776931293;0.19269756077891423;0.19786577403560668;0.19328321692777686;0.1933461888335813;0.1960887383270877;0.19767984942109626;0.17978091015137154;0.18585317905219037;0.19211299454215156;0.19676248016677497;0.1817592454529272;0.18839451979487737;0.19104834676425028;0.20591318607480938;0.20554310327466507;0.20194263277071398;0.19101327807971902;0.18295693406286445;0.20252982985905493;0.19224036081322735;0.19501989403499329;0.19392807710550908;0.1923013677913618;0.1943098684523873;0.19478562356125806;0.20761688015025634;0.19145535604463584;0.17978091015137154;0.18512017722258345;0.18941955533694757;0.18710930988011265;0.1999424398487097;0.1957518939127884;0.20634043069352695;1.0
TOTAL HUEVOS GALLINA;0.19614419554694904;0.19445069851170105;0.1993282654395245;0.19521290089385052;0.1952816203105522;0.1974404000487307;0.1992381001616327;0.18231979473509569;0.1876370688695578;0.19412060985962498;0.19813542712753895;0.18341387557541455;0.19003908371663736;0.1933736620124673;0.2069150435690285;0.2073338409907222;0.20351889862257483;0.1924946243205892;0.18484830508533034;0.20433843584956052;0.1943876387684058;0.19694976657142715;0.195242649154087;0.19347462912608732;0.19611255334682506;0.19622030552611364;0.20761688015025634;0.19173117028877806;0.18231979473509569;0.186608808076626;0.19155982819760825;0.18788707329119816;0.20245005276954336;0.19975054185874536;0.20736557425487082;2.0
OTRAS AVES;0.09761342593078419;0.099667815804828;0.09584251633337161;0.0885560103284488;0.0796710713499311;0.11891686279070146;0.10095555077849294;0.09480375346773488;0.08333943803823762;0.09525803453271801;0.10096570379771727;0.0792408862199065;0.09599347319108543;0.08793175438480066;0.12378479297668141;0.11529808179107835;0.09852493788143385;0.08882665297273458;0.09126346706456866;0.08257313216014653;0.08945407170920366;0.10500340760034917;0.08764491900798152;0.09928180346136602;0.09937375643245586;0.091850084044669;;0.15642731353006448;0.09480375346773488;0.08380211866617962;0.08725012482201305;0.08859861920632131;0.09896465897631691;0.08289214274683324;0.12157050329519718;2.0
MIEL;7.270853584589229;7.546694264420983;6.5418118664524965;7.842562826943897;6.887210546854497;7.149895120149221;7.262634642270484;8.197914643838008;6.821886708046748;7.347361929078757;7.213468089235602;6.103969517753867;6.864630645758044;7.1945455404830545;7.69504397446556;7.3326049785193765;7.576973730651532;7.404196321147746;6.6693792742583184;6.531011386133007;7.270448177479817;7.565283481670532;7.396522761264403;6.190115791509648;7.244598814930287;7.324352763705629;4.976737269310176;6.66136099500479;8.197914643838008;6.560187782021371;6.854899321076349;6.765665260279682;7.4128875101798;7.296191491870318;7.787950780102233;1.0
GRANEL;8.801366369004015;8.773264951724078;9.066604034867618;9.642370170581465;8.48137034246572;7.829585045973128;8.927952765360773;9.184750287861725;7.730602510440132;8.514335087771203;9.012211359598194;11.949387165958557;8.11250847341723;8.540123000110025;9.131363289663776;9.54431063529917;9.224095777402717;7.96303322622524;8.492996563451447;7.269590808249968;8.536444788260605;8.853132560100063;9.104896323828717;8.481862251959427;8.737733120969994;8.945052876068226;;11.274126735347753;9.184750287861725;7.535365443810893;10.435619354204439;;7.860557815206207;8.308726528286458;9.900449408991394;2.0
ENVASADA;6.508143948395771;7.015625753556788;5.727345014710493;6.567578505989055;6.002565546975147;6.83737132699985;6.422028900093656;7.815229531146732;6.351390881642915;6.776101244990376;6.3050807595044445;5.6286218182626016;6.402583110476174;6.527792765236982;6.7386819021858155;6.48015925835324;6.590823560187422;6.963415232309143;6.116406123007267;6.376725304602748;6.7352952419090615;6.415247737839027;6.922738932263008;5.663270213405471;6.462914661460406;6.595835113671386;4.976737269310176;6.267835544976779;7.815229531146732;5.937723641954353;6.180456815165633;6.765665260279682;6.999480502452466;6.375018961762252;6.56504375227491;2.0
TOTAL CARNE;7.867834662862368;7.9803473222443495;7.930064040673272;7.801367079095672;7.664555643395941;7.908149024599564;8.025026366772497;7.229776941682344;7.498509063606136;7.7710426796326315;7.976829415610771;7.158948509263188;7.5022573292022035;7.814469835930405;8.491983007462817;8.552449876609176;8.154329275508998;7.729131333880398;7.441976362523894;7.622591402866223;7.670349172228513;7.73718984364159;7.898794361565972;8.487675194141927;7.718437621940351;8.228518513521749;7.730283401194289;7.6448139927783485;7.229776941682344;7.454132360876904;7.7568648493162815;7.511297661827623;8.075535492039178;8.587860843987777;8.505513965173868;1.0
