Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2256521.62022;562825.370415;333916.41562;562746.9596210001;327163.72413;469869.086455;1711969.01549;212841.855537;331710.718842;1150849.4898299999;1105672.02581;126993.21181299999;670656.68528;775967.0094600001;682904.558535;398469.29114;648625.67574;529190.246806;680236.347229;148609.739544;347894.002774;916713.9996699999;515589.21260100004;327714.529501;1621303.19926;635218.31438;53095.758118;120447.911707;212841.855537;397067.288524;276756.823421;176365.75887599998;326481.999219;135916.87389;557547.286893;0.0
T.HUEVOS KGS;31443.537579999997;7594.96987;4793.55433;7742.17479;4570.13789;6742.70327;24325.475710000002;2782.64255;4335.42188;15603.22314;15840.32084;2166.535374;8448.42152;10729.551150000001;10099.03337;5751.40772;9120.15144;7263.87203;9308.105109999999;2060.780669;4508.42905;12833.0534;7268.4775;4772.796321000001;22209.09648;9234.44111;756.4671999999999;1633.9989240000002;2782.64255;5354.50304;3978.09208;2484.472338;4438.49394;1790.097938;8224.77277;1.0
T.HUEVOS UNDS.;498541.678;120552.787;75803.173;122846.799;72431.513;106907.447;385239.091;44569.751;68732.876;248050.494;250491.284;34311.9534;133983.452;170827.875;159418.457;91365.68;144330.624;114883.103;147962.251;32608.3589;71681.851;204131.54;114752.89;75367.0281;352560.408;145981.271;11819.8;25700.6484;44569.751;84698.912;63252.748;39078.163799999995;70798.98;28801.8278;129820.897;1.0
TOTAL HUEVOS GALLINA;489965.2;118323;74731.9;120624.2;71218.94;105067.2;379131.2;43276.76;67557.28;243013.3;246952;33766.96;131640.5;167060.6;157497.2;89587.98;142163.8;113241.5;144971.9;32124.02;70215.01;199847;113350.9;74428.26;345990.6;143974.6;11819.8;25499.86;43276.76;83472.48;61954.9;38772.05;69083.41;27816.29;128269.7;2.0
OTRAS AVES;8576.478;2229.787;1071.273;2222.599;1212.573;1840.247;6107.891;1292.991;1175.596;5037.194;3539.284;544.9934000000001;2342.952;3767.275;1921.257;1777.7;2166.824;1641.603;2990.351;484.3389;1466.841;4284.54;1401.99;938.7681;6569.808;2006.671;0;200.7884;1292.991;1226.432;1297.848;306.11379999999997;1715.57;985.5378000000001;1551.197;2.0
MIEL;1175.853;237.7005;176.3088;290.41679999999997;175.2788;296.14840000000004;968.1952;73.53564;134.1225;503.9421;671.9112;65.22354;235.9537;397.7516;476.9245;308.09159999999997;338.57329999999996;266.2189;262.96959999999996;47.67378;156.322;509.4474;319.19579999999996;143.21429999999998;788.7805999999999;387.0727;27.03251;50.43031;73.53564;167.9394;110.3806;66.60566;193.64329999999998;112.8027;373.4831;1.0
GRANEL;391.08029999999997;71.82047999999999;43.00265;120.4234;62.55429;93.27949000000001;324.7786;20.54806;45.753730000000004;165.6181;225.46220000000002;4.90508;63.75822;131.7885;190.6286;85.7108;126.794;117.3892;61.18639;8.237995999999999;46.44601;240.32420000000002;69.30281;26.76931;271.04490000000004;120.0354;0;3.964119;20.54806;65.43181;17.49532;0;92.96914;53.736489999999996;136.9354;2.0
ENVASADA;784.7729;165.88;133.30620000000002;169.9934;112.7245;202.8689;643.4166;52.98758;88.36877;338.32390000000004;446.449;60.31846;172.1955;265.9631;286.2959;222.3808;211.77929999999998;148.8297;201.78320000000002;39.435790000000004;109.876;269.1232;249.893;116.445;517.7356;267.0373;27.03251;46.4662;52.98758;102.50760000000001;92.88527;66.60566;100.6742;59.06624;236.54770000000002;2.0
TOTAL CARNE;146781.3;37672.22;21895.46;37421.39;21022.98;28769.21;109892.1;13581.65;23307.5;77742;69039.26;8646.429;44255.84;53557.76;40321.23;21934.37;39206.56;35596.07;50044.26;10438.13;22404.13;58300.03;33769.66;21869.31;103790.5;42990.74;2947.694;7244.88;13581.65;29075.51;21693.12;12792.47;20472.76;7033.372;31939.81;1.0
