Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;99.473;99.587;99.498;99.588;99.287;99.335;99.517;99.157;99.524;99.492;99.462;99.062;99.438;99.679;99.549;99.565;99.438;99.596;99.331;99.112;99.523;99.426;99.581;99.521;99.492;99.428;99.228;99.312;99.157;99.666;99.671;99.342;99.53;99.787;99.587;0.0
T.HUEVOS KGS;79.023;80.147;76.911;78.922;77.184;80.728;79.766;74.2;78.201;75.662;82.984;73.638;74.594;79.596;84.675;79.516;80.107;79.506;78.409;75.093;78.13;78.201;80.039;82.136;77.56;82.466;68.299;72.796;74.2;79.592;80.981;80.763;80.314;76.528;84.919;1.0
T.HUEVOS UNDS.;79.023;80.147;76.911;78.922;77.184;80.728;79.766;74.2;78.201;75.662;82.984;73.638;74.594;79.596;84.675;79.516;80.107;79.506;78.409;75.093;78.13;78.201;80.039;82.136;77.56;82.466;68.299;72.796;74.2;79.592;80.981;80.763;80.314;76.528;84.919;1.0
TOTAL HUEVOS GALLINA;78.737;79.768;76.55;78.464;77.148;80.6;79.54;73.946;77.505;75.213;82.881;73.502;74.02;79.235;84.667;79.358;79.917;78.861;78.144;74.753;77.655;77.872;79.769;82.095;77.228;82.291;68.229;72.59;73.946;78.958;80.498;80.26;80.029;76.13;84.875;2.0
OTRAS AVES;2.607;3.927;2.953;2.295;2.567;1.532;2.618;1.866;3.311;2.786;2.391;0.938;2.983;3.113;2.11;1.342;2.12;4.755;2.963;2.003;4.207;3.194;1.858;1.053;2.765;2.242;2.244;1.038;1.866;3.6;4.319;5.517;3.306;0.501;1.719;2.0
MIEL;8.29;7.795;6.809;8.674;9.223;8.649;9.124;5.158;5.345;6.913;9.949;6.146;5.493;9.075;10.782;9.904;8.823;6.752;7.094;7.065;8.321;8.901;8.358;7.097;8.306;8.259;7.577;4.613;5.158;6.154;7.68;7.373;9.802;8.748;11.218;1.0
GRANEL;2.548;1.705;1.69;3.676;2.735;2.542;3.114;0.619;0.433;1.9;3.335;0.931;0.625;3.189;4.176;3.997;2.965;1.307;1.303;3.935;2.016;2.353;2.828;2.586;2.579;2.477;1.27;0;0.619;0.665;3.106;1.27;4.215;2.863;4.394;2.0
ENVASADA;5.961;6.13;5.39;5.592;6.65;6.204;6.274;4.601;4.978;5.143;6.956;5.306;4.979;5.942;7.078;6.136;6.206;5.569;5.813;3.41;6.596;6.613;5.714;5.067;5.973;5.938;6.556;4.613;4.601;5.434;4.656;6.186;6.154;5.795;7.309;2.0
TOTAL CARNE;97.253;98.132;96.859;97.32;97.109;96.649;96.932;97.705;98.922;97.269;97.251;94.885;97.545;98.039;97.036;94.959;97.791;98.365;98.454;96.242;97.355;97.016;97.65;97.55;97.029;97.77;91.036;97.445;97.705;98.953;99.258;98.211;97.901;95.743;97.026;1.0
CARNE CERTIFICADA;49.966;56.803;45.897;49.109;46.327;49.423;50.239;48.111;50.861;47.119;53.858;38.269;45.309;53.105;55.856;39.814;51.53;54.599;55.75;54.784;50.885;51.051;49.274;45.745;51.683;45.873;27.154;41.524;48.111;54.658;62.707;50.28;57.828;31.812;55.144;2.0
CARNE FRESCA;91.13;93.61;89.259;91.128;90.588;90.101;90.278;92.109;95.502;90.335;92.187;85.898;91;92.522;91.906;84.201;91.939;94.348;95.017;90.818;92.54;91.25;90.773;90.193;91.415;90.447;77.73;89.177;92.109;95.782;97.158;92.993;93.636;82.402;91.441;2.0
