Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;3.009365144016859;3.1106289272434355;3.0964143420528303;3.003040351819594;2.9151695368312667;2.899060895413893;3.054653863792557;2.794851281015377;2.909146124133315;3.0373615748471563;2.977851296591431;2.8528795753015777;2.917260687982283;3.0441094931487935;3.0849373441930763;3.1274493296280323;3.046797499961154;2.9670805166718237;2.9323687649006867;2.9502483129185273;2.9463773909478754;2.9556179418879807;3.061267501489543;3.173617345246155;2.944569528839134;3.1757070220144934;3.1250561893383337;2.935269118137989;2.794851281015377;2.9591222006640803;3.031969038104378;2.9658489282036893;3.034282956950365;2.99747524665414;3.119894765164707;0.0
T.HUEVOS KGS;3.227198693834495;3.250347117936026;3.256315368721593;3.256802244380494;3.1609536317566245;3.1929261624827725;3.269777656963363;3.0289991973285404;3.1071728988776037;3.1892074859230344;3.264606345480436;3.091920164349274;3.1439838594631917;3.158986567652637;3.3856100193169656;3.377475011023883;3.333487315301389;3.1793100697696053;3.063083237938983;3.262513870904651;3.2615835467753604;3.223028421065319;3.2244182147839537;3.1922142732540104;3.2375642348418556;3.202543821368018;3.446673917271435;3.200515446867828;3.0289991973285404;3.099055422998909;3.088804679520004;3.1500753322481025;3.2842348777597796;3.3155264265844857;3.392287342507073;1.0
T.HUEVOS UNDS.;0.20316632641200427;0.20341571238794734;0.20520653042347456;0.20588868924209736;0.1984682868869296;0.20159310069873973;0.20596607610511244;0.19186018218780085;0.19429812605246624;0.20006995201173292;0.20623651672081955;0.19692160861718264;0.19737899070087925;0.1983733378904077;0.21373223206708888;0.21267176070067514;0.210624336261487;0.19929747069665835;0.19275246119618436;0.207236764259862;0.20368383465035572;0.20211639710336785;0.2036932873960935;0.20293619258037232;0.20352482484755882;0.20230950562641328;0.21527745436395773;0.2033407716676818;0.19186018218780085;0.1942033610051144;0.1936586843257498;0.19675782720264792;0.20638473423258244;0.21101632726256506;0.21428643426971597;1.0
TOTAL HUEVOS GALLINA;0.20523062471627485;0.20641734505338188;0.20743577043810288;0.20751569323900032;0.2005652402385833;0.20297681078306312;0.2079294041520885;0.19314149257982985;0.19734400585042558;0.20253600224547172;0.20788035383391174;0.19758773343196195;0.19952177983321612;0.2008141162403456;0.2155375491514612;0.21421270309308565;0.21244941546040763;0.20196236864690875;0.19486989429428359;0.20839827480076203;0.206976206534387;0.20447823501288523;0.2053824560006371;0.20386926459040536;0.20587580765049282;0.2036974488461893;0.21549983693427993;0.20452371888655357;0.19314149257982985;0.1969447689826345;0.19592760342304477;0.20010145100853066;0.20892230501421666;0.2118540683362337;0.2159014064478184;2.0
OTRAS AVES;0.09862094313545505;0.09204798977490916;0.08484841068578877;0.09515775621089524;0.10717732793702155;0.11635317372603061;0.10287090477722466;0.08812982602607364;0.0852925170197699;0.09739564901672415;0.10048268963975004;0.08188945991701357;0.10468482798648103;0.09129741940172274;0.10353390048279748;0.1336071061591725;0.09161553361633422;0.0924659431719762;0.08824844202473041;0.07757101440763274;0.09232088928532005;0.10560382832682814;0.09520525794501769;0.08608084286431705;0.09416426824688348;0.11323374671480893;0.20770464784985765;0.06751535142753691;0.08812982602607364;0.08602812824262127;0.10189958658671526;0.08275779350424654;0.09068804070526088;0.08446114724766225;0.11099327338915661;2.0
MIEL;7.585628728189097;7.326039694086396;6.790649467438978;7.960700532023245;6.892706929498348;8.32206912139757;7.733891682645345;6.975001542564932;6.210159363415136;7.178772704477382;7.901301430755959;7.23763186582236;6.3511026382482685;7.559790676432681;8.183764396756265;8.110406536858468;7.976623543046245;6.946803459754487;6.516489793525688;7.617149113917346;7.3155704381974385;7.569560980264602;8.131492215258321;6.993449765813012;7.738263106292611;7.225679905696296;6.439937963723716;6.66049271828031;6.975001542564932;6.227547336095673;7.5006596669945855;7.639102923262474;7.673370409829694;6.972580743958699;8.364659737352515;1.0
GRANEL;9.077853405002266;9.122015630955316;9.311075851122164;9.574019126792686;7.626693732999774;9.154975168937264;9.100727955004638;9.898576598830154;7.094396264720919;8.64280958977173;9.33190633098313;9.000400045330322;9.101310838413033;8.559713880852009;9.475964001170272;9.178002608780519;9.153255603076882;10.228516784596113;7.819417970579329;8.569339253743884;8.9210324167748;8.797308168894128;9.633231823903936;8.885179601076938;9.00554655426529;9.253165630128441;9.000400045330322;;9.898576598830154;8.046402822486181;8.4994035552845;9.26630460010212;9.38824630954041;8.060257533499573;9.386602850142479;2.0
ENVASADA;6.687174638765518;6.7078354474936095;5.936385347890141;6.497415837759705;6.464980355016882;7.687233087596988;6.767762973727327;6.6158003718457215;6.133484393587492;6.4988736854930735;6.859591142119638;7.046430252345944;6.054292885614019;6.721526838539558;7.075870944912449;6.958572400302828;7.229057718665623;6.209115939455836;6.104015974154176;6.539988318942587;6.413584135121116;6.979993464672337;6.848091699927577;6.075154116354123;6.965151099363653;6.042420035681064;6.257769089171857;6.66049271828031;6.6158003718457215;5.879337065682949;6.560403518140318;7.152378265685508;6.3737927983828;6.092325865253792;7.390334795896179;2.0
TOTAL CARNE;8.222984838179318;8.332500121607314;8.30211164934393;8.267452413349037;7.946743831074994;8.177472331483116;8.366838686442353;7.653215839547367;7.87113896632804;8.150551150156444;8.30945060430724;7.73717200657562;7.852108551105683;8.130038922101535;8.845495068143185;8.754819112893804;8.529905588752483;8.155424427793418;7.769787876504509;8.00015491763704;8.07289459619977;8.114612544722513;8.414492453274331;8.49961139992025;8.120804917237448;8.477917795963112;8.00758821304793;8.083273669131534;7.653215839547367;7.870245871665137;7.965461909109811;7.872354715149834;8.34630212853273;8.448113121491042;8.981715216486586;1.0
