Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;6592162.0604;1729332.7264;961932.0601;1665485.3157000002;910295.7799;1325116.0348099999;5087084.902;557221.3124299999;947855.9771;3523391.6319;3068770.4284;341792.69075;1838626.0125;2390630.392;2021112.897;1246735.31111;1956769.8535;1487829.5358;1900827.1757;401693.93462;1009400.495;2638068.8989;1552062.0354000002;990936.92625;4642008.2456;1950153.8837000001;178580.20336;336038.55710000003;557221.3124299999;1103714.103;825672.3232999999;555585.5596;954484.8842999999;410765.22164999996;1670099.97798;0.0
T.HUEVOS KGS;110763.191;27021.1993;15676.8754;28285.4137;15914.1516;23865.570600000003;87254.5163;8509.412980000001;14999.2814;54305.6319;56457.568799999994;6115.512860000001;28085.6957;37602.5317;38959.471399999995;21750.4618;33303.4175;24800.1669;30909.164399999998;7153.674150000001;17542.725899999998;44392.658299999996;24936.9737;16737.17955;78231.1681;32532.0426;3145.98513;5086.3525199999995;8509.412980000001;17469.5278;13359.97;10161.2719;14937.8858;6565.650570000001;31527.167;1.0
T.HUEVOS UNDS.;110763.191;27021.1993;15676.8754;28285.4137;15914.1516;23865.570600000003;87254.5163;8509.412980000001;14999.2814;54305.6319;56457.568799999994;6115.512860000001;28085.6957;37602.5317;38959.471399999995;21750.4618;33303.4175;24800.1669;30909.164399999998;7153.674150000001;17542.725899999998;44392.658299999996;24936.9737;16737.17955;78231.1681;32532.0426;3145.98513;5086.3525199999995;8509.412980000001;17469.5278;13359.97;10161.2719;14937.8858;6565.650570000001;31527.167;1.0
TOTAL HUEVOS GALLINA;109722.1;26700.29;15559;28096.11;15721.18;23645.54;86440.1;8461.72;14820.3;53685.57;56036.54;6100.871;27749.13;37216.84;38655.28;21489.24;33084.62;24520.13;30628.13;7129.901;17314.4;43838.6;24758.28;16680.94;77469.44;32252.68;3059.393;5071.771;8461.72;17278.26;13190.34;10039.49;14797.01;6548.369;31275.78;2.0
OTRAS AVES;1041.091;320.9093;117.8754;189.30370000000002;192.9716;220.0306;814.4163000000001;47.692980000000006;178.9814;620.0619;421.0288;14.641860000000001;336.5657;385.6917;304.19140000000004;261.2218;218.7975;280.0369;281.0344;23.77315;228.3259;554.0583;178.6937;56.23955;761.7280999999999;279.3626;86.59213000000001;14.581520000000001;47.692980000000006;191.2678;169.63;121.7819;140.8758;17.28157;251.387;2.0
MIEL;11414.49;2173.814;1371.299;3474.275;1666.813;2728.288;10261.08;438.604;714.7999;4719.547;6694.941;423.58529999999996;1830.645;3833.715;5326.543;4387.382;3548.054;1567.037;1912.015;555.0759;1808.469;4251.833;3160.994;1638.117;8176.775;3237.713;555.2548;282.8989;438.604;911.5479;978.9891;607.5403;1786.897;1013.086;4839.67;1.0
GRANEL;5133.596;693.1141;475.97;1987.305;679.0471;1298.159;5000.334;68.10777;65.15341000000001;1801.929;3331.666;51.543949999999995;255.54160000000002;1979.522;2846.988;2576.671;1581.786;423.4653;551.6736999999999;331.4599;793.3161;1603.093;1725.596;680.1302;3605.593;1528.003;51.543949999999995;0;68.10777;189.2489;537.9417;169.6804;942.5236;523.8392;2650.71;2.0
ENVASADA;6280.892;1480.699;895.3291999999999;1486.97;987.7656;1430.129;5260.75;370.4962;649.6464;2917.618;3363.274;372.0413;1575.103;1854.193;2479.555;1810.711;1966.269;1143.572;1360.341;223.616;1015.153;2648.74;1435.397;957.9868;4571.182;1709.71;503.7108;282.8989;370.4962;722.2989;441.04740000000004;437.8598;844.3733000000001;489.24629999999996;2188.961;2.0
TOTAL CARNE;1248865;327181.7;176527.8;312005.8;179824.8;253324.6;952510.2;105209.6;191145.1;673590.4;575274.4;61646.8;349210.2;471963.8;366044.1;206829.8;356487.7;291650.7;393896.7;84175.39;195462.7;495159.5;289901.9;184165.5;880446.3;368418.6;28097.53;57398.13;105209.6;224473.5;176223.1;109010.7;177345.9;65292.18;305814.2;1.0
CARNE CERTIFICADA;223354.9;55963.92;31450.22;55043.81;30260.16;50636.77;179608.9;16716.58;27029.36;106748.2;116606.7;7881.224;48649.64;84259.2;82564.8;39766.94;66274.36;53709.77;63603.79;16167.63;34734.27;88965;51885.34;31602.63;164303.8;59051.05;4142.126;5916.76;16716.58;34716.94;30875.56;14870.74;35885.35;8097.502;72133.3;2.0
CARNE FRESCA;819806.8;212833.1;117354.9;203246;119431.1;166941.7;626629.9;70044.87;123132.1;439870.3;379936.5;39086.53;225055.5;314501.1;241163.7;133589.9;227670.9;196125.8;262420.3;56503.27;131786;326943.5;184597.3;119976.8;581129.3;238677.5;18600.23;34401.74;70044.87;146750.4;119557.8;71770.1;116517.6;39264.37;202899.7;2.0
SALCHICHAS FRESCAS;10716.18;2899.492;1739.349;2479.542;1790.207;1807.592;7883.318;1071;1761.864;6103.888;4612.295;459.0942;3085.721;4348.68;2822.687;1225.502;2694.782;2708.261;4087.637;1052.554;1764.133;4220.792;2156.081;1522.62;7381.648;3334.534;16.00772;410.2283;1071;2352.337;1596.838;1107.071;1346.438;437.9889;2378.273;3.0
CARNE VACUNO;175287.2;47511;28230.54;42695.8;22763.22;34086.62;136669;14333.65;24284.48;94786.2;80500.98;8242.347;44344.91;67176.48;55523.43;29677.25;49800.23;44270.69;51539;9145.631;25124.67;70912.59;40471.29;29632.99;119701.5;55585.72;3926.599;7529.822;14333.65;27946.71;25257.2;13431.65;27214.03;8060.376;47587.14;3.0
TERNERA;130527.7;35430.15;21838.14;31322.49;17255.94;24680.99;100934.2;11479.73;18113.75;72195.53;58332.18;6218.078;33685.02;49718.95;40905.66;21248.27;36526.42;34087.36;38665.67;7301.301;20534.32;52520.8;29340.96;20830.32;91872.86;38654.84;3173.125;5283.97;11479.73;21040.36;18575.36;9663.113;20627.39;5653.682;35030.98;4.0
AÑOJO;34529.67;9764.439;4698.763;8603.653;4205.748;7257.07;27499.69;1969.792;5060.195;17447.72;17081.96;1556.158;7742.818;14150.3;11080.39;6309.341;9751.178;7995.521;10473.63;1392.247;3391.965;14248.43;8358.587;7138.446;20987.2;13542.47;516.6903;1770.241;1969.792;5713.771;5366.26;2678.023;4782.906;2146.637;9585.353;4.0
MAYOR;10229.8;2316.409;1693.64;2769.659;1301.524;2148.564;8235.129;884.1308;1110.536;5142.954;5086.842;468.11109999999996;2917.077;3307.229;3537.379;2119.642;3522.639;2187.814;2399.701;452.0838;1198.389;4143.36;2771.744;1664.219;6841.394;3388.402;236.7837;475.6107;884.1308;1192.577;1315.579;1090.516;1803.731;260.0574;2970.811;4.0
CARNE POLLO;244656.7;65473.17;35219.94;59589.22;37311.18;47063.18;181180.4;23215.02;40261.28;135748;108908.6;13529.23;74443.84;93788.83;62894.79;38917.42;63442.84;57957.36;84339.06;16321.08;38612.84;98934.37;54216.75;36571.66;171534.2;73122.47;6123.056;11613.2;23215.02;47483.9;36690.4;23894.66;30893.22;13855.54;50887.7;3.0
POLLO ENTERO;40160.66;9993.748;5328.675;9821.246;6063.258;8953.736;31920.33;3324.796;4915.535;19572.87;20587.79;1748.512;9557.097;15296.14;13558.91;7261.983;10737.52;8950.203;13210.96;2619.312;8258.66;16082.92;8075.437;5124.337;29110.86;11049.81;666.1188000000001;1461.187;3324.796;6090.353;6175.052;3245.989;5526.311;2586.959;11083.9;4.0
POLLO FILETES;47243.04;13498.22;7408.129;11596.1;6644.244;8096.357;34022.25;4433.958;8786.832;26728.23;20514.82;2596.771;15073.01;17800.77;11772.5;6823.409;12340.75;12018.16;16060.72;2937.44;6135.159;19422.47;10613.37;8134.6;31106.87;16136.18;995.3398000000001;2625.54;4433.958;9900.361;6847.878;4979.379;5318.576;2715.991;9426.019;4.0
POLLO POR PIEZAS;157253;41981.21;22483.13;38171.88;24603.68;30013.09;115237.8;15456.27;26558.91;89446.95;67806.04;9183.952;49813.74;60691.92;37563.38;24832.03;40364.58;36989;55067.38;10764.33;24219.02;63428.98;35527.94;23312.72;111316.5;45936.49;4461.598;7526.468;15456.27;31493.19;23667.47;15669.29;20048.33;8552.592;30377.79;4.0
CARNE CONEJO;21569.34;5045.948;2578.136;5947.565;3141.936;4855.758;18656.39;979.9496;1933.001;9392.144;12177.2;514.0104;4214.345;7243.326;9597.661;4884.684;7034.5;5148.292;4501.866;2118.335;4444.035;8198.058;3921.387;2887.526;16317.17;5252.169;344.5577;663.1270999999999;979.9496;2598.129;2421.991;1711.289;3424.683;985.2364;8440.379;3.0
CARNE OVINO/CAPRINO;40660.26;7658.494;4863.083;9528.961;6035.137;12574.59;35189.74;1818.797;3651.721;18014.68;22645.58;982.0289;6658.448;15456.21;17563.57;9117.043;14950.44;8011.643;8581.131;3606.844;6918.271;15390.9;9606.216;5138.028;31310.6;9349.659;449.62109999999996;1167.762;1818.797;4313.589;4605.71;2950.821;7685.403;1804.431;15864.13;3.0
CORDERO;35718.42;6446.479;3685.02;8821.648;5515.19;11250.09;30662.42;1818.797;3237.204;15191.93;20526.5;982.0289;5983.649;13932.4;14820.34;6622.972;13646.72;7826.034;7622.696;3464.351;6125.022;12748.91;8457.214;4922.93;27436.48;8281.945;449.62109999999996;1167.762;1818.797;3886.523;4203.229;2591.209;6998.509;1349.877;13252.9;4.0
CABRITO;4652.088;1100.423;1157.979;688.2948;460.4282;1244.962;4237.571;0;414.51709999999997;2739.356;1912.732;0;674.7995999999999;1332.615;2644.673;2414.534;1264.621;185.6089;787.3238;99.05510000000001;793.2489;2622.978;958.443;178.36270000000002;3687.858;964.2294;0;0;0;398.87420000000003;302.9978;359.61159999999995;623.3742;411.7527;2555.477;4.0
OTRO OVINO/CAPRINO;289.74920000000003;111.5919;20.082990000000002;19.01818;59.51936;79.53684;289.74920000000003;0;0;83.40099000000001;206.34820000000002;0;0;191.19420000000002;98.55502;79.53684;39.101169999999996;0;171.11120000000003;43.43728;0;19.01818;190.5584;36.735339999999994;186.26520000000002;103.484;0;0;0;28.19086;99.48308;0;63.52027;42.8015;55.75351;4.0
OVINO/CAPRINO ENTE;6316.832;1438.527;103.4185;1301.782;1149.283;2323.822;5588.566;277.4296;450.8363;2532.694;3784.138;142.9409;843.7918000000001;2645.375;2684.724;1198.535;2487.484;1265.928;1364.885;735.0493;890.1220999999999;2239.575;2029.88;422.20570000000004;5167.4;1149.432;0;142.9409;277.4296;1022.529;582.7148000000001;498.5783;1495.867;303.72090000000003;1993.051;4.0
OVINO/CAPRINO PIEZ;34343.43;6219.967;4759.664;8227.179;4885.854;10250.76;29601.18;1541.367;3200.885;15481.99;18861.44;839.088;5814.656;12810.83;14878.85;7918.508;12462.96;6745.715;7216.246;2871.794;6028.149;13151.33;7576.337;4715.822;26143.2;8200.227;449.62109999999996;1024.821;1541.367;3291.059;4022.995;2452.242;6189.536;1500.71;13871.08;4.0
CARNE CERDO;248130.2;63556.48;34316.97;61327.5;38015.62;50913.63;186958.1;22039.77;39132.31;132208.8;115921.4;11628.03;69455.97;96356.34;70689.85;37355.22;65811.69;59770.9;85192.38;19842.74;42949.36;97068.91;55499.27;32769.91;180121.7;68008.45;5295.624;9606.234;22039.77;47590.93;38791.17;21154.26;34547.39;10623.58;58481.23;3.0
CARNE CERDO ADOBAD;26672.28;7591.615;3637.917;7099.069;3617.232;4726.452;19123.83;2719.016;4829.439;16110.41;10561.87;1319.695;8673.186;10142.41;6536.994;4132.662;5757.341;6509.159;10273.12;1670.61;4220.281;9411.447;7363.877;4006.069;17743.25;8929.038;570.0403;1099.476;2719.016;5530.566;4682.799;2695.438;3329.754;1014.124;5031.072;4.0
CARN.CERDO IBERICO;11860.23;3165.699;1265.381;3675.729;1351.325;2402.093;9743.77;935.9751;1180.482;5954.057;5906.17;561.9093;2767.531;4006.732;4524.055;2807.941;3803.442;2525.704;2723.139;576.7129;2167.077;4463.547;2600.637;2052.253;7564.824;4295.403;270.18129999999996;280.25390000000004;935.9751;1623.161;1215.595;1137.962;2053.788;434.3472;3908.963;4.0
CARNE DESPOJOS;14487.59;3401.531;1617.592;3796.124;1999.382;3672.962;12612.44;594.8206;1280.327;6651.182;7836.409;320.604;2631.605;5808.161;5727.221;2127.132;5704.042;2907.228;3749.189;963.9486999999999;2245.895;5662.588;3419.47;2195.689;9835.912;4651.679;318.4725;417.5423;594.8206;1981.823;2022.423;974.6874;2573.945;572.9376;5030.94;3.0
DESPOJOS CERDO;5852.508;1107.514;530.6196;1555.408;1034.761;1624.205;5162.749;211.7775;477.98109999999997;2558.012;3294.495;104.3394;978.7236;2400.871;2368.574;989.629;2157.215;926.1351999999999;1779.529;553.4286;967.524;2278.943;1244.372;808.2404;4105.956;1746.552;57.88539;128.6924;211.7775;1006.545;790.0929;228.44979999999998;1067.332;320.7953;2040.937;4.0
DESPOJOS CORDERO;1200.533;401.26509999999996;153.9158;334.9658;108.8786;201.508;1087.734;55.21343;57.585800000000006;548.9312;651.602;57.5154;171.2631;319.9948;651.7599;249.0873;639.4041;226.96929999999998;85.07255;101.56360000000001;346.56620000000004;219.0976;275.9498;257.356;744.4634;456.0698;8.670319;44.22434;55.21343;53.027480000000004;90.69433000000001;22.97443;275.05440000000004;32.7222;617.9523;4.0
DESPOJOS POLLO;3662.947;1076.836;481.3236;632.3656;425.5041;1046.918;3005.165;217.4625;440.3195;1959.745;1703.202;136.2885;1030.513;1511.749;984.3963;518.604;1116.522;968.5713000000001;1059.25;202.7283;582.7884;1704.773;749.3367;423.32079999999996;2721.727;941.2201;210.642;189.38979999999998;217.4625;479.76009999999997;645.9365;451.0651;563.1979;115.91560000000001;789.5776;4.0
DESPOJOS TERNERA;3539.633;732.1816;451.7327;1225.418;343.472;786.8281999999999;3163.009;86.67223;289.9513;1517.613;2022.019;22.4607;436.6155;1503.073;1577.484;369.8115;1635.137;760.8452;773.8388;106.2282;347.72679999999997;1297.703;1149.812;638.1624;2155.752;1383.88;41.274800000000006;55.23576;86.67223;428.00140000000005;481.0938;240.40460000000002;642.5629;103.50439999999999;1460.883;4.0
DESPOJOS OT.PROCED;231.9705;83.73383;0;47.96636;86.76677000000001;13.5035;193.7864;23.69503;14.489030000000001;66.87995;165.0905;0;14.489030000000001;72.47419000000001;145.0072;0;155.7645;24.70655;51.499370000000006;0;1.28966;162.0712;0;68.60963000000001;108.0137;123.9568;0;0;23.69503;14.489030000000001;14.60497;31.793590000000002;25.797490000000003;0;121.59039999999999;4.0
OTRAS CARNES FRESCA;75015.55;20186.44;10528.66;20360.87;10164.65;13774.94;55363.73;7062.862;12588.96;43069.24;31946.31;3870.28;23306.36;28671.7;19167.22;11511.1;20927.13;18059.65;24517.66;4504.695;11490.91;30776.06;17462.91;10780.98;52308.2;22707.35;2142.3;3404.053;7062.862;14835.28;9768.862;7652.729;10178.97;3362.268;16608.23;3.0
AVESTRUZ;44.99539;36.794470000000004;0;8.200925;0;0;34.77819;0;10.2172;44.99539;0;0;26.577270000000002;18.41813;0;0;0;26.577270000000002;18.41813;0;26.577270000000002;0;10.2172;8.200925;26.577270000000002;18.41813;0;0;0;10.2172;26.577270000000002;8.200925;0;0;0;4.0
PAVO;38958.63;11541.09;5195.637;10048.68;5311.578;6861.645;29569.8;3168.958;6219.873;22347.24;16611.39;1411.152;11327.74;15836.77;10382.96;5454.553;11043.87;10646.04;11814.17;2447.126;5872.934;15729.4;9324.478;5584.692;27660.32;11298.31;972.7346;1486.483;3168.958;7585.02;5194.111;4192.882;5557.333;1556.306;9244.803;4.0
OTRAS AVES;5916.839;1416.584;967.5205;1741.933;619.8480999999999;1170.953;4550.036;490.5294;876.2736;3220.825;2696.015;313.0146;1697.415;2136.492;1769.917;1326.42;1588.255;1251.538;1750.626;261.9093;817.645;2838.971;1225.771;772.5426;4235.287;1681.552;277.684;260.9425;490.5294;951.8108000000001;854.5065;475.6524;741.0999;301.08090000000004;1563.533;2.0
